gene	compartment	contrast	family	estimable	estimate	se	ci_lo	ci_hi	df	t.ratio	p.value	p_BH_reference	n_model_donors	covariates	n_control	n_donors_arm	n_control_donors
ACE2	Pericyte	COPD	exploratory	TRUE	0.058975928851286	0.042937781025638	-0.0251821219589644	0.143133979661536	28	1.37352064877483	0.180489072712442		35	mean_log10_counts+sex+age+ever_smoker	5	10	5
AGT	Endothelial	COPD	exploratory	TRUE	0.000750063256810245	0.000604122855730166	-0.000434017540420881	0.00193414405404137	68	1.24157404358372	0.218659388806562		75	mean_log10_counts+sex+age+ever_smoker	26	17	26
ACE2	ATI	IPF	exploratory	TRUE	-0.0108663821746102	0.00906794261821343	-0.0286395497063085	0.00690678535708818	50	-1.19832939312876	0.236438078486677		57	mean_log10_counts+sex+age+ever_smoker	20	21	20
ACE2	Pericyte	IPF	exploratory	TRUE	0.0467525108773633	0.0387184343747032	-0.029135620497055	0.122640642251782	28	1.20750003538132	0.237340993485686		35	mean_log10_counts+sex+age+ever_smoker	5	20	5
AGT	Myofibroblast	COPD	exploratory	TRUE	-0.0444953629944299	0.0412334453348755	-0.125312915850786	0.0363221898619262	56	-1.07910853999861	0.285165404796299		63	mean_log10_counts+sex+age+ever_smoker	19	14	19
ACE	Fibroblast	COPD	exploratory	TRUE	-0.0371375679286648	0.0347141533151994	-0.105177308426456	0.030902172569126	63	-1.06981056376231	0.288786335822006		70	mean_log10_counts+sex+age+ever_smoker	23	17	23
AGT	Pericyte	COPD	exploratory	TRUE	0.184423107814806	0.177054772745811	-0.162604246766983	0.531450462396595	28	1.04161613355418	0.306500463692029		35	mean_log10_counts+sex+age+ever_smoker	5	10	5
ACE2	Fibroblast	COPD	exploratory	TRUE	-0.0372655148544668	0.0406883717116794	-0.117014723409358	0.0424836937004247	63	-0.915876288157532	0.363224333819156		70	mean_log10_counts+sex+age+ever_smoker	23	17	23
AGT	ATII	COPD	exploratory	TRUE	-0.00621960659829766	0.0071081097528502	-0.020151501713884	0.00771228851728873	58	-0.875001486267672	0.385182211540588		65	mean_log10_counts+sex+age+ever_smoker	24	16	24
ACE2	SMC	COPD	exploratory	TRUE	0.0203500568003285	0.0233999542655081	-0.0255138535600673	0.0662139671607244	38	0.869662246747415	0.389945326127559		45	mean_log10_counts+sex+age+ever_smoker	10	12	10
ACE	Myofibroblast	COPD	exploratory	TRUE	-0.013062631104779	0.0163274926732165	-0.0450645167442833	0.0189392545347252	56	-0.800039011881285	0.427069077212557		63	mean_log10_counts+sex+age+ever_smoker	19	14	19
AGTR2	Myofibroblast	COPD	exploratory	TRUE	-0.00274644995082686	0.00348893757992878	-0.00958476760748727	0.00409186770583355	56	-0.787188044471384	0.43449083388409		63	mean_log10_counts+sex+age+ever_smoker	19	14	19
ACE	Fibroblast	IPF	exploratory	TRUE	0.0212975931998942	0.0302936978816839	-0.0380780546482062	0.0806732410479946	63	0.703037089861886	0.48462259777428		70	mean_log10_counts+sex+age+ever_smoker	23	30	23
AGTR2	Fibroblast	COPD	exploratory	TRUE	0.000415932535667728	0.000625528879000176	-0.000810104067172617	0.00164196913850807	63	0.664929389563181	0.508522492776289		70	mean_log10_counts+sex+age+ever_smoker	23	17	23
ACE2	Myofibroblast	COPD	exploratory	TRUE	-0.000417014405177306	0.000635523524927811	-0.00166264051403582	0.000828611703681204	56	-0.65617461639154	0.514398999962722		63	mean_log10_counts+sex+age+ever_smoker	19	14	19
ACE	ATI	COPD	exploratory	TRUE	0.0182558496181704	0.0286344693607457	-0.0378677103288912	0.074379409565232	50	0.637548033042892	0.52667682297166		57	mean_log10_counts+sex+age+ever_smoker	20	16	20
AGT	Mural	COPD	exploratory	TRUE	-0.062361764338314	0.103861348203042	-0.265930006816275	0.141206478139647	46	-0.600432840679106	0.551164726968571		53	mean_log10_counts+sex+age+ever_smoker	13	13	13
ACE	SMC	COPD	exploratory	TRUE	-0.0106785163837978	0.0179638054766665	-0.0458875751180642	0.0245305423504686	38	-0.594446226756813	0.555736717698968		45	mean_log10_counts+sex+age+ever_smoker	10	12	10
ACE	Endothelial	COPD	exploratory	TRUE	0.0577676664217466	0.107572681917237	-0.153074790136038	0.268610122979531	68	0.537010562460376	0.59301315527937		75	mean_log10_counts+sex+age+ever_smoker	26	17	26
ACE2	ATI	COPD	exploratory	TRUE	-0.00491128361951561	0.00928453029696127	-0.0231089630015597	0.0132863957625285	50	-0.528974914446994	0.599163452535966		57	mean_log10_counts+sex+age+ever_smoker	20	16	20
ACE2	Endothelial	COPD	exploratory	TRUE	-0.00927053359128281	0.017890606218418	-0.044336121779382	0.0257950545968164	68	-0.518178840789588	0.606015476698931		75	mean_log10_counts+sex+age+ever_smoker	26	17	26
ACE	Endothelial	IPF	exploratory	TRUE	0.0466249255681635	0.100662549741574	-0.150673671925321	0.243923523061648	68	0.4631804547755	0.644714051890802		75	mean_log10_counts+sex+age+ever_smoker	26	32	26
AGTR2	Myofibroblast	IPF	exploratory	TRUE	0.00141826562944042	0.00309722979467084	-0.00465230476811442	0.00748883602699526	56	0.457914240616153	0.648785959061801		63	mean_log10_counts+sex+age+ever_smoker	19	30	19
ACE2	Myofibroblast	IPF	exploratory	TRUE	0.000257830963747897	0.000564172431156201	-0.000847947001318256	0.00136360892881405	56	0.457007378434824	0.649433660524629		63	mean_log10_counts+sex+age+ever_smoker	19	30	19
ACE	SMC	IPF	exploratory	TRUE	-0.00620397865619091	0.0152429706273506	-0.036080201085798	0.0236722437734162	38	-0.407005878831719	0.68628724221106		45	mean_log10_counts+sex+age+ever_smoker	10	23	10
ACE	Mural	IPF	exploratory	TRUE	0.0100461000901887	0.0253890742214991	-0.0397164853839495	0.0598086855643268	46	0.39568595540525	0.694165973000754		53	mean_log10_counts+sex+age+ever_smoker	13	27	13
AGT	Pericyte	IPF	exploratory	TRUE	0.0587120125017089	0.159656215005461	-0.254214168908995	0.371638193912413	28	0.367740225456934	0.715832221492536		35	mean_log10_counts+sex+age+ever_smoker	5	20	5
AGT	SMC	IPF	exploratory	TRUE	0.0338932854475098	0.123753824906413	-0.208664211369059	0.276450782264079	38	0.273876669857608	0.785662659709329		45	mean_log10_counts+sex+age+ever_smoker	10	23	10
ACE2	Fibroblast	IPF	exploratory	TRUE	0.00954264668255225	0.0355071670260666	-0.0600514006885383	0.0791366940536428	63	0.268752690845394	0.788998150965141		70	mean_log10_counts+sex+age+ever_smoker	23	30	23
ACE2	SMC	IPF	exploratory	TRUE	0.00526336470405151	0.0198557491626031	-0.0336539036546506	0.0441806330627536	38	0.265080136788023	0.792380426909128		45	mean_log10_counts+sex+age+ever_smoker	10	23	10
AGT	Mural	IPF	exploratory	TRUE	0.022185974348893	0.0880469370679428	-0.150386022304275	0.194757971002061	46	0.251978945409229	0.802179781383485		53	mean_log10_counts+sex+age+ever_smoker	13	27	13
AGT	Myofibroblast	IPF	exploratory	TRUE	-0.00915386867281438	0.0366041101344996	-0.0808979245364337	0.0625901871908049	56	-0.250077618037402	0.803442478581662		63	mean_log10_counts+sex+age+ever_smoker	19	30	19
ACE2	ATII	IPF	exploratory	TRUE	-0.00370704350531054	0.0150484907145725	-0.0332020853058726	0.0257879982952515	58	-0.246339887210135	0.806288888688928		65	mean_log10_counts+sex+age+ever_smoker	24	25	24
AGT	Fibroblast	COPD	exploratory	TRUE	0.00891288765594911	0.0372970879294219	-0.0641894046857178	0.082015179997616	63	0.238970068462588	0.8119044771147		70	mean_log10_counts+sex+age+ever_smoker	23	17	23
AGT	ATII	IPF	exploratory	TRUE	0.00106075366052911	0.00632219661563411	-0.0113307517061137	0.013452259027172	58	0.167782453634229	0.867338096480934		65	mean_log10_counts+sex+age+ever_smoker	24	25	24
ACE	ATII	COPD	exploratory	TRUE	0.0027630234764979	0.0195300033122937	-0.0355157830155977	0.0410418299685935	58	0.141475832457163	0.887984309104712		65	mean_log10_counts+sex+age+ever_smoker	24	16	24
AGTR2	ATII	IPF	exploratory	TRUE	0.00618978093771614	0.0447658857188316	-0.0815513550711937	0.093930916946626	58	0.138270042875803	0.890505943619926		65	mean_log10_counts+sex+age+ever_smoker	24	25	24
ACE	Mural	COPD	exploratory	TRUE	-0.00406743783320863	0.0299492925714968	-0.0627680512733423	0.054633175606925	46	-0.135810815013363	0.892563439383089		53	mean_log10_counts+sex+age+ever_smoker	13	13	13
ACE2	ATII	COPD	exploratory	TRUE	-0.00110239737223189	0.0169191706802367	-0.0342639719054958	0.032059177161032	58	-0.0651567025988809	0.948273296784826		65	mean_log10_counts+sex+age+ever_smoker	24	16	24
ACE2	Endothelial	IPF	exploratory	TRUE	-0.00102296095980127	0.0167413697071713	-0.0338360455858569	0.0317901236662544	68	-0.0611037793020649	0.951455797824773		75	mean_log10_counts+sex+age+ever_smoker	26	32	26
ACE	Pericyte	IPF	exploratory	TRUE	0.00391752327735116	0.066944193363178	-0.127293095714478	0.13512814226918	28	0.0585192393924035	0.953750688514299		35	mean_log10_counts+sex+age+ever_smoker	5	20	5
ACE	Pericyte	COPD	exploratory	TRUE	0.00271949405210438	0.0742394459380341	-0.142789819986443	0.148228808090651	28	0.0366313893879849	0.971038832760545		35	mean_log10_counts+sex+age+ever_smoker	5	10	5
ACE	ATII	IPF	exploratory	TRUE	-0.000311702468292089	0.0173706548066167	-0.0343581858892607	0.0337347809526766	58	-0.0179441979454544	0.985744956773196		65	mean_log10_counts+sex+age+ever_smoker	24	25	24
ACE	ATI	IPF	exploratory	TRUE	-0.000446974575230963	0.0279664901466492	-0.0552612952626634	0.0543673461122014	50	-0.0159825052370584	0.987311954413078		57	mean_log10_counts+sex+age+ever_smoker	20	21	20
AGT	ATI	COPD	exploratory	TRUE	0	0	0	0	50				57	mean_log10_counts+sex+age+ever_smoker	20	16	20
AGTR2	ATI	COPD	exploratory	TRUE	0	0	0	0	50				57	mean_log10_counts+sex+age+ever_smoker	20	16	20
AGT	ATI	IPF	exploratory	TRUE	0	0	0	0	50				57	mean_log10_counts+sex+age+ever_smoker	20	21	20
AGTR2	ATI	IPF	exploratory	TRUE	0	0	0	0	50				57	mean_log10_counts+sex+age+ever_smoker	20	21	20
AGTR2	Endothelial	COPD	exploratory	TRUE	0	0	0	0	68				75	mean_log10_counts+sex+age+ever_smoker	26	17	26
AGTR2	Endothelial	IPF	exploratory	TRUE	0	0	0	0	68				75	mean_log10_counts+sex+age+ever_smoker	26	32	26
AGTR2	Mural	COPD	exploratory	TRUE	0	0	0	0	46				53	mean_log10_counts+sex+age+ever_smoker	13	13	13
AGTR2	Mural	IPF	exploratory	TRUE	0	0	0	0	46				53	mean_log10_counts+sex+age+ever_smoker	13	27	13
AGTR2	Pericyte	COPD	exploratory	TRUE	0	0	0	0	28				35	mean_log10_counts+sex+age+ever_smoker	5	10	5
AGTR2	Pericyte	IPF	exploratory	TRUE	0	0	0	0	28				35	mean_log10_counts+sex+age+ever_smoker	5	20	5
AGTR2	SMC	COPD	exploratory	TRUE	0	0	0	0	38				45	mean_log10_counts+sex+age+ever_smoker	10	12	10
AGTR2	SMC	IPF	exploratory	TRUE	0	0	0	0	38				45	mean_log10_counts+sex+age+ever_smoker	10	23	10
AGTR1	Fibroblast	IPF	primary	TRUE	0.0830483404172896	0.0563747566614498	-0.027446182639152	0.193542863473731	63	1.4731476521668	0.1456902009786	0.329204566188332	70	mean_log10_counts+sex+age+ever_smoker	23	30	23
AGTR1	Myofibroblast	IPF	primary	TRUE	-0.0895969886801069	0.069364228430319	-0.225550876403532	0.0463568990433184	56	-1.29168868028444	0.201770802162383	0.329204566188332	63	mean_log10_counts+sex+age+ever_smoker	19	30	19
AGTR1	Myofibroblast	COPD	primary	TRUE	-0.0914303660114333	0.0781367477769031	-0.244578391654163	0.0617176596312966	56	-1.17013273028059	0.246903424641249	0.329204566188332	63	mean_log10_counts+sex+age+ever_smoker	19	14	19
AGTR1	Fibroblast	COPD	primary	TRUE	0.0146647595886661	0.0646009593644183	-0.111953120765594	0.141282639942926	63	0.227005291143452	0.821154642055514	0.821154642055514	70	mean_log10_counts+sex+age+ever_smoker	23	17	23
