gene	compartment	contrast	family	estimable	estimate	se	ci_lo	ci_hi	df	t.ratio	p.value	p_BH_reference	n_donors	covariates	n_control	n_donors_arm	n_control_donors
ACE2	Mural	IPF	exploratory	TRUE	0.023663743954583	0.0218617760407551	-0.0191853370852969	0.0665128249944629	29	-1.08242550424397	0.287982090417558		36	mean_log10_counts+sex+age+ever_smoker	6	21	6
AGT	Pericyte	IPF	exploratory	FALSE	-0.323259270064594	0.317686030320562	-0.945923889492895	0.299405349363707	15	1.0175432320345	0.325027524604266		22	mean_log10_counts+sex+age+ever_smoker	1	15	1
ACE	Endothelial	IPF	exploratory	TRUE	0.0902203837127489	0.100767390118288	-0.107283700919095	0.287724468344593	66	-0.895333139092338	0.373862822827274		73	mean_log10_counts+sex+age+ever_smoker	25	31	25
ACE	SMC	COPD	exploratory	TRUE	-0.0245359113566474	0.0308469509084606	-0.0849959351372301	0.0359241124239354	21	0.79540799443869	0.435275102558229		28	mean_log10_counts+sex+age+ever_smoker	5	7	5
AGTR2	Fibroblast	COPD	exploratory	TRUE	0.000588617134043049	0.000750654776120362	-0.000882666227152861	0.00205990049523896	53	-0.784138265375758	0.436449622533223		60	mean_log10_counts+sex+age+ever_smoker	17	15	17
ACE2	SMC	COPD	exploratory	TRUE	0.0331336610286097	0.0433618426434637	-0.0518555505525791	0.118122872609798	21	-0.764120226648261	0.453296374121243		28	mean_log10_counts+sex+age+ever_smoker	5	7	5
AGT	ATII	COPD	exploratory	TRUE	-0.00804348070721663	0.0106664751331381	-0.0289497719681672	0.012862810553734	39	0.754089856941357	0.45532443486065		46	mean_log10_counts+sex+age+ever_smoker	17	14	17
AGT	Myofibroblast	COPD	exploratory	TRUE	-0.0301720110949857	0.0414939743104969	-0.11150020074356	0.0511561785535883	47	0.72714199100839	0.470745559745215		54	mean_log10_counts+sex+age+ever_smoker	12	14	12
AGTR2	Myofibroblast	COPD	exploratory	TRUE	-0.00285504731655951	0.00407796133451669	-0.0108478515322122	0.00513775689909321	47	0.700116328321656	0.487305893261977		54	mean_log10_counts+sex+age+ever_smoker	12	14	12
ACE	ATI	IPF	exploratory	TRUE	0.00727527000386816	0.0104113024596355	-0.0131308828170175	0.0276814228247538	32	-0.698785769799145	0.489733858865869		39	mean_log10_counts+sex+age+ever_smoker	15	9	15
AGT	SMC	IPF	exploratory	TRUE	-0.11252804945529	0.161842063266109	-0.429738493456863	0.204682394546284	21	0.695295445351963	0.494492860223977		28	mean_log10_counts+sex+age+ever_smoker	5	16	5
ACE2	Fibroblast	IPF	exploratory	TRUE	-0.00329695746269849	0.00501280737184995	-0.0131220599115244	0.00652814498612741	53	0.657706793445319	0.513573102446467		60	mean_log10_counts+sex+age+ever_smoker	17	28	17
ACE2	Myofibroblast	COPD	exploratory	TRUE	-0.000486315894019588	0.00074818324414224	-0.00195275505253838	0.000980123264499201	47	0.649995703361586	0.518859570087217		54	mean_log10_counts+sex+age+ever_smoker	12	14	12
AGTR2	ATII	IPF	exploratory	TRUE	0.0434654752259392	0.0692591775440691	-0.0922825127604361	0.179213463212315	39	-0.627577120711295	0.53393850873858		46	mean_log10_counts+sex+age+ever_smoker	17	15	17
ACE2	ATI	COPD	exploratory	TRUE	-0.00813991606216824	0.0135376573427575	-0.0346737244539728	0.0183938923296364	32	0.60127951654228	0.551889843279784		39	mean_log10_counts+sex+age+ever_smoker	15	15	15
ACE2	Endothelial	COPD	exploratory	TRUE	-0.0100670430537038	0.0179943201161254	-0.0453359104813096	0.025201824373902	66	0.559456705712504	0.577743760602024		73	mean_log10_counts+sex+age+ever_smoker	25	17	25
ACE2	Pericyte	IPF	exploratory	FALSE	0.0390455744609025	0.0846770650933268	-0.126921473122018	0.205012622043823	15	-0.461111570386484	0.651333887964338		22	mean_log10_counts+sex+age+ever_smoker	1	15	1
ACE	Endothelial	COPD	exploratory	TRUE	0.0478004677484642	0.105607701482111	-0.159190627156473	0.254791562653402	66	-0.452622934479462	0.652304625392947		73	mean_log10_counts+sex+age+ever_smoker	25	17	25
AGTR2	Myofibroblast	IPF	exploratory	TRUE	0.00161112219618012	0.00368736541964749	-0.00561611402632897	0.0088383584186892	47	-0.436930440252959	0.664162740043447		54	mean_log10_counts+sex+age+ever_smoker	12	28	12
AGT	Pericyte	COPD	exploratory	FALSE	-0.169049462038857	0.395790210904482	-0.944798275411643	0.606699351333928	15	0.427118855851781	0.675360293837123		22	mean_log10_counts+sex+age+ever_smoker	1	6	1
ACE2	Myofibroblast	IPF	exploratory	TRUE	0.000258006390212594	0.00067652064247361	-0.00106797406903568	0.00158398684946087	47	-0.381372531766698	0.704645517083102		54	mean_log10_counts+sex+age+ever_smoker	12	28	12
ACE	Mural	COPD	exploratory	TRUE	-0.0160943218226442	0.0494271197964075	-0.112971476623603	0.0807828329783145	29	0.325617229750335	0.74705183877495		36	mean_log10_counts+sex+age+ever_smoker	6	9	6
ACE2	SMC	IPF	exploratory	TRUE	0.0110214506286106	0.0346970937367654	-0.0569848530954497	0.0790277543526709	21	-0.317647659836482	0.753889099759302		28	mean_log10_counts+sex+age+ever_smoker	5	16	5
ACE	Myofibroblast	COPD	exploratory	TRUE	-0.0051511440888257	0.0166800439761499	-0.0378440302820795	0.0275417421044281	47	0.308820773865531	0.758822658185521		54	mean_log10_counts+sex+age+ever_smoker	12	14	12
AGT	Myofibroblast	IPF	exploratory	TRUE	0.0107871572085093	0.037519592130807	-0.0627512433678724	0.084325557784891	47	-0.287507315402079	0.7749878030202		54	mean_log10_counts+sex+age+ever_smoker	12	28	12
ACE	Pericyte	COPD	exploratory	FALSE	0.0573209690231515	0.200241436911701	-0.335152247323783	0.449794185370086	15	-0.286259277336428	0.7785952643815		22	mean_log10_counts+sex+age+ever_smoker	1	6	1
AGT	ATII	IPF	exploratory	TRUE	0.00287917871036158	0.0103102743868563	-0.0173289590878767	0.0230873165085998	39	-0.279253354695586	0.781526007788767		46	mean_log10_counts+sex+age+ever_smoker	17	15	17
AGT	Fibroblast	COPD	exploratory	TRUE	-0.0102149008961548	0.043461521296807	-0.0953994826378966	0.074969680845587	53	0.235033210788809	0.815088686004057		60	mean_log10_counts+sex+age+ever_smoker	17	15	17
ACE2	Endothelial	IPF	exploratory	TRUE	0.00312058908796123	0.0171695875358305	-0.0305318024822666	0.0367729806581891	66	-0.181750964107262	0.856335220885408		73	mean_log10_counts+sex+age+ever_smoker	25	31	25
ACE2	ATII	COPD	exploratory	TRUE	-0.0044401756052122	0.0250399086363588	-0.0535183965324753	0.0446380453220509	39	0.177323953920699	0.860171701478991		46	mean_log10_counts+sex+age+ever_smoker	17	14	17
ACE	Pericyte	IPF	exploratory	FALSE	0.026584711808208	0.160726327851286	-0.288438890780313	0.341608314396729	15	-0.165403591083135	0.870834936732596		22	mean_log10_counts+sex+age+ever_smoker	1	15	1
ACE2	ATII	IPF	exploratory	TRUE	-0.00290938753159544	0.0242037154205334	-0.050348669755841	0.0445298946926501	39	0.120204170353417	0.904938542795779		46	mean_log10_counts+sex+age+ever_smoker	17	15	17
ACE	Fibroblast	IPF	exploratory	TRUE	-0.00239467055723934	0.0307260909365784	-0.0626178087929329	0.0578284676784542	53	0.07793606294345	0.938172407060532		60	mean_log10_counts+sex+age+ever_smoker	17	28	17
ACE	Mural	IPF	exploratory	TRUE	-0.00142104963798293	0.0401909903880463	-0.0801953907985537	0.0773532915225879	29	0.0353574177760392	0.97203699599748		36	mean_log10_counts+sex+age+ever_smoker	6	21	6
AGT	ATI	COPD	exploratory	TRUE	0	0	0	0	32				39	mean_log10_counts+sex+age+ever_smoker	15	15	15
AGTR2	ATI	COPD	exploratory	TRUE	0	0	0	0	32				39	mean_log10_counts+sex+age+ever_smoker	15	15	15
AGT	ATI	IPF	exploratory	TRUE	0	0	0	0	32				39	mean_log10_counts+sex+age+ever_smoker	15	9	15
AGTR2	ATI	IPF	exploratory	TRUE	0	0	0	0	32				39	mean_log10_counts+sex+age+ever_smoker	15	9	15
AGTR2	Endothelial	COPD	exploratory	TRUE	0	0	0	0	66				73	mean_log10_counts+sex+age+ever_smoker	25	17	25
AGTR2	Endothelial	IPF	exploratory	TRUE	0	0	0	0	66				73	mean_log10_counts+sex+age+ever_smoker	25	31	25
AGTR2	Mural	COPD	exploratory	TRUE	0	0	0	0	29				36	mean_log10_counts+sex+age+ever_smoker	6	9	6
AGTR2	Mural	IPF	exploratory	TRUE	0	0	0	0	29				36	mean_log10_counts+sex+age+ever_smoker	6	21	6
AGTR2	Pericyte	COPD	exploratory	FALSE	0	0	0	0	15				22	mean_log10_counts+sex+age+ever_smoker	1	6	1
AGTR2	Pericyte	IPF	exploratory	FALSE	0	0	0	0	15				22	mean_log10_counts+sex+age+ever_smoker	1	15	1
AGTR2	SMC	COPD	exploratory	TRUE	0	0	0	0	21				28	mean_log10_counts+sex+age+ever_smoker	5	7	5
AGTR2	SMC	IPF	exploratory	TRUE	0	0	0	0	21				28	mean_log10_counts+sex+age+ever_smoker	5	16	5
AGTR1	Myofibroblast	IPF	primary	TRUE	-0.172972635133012	0.0763477146417127	-0.322614155830769	-0.0233311144352555	47	2.26559021373128	0.028125042863402	0.0735883756369897	54	mean_log10_counts+sex+age+ever_smoker	12	28	12
AGTR1	Myofibroblast	COPD	primary	TRUE	-0.181472843221173	0.0844350892452049	-0.346965618141774	-0.0159800683005711	47	2.14925861799191	0.0367941878184949	0.0735883756369897	54	mean_log10_counts+sex+age+ever_smoker	12	14	12
AGTR1	Fibroblast	COPD	primary	TRUE	-0.0869842542995054	0.0631763681498609	-0.210809935873233	0.0368414272742219	53	1.376847970956	0.174347582607307	0.232463443476409	60	mean_log10_counts+sex+age+ever_smoker	17	15	17
AGTR1	Fibroblast	IPF	primary	TRUE	0.0270763438696585	0.0529564204109056	-0.0767182401357166	0.130870927875034	53	-0.511294828078721	0.611268198089993	0.611268198089993	60	mean_log10_counts+sex+age+ever_smoker	17	28	17
