test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
ADAM15	0.804231072316179	0.0572137391996378	0.0484531940990538	0.131266262102844	123	Pericyte_cg_vascular_stabilizing
PRG4	0.803540037582591	0.0571389721039414	0.0483784270033574	0.135507166828704	124	Pericyte_cg_vascular_stabilizing
RGMA	0.810656482996907	0.0571120929265187	0.0483515478259347	0.141171845845328	125	Pericyte_cg_vascular_stabilizing
FGF1	0.848008728859792	0.0570756734332708	0.0483151283326867	0.107359103961752	126	Pericyte_cg_vascular_stabilizing
COL12A1	0.819724798448203	0.0569551592977939	0.0481946141972099	0.115761429809483	127	Pericyte_cg_vascular_stabilizing
LRFN5	0.800266715160331	0.0568611050176763	0.0481005599170923	0.131550151912307	128	Pericyte_cg_vascular_stabilizing
COL4A4	0.833096926713951	0.0568235489326956	0.0480630038321116	0.119284106827054	129	Pericyte_cg_vascular_stabilizing
LAMB1	0.821991877311023	0.0567802157458461	0.048019670645262	0.131836637166386	130	Pericyte_cg_vascular_stabilizing
LGALS3	0.799684791174153	0.0567558657424594	0.0479953206418754	0.0877121720356417	131	Pericyte_cg_vascular_stabilizing
LRPAP1	0.812123416378737	0.056660394750517	0.0478998496499329	0.136734280011225	132	Pericyte_cg_vascular_stabilizing
SEMA3D	0.814245014245013	0.0565815430518957	0.0478209979513117	0.133466967304142	133	Pericyte_cg_vascular_stabilizing
CNTN6	0.810620112747771	0.0565417085878744	0.0477811634872904	0.133587982972374	134	Pericyte_cg_vascular_stabilizing
COL4A3	0.81886403588531	0.0564858257469109	0.0477252806463268	0.137134646755116	135	Pericyte_cg_vascular_stabilizing
CD320	0.804037097654115	0.0564297168864023	0.0476691717858182	0.129328171368157	136	Pericyte_cg_vascular_stabilizing
SEMA3E	0.819264108625811	0.0560431728771413	0.0472826277765572	0.133734442908555	137	Pericyte_cg_vascular_stabilizing
TIMP1	0.806704249257441	0.0559354394602581	0.047174894359674	0.0863725320637883	138	Pericyte_cg_vascular_stabilizing
ADAM12	0.807516518154817	0.0557114895552089	0.0469509444546249	0.129100123439418	139	Pericyte_cg_vascular_stabilizing
ANGPTL1	0.800618294235312	0.0556695865367302	0.0469090414361462	0.135179544578855	140	Pericyte_cg_vascular_stabilizing
SEMA4A	0.82570164272292	0.0555070701954411	0.046746525094857	0.133928974024086	141	Pericyte_cg_vascular_stabilizing
HLA-DQB1	0.808171182639269	0.0554110227653123	0.0466504776647283	0.102151010945336	142	Pericyte_cg_vascular_stabilizing
NPNT	0.820246105352489	0.0553869490449731	0.0466264039443891	0.132605185146921	143	Pericyte_cg_vascular_stabilizing
FGF7	0.864545068800388	0.0553763666441692	0.0466158215435852	0.112185579575522	144	Pericyte_cg_vascular_stabilizing
SEMA4B	0.808292416803055	0.0551499980427532	0.0463894529421691	0.132650006102991	145	Pericyte_cg_vascular_stabilizing
LGALS1	0.822282839304118	0.0551154582387756	0.0463549131381915	0.0636890093138973	146	Pericyte_cg_vascular_stabilizing
C1QA	0.81446323573983	0.0550393477363572	0.0462788026357732	0.129728296848337	147	Pericyte_cg_vascular_stabilizing
COL15A1	0.828999211977935	0.0546094565253097	0.0458489114247257	0.124379374771831	148	Pericyte_cg_vascular_stabilizing
CEACAM6	0.784457780202457	0.0541800081782812	0.0454194630776972	0.122111481797713	149	Pericyte_cg_vascular_stabilizing
NFASC	0.807613505485846	0.0541682664367758	0.0454077213361918	0.132850920176789	150	Pericyte_cg_vascular_stabilizing
CD1B	0.811553615808933	0.0541657508703169	0.0454052057697329	0.130965000515672	151	Pericyte_cg_vascular_stabilizing
COL6A1	0.836006546644847	0.0539052645941442	0.0451447194935602	0.111964595583729	152	Pericyte_cg_vascular_stabilizing
SEMA4D	0.820161241437836	0.0538192386605932	0.0450586935600092	0.13083257446061	153	Pericyte_cg_vascular_stabilizing
SIGLEC5	0.80441292356186	0.0535619737923022	0.0448014286917182	0.128768227854855	154	Pericyte_cg_vascular_stabilizing
VEGFD	0.801345699218038	0.0534515572770928	0.0446910121765088	0.12542376732784	155	Pericyte_cg_vascular_stabilizing
SDC2	0.792822937503785	0.0533908189279014	0.0446302738273174	0.126227861494281	156	Pericyte_cg_vascular_stabilizing
COL6A3	0.809238043280595	0.0533822789611618	0.0446217338605777	0.131355837677678	157	Pericyte_cg_vascular_stabilizing
IL16	0.79306540583136	0.0532182814389656	0.0444577363383816	0.127762935224589	158	Pericyte_cg_vascular_stabilizing
F13A1	0.793126022913258	0.0532077681880109	0.0444472230874269	0.124666546297648	159	Pericyte_cg_vascular_stabilizing
APOE	0.820682548342121	0.0531618451071647	0.0444013000065807	0.101485884775724	160	Pericyte_cg_vascular_stabilizing
LPL	0.784518397284354	0.0529609399771436	0.0442003948765596	0.128270652094929	161	Pericyte_cg_vascular_stabilizing
PLEKHO2	0.81829423531551	0.0527468102568712	0.0439862651562871	0.130564258303494	162	Pericyte_cg_vascular_stabilizing
HLA-DRB5	0.768648845244589	0.0526607720257328	0.0439002269251488	0.121583831496425	163	Pericyte_cg_vascular_stabilizing
MFGE8	0.804012850821357	0.0526404060175394	0.0438798609169554	0.117379680922908	164	Pericyte_cg_vascular_stabilizing
ANXA2	0.828623386070196	0.0525778528343417	0.0438173077337577	0.103436945008013	165	Pericyte_cg_vascular_stabilizing
MDK	0.759083469721764	0.0525694588006146	0.0438089137000305	0.0943961014370104	166	Pericyte_cg_vascular_stabilizing
AGRN	0.817688064496575	0.0525659371618671	0.043805392061283	0.0834310274048565	167	Pericyte_cg_vascular_stabilizing
COL4A2	0.819179244711162	0.0525031570863399	0.0437426119857559	0.12464034893508	168	Pericyte_cg_vascular_stabilizing
COL4A5	0.813056919439901	0.0522749560418165	0.0435144109412324	0.126066310220302	169	Pericyte_cg_vascular_stabilizing
NECTIN4	0.80173364854216	0.0520209852198897	0.0432604401193057	0.1270645621265	170	Pericyte_cg_vascular_stabilizing
DUSP18	0.795926532096743	0.0517320521658067	0.0429715070652227	0.125940630302618	171	Pericyte_cg_vascular_stabilizing
CLEC11A	0.741298417894161	0.0515171532107124	0.0427566081101284	0.12711517313713	172	Pericyte_cg_vascular_stabilizing
RSPO3	0.792301630599502	0.051332377014041	0.042571831913457	0.124390730552971	173	Pericyte_cg_vascular_stabilizing
COL16A1	0.815372491968239	0.051262949952764	0.04250240485218	0.101444030936922	174	Pericyte_cg_vascular_stabilizing
CALM2	0.801891252955083	0.0512249236899767	0.0424643785893927	0.0910360875719827	175	Pericyte_cg_vascular_stabilizing
PSEN1	0.839291992483477	0.0510029740440613	0.0422424289434773	0.095733451547086	176	Pericyte_cg_vascular_stabilizing
NRXN3	0.810959568406376	0.0504109432363518	0.0416503981357677	0.128097692150043	177	Pericyte_cg_vascular_stabilizing
COL5A2	0.828320300660729	0.0503667452719658	0.0416062001713817	0.10183821641452	178	Pericyte_cg_vascular_stabilizing
ADAM10	0.807819603564286	0.0501392598600805	0.0413787147594964	0.112214441593527	179	Pericyte_cg_vascular_stabilizing
IGF2	0.833739467782018	0.0497291914013	0.0409686463007159	0.0996879091846136	180	Pericyte_cg_vascular_stabilizing
CNTN4	0.79671455416136	0.0495236621053822	0.0407631170047981	0.120525344907396	181	Pericyte_cg_vascular_stabilizing
HSP90B1	0.788216039279865	0.049421149757023	0.040660604656439	0.106603551472953	182	Pericyte_cg_vascular_stabilizing
LAMB2	0.793319997575314	0.0488142894035585	0.0400537443029745	0.123630810288039	183	Pericyte_cg_vascular_stabilizing
COL4A1	0.811092925986545	0.0485887563304636	0.0398282112298796	0.0990414345082571	184	Pericyte_cg_vascular_stabilizing
PTPRC	0.734739649633261	0.0485661635372656	0.0398056184366815	0.109950360723164	185	Pericyte_cg_vascular_stabilizing
PDGFC	0.795659816936408	0.0484492711134627	0.0396887260128786	0.147191189318785	186	Pericyte_cg_vascular_stabilizing
HAS2	0.76843062374977	0.0484343891981218	0.0396738440975378	0.11858544786198	187	Pericyte_cg_vascular_stabilizing
EDIL3	0.840140631629994	0.0484262820853255	0.0396657369847415	0.138150943220314	188	Pericyte_cg_vascular_stabilizing
COL8A1	0.783330302479238	0.047904815223503	0.039144270122919	0.0914151996065035	189	Pericyte_cg_vascular_stabilizing
FBLN1	0.770479481117775	0.0478428216063137	0.0390822765057297	0.111464272126289	190	Pericyte_cg_vascular_stabilizing
MXRA5	0.79518700369764	0.0476620263171337	0.0389014812165496	0.114211454909622	191	Pericyte_cg_vascular_stabilizing
PCSK9	0.818245741649994	0.0469898510501475	0.0382293059495635	0.0947091026677772	192	Pericyte_cg_vascular_stabilizing
BACE2	0.837982663514576	0.0461966466583466	0.0374361015577626	0.125526770294762	193	Pericyte_cg_vascular_stabilizing
PTN	0.811808207552887	0.0455216164530855	0.0367610713525015	0.103050520456976	194	Pericyte_cg_vascular_stabilizing
EFEMP2	0.776238103897675	0.0451373780941195	0.0363768329935354	0.11117664755131	195	Pericyte_cg_vascular_stabilizing
NID1	0.755676789719339	0.0451351660671073	0.0363746209665232	0.114838882362132	196	Pericyte_cg_vascular_stabilizing
ADAM28	0.809419894526278	0.0447317276131375	0.0359711825125535	0.12333556550521	197	Pericyte_cg_vascular_stabilizing
SPON1	0.794835424622656	0.0445809050676128	0.0358203599670288	0.0904667308590746	198	Pericyte_cg_vascular_stabilizing
