gene	value_type	with_depth	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	study_dominated	n_units	n_donors	p_BH_across_genes
LAMB1	expr	FALSE	Pericytes - Alveolar fibroblasts	0.270538475281523	0.0957107289109665	2133.39447778104	-2.82662642276173	0.00474795418865088	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	0.00559332164175213
LAMB1	expr	FALSE	Pericytes - Alveolar macrophages	2.55700887031007	0.0894439612999719	2160.04723150073	-28.5878312313844	1.75680903231812e-152	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	8.48538762609653e-152
LAMB1	expr	FALSE	Pericytes - Classical monocytes	3.16457007645216	0.0895208115199	2154.68714970599	-35.3501048831387	2.91011154562643e-215	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	1.9521998285244e-214
LAMB1	expr	FALSE	Pericytes - DC2	3.1662459125701	0.0884597556745522	2158.30928156538	-35.7930664450271	2.37957069254147e-219	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	1.66569948477903e-218
LAMB1	expr	FALSE	Pericytes - EC aerocyte capillary	3.08689548735515	0.0997156468830157	2127.8037523797	-30.9569820168407	1.02489491738885e-173	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	5.56207016964958e-173
LAMB1	expr	FALSE	Pericytes - EC general capillary	2.68125129813656	0.0932408096405481	2137.63489508226	-28.7561992272808	9.88100003612836e-154	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	4.82073032065656e-153
LAMB1	expr	FALSE	Pericytes - EC venous pulmonary	2.52918444207155	0.0965893089060661	2144.40065211213	-26.1849315490103	3.66480895604562e-131	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	1.60918429615458e-130
LAMB1	expr	FALSE	Pericytes - EC venous systemic	2.24669728976063	0.0987049190783533	2151.66664124001	-22.7617560577419	8.58001768697561e-103	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	3.2376160490697e-102
LAMB1	expr	FALSE	Pericytes - Interstitial macrophages	3.15192979253583	0.0894579542260826	2162.2436232695	-35.2336448983633	1.87588128915516e-214	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	1.24116529131773e-213
LAMB1	expr	FALSE	Pericytes - Lymphatic EC	2.25823048060463	0.0938075458297706	2138.9643499935	-24.0730152423193	2.46297280549821e-113	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	9.59367633109382e-113
LAMB1	expr	FALSE	Pericytes - Mast cells	3.13078484871973	0.0928252617455357	2162.5953633895	-33.7277244345643	2.52620105975969e-200	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	1.50636433563448e-199
LAMB1	expr	FALSE	Pericytes - Myofibroblasts	1.21940886999965	0.12308161736473	2128.69091583723	-9.90731919280968	1.38379828462019e-22	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	2.31271478017839e-22
LAMB1	expr	FALSE	Pericytes - (Non-classical monocytes)	3.16520036988336	0.0910904016406609	2147.97650074432	-34.7479022254138	1.3526044748508e-209	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	8.71077281803915e-209
LAMB1	expr	FALSE	Pericytes - Peribronchial fibroblasts	0.961437488969659	0.107210716906583	2154.84640570667	-8.96773677772718	7.0847370312034e-19	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	1.13685315151868e-18
LAMB1	expr	FALSE	Pericytes - Subpleural fibroblasts	1.32576224074133	0.211085462456189	2161.80798995006	-6.28068946726489	4.26593264936386e-10	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	6.15058349147087e-10
LAMB1	expr	FALSE	Pericytes - (Transitional Club-AT2)	3.18412841905176	0.0937002541760842	2152.2708916209	-33.9820681069664	1.82354997927266e-202	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	1.11490460758063e-201
LAMB1	expr	FALSE	Pericytes - Vascular smooth muscle	2.13200566029359	0.0989674888866878	2141.97823696929	-21.5424851562579	3.06984958017465e-93	1.57812868605282e-17	0.541729110017485	FALSE	2329	220	1.12328586910936e-92
LAMB2	expr	FALSE	Pericytes - AT1	-0.97346257284703	0.104401957848838	2141.54820202534	9.32417928652726	9.42820186265903e-20	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	1.523017223968e-19
LAMB2	expr	FALSE	Pericytes - AT2_AGTR2det	0.331216587251076	0.112936746353066	2144.91297147303	-2.93276190386802	0.00396109233800734	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	0.00467776919133874
LAMB2	expr	FALSE	Pericytes - AT2_AGTR2undet	0.301729548271899	0.10255245968168	2146.85053201456	-2.94219708828497	0.00396109233800734	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	0.00467776919133874
LAMB2	expr	FALSE	Pericytes - Adventitial fibroblasts	-0.564037007376258	0.108580911102549	2143.56488804533	5.1946240057201	4.28663297409951e-07	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	5.89870007547026e-07
LAMB2	expr	FALSE	Pericytes - Alveolar fibroblasts	-0.412100804915709	0.10746815418896	2132.32617166839	3.83463183140854	0.000181160529561074	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	0.000224937109969149
LAMB2	expr	FALSE	Pericytes - Alveolar macrophages	0.9632941675201	0.100440520496027	2158.89343535246	-9.59069270811082	9.72815860345202e-21	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	1.58739885319842e-20
LAMB2	expr	FALSE	Pericytes - Classical monocytes	1.07935596953983	0.100525652393332	2153.61818060822	-10.7371197683609	2.17177720600243e-25	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	3.75974333512249e-25
LAMB2	expr	FALSE	Pericytes - DC2	1.03683116555729	0.0993394494700519	2157.36937059407	-10.4372549987794	3.41122595243864e-24	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	5.76091655604147e-24
LAMB2	expr	FALSE	Pericytes - EC aerocyte capillary	-0.599059772727457	0.111963455968972	2126.90522998164	5.35049376194203	2.03994769278619e-07	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	2.8394660968753e-07
LAMB2	expr	FALSE	Pericytes - EC general capillary	-0.363818931740311	0.104695782112002	2136.50938483814	3.47501040062056	0.000683841322775787	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	0.000834079189143195
LAMB2	expr	FALSE	Pericytes - EC venous pulmonary	-0.868669797621691	0.108457428266838	2143.14881527441	8.00931583482235	4.37273708500569e-15	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	6.70486353034206e-15
LAMB2	expr	FALSE	Pericytes - EC venous systemic	-0.480414017490488	0.110837363503474	2150.564273777	4.33440495429532	2.29337174951566e-05	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	2.96176084228894e-05
LAMB2	expr	FALSE	Pericytes - Interstitial macrophages	0.900265650095609	0.100456641115728	2161.09313983434	-8.96173354092625	2.02240442858881e-18	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	3.2132280888434e-18
LAMB2	expr	FALSE	Pericytes - Lymphatic EC	-0.851295725613956	0.105332221444342	2137.86218002616	8.08200675862311	2.76815551982773e-15	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	4.25802266266495e-15
LAMB2	expr	FALSE	Pericytes - Mast cells	1.13604401181979	0.104238770235269	2161.4168896514	-10.8984786491218	6.10139300263987e-26	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	1.06388910479244e-25
LAMB2	expr	FALSE	Pericytes - Myofibroblasts	-0.170489493230693	0.138199544912332	2127.67902719718	1.23364728399681	0.240362268070779	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	0.257416797069149
LAMB2	expr	FALSE	Pericytes - (Non-classical monocytes)	1.2091483025758	0.102284090632719	2146.77007129398	-11.8214699382488	5.79691432884305e-30	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	1.08945899643237e-29
LAMB2	expr	FALSE	Pericytes - Peribronchial fibroblasts	-0.522980652152878	0.120390208865538	2153.74433306579	4.34404638949492	2.29337174951566e-05	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	2.96176084228894e-05
LAMB2	expr	FALSE	Pericytes - Subpleural fibroblasts	0.0668000900005906	0.237034808004462	2160.02632819648	-0.281815529807475	0.778111958592518	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	0.796245923729209
LAMB2	expr	FALSE	Pericytes - (Transitional Club-AT2)	0.0459325376052092	0.105216030540471	2150.94626953641	-0.436554557031512	0.695602153227969	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	0.717897094036558
LAMB2	expr	FALSE	Pericytes - Vascular smooth muscle	-0.550652880537215	0.111128134484315	2140.88007291978	4.95511674961966	1.36419832959482e-06	2.93823816085804e-17	0.608233480903202	FALSE	2329	220	1.85607829068816e-06
LAMC1	expr	FALSE	Pericytes - AT1	-0.0516763139770021	0.0976052239614292	2151.32648601228	0.529442092130469	0.626381103773885	4.16535843472412e-17	0.569091335492047	FALSE	2329	220	0.649231916572503
