gene	value_type	with_depth	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	study_dominated	n_units	n_donors	bh_family	block	p_BH_across_genes
COL4A2	expr	TRUE	Pericytes - EC aerocyte capillary	1.11082622271025	0.0865027200320916	2117.54981769805	-12.8415178424233	2.60646877827663e-36	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	5.40310909831593e-36
COL4A2	expr	TRUE	Pericytes - EC general capillary	0.749291283656529	0.0809140229588128	2123.57046741124	-9.26033901488172	4.82920347910481e-20	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	7.87849927136435e-20
COL4A2	expr	TRUE	Pericytes - EC venous pulmonary	1.77028393798554	0.0841571289177084	2138.51426896561	-21.0354602248442	3.68354365760452e-89	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	1.31789006416517e-88
COL4A2	expr	TRUE	Pericytes - EC venous systemic	1.22421818103464	0.0865516255732208	2158.85980791788	-14.1443695936015	2.18766494923621e-43	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	5.00778279848858e-43
COL4A2	expr	TRUE	Pericytes - Interstitial macrophages	2.92888404034758	0.0796324307679817	2196.69585051386	-36.7800406455157	1.49664420168735e-230	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	1.5059982279479e-229
COL4A2	expr	TRUE	Pericytes - Lymphatic EC	1.70312914100341	0.0818999520133316	2143.85868514496	-20.7952397911805	2.11583858679108e-87	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	7.51433851044185e-87
COL4A2	expr	TRUE	Pericytes - Mast cells	2.97782820943013	0.0806056708999903	2145.69540057663	-36.9431601546348	6.11341100093939e-231	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	6.28250534777388e-230
COL4A2	expr	TRUE	Pericytes - Myofibroblasts	1.21920472989477	0.10691888072751	2119.96713813939	-11.4030816783613	3.29478409706108e-29	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	6.07397220946756e-29
COL4A2	expr	TRUE	Pericytes - (Non-classical monocytes)	3.00201132778774	0.0804503602033595	2170.61263753222	-37.3150762805705	4.83608111527883e-235	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	5.56149328257065e-234
COL4A2	expr	TRUE	Pericytes - Peribronchial fibroblasts	1.4262615201631	0.0939457420881987	2156.95476534025	-15.1817579856263	2.16353709717843e-49	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	5.58817335795283e-49
COL4A2	expr	TRUE	Pericytes - Subpleural fibroblasts	1.9765705668906	0.184743614712939	2163.43421906674	-10.6989926009723	5.03806516392278e-26	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	8.7218117353932e-26
COL4A2	expr	TRUE	Pericytes - (Transitional Club-AT2)	3.00373760021392	0.0852579763497291	2174.44010582372	-35.2311622773283	4.32853260902334e-215	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	3.21643269255119e-214
COL4A2	expr	TRUE	Pericytes - Vascular smooth muscle	0.908516300909136	0.085958101511801	2130.34225411301	-10.569292305559	1.83413934532102e-25	1.54088428511443e-17	0.469273250729296	FALSE	2329	220	original_panel	basement_membrane	3.15263097434182e-25
COL15A1	expr	TRUE	Pericytes - AT1	0.164467250596546	0.118933243787449	2208.83059945775	-1.38285348451836	0.273814047198035	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.432802848796894
COL15A1	expr	TRUE	Pericytes - AT2_AGTR2det	0.219535263635055	0.133350179541038	2183.06205894382	-1.6463064721071	0.273814047198035	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.432802848796894
COL15A1	expr	TRUE	Pericytes - AT2_AGTR2undet	0.163127237569068	0.118830000841274	2239.44308684114	-1.3727782244735	0.273814047198035	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.432802848796894
COL15A1	expr	TRUE	Pericytes - Adventitial fibroblasts	-0.808794032615194	0.124752056180474	2231.25184908131	6.48321203976908	4.62799749903507e-10	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	1.28361440067576e-09
COL15A1	expr	TRUE	Pericytes - Alveolar fibroblasts	-1.16710020951447	0.122566289948234	2194.8649566104	9.52219578488832	2.25968893436405e-20	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	7.22117985546772e-20
COL15A1	expr	TRUE	Pericytes - Alveolar macrophages	0.067957598673025	0.117372055592262	2219.12930649456	-0.578993000762485	0.69504151922312	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.843768929946995
COL15A1	expr	TRUE	Pericytes - Classical monocytes	0.152227556400813	0.114166109033138	2205.14209906565	-1.3333865688339	0.273814047198035	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.432802848796894
COL15A1	expr	TRUE	Pericytes - DC2	0.0293581818156289	0.113887361159906	2209.45108813853	-0.257782615354552	0.929365137084369	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.962089261629593
COL15A1	expr	TRUE	Pericytes - EC aerocyte capillary	0.192496611889328	0.127694013788428	2174.9749464092	-1.50748344560825	0.273814047198035	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.432802848796894
COL15A1	expr	TRUE	Pericytes - EC general capillary	-0.124037777370871	0.119238489651188	2191.10829350199	1.04024948432107	0.391569644849206	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.605902503082455
COL15A1	expr	TRUE	Pericytes - EC venous pulmonary	0.000988244020800995	0.123687868394035	2213.08346145686	-0.00798982174753573	0.993758057023939	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.999699959425231
COL15A1	expr	TRUE	Pericytes - EC venous systemic	-2.52535883043963	0.126531757404245	2202.57347786431	19.9583004476228	2.83271408535397e-80	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	1.04102242636759e-79
COL15A1	expr	TRUE	Pericytes - Interstitial macrophages	0.0103879694148219	0.115508732761602	2242.50501035155	-0.0899323294998101	0.993758057023939	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.999699959425231
COL15A1	expr	TRUE	Pericytes - Lymphatic EC	0.143142887256272	0.120312352000169	2208.10292613073	-1.18976052646757	0.327975812444579	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.512898344993118
COL15A1	expr	TRUE	Pericytes - Mast cells	0.164659572342526	0.118191763464163	2212.9737166572	-1.39315606702536	0.273814047198035	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.432802848796894
COL15A1	expr	TRUE	Pericytes - Myofibroblasts	-0.941941531433924	0.157720401553031	2187.73834114692	5.97222377167999	9.53430597994144e-09	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	2.59544996120628e-08
COL15A1	expr	TRUE	Pericytes - (Non-classical monocytes)	0.170357900195798	0.117447859109197	2227.76828486929	-1.45049813157861	0.273814047198035	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.432802848796894
COL15A1	expr	TRUE	Pericytes - Peribronchial fibroblasts	-2.28861607009714	0.137315171139069	2204.28792063254	16.6668843006378	8.20529191018099e-58	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	2.94189734340636e-57
COL15A1	expr	TRUE	Pericytes - Subpleural fibroblasts	0.00211007083589639	0.269690085581043	2267.35081012188	-0.00782405786757151	0.993758057023939	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.999699959425231
COL15A1	expr	TRUE	Pericytes - (Transitional Club-AT2)	0.163646215511104	0.12269596924422	2222.70434128582	-1.33375380233865	0.273814047198035	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	0.432802848796894
COL15A1	expr	TRUE	Pericytes - Vascular smooth muscle	-1.32803279902736	0.126501622257621	2195.77947456583	10.4981483662148	2.40907423211892e-24	1.40341357636251e-17	0.695752959174812	FALSE	2329	220	bm_expansion	basement_membrane	8.04849800276095e-24
COL18A1	expr	TRUE	Pericytes - AT1	2.8886198058994	0.107097285446411	2171.67712431295	-26.9719236473534	5.06144086761327e-138	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	2.35064994140116e-137
COL18A1	expr	TRUE	Pericytes - AT2_AGTR2det	3.32381694727066	0.121227480815147	2155.51419802617	-27.4180154938545	9.30858905908944e-142	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	4.36509564615553e-141
COL18A1	expr	TRUE	Pericytes - AT2_AGTR2undet	3.20483791457443	0.107672405822456	2216.35639698716	-29.7647098167286	3.18936670486809e-163	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	1.67441752005575e-162
COL18A1	expr	TRUE	Pericytes - Adventitial fibroblasts	2.08054655567844	0.112664458355829	2205.45040684765	-18.4667515030112	1.12898571293138e-70	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	3.81328740801297e-70
COL18A1	expr	TRUE	Pericytes - Alveolar fibroblasts	1.93031622311481	0.110261709542755	2158.11733460254	-17.5066778042863	3.99228502083391e-64	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	1.28551577670852e-63
COL18A1	expr	TRUE	Pericytes - Alveolar macrophages	3.19113437988951	0.106859424604223	2208.30709079537	-29.8629193607263	7.26465631297359e-164	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	3.85585604303983e-163
COL18A1	expr	TRUE	Pericytes - Classical monocytes	2.99114639770877	0.102946813882633	2178.93787396895	-29.0552595548891	1.3040595124212e-156	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	6.49340973710762e-156
COL18A1	expr	TRUE	Pericytes - DC2	3.01970735594256	0.103260300096841	2190.3988185099	-29.2436430371651	2.26146011402283e-158	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	1.14977393165582e-157
COL18A1	expr	TRUE	Pericytes - EC aerocyte capillary	2.02774932021871	0.1147525780773	2144.3065253994	-17.6706210369651	3.62154633768215e-65	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	1.18189654128411e-64
COL18A1	expr	TRUE	Pericytes - EC general capillary	1.62794831329226	0.107267179411841	2156.18884234753	-15.1765742533596	2.05423086873276e-49	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	5.3343737075157e-49
COL18A1	expr	TRUE	Pericytes - EC venous pulmonary	1.8535349945228	0.111406107937747	2174.83503201145	-16.6376424850829	1.75155767367974e-58	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	5.38855004068353e-58
COL18A1	expr	TRUE	Pericytes - EC venous systemic	1.54512186056602	0.114218928104319	2181.41012248875	-13.5277215975519	4.9438916768332e-40	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	1.06602664281716e-39
COL18A1	expr	TRUE	Pericytes - Interstitial macrophages	3.13755423765601	0.104619540351703	2222.77781546807	-29.9901359450481	6.61992722602037e-165	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	3.55269427796426e-164
COL18A1	expr	TRUE	Pericytes - Lymphatic EC	1.98664330046146	0.108374096175942	2175.77453395756	-18.3313482701272	1.0511359546043e-69	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	3.52568518106857e-69
COL18A1	expr	TRUE	Pericytes - Mast cells	2.08419973616843	0.106580100658992	2180.65582888359	-19.5552427074255	2.59830115618569e-78	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	9.02862919739344e-78
COL18A1	expr	TRUE	Pericytes - Myofibroblasts	2.84543391033756	0.141800327782689	2149.61961215045	-20.0664833067116	6.48952495879046e-82	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	2.28791281393853e-81
COL18A1	expr	TRUE	Pericytes - (Non-classical monocytes)	3.13545040336061	0.1060837014455	2200.51785467206	-29.5563819949423	2.97768853412163e-161	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	1.53002506593696e-160
COL18A1	expr	TRUE	Pericytes - Peribronchial fibroblasts	1.2445335529619	0.123967272314066	2180.70907422056	-10.0392105894605	3.58584975460226e-23	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	6.01376885928087e-23
COL18A1	expr	TRUE	Pericytes - Subpleural fibroblasts	1.46113773508705	0.243824627116048	2213.03323388095	-5.99257651849754	2.40467754698535e-09	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	3.40603887153643e-09
COL18A1	expr	TRUE	Pericytes - (Transitional Club-AT2)	2.9978562385238	0.11147714006502	2195.36207029935	-26.8921165072524	1.45039847027896e-137	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	6.67183296328324e-137
COL18A1	expr	TRUE	Pericytes - Vascular smooth muscle	0.900188277918048	0.113866484098765	2162.63619050981	-7.90564743473812	4.42088118164313e-15	2.48048427511411e-17	0.623751964164564	FALSE	2329	220	original_panel	basement_membrane	6.73591675310295e-15
LAMA1	expr	TRUE	Pericytes - AT1	-0.196412351553278	0.158851244153395	2238.9794578693	1.23645460002574	0.649257953964854	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.843768929946995
LAMA1	expr	TRUE	Pericytes - AT2_AGTR2det	-0.455530042973987	0.17703253853917	2204.90325339839	2.57314303196978	0.0354997552594146	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.0652308002891743
LAMA1	expr	TRUE	Pericytes - AT2_AGTR2undet	-0.514878163400683	0.158087868037291	2254.84388587126	3.25691129745154	0.00484655292612542	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.00925251013169399
LAMA1	expr	TRUE	Pericytes - Adventitial fibroblasts	-0.541288555320879	0.166335138378543	2251.43746685695	3.25420449700186	0.00484655292612542	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.00925251013169399
LAMA1	expr	TRUE	Pericytes - Alveolar fibroblasts	-0.639983060720622	0.163835838649865	2228.02428555325	3.90624582505623	0.00067573014597171	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.00132443108610455
LAMA1	expr	TRUE	Pericytes - Alveolar macrophages	-0.79083033383687	0.155586806141179	2219.36828494951	5.08288815389186	8.45932680123127e-06	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	2.26094734505636e-05
LAMA1	expr	TRUE	Pericytes - Classical monocytes	0.112319173548904	0.152290597448601	2217.25608700564	-0.737531899084	0.711750661996105	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.843768929946995
LAMA1	expr	TRUE	Pericytes - DC2	0.0644805371695686	0.15137888807175	2216.25482390021	-0.425954622807154	0.827872220875952	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.924195691629049
LAMA1	expr	TRUE	Pericytes - EC aerocyte capillary	0.15014816299412	0.170881105421348	2203.5774760048	-0.87867036337279	0.697695063461071	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.843768929946995
LAMA1	expr	TRUE	Pericytes - EC general capillary	-0.0200491335621479	0.159362794718747	2218.40038959812	0.125808119752994	0.944889974988181	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.971320463799039
LAMA1	expr	TRUE	Pericytes - EC venous pulmonary	0.139407881257956	0.165148382508003	2240.73191391794	-0.844137127720281	0.697695063461071	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.843768929946995
LAMA1	expr	TRUE	Pericytes - EC venous systemic	0.165568769781148	0.168701978183265	2215.18407019071	-0.981427553868318	0.697695063461071	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.843768929946995
LAMA1	expr	TRUE	Pericytes - Interstitial macrophages	-5.7788274109112e-05	0.153656720145036	2251.26452329479	0.000376086864632838	0.999699959425231	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.999699959425231
LAMA1	expr	TRUE	Pericytes - Lymphatic EC	0.178974599292789	0.160653540775846	2231.54180501177	-1.11404080127002	0.696626848218636	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.843768929946995
LAMA1	expr	TRUE	Pericytes - Mast cells	0.075735862840659	0.157665565232437	2234.53450771976	-0.480357665473789	0.827872220875952	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.924195691629049
LAMA1	expr	TRUE	Pericytes - Myofibroblasts	0.0591848174478187	0.210908353057452	2226.12053137894	-0.28061865065959	0.908867149761001	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.954310507249052
LAMA1	expr	TRUE	Pericytes - (Non-classical monocytes)	0.111071099045422	0.156518652274095	2244.37683852044	-0.709634905691077	0.711750661996105	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.843768929946995
LAMA1	expr	TRUE	Pericytes - Peribronchial fibroblasts	-0.039585129671003	0.183087104432489	2225.49869967108	0.216209272595709	0.916091224178648	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.955073829462846
LAMA1	expr	TRUE	Pericytes - Subpleural fibroblasts	-1.68973959161699	0.358535392768589	2302.23328870905	4.71289480954423	2.71733195639657e-05	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	7.132996385541e-05
LAMA1	expr	TRUE	Pericytes - (Transitional Club-AT2)	0.107760838083482	0.162916660796925	2239.77866624811	-0.661447623320767	0.711750661996105	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.843768929946995
LAMA1	expr	TRUE	Pericytes - Vascular smooth muscle	0.14467006439311	0.169024317579309	2223.29599532432	-0.855912725843301	0.697695063461071	2.05497586760835e-17	0.933363364048419	FALSE	2329	220	bm_expansion	basement_membrane	0.843768929946995
LAMA2	expr	TRUE	Pericytes - AT1	2.10321547555561	0.0757553272940926	2152.58959583699	-27.7632682833068	8.60220842921124e-145	1.57559384201114e-17	0.440267198663643	FALSE	2329	220	bm_expansion	basement_membrane	4.36042978997949e-144
LAMA2	expr	TRUE	Pericytes - AT2_AGTR2det	2.15388069168027	0.0863257549300919	2145.71489094695	-24.9506151834354	1.02831839961846e-120	1.57559384201114e-17	0.440267198663643	FALSE	2329	220	bm_expansion	basement_membrane	4.08548120929497e-120
LAMA2	expr	TRUE	Pericytes - AT2_AGTR2undet	2.12638619144566	0.0765011093853058	2203.79786602939	-27.7954948435571	1.775701946587e-145	1.57559384201114e-17	0.440267198663643	FALSE	2329	220	bm_expansion	basement_membrane	9.32243521958173e-145
LAMA2	expr	TRUE	Pericytes - Adventitial fibroblasts	-0.543486483910297	0.0798673747559356	2191.54414894817	6.80486225534671	1.43770707935079e-11	1.57559384201114e-17	0.440267198663643	FALSE	2329	220	bm_expansion	basement_membrane	4.22685881329131e-11
LAMA2	expr	TRUE	Pericytes - Alveolar fibroblasts	-0.528710958394118	0.0779517889952669	2140.49135459965	6.78253783792211	1.59875339356532e-11	1.57559384201114e-17	0.440267198663643	FALSE	2329	220	bm_expansion	basement_membrane	4.60817154615888e-11
