gene	value_type	block	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	n_units	n_donors	is_pericyte_contrast	study_dominated	p_BH
LAMA4	expr	basement_membrane	Fibroblasts - Ambient reference	0.950115236804565	0.0305400234899134	962.118586581884	31.1104946307053	2.6585185365394e-147	0.145867470554917	0.427511354256433	1054	200	FALSE	FALSE	1.77234569102627e-146
LAMA4	expr	basement_membrane	Pericytes - Ambient reference	0.79324876169896	0.0654484287247711	950.477681821378	12.1202109379095	1.53130064574736e-31	0.145867470554917	0.427511354256433	1054	200	TRUE	FALSE	4.08346838865962e-31
LAMA5	expr	basement_membrane	Fibroblasts - Ambient reference	-0.373170526822322	0.0291634271430983	951.405890233363	-12.7958392884094	2.09703455956656e-34	0.238966767006903	0.40665237202277	1054	200	FALSE	FALSE	5.99152731304732e-34
LAMA5	expr	basement_membrane	Pericytes - Ambient reference	-0.362334211830717	0.0624540912038554	940.237201369419	-5.8016089073817	8.96952734309752e-09	0.238966767006903	0.40665237202277	1054	200	TRUE	FALSE	1.49492122384959e-08
LAMB1	expr	basement_membrane	Fibroblasts - Ambient reference	0.904620188537648	0.0317286347868662	961.532147206523	28.5111601748496	8.95866070270539e-130	0.124878800275446	0.444252498071274	1054	200	FALSE	FALSE	5.11923468726022e-129
LAMB1	expr	basement_membrane	Pericytes - Ambient reference	1.69679665351519	0.068000143156417	949.296546902797	24.9528394317073	4.4595580524941e-106	0.124878800275446	0.444252498071274	1054	200	TRUE	FALSE	2.22977902624705e-105
LAMB2	expr	basement_membrane	Fibroblasts - Ambient reference	0.275891311596304	0.0297885570842973	951.767640378198	9.26165409138723	2.60370664494996e-19	0.253629596474882	0.415414728903646	1054	200	FALSE	FALSE	5.48148767357887e-19
LAMB2	expr	basement_membrane	Pericytes - Ambient reference	-0.0605079496328065	0.0637942198676352	940.869127900698	-0.948486395136625	0.343125445263167	0.253629596474882	0.415414728903646	1054	200	TRUE	FALSE	0.392143366015048
LAMB3	expr	basement_membrane	Fibroblasts - Ambient reference	0.0094396338250407	0.00866438207639682	888.735540367085	1.08947571122882	0.376548252674013	0.144360515655208	0.118709507715708	1054	200	FALSE	TRUE	0.407079192080014
LAMB3	expr	basement_membrane	Pericytes - Ambient reference	0.0163446655774788	0.0184743381918908	878.70043383287	0.884722657326536	0.376548252674013	0.144360515655208	0.118709507715708	1054	200	TRUE	TRUE	0.407079192080014
LAMB4	expr	basement_membrane	Fibroblasts - Ambient reference	0.00195357584528629	0.00476838127308718	977.510185740181	0.409693716463552	0.682120402116022	0.0129333065378917	0.0672174148665107	1054	200	FALSE	FALSE	0.682120402116022
LAMB4	expr	basement_membrane	Pericytes - Ambient reference	0.0410983788960673	0.0102313825175797	968.968316178767	4.01689398529	0.000127065540113585	0.0129333065378917	0.0672174148665107	1054	200	TRUE	FALSE	0.000181522200162264
LAMC1	expr	basement_membrane	Fibroblasts - Ambient reference	0.923081137121646	0.0268691805274743	980.792973315664	34.3546442057575	3.89656976956852e-170	0.171015240985754	0.378430483648005	1054	200	FALSE	FALSE	3.89656976956852e-169
LAMC1	expr	basement_membrane	Pericytes - Ambient reference	0.504782019499341	0.0576151286653741	976.268147480791	8.76127557452993	8.41097359756802e-18	0.171015240985754	0.378430483648005	1054	200	TRUE	FALSE	1.6821947195136e-17
LAMC2	expr	basement_membrane	Fibroblasts - Ambient reference	0.0568820478616376	0.00943448611966687	945.9715197257	6.0291622818823	4.72059353321241e-09	0.0546207684176979	0.131363479074767	1054	200	FALSE	FALSE	8.20972788384767e-09
LAMC2	expr	basement_membrane	Pericytes - Ambient reference	-0.0115066049079068	0.0201974181026624	932.446199339641	-0.569706724365426	0.569013851067411	0.0546207684176979	0.131363479074767	1054	200	TRUE	FALSE	0.598961948492012
