gene	value_type	block	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	n_units	n_donors	is_pericyte_contrast	study_dominated	p_BH
LAMC1	detect	basement_membrane	Pericytes - Ambient reference	0.147112299977036	0.0211273480231253	962.93530509152	6.96312191269874	6.15540432756559e-12	0.066624831696223	0.138306427565973	1054	200	TRUE	FALSE	1.02590072126093e-11
LAMC2	detect	basement_membrane	Fibroblasts - Ambient reference	0.0151552187952018	0.00199706278302164	955.395339637682	7.58875430659789	1.53193942494516e-13	0.0135225371308229	0.0278836181367002	1054	200	FALSE	FALSE	2.9179798570384e-13
LAMC2	detect	basement_membrane	Pericytes - Ambient reference	0.000274076613651423	0.00427772112890311	943.975482067491	0.0640707061990508	0.948927491631434	0.0135225371308229	0.0278836181367002	1054	200	TRUE	FALSE	0.949974069467244
LAMC3	detect	basement_membrane	Fibroblasts - Ambient reference	0.0200921738114692	0.00385214224969937	995.094846251621	5.21584420020762	2.22582851551225e-07	0.0109398241262813	0.0546726729407867	1054	200	FALSE	FALSE	3.42435156232654e-07
LAMC3	detect	basement_membrane	Pericytes - Ambient reference	0.600357560247493	0.00827068137235986	993.101404518102	72.588645749775	0	0.0109398241262813	0.0546726729407867	1054	200	TRUE	FALSE	0
NID1	detect	basement_membrane	Fibroblasts - Ambient reference	0.308707727836318	0.00958396654771989	966.588853913063	32.2108519785852	6.32911913770729e-155	0.058327334299475	0.134312918335207	1054	200	FALSE	FALSE	5.06329531016583e-154
NID1	detect	basement_membrane	Pericytes - Ambient reference	0.553125002545163	0.0205411841406453	957.161374521633	26.9276103440737	2.42979556478886e-119	0.058327334299475	0.134312918335207	1054	200	TRUE	FALSE	1.38845460845078e-118
NID2	detect	basement_membrane	Fibroblasts - Ambient reference	0.0792205526462384	0.00434201639264271	977.443719395687	18.2451067620272	6.24549532698885e-64	0.0123064154265163	0.0611959811084835	1054	200	FALSE	FALSE	2.77577570088393e-63
NID2	detect	basement_membrane	Pericytes - Ambient reference	0.09488322482649	0.00931622002650622	968.891097483268	10.184734211572	3.26205502532306e-23	0.0123064154265163	0.0611959811084835	1054	200	TRUE	FALSE	8.15513756330764e-23
HSPG2	detect	basement_membrane	Fibroblasts - Ambient reference	0.0948777953132589	0.0173155794490386	989.823928419786	5.4793312341925	1.08321128180419e-07	0.0807771260242104	0.244804364973815	1054	200	FALSE	FALSE	1.73313805088671e-07
HSPG2	detect	basement_membrane	Pericytes - Ambient reference	0.0125143780115307	0.0371489901326157	986.800020390068	0.336869938236719	0.736286577739837	0.0807771260242104	0.244804364973815	1054	200	TRUE	FALSE	0.775038502884039
AGRN	detect	basement_membrane	Fibroblasts - Ambient reference	-0.0445237324920941	0.00493374627795495	957.099437668015	-9.02432552947358	1.94135310616402e-18	0.027654449978249	0.0689357748172024	1054	200	FALSE	FALSE	3.88270621232805e-18
AGRN	detect	basement_membrane	Pericytes - Ambient reference	0.010922505524499	0.010569528144126	945.086970695733	1.03339575575747	0.301683091770706	0.027654449978249	0.0689357748172024	1054	200	TRUE	FALSE	0.354921284436125
