ccc_group	emmean	SE	df	lower.CL	upper.CL	gene	value_type
EC aerocyte capillary	0.0978154607440756	0.0423646400241935	197.817315630271	0.0142711757508754	0.181359745737276	LAMB1	expr
EC general capillary	0.353252264319053	0.0375169696344356	123.618338685143	0.278993413246357	0.427511115391748	LAMB1	expr
EC venous pulmonary	0.410521216059162	0.0386096779544441	143.903148384605	0.334205854081495	0.486836578036829	LAMB1	expr
EC venous systemic	0.573978177917584	0.0398409784863019	162.221710465255	0.495304377940713	0.652651977894454	LAMB1	expr
Interstitial macrophages	0.0607823244787278	0.0325130129027757	75.1455623303694	-0.00398486218387825	0.125549511141334	LAMB1	expr
Lymphatic EC	0.591122505158159	0.0365746794958037	116.939569786781	0.518687877867736	0.663557132448583	LAMB1	expr
Mast cells	0.0571056821154037	0.0358056923150903	108.07276226448	-0.0138668704119279	0.128078234642735	LAMB1	expr
Myofibroblasts	1.1912157830128	0.0567949635227491	575.394806822289	1.07966505747242	1.30276650855317	LAMB1	expr
Non-classical monocytes	0.0497250475795559	0.0342570415881786	90.5790439164808	-0.0183266179539514	0.117776713113063	LAMB1	expr
Peribronchial fibroblasts	1.30365817749286	0.0458348080201295	274.39940356526	1.21342562401619	1.39389073096953	LAMB1	expr
Subpleural fibroblasts	0.999941762637827	0.107866133855184	1908.58963874748	0.788393869880934	1.21148965539472	LAMB1	expr
Transitional Club-AT2	0.0368563714486594	0.0369711597569144	121.234816818471	-0.0363363590767694	0.110049101974088	LAMB1	expr
Vascular smooth muscle	0.672678428764364	0.0406342803618325	173.576842669776	0.592477528243758	0.752879329284971	LAMB1	expr
Pericytes	0.600350827152673	0.0490819798955729	324.298914315001	0.503791554925554	0.696910099379793	LAMB2	expr
AT1	1.06745088156643	0.0363077627576256	106.195666597975	0.995468741712862	1.13943302141999	LAMB2	expr
AT2_AGTR2det	0.479379224033724	0.0432313928796734	198.869704168912	0.394128454206583	0.564629993860866	LAMB2	expr
AT2_AGTR2undet	0.484833371182867	0.0350791844008479	94.6467753581464	0.41518903277021	0.554477709595523	LAMB2	expr
Adventitial fibroblasts	0.865792553751803	0.0388723467254134	138.960273034911	0.788934822764299	0.942650284739307	LAMB2	expr
Alveolar fibroblasts	0.812557438502426	0.0385382146016569	133.100531395074	0.736330871401025	0.888784005603827	LAMB2	expr
Alveolar macrophages	0.134459766581147	0.0337367988702317	79.1941153972983	0.0673109073584806	0.201608625803813	LAMB2	expr
Classical monocytes	0.0399032669176957	0.0332542962346062	75.9544801568086	-0.0263290459606666	0.106135579796058	LAMB2	expr
DC2	0.0755664172680478	0.0318701601642368	64.265603011816	0.0119035205430793	0.139229313993016	LAMB2	expr
EC aerocyte capillary	0.894816987782781	0.0424030627076619	186.52721469718	0.811165769111025	0.978468206454537	LAMB2	expr
EC general capillary	0.767523172216377	0.0376502922168357	117.863677603681	0.692964450029533	0.842081894403221	LAMB2	expr
EC venous pulmonary	1.03013835114297	0.0388248267465137	137.414580892181	0.953366990737499	1.10690971154843	LAMB2	expr
EC venous systemic	0.838339480299556	0.0400519370281283	154.992781943127	0.759221370330932	0.91745759026818	LAMB2	expr
Interstitial macrophages	0.124716753437943	0.0328479676211248	73.1685374995513	0.0592533887334879	0.190180118142398	LAMB2	expr
Lymphatic EC	1.01319926079243	0.0368405392912668	112.412282254717	0.940207377920444	1.08619114366442	LAMB2	expr
Mast cells	-0.00248014272639119	0.0359826574671883	103.020024641292	-0.0738430922559665	0.0688828068031841	LAMB2	expr
Myofibroblasts	0.689805643860156	0.0567648839494386	540.108348398356	0.578298642089027	0.801312645631284	LAMB2	expr
Non-classical monocytes	0.0251973935043163	0.0345782253247957	87.9546057873789	-0.0435200575325678	0.0939148445412003	LAMB2	expr
Peribronchial fibroblasts	0.86767602338417	0.0459538352259535	259.558829077772	0.77718622844668	0.958165818321661	LAMB2	expr
Subpleural fibroblasts	0.630215391979549	0.10729029989883	1899.10858606281	0.419796162619574	0.840634621339524	LAMB2	expr
Transitional Club-AT2	0.584225908048009	0.0371682437245515	116.681446333639	0.510614049163961	0.657837766932056	LAMB2	expr
Vascular smooth muscle	0.857921478490026	0.0407895164958117	164.763710128544	0.777383942621057	0.938459014358995	LAMB2	expr
Pericytes	0.786324759101901	0.0507805400417118	156.98741005898	0.68602352424072	0.886625993963083	LAMC1	expr
AT1	0.783801242926748	0.0402902025302676	64.0746737220717	0.703314117082237	0.864288368771259	LAMC1	expr
AT2_AGTR2det	0.46879138875553	0.045893454657379	105.488892235029	0.377798061387696	0.559784716123363	LAMC1	expr
AT2_AGTR2undet	0.571514147067403	0.0392572734435832	58.705839875169	0.492952287827918	0.650076006306888	LAMC1	expr
Adventitial fibroblasts	1.09789483338134	0.0423359850517839	78.0108496440496	1.0136105462717	1.18217912049097	LAMC1	expr
Alveolar fibroblasts	1.47917086168554	0.0420715265997529	75.8609423200572	1.395375670487	1.56296605288409	LAMC1	expr
Alveolar macrophages	0.0783293077208373	0.0382319201122113	52.0097879331768	0.0016116910352961	0.155046924406379	LAMC1	expr
Classical monocytes	0.11283215611472	0.0378793700784907	50.3568860822715	0.0367625598529538	0.188901752376485	LAMC1	expr
DC2	0.0480556722687677	0.0368417063696029	45.0905773493602	-0.0261432195088404	0.122254564046376	LAMC1	expr
EC aerocyte capillary	0.0943970657941822	0.0451727740896238	99.3580667353172	0.00476847749927226	0.184025654089092	LAMC1	expr
EC general capillary	0.368359632516057	0.0413341694635801	70.0443654439902	0.285922148949482	0.450797116082633	LAMC1	expr
EC venous pulmonary	0.425760054661276	0.0423057562613451	77.6320758705553	0.341529476066403	0.509990633256148	LAMC1	expr
EC venous systemic	0.787805436585522	0.0433053323722153	85.1138411346834	0.701704496498837	0.873906376672207	LAMC1	expr
Interstitial macrophages	0.112869119230142	0.0375641664537852	48.8773639391493	0.0373763093660826	0.188361929094202	LAMC1	expr
Lymphatic EC	0.98321876873778	0.0407256425098361	66.8632670092516	0.901926990289056	1.0645105471865	LAMC1	expr
Mast cells	0.0499895441371587	0.0399708901385462	62.2038723848947	-0.0299059179002762	0.129885006174594	LAMC1	expr
Myofibroblasts	0.851278380374069	0.0574027925004121	250.143220973615	0.738223987621602	0.964332773126536	LAMC1	expr
Non-classical monocytes	0.0295851581102989	0.0389452236562036	56.0629071318312	-0.0484295679638759	0.107599884184474	LAMC1	expr
Peribronchial fibroblasts	1.10952010716543	0.0481804868236872	128.924513386966	1.01419330552313	1.20484690880772	LAMC1	expr
Subpleural fibroblasts	0.714557938686286	0.102660045033637	1362.13277515908	0.513169000209142	0.915946877163429	LAMC1	expr
Transitional Club-AT2	0.206441940206725	0.0408974005262554	68.7763975122432	0.124849126088999	0.288034754324451	LAMC1	expr
Vascular smooth muscle	1.00991628925137	0.0438898944714099	89.4244158102393	0.922713706505768	1.09711887199697	LAMC1	expr
Pericytes	1.87114845850386	0.0441779739807888	436.680376533837	1.78432056797433	1.9579763490334	NID1	expr
AT1	0.011112520155873	0.0319122558188774	136.080113860237	-0.0519955717384659	0.0742206120502119	NID1	expr
AT2_AGTR2det	0.021003420436636	0.0385539935282185	262.984825113801	-0.0549103759131862	0.0969172167864582	NID1	expr
AT2_AGTR2undet	0.0141744895925541	0.030727732768275	120.212839314289	-0.0466631857332983	0.0750121649184066	NID1	expr
Adventitial fibroblasts	1.06685710923117	0.0344228112045637	182.880769477122	0.99894019783607	1.13477402062626	NID1	expr
