contrast	estimate	SE	df	z.ratio	p.value	grouping	level	spec	model	max_grad	converged	involves_underpowered
cl1 - cl5	0.668819837549382	0.191007197866549	Inf	3.50154258593264	0.00231286519055676	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	TRUE
cl2 - cl3	-0.18604025349643	0.0948668995424345	Inf	-1.96106602401624	0.0748069822468816	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	FALSE
cl2 - cl4	0.227904604850885	0.165710806878468	Inf	1.3753152805419	0.230500528889739	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	TRUE
cl2 - cl5	0.523198536849928	0.197014087699605	Inf	2.65564022836615	0.0237474044578184	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	TRUE
cl3 - cl4	0.413944858347315	0.168405161659191	Inf	2.45802951803243	0.0349254227509962	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	TRUE
cl3 - cl5	0.709238790346358	0.191462741228826	Inf	3.70431753872528	0.00158970457745916	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	TRUE
cl4 - cl5	0.295293931999043	0.240090166011302	Inf	1.22992930907942	0.25237335887354	pericyte_state	pseudobulk	depth spline	NB GLMM	0.000489657168145641	TRUE	TRUE
cl0 - cl1	-0.232245611349033	0.0858836203413718	Inf	-2.70418981437787	0.014672392202126	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	FALSE
cl0 - cl2	-0.0157757647747364	0.0856656569475696	Inf	-0.184155066766041	0.886786102564447	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	FALSE
cl0 - cl3	-0.244001015955793	0.0712529169690614	Inf	-3.42443546643486	0.00308039072400604	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	FALSE
cl0 - cl4	0.158851285909351	0.166936034851077	Inf	0.9515697797127	0.393825246801954	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	TRUE
cl0 - cl5	0.602030685336431	0.185421787693308	Inf	3.2468173930682	0.00437637154942305	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	TRUE
cl1 - cl2	0.216469846574297	0.0704935166452825	Inf	3.07077667388272	0.00533756942587673	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	FALSE
cl1 - cl3	-0.0117554046067592	0.0825681787039565	Inf	-0.142372095294817	0.886786102564447	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	FALSE
cl1 - cl4	0.391096897258385	0.158802816025406	Inf	2.46278313601072	0.023493746625162	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	TRUE
cl1 - cl5	0.834276296685465	0.188725703004248	Inf	4.42057591205098	7.38286472473866e-05	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	TRUE
cl2 - cl3	-0.228225251181056	0.0929709671693555	Inf	-2.45480130119892	0.023493746625162	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	FALSE
cl2 - cl4	0.174627050684087	0.165190073066517	Inf	1.05712799469355	0.363066470462315	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	TRUE
cl2 - cl5	0.617806450111168	0.196892044426145	Inf	3.1377928545148	0.00510675391850096	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	TRUE
cl3 - cl4	0.402852301865144	0.168286894762632	Inf	2.39384238703415	0.0250093676102206	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	TRUE
cl3 - cl5	0.846031701292224	0.189154154544977	Inf	4.47271012009971	7.38286472473866e-05	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	TRUE
cl4 - cl5	0.44317939942708	0.239001468617273	Inf	1.85429571621909	0.0868593608985198	pericyte_state	pseudobulk	depth_covar	NB GLMM	0.000318901811624528	TRUE	TRUE
cl0 - cl1	-0.0259646511293617	0.126330304341266	Inf	-0.205529870799814	0.837158162689787	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	FALSE
cl0 - cl2	0.0491232167462548	0.119005384032239	Inf	0.412781464853281	0.728321499161793	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	FALSE
cl0 - cl3	-0.178059352278288	0.131486552958754	Inf	-1.35420199458833	0.376439877548025	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	FALSE
cl0 - cl4	0.169443487948514	0.25565142384137	Inf	0.662791098138583	0.634330444573991	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	TRUE
cl0 - cl5	0.930625076928925	0.362682592625555	Inf	2.5659491132229	0.0514469609929523	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	TRUE
cl1 - cl2	0.0750878678756165	0.101924461831542	Inf	0.736701146381522	0.62905105847629	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	FALSE
cl1 - cl3	-0.152094701148927	0.148598507185563	Inf	-1.02352778658132	0.510097281598415	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	FALSE
cl1 - cl4	0.195408139077875	0.246140159446157	Inf	0.793889707057822	0.62905105847629	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	TRUE
cl1 - cl5	0.956589728058287	0.362675882358463	Inf	2.63758847662445	0.0514469609929523	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	TRUE
cl2 - cl3	-0.227182569024543	0.15489709737932	Inf	-1.46666769660769	0.356166186285807	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	FALSE
cl2 - cl4	0.120320271202259	0.250746436122534	Inf	0.479848380151895	0.728321499161793	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	TRUE
cl2 - cl5	0.881501860182671	0.370950033948058	Inf	2.37633583909067	0.0655707749360316	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	TRUE
cl3 - cl4	0.347502840226802	0.272110955331999	Inf	1.27706302674517	0.377962493986474	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	TRUE
cl3 - cl5	1.10868442920721	0.37620427103447	Inf	2.94702775744306	0.0481266602489037	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	TRUE
cl4 - cl5	0.761181588980412	0.431157345459927	Inf	1.76543806337902	0.232470513008884	pericyte_state	pseudobulk	detection	binomial GLMM	3.18607362714829e-05	TRUE	TRUE
cl0 - cl1	0.0443092147801733	0.0615807136115495	Inf	0.719530713133261	0.50551498443744	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	FALSE
cl0 - cl2	0.19111016835386	0.0627644362580624	Inf	3.0448798674474	0.006983198029631	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	FALSE
cl0 - cl3	-0.0912704700776935	0.0735310120054606	Inf	-1.24125137936243	0.255858902528058	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	FALSE
cl0 - cl4	0.221248334543663	0.143770711685244	Inf	1.53889712271885	0.168858291447215	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	TRUE
cl0 - cl5	0.73473211190113	0.184760338015342	Inf	3.97667659516903	0.000524138289346998	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	TRUE
cl1 - cl2	0.146800953573687	0.0746053748312463	Inf	1.96769943058048	0.0818377189920569	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	FALSE
cl1 - cl3	-0.135579684857867	0.0789308393440571	Inf	-1.71770230729309	0.128776392456207	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	FALSE
cl1 - cl4	0.17693911976349	0.144806213815111	Inf	1.22190281136282	0.255858902528058	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	TRUE
cl1 - cl5	0.690422897120957	0.181106498418729	Inf	3.8122480592864	0.00068854284074002	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	TRUE
cl2 - cl3	-0.282380638431554	0.0897137998414601	Inf	-3.14757193353274	0.00617372222571345	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	FALSE
cl2 - cl4	0.0301381661898031	0.150304329592248	Inf	0.200514291714439	0.84107838178965	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	TRUE
cl2 - cl5	0.54362194354727	0.191164770122092	Inf	2.84373497899259	0.0111470295125146	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	TRUE
cl3 - cl4	0.312518804621357	0.155190062274748	Inf	2.01378103752594	0.0818377189920569	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	TRUE
cl3 - cl5	0.826002581978823	0.192127177215973	Inf	4.29924903882964	0.000257066720342203	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	TRUE
cl4 - cl5	0.513483777357467	0.228029923956194	Inf	2.2518262886239	0.0521426822319836	pericyte_state	cell	with_offset	NB GLMM	0.000807194737717509	TRUE	TRUE
cl0 - cl1	-0.202526051643001	0.0952357277401018	Inf	-2.12657640623794	0.055758824300852	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	FALSE
cl0 - cl2	-0.0138414885775297	0.092412627950909	Inf	-0.149779190186892	0.880938827957839	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	FALSE
cl0 - cl3	-0.284294565419281	0.0779451772635948	Inf	-3.64736569214353	0.00198707040626366	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	FALSE
cl0 - cl4	0.117272546316122	0.172486723058559	Inf	0.679893178075556	0.53204153731177	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	TRUE
cl0 - cl5	0.483122463217112	0.197808139533631	Inf	2.44237908690796	0.0375004811949687	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	TRUE
cl1 - cl2	0.188684563065471	0.0775721707051364	Inf	2.43237441147147	0.0375004811949687	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	FALSE
cl1 - cl3	-0.0817685137762809	0.0935312369242103	Inf	-0.874237489690627	0.477486166979941	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	FALSE
cl1 - cl4	0.319798597959123	0.165795305263814	Inf	1.92887607673968	0.0806193726226502	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	TRUE
cl1 - cl5	0.685648514860112	0.203641249573693	Inf	3.3669431723458	0.00380031745129516	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	TRUE
cl2 - cl3	-0.270453076841752	0.100030193753024	Inf	-2.70371441556442	0.025713447448754	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	FALSE
cl2 - cl4	0.131114034893652	0.170330641477298	Inf	0.769761880519465	0.509355179552268	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	TRUE
cl2 - cl5	0.496963951794641	0.20983901585089	Inf	2.36831053452796	0.0382918506247495	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	TRUE
cl3 - cl4	0.401567111735404	0.17417151588798	Inf	2.3055842953889	0.0396260093208206	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	TRUE
cl3 - cl5	0.767417028636393	0.201780611521297	Inf	3.80322481357628	0.00198707040626366	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	TRUE
cl4 - cl5	0.365849916900989	0.249698762480997	Inf	1.46516511842477	0.194830737039288	pericyte_state	pseudobulk	with_offset	NB GLMM	0.000171683041116921	TRUE	TRUE
