compartment	gene	contrast	estimate	SE	df	t.ratio	p.value	n_donors	covariates	family	is_copd_contrast	p_BH
Endothelial	COL4A2	Control - IPF	-0.202508489109954	0.167572578691907	66	-1.20848226297382	0.231173850494691	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	COL15A1	Control - COPD	-0.183179694477905	0.142694022961749	66	-1.28372366743776	0.203727359436964	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.628975997111247
Endothelial	COL15A1	Control - IPF	-0.69875074690393	0.136153936479435	66	-5.13206422797382	2.72599542276177e-06	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	COL18A1	Control - COPD	-0.0712684766911453	0.08423210251793	66	-0.846096376093364	0.400556249267931	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.801626225222177
Endothelial	COL18A1	Control - IPF	-0.156476854059648	0.0803714976823506	66	-1.94691972368221	0.0558019252112273	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	LAMA1	Control - COPD	-0.0149582622605082	0.022751932727157	66	-0.657450179722703	0.513177889201551	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.894694832238846
Endothelial	LAMA1	Control - IPF	0.0121723916754729	0.0217091447772	66	0.560703417863651	0.576898333568145	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	LAMA2	Control - COPD	-0.114607508113504	0.0612280458443768	66	-1.87181391359119	0.0656645233528503	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.554812931332284
Endothelial	LAMA2	Control - IPF	-0.0435828322252875	0.058421784540267	66	-0.746003097444724	0.458314437101095	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	LAMA3	Control - COPD	-0.0422128702100127	0.0499186864457007	66	-0.845632632099203	0.400813112611088	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.801626225222177
Endothelial	LAMA3	Control - IPF	-0.197327395070642	0.047630766323595	66	-4.14285576952582	9.96647048172104e-05	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	LAMA5	Control - COPD	0.176619128281876	0.0850909816777162	66	2.07565037797806	0.0418265261734674	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.491149322597627
Endothelial	LAMA5	Control - IPF	-0.00412198141188794	0.081191011885804	66	-0.0507689375479832	0.95966298204703	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	LAMB2	Control - COPD	0.145756726397588	0.0639782527876681	66	2.27822299057349	0.0259574176218571	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.491149322597627
Endothelial	LAMB2	Control - IPF	0.200565919516541	0.0610459414158677	66	3.28549146535739	0.00163223188124714	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	LAMB3	Control - COPD	-0.0150578898835517	0.00717452906384012	66	-2.09879836705158	0.0396644666393405	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.491149322597627
Endothelial	LAMB3	Control - IPF	-0.0155202697571326	0.00684569930928224	66	-2.26715621822423	0.0266622663477346	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	LAMB4	Control - COPD	-0.014511877872684	0.0163421393256639	66	-0.888003558377107	0.377763658209204	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.801626225222177
Endothelial	LAMB4	Control - IPF	-0.027725706036636	0.0155931310471286	66	-1.77807176460186	0.0799982684466705	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
Endothelial	LAMC1	Control - COPD	0.0570087950290497	0.116686151680133	66	0.488565217107558	0.626769002105914	73	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.924291931154048
Endothelial	LAMC1	Control - IPF	0.0821926703453692	0.111338082381666	66	0.738226028212102	0.462994071564758	73	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
