contrast	estimate	SE	df	t.ratio	p.value	scale_note	lens	level	n_fitted_units	n_fitted_donors	singular
cl0 - cl5	0.105919771496878	0.0705783963548885	128.387697610121	1.50073927670846	0.43900441488797	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl1 - cl2	0.0325723476794898	0.026811090816575	140.053926773661	1.21488334444614	0.43900441488797	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl1 - cl3	-0.0548144500373268	0.0391567192676206	152.884826824483	-1.39987340774624	0.43900441488797	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl1 - cl4	0.00789403666481423	0.0418283470355348	132.968657727671	0.188724566574623	0.850596437097836	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl1 - cl5	0.0606909374571916	0.0714529454418604	129.563527883284	0.849383284088329	0.595852160102754	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl2 - cl3	-0.0873867977168166	0.0393259864134777	143.704601430335	-2.22211330691168	0.306143852480663	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl2 - cl4	-0.0246783110146756	0.0420086729490386	126.048371422015	-0.587457524416762	0.697434187510742	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl2 - cl5	0.0281185897777018	0.0712943919551349	127.066101638734	0.394401144418156	0.800706999554086	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl3 - cl4	0.062708486702141	0.0472589092372419	127.814202724829	1.32691354316583	0.43900441488797	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl3 - cl5	0.115505387494518	0.0717548198030568	122.599018202948	1.60972305151824	0.43900441488797	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl4 - cl5	0.0527969007923774	0.0746786358213521	122.571728674957	0.706988018885071	0.655794335172425	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE
cl0 - cl1	0.0998926557872559	0.0793647023394798	147.146292377694	1.25865344218099	0.286566566567779	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl0 - cl2	0.19349579882839	0.0755904032838775	144.104349689925	2.55979318038193	0.0287588805319868	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl0 - cl3	-0.210802004736097	0.0670194910797131	122.439648284849	-3.14538354947174	0.00624697214782669	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl0 - cl4	0.127251947640446	0.0904079065239254	129.017929420658	1.40753118320211	0.269457771309942	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl0 - cl5	0.271997201773798	0.130018486691291	117.52028567833	2.09198867557668	0.0826984926379996	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl1 - cl2	0.0936031430411336	0.0501678002146802	121.75703039132	1.86580122390424	0.120891909102429	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl1 - cl3	-0.310694660523353	0.075266179278452	130.790469179728	-4.12794516078621	0.000485906079994602	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl1 - cl4	0.0273592918531904	0.0774740025562966	118.994191617355	0.353141582343183	0.724607119932807	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl1 - cl5	0.172104545986542	0.131977836023139	118.497677208745	1.3040412782368	0.286566566567779	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl2 - cl3	-0.404297803564487	0.0745495573782876	127.528010573521	-5.42320863842228	4.24326831301875e-06	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl2 - cl4	-0.0662438511879432	0.0770253146714641	116.475632541686	-0.860027011515539	0.451777946392782	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl2 - cl5	0.0785014029454084	0.13114278852415	117.580509808977	0.598594889043038	0.589922674919231	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl3 - cl4	0.338053952376544	0.0872724491915516	119.114826205989	3.87354721344601	0.000879115642605117	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl3 - cl5	0.482799206509895	0.130909645778833	114.964175658494	3.68803386211561	0.00129980102999466	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
cl4 - cl5	0.144745254133352	0.136410046846183	115.615723450688	1.06110405706823	0.363567737485845	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE
