endpoint	contrast	estimate	SE	df	t.ratio	p.value
bm_minus_fibrillar_core	Pericytes - Myofibroblasts	2.20682038054701	0.0658885984337984	2117.77859091496	-33.4932056987722	5.13267284832953e-197
bm_minus_fibrillar_core	Pericytes - (Non-classical monocytes)	0.65079805308101	0.0498147755914032	2166.62375524245	-13.0643578206407	3.50066486983539e-37
bm_minus_fibrillar_core	Pericytes - Peribronchial fibroblasts	2.53368390110953	0.0581540065062971	2152.11864316604	-43.5685183760327	8.10119253428108e-297
bm_minus_fibrillar_core	Pericytes - Subpleural fibroblasts	3.00470971723774	0.113972118202084	2165.07564568953	-26.3635507055339	1.88054363328992e-132
bm_minus_fibrillar_core	Pericytes - (Transitional Club-AT2)	0.357460338402725	0.0532115299745298	2221.02188586582	-6.71772336886059	3.5062400071396e-11
bm_minus_fibrillar_core	Pericytes - Vascular smooth muscle	1.29150612929016	0.0530240770577475	2122.04735479942	-24.3569751885281	3.26887328627238e-115
bm_minus_fibrillar_minor	Pericytes - AT1	-1.04220400852644	0.0678378057633315	2196.34232869504	15.3631739234375	2.38006036729286e-49
bm_minus_fibrillar_minor	Pericytes - AT2_AGTR2det	-0.0845870230445998	0.0770440741606567	2238.82946765668	1.09790433548743	0.292066476823399
bm_minus_fibrillar_minor	Pericytes - AT2_AGTR2undet	-0.0960342114853398	0.0682766077659407	2252.21110490373	1.40654632131923	0.186316575631354
bm_minus_fibrillar_minor	Pericytes - Adventitial fibroblasts	0.437815429395792	0.0713761772363106	2234.97210777477	-6.13391535310559	2.65410023301237e-09
bm_minus_fibrillar_minor	Pericytes - Alveolar fibroblasts	0.201232146094208	0.0698752195635756	2182.5884631337	-2.87987855138141	0.00843582753592382
bm_minus_fibrillar_minor	Pericytes - Alveolar macrophages	0.073527467291925	0.0677842843407194	2251.78365209145	-1.08472735246915	0.292066476823399
bm_minus_fibrillar_minor	Pericytes - Classical monocytes	0.135094877401187	0.0652938599364784	2204.47803463077	-2.06902881117175	0.0541235618223402
bm_minus_fibrillar_minor	Pericytes - DC2	0.144221267774026	0.0656075572912155	2233.92791477929	-2.1982416923993	0.0452858955030653
bm_minus_fibrillar_minor	Pericytes - EC aerocyte capillary	-0.349146220255369	0.0727255013864248	2165.64385033137	4.80087745837861	3.93789362001658e-06
bm_minus_fibrillar_minor	Pericytes - EC general capillary	-0.480990683267772	0.0679827254188538	2179.25552356425	7.07518976775794	7.01163687904576e-12
bm_minus_fibrillar_minor	Pericytes - EC venous pulmonary	-0.456788644485835	0.0705608722806523	2200.13995211408	6.47368193903529	3.52710135101492e-10
bm_minus_fibrillar_minor	Pericytes - EC venous systemic	-0.655727248512982	0.0725486948018234	2208.5099512662	9.03844308025375	3.55164729606749e-18
bm_minus_fibrillar_minor	Pericytes - Interstitial macrophages	0.110862971517402	0.0663390324613315	2244.75623465335	-1.67115749814445	0.117142894331212
bm_minus_fibrillar_minor	Pericytes - Lymphatic EC	-0.495008080130937	0.068685381442661	2199.44348273842	7.20689133166092	3.28935796090758e-12
bm_minus_fibrillar_minor	Pericytes - Mast cells	0.0599108858743254	0.0676040409656704	2202.52026934902	-0.886202733128755	0.375605037599305
bm_minus_fibrillar_minor	Pericytes - Myofibroblasts	0.681780554518254	0.0898654285488539	2175.09186932545	-7.58668339457832	2.53764601398349e-13
bm_minus_fibrillar_minor	Pericytes - (Non-classical monocytes)	0.155542116776128	0.0672646619547811	2230.84017065073	-2.31238977876216	0.0364819583165296
bm_minus_fibrillar_minor	Pericytes - Peribronchial fibroblasts	0.705792432511606	0.0787439346915431	2210.39884462075	-8.96313392614106	4.58627715822124e-18
bm_minus_fibrillar_minor	Pericytes - Subpleural fibroblasts	0.403649582471168	0.153863194673689	2260.99237804894	-2.62343170065605	0.0167301274211594
bm_minus_fibrillar_minor	Pericytes - (Transitional Club-AT2)	-0.14031234618164	0.0707490331193879	2249.21275460385	1.98324047686793	0.0622938893246151
bm_minus_fibrillar_minor	Pericytes - Vascular smooth muscle	-0.155812776695153	0.0722456453927865	2181.13301897914	2.15670821193481	0.046706058766444
