donor_id	ccc_group	role	study	n_cells	COL1A1	COL1A2	COL1A1_detect	COL1A2_detect	stoich	stoich_detect
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0012	AT2_AGTR2undet	Other	Banovich_Kropski_2020	176	0.0852898798620378	0	0.0284090909090909	0	0.0852898798620378	0.0284090909090909
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD071	Interstitial macrophages	Ambient reference	Banovich_Kropski_2020	169	0.100306484241749	0.18276300490685	0.0118343195266272	0.0177514792899408	-0.0824565206651003	-0.00591715976331361
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU675	AT2_AGTR2undet	Other	Peer_Massague_2020	102	0.52315499065491	0.472451055059979	0.333333333333333	0.333333333333333	0.0507039355949316	0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 1	AT2_AGTR2undet	Other	Krasnow_2020	253	0.16422049422973	0.0279678764497246	0.0632411067193676	0.00790513833992095	0.136252617780005	0.0553359683794466
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD103	AT1	Other	Banovich_Kropski_2020	300	0.109380989547794	0.0316896498259523	0.01	0.00333333333333333	0.0776913397218417	0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139	AT2_AGTR2undet	Other	Sun_2020	300	0.126009410545407	0.108306632025965	0.0333333333333333	0.0166666666666667	0.0177027785194413	0.0166666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	Myofibroblasts	Fibroblasts	Duong_lungMAP_unpubl	65	0.962450081812095	1.44246668736538	0.292307692307692	0.492307692307692	-0.480016605553288	-0.2
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046	Alveolar macrophages	Ambient reference	Sun_2020	300	0.437211059663094	0.343336947346766	0.14	0.12	0.0938741123163285	0.02
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747001C	Alveolar macrophages	Ambient reference	Kaminski_2020	300	0.00390165060803513	0	0.00333333333333333	0	0.00390165060803513	0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A47	Alveolar macrophages	Ambient reference	Meyer_2021	300	0	0.025864757136165	0	0.00333333333333333	-0.025864757136165	-0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD94	Adventitial fibroblasts	Fibroblasts	Banovich_Kropski_2020	300	2.14684310423414	2.5758728531644	0.763333333333333	0.946666666666667	-0.429029748930256	-0.183333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD047Q	Classical monocytes	Other	Tata_unpubl	300	0.0151939773245503	0.0355856709363719	0.00666666666666667	0.01	-0.0203916936118217	-0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747296C	Alveolar macrophages	Ambient reference	Kaminski_2020	300	0.0820238531622952	0.0836823808108108	0.0133333333333333	0.02	-0.00165852764851555	-0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D175	AT2_AGTR2undet	Other	Sun_2020	300	0.106030980190648	0.0475149231031482	0.02	0.00666666666666667	0.0585160570874994	0.0133333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_4	Alveolar macrophages	Ambient reference	Lafyatis_Rojas_2019	300	0.00760735959424075	0.00726379872400244	0.00333333333333333	0.00666666666666667	0.000343560870238313	-0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	Vascular smooth muscle	Other	Sheppard_2020	300	1.03419922335827	1.25140632933719	0.256666666666667	0.343333333333333	-0.217207105978914	-0.0866666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD103	Transitional Club-AT2	Other	Banovich_Kropski_2020	300	0.0769749944125369	0	0.01	0	0.0769749944125369	0.01
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD66	AT2_AGTR2undet	Other	Banovich_Kropski_2020	264	0.602954225248999	0.107508536143791	0.208333333333333	0.0151515151515152	0.495445689105208	0.193181818181818
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD104	Interstitial macrophages	Ambient reference	Banovich_Kropski_2020	300	0.0208929924178269	0.0622750738495117	0.00333333333333333	0.00666666666666667	-0.0413820814316848	-0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	Transitional Club-AT2	Other	Meyer_2021	155	0.149921790157428	0.162098455088662	0.032258064516129	0.032258064516129	-0.0121766649312345	0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747390C	Alveolar fibroblasts	Fibroblasts	Meyer_2019	300	2.15641292665186	2.21059213557255	0.88	0.896666666666667	-0.0541792089206847	-0.0166666666666666
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	Alveolar fibroblasts	Fibroblasts	Misharin_2021	300	1.95144535089236	2.25164065162893	0.786666666666667	0.92	-0.300195300736567	-0.133333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD104	EC venous pulmonary	Ambient reference	Banovich_Kropski_2020	300	0	0.0587979854080881	0	0.00666666666666667	-0.0587979854080881	-0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747290B	Classical monocytes	Other	Teichmann_Meyer_2019	300	0.232509422848109	0.392973842279336	0.06	0.106666666666667	-0.160464419431226	-0.0466666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	Pericytes	Pericytes	Misharin_2021	300	0.372972669299231	1.88125329627374	0.0633333333333333	0.613333333333333	-1.50828062697451	-0.55
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747298C	Vascular smooth muscle	Other	Teichmann_Meyer_2019	42	1.18177860557938	1.30672854504393	0.452380952380952	0.523809523809524	-0.124949939464545	-0.0714285714285715
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_6	Myofibroblasts	Fibroblasts	Lafyatis_Rojas_2019	33	1.64587048237867	1.58492192156239	0.393939393939394	0.393939393939394	0.0609485608162759	0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_1	Adventitial fibroblasts	Fibroblasts	Schiller_2021	141	2.22072101301358	2.67011405711946	0.794326241134752	0.943262411347518	-0.449393044105884	-0.148936170212766
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc9833	AT2_AGTR2undet	Other	Schiller_2020	296	0.46282783677494	0.158315582674198	0.0202702702702703	0.0101351351351351	0.304512254100743	0.0101351351351351
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	Classical monocytes	Other	Meyer_2021	300	0.103596213619395	0.0284131630113842	0.0166666666666667	0.00333333333333333	0.0751830506080113	0.0133333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747302C	AT2_AGTR2det	Other	Teichmann_Meyer_2019	58	0.271245644739971	0.177043290551461	0.172413793103448	0.0862068965517241	0.0942023541885098	0.0862068965517241
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747368C	Alveolar macrophages	Ambient reference	Meyer_2019	300	0.557913230110234	0.698327974175566	0.266666666666667	0.39	-0.140414744065332	-0.123333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C	Classical monocytes	Other	Kaminski_2020	300	0	0.0204926561484521	0	0.00333333333333333	-0.0204926561484521	-0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 3	Pericytes	Pericytes	Krasnow_2020	300	0.449564751387341	2.20275566931237	0.08	0.81	-1.75319091792503	-0.73
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_6	Classical monocytes	Other	Lafyatis_Rojas_2019	300	0.0233956773645824	0.0107592568300011	0.00333333333333333	0.00333333333333333	0.0126364205345814	0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	DC2	Other	Sheppard_2020	29	0	0.0809318349262824	0	0.0344827586206897	-0.0809318349262824	-0.0344827586206897
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747ODGS1Mng	AT1	Other	Eils_2020	99	0.0624041611289087	0	0.0202020202020202	0	0.0624041611289087	0.0202020202020202
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222C	Classical monocytes	Other	Kaminski_2020	300	0	0.0145942831411046	0	0.00333333333333333	-0.0145942831411046	-0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0015	Interstitial macrophages	Ambient reference	Banovich_Kropski_2020	300	0	0.00820441455304156	0	0.00333333333333333	-0.00820441455304156	-0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc10380	AT1	Other	Schiller_2020	159	0.334266571485526	0.954204310121969	0.0188679245283019	0.050314465408805	-0.619937738636443	-0.0314465408805032
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747302C	Alveolar macrophages	Ambient reference	Teichmann_Meyer_2019	300	0.236034315286293	0.211584637246888	0.143333333333333	0.13	0.0244496780394051	0.0133333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A9LCTZng	AT1	Other	Eils_2020	300	0.0629605252861805	0.0340890557388045	0.0133333333333333	0.01	0.028871469547376	0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1	Vascular smooth muscle	Other	Sheppard_2020	300	0.873723491348877	0.821815443751254	0.146666666666667	0.12	0.0519080475976236	0.0266666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67	AT2_AGTR2undet	Other	Banovich_Kropski_2020	270	0.0623104904069728	0.00388043173612429	0.0259259259259259	0.0037037037037037	0.0584300586708485	0.0222222222222222
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_05	Non-classical monocytes	Other	Misharin_Budinger_2018	19	0	0.287912383372289	0	0.0526315789473684	-0.287912383372289	-0.0526315789473684
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	Transitional Club-AT2	Other	Misharin_2021	300	0.335149714768103	0	0.0833333333333333	0	0.335149714768103	0.0833333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 1	Myofibroblasts	Fibroblasts	Krasnow_2020	21	2.03165676886103	2.23008993534392	0.857142857142857	0.857142857142857	-0.198433166482889	0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1	Pericytes	Pericytes	Sheppard_2020	300	0.0780663537645176	1.05820392387877	0.00666666666666667	0.156666666666667	-0.980137570114255	-0.15
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD92	AT2_AGTR2undet	Other	Banovich_Kropski_2020	194	0.0869731484820385	0	0.0154639175257732	0	0.0869731484820385	0.0154639175257732
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222C	Alveolar macrophages	Ambient reference	Kaminski_2020	300	0.00951426184405932	0.0125940369580794	0.00333333333333333	0.01	-0.00307977511402007	-0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	Vascular smooth muscle	Other	Misharin_2021	300	1.5082875778366	1.59902409398549	0.616666666666667	0.64	-0.0907365161488927	-0.0233333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 2	Alveolar fibroblasts	Fibroblasts	Krasnow_2020	300	1.48721485641316	2.05403650261987	0.463333333333333	0.713333333333333	-0.566821646206715	-0.25
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40	DC2	Other	Meyer_2021	267	0	0.00859875618736039	0	0.00374531835205993	-0.00859875618736039	-0.00374531835205993
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	Classical monocytes	Other	Sheppard_2020	300	0	0.0774499843170477	0	0.01	-0.0774499843170477	-0.01
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D150	Lymphatic EC	Other	Sun_2020	48	1.50438733538908	1.24176539809034	0.645833333333333	0.5625	0.262621937298738	0.0833333333333334
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 2	EC venous pulmonary	Ambient reference	Krasnow_2020	300	0.0192686562106344	0.0495303902364725	0.00333333333333333	0.00666666666666667	-0.0302617340258382	-0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 3	Interstitial macrophages	Ambient reference	Krasnow_2020	300	0.0674911294226175	0.0468678041175391	0.0366666666666667	0.0166666666666667	0.0206233253050785	0.02
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D231	Alveolar fibroblasts	Fibroblasts	Sun_2020	125	1.49535030307816	2.4962234393242	0.4	0.904	-1.00087313624604	-0.504
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 3	Alveolar fibroblasts	Fibroblasts	Krasnow_2020	300	1.9897660089512	2.49885851423896	0.713333333333333	0.936666666666667	-0.509092505287754	-0.223333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 3	Myofibroblasts	Fibroblasts	Krasnow_2020	235	2.02171574464031	2.35182193863379	0.787234042553192	0.91063829787234	-0.33010619399349	-0.123404255319149
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_6	AT2_AGTR2undet	Other	Lafyatis_Rojas_2019	286	0.174708240742694	0.0754739482316629	0.0629370629370629	0.0174825174825175	0.0992342925110307	0.0454545454545455
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	EC general capillary	Ambient reference	Sheppard_2020	300	0	0.0250409764284695	0	0.00333333333333333	-0.0250409764284695	-0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S4ECX8ng	EC general capillary	Ambient reference	Eils_2020	144	0.0784729632303114	0.187462433890375	0.00694444444444444	0.0208333333333333	-0.108989470660064	-0.0138888888888889
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD101	Classical monocytes	Other	Banovich_Kropski_2020	275	0	0.0114288385594958	0	0.00363636363636364	-0.0114288385594958	-0.00363636363636364
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD94	Lymphatic EC	Other	Banovich_Kropski_2020	300	0.080406482922918	0.0818771757175712	0.01	0.01	-0.00147069279465317	0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 2	Transitional Club-AT2	Other	Krasnow_2020	300	0.081960805181984	0	0.0533333333333333	0	0.081960805181984	0.0533333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 2	Non-classical monocytes	Other	Krasnow_2020	300	0	0.0191247886392786	0	0.00666666666666667	-0.0191247886392786	-0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747003C	Alveolar macrophages	Ambient reference	Kaminski_2020	300	0	0.011026562332454	0	0.00666666666666667	-0.011026562332454	-0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747ZM3KACng	AT2_AGTR2undet	Other	Eils_2020	292	0.157286641342278	0.0788553799930008	0.0376712328767123	0.0205479452054795	0.0784312613492772	0.0171232876712329
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747GRO-10	EC venous systemic	Ambient reference	Nawijn_2021	300	0.012914800873389	0.0329168657062287	0.00333333333333333	0.00666666666666667	-0.0200020648328397	-0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A37	Mast cells	Other	Meyer_2021	300	0.0221525660981551	0.0144968919627085	0.00333333333333333	0.00333333333333333	0.00765567413544655	0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng	AT2_AGTR2undet	Other	Eils_2020	295	0.357491926261971	0.0757451049879194	0.0610169491525424	0.0135593220338983	0.281746821274052	0.0474576271186441
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_01	AT2_AGTR2undet	Other	Misharin_Budinger_2018	255	0.138669277157644	0.014047218095601	0.0549019607843137	0.00392156862745098	0.124622059062043	0.0509803921568627
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1	Adventitial fibroblasts	Fibroblasts	Sheppard_2020	300	1.28231601869303	1.62148863928769	0.346666666666667	0.483333333333333	-0.339172620594662	-0.136666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747356C	DC2	Other	Meyer_2019	300	0.0740220159505761	0.064643655223941	0.0266666666666667	0.02	0.00937836072663509	0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc10380	Mast cells	Other	Schiller_2020	300	0.24593567450015	0.519304109790626	0.01	0.0233333333333333	-0.273368435290476	-0.0133333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747390C	AT2_AGTR2undet	Other	Meyer_2019	188	0.136154629321122	0.134378989082499	0.0638297872340425	0.0531914893617021	0.00177564023862328	0.0106382978723404
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747292B	AT2_AGTR2undet	Other	Teichmann_Meyer_2019	117	0.431448430125007	0.299128645809793	0.273504273504274	0.153846153846154	0.132319784315214	0.11965811965812
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747368C	Adventitial fibroblasts	Fibroblasts	Meyer_2019	300	2.37485916102716	2.53721095322003	0.893333333333333	0.903333333333333	-0.162351792192869	-0.01
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD104	Alveolar fibroblasts	Fibroblasts	Banovich_Kropski_2020	232	1.69299799489245	2.68899638619746	0.375	0.84051724137931	-0.995998391305011	-0.46551724137931
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046	AT1	Other	Sun_2020	300	0.569328944101186	0.600724392554442	0.136666666666667	0.156666666666667	-0.031395448453256	-0.02
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747QZY9VQng	EC general capillary	Ambient reference	Eils_2020	134	0.0567198477291029	0	0.00746268656716418	0	0.0567198477291029	0.00746268656716418
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	Mast cells	Other	Meyer_2021	300	0.076539581345416	0.125709554212149	0.00333333333333333	0.0166666666666667	-0.049169972866733	-0.0133333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	Adventitial fibroblasts	Fibroblasts	Misharin_2021	300	1.91126934052554	2.22596765611115	0.9	0.976666666666667	-0.314698315585606	-0.0766666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 3	AT1	Other	Krasnow_2020	300	0.0402533995206248	0	0.01	0	0.0402533995206248	0.01
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0005	Alveolar macrophages	Ambient reference	Banovich_Kropski_2020	300	0.0168439680898431	0.0276178004570281	0.00333333333333333	0.00333333333333333	-0.010773832367185	0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5103	AT2_AGTR2undet	Other	Schiller_2020	264	0.770728987227107	0.740196947055328	0.0492424242424242	0.0378787878787879	0.0305320401717797	0.0113636363636364
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	Pericytes	Pericytes	Sheppard_2020	300	0.142027753498361	1.2038320335196	0.0233333333333333	0.273333333333333	-1.06180428002124	-0.25
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	EC general capillary	Ambient reference	Sheppard_2020	141	0.0578219228115321	0	0.00709219858156028	0	0.0578219228115321	0.00709219858156028
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng	AT1	Other	Eils_2020	300	0.0858970206891407	0.062530352353358	0.0166666666666667	0.01	0.0233666683357827	0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747JVV9L8ng	AT1	Other	Eils_2020	300	0.155945594911834	0.170734881537436	0.0333333333333333	0.04	-0.0147892866256018	-0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	Vascular smooth muscle	Other	Sheppard_2020	300	1.37772927223144	1.92776007419645	0.343333333333333	0.57	-0.550030801965018	-0.226666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD95	Interstitial macrophages	Ambient reference	Banovich_Kropski_2020	300	0.0153695480029533	0	0.00333333333333333	0	0.0153695480029533	0.00333333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D344	Vascular smooth muscle	Other	Barbry_Leroy_2020	81	0.863264525338233	1.07743850134172	0.0864197530864197	0.123456790123457	-0.214173976003482	-0.037037037037037
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	Alveolar macrophages	Ambient reference	Duong_lungMAP_unpubl	300	0.0356686977144912	0.0823803820212028	0.01	0.0266666666666667	-0.0467116843067115	-0.0166666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	EC venous systemic	Ambient reference	Meyer_2021	300	0.00844971905660397	0.0712675254244707	0.00666666666666667	0.0133333333333333	-0.0628178063678667	-0.00666666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD101	AT2_AGTR2undet	Other	Banovich_Kropski_2020	177	0.292485603974255	0	0.107344632768362	0	0.292485603974255	0.107344632768362
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 2	Vascular smooth muscle	Other	Krasnow_2020	300	1.3315578621182	1.57702253889735	0.45	0.553333333333333	-0.245464676779149	-0.103333333333333
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747GRO-10	Vascular smooth muscle	Other	Nawijn_2021	193	1.01274789377061	1.51890057257191	0.124352331606218	0.248704663212435	-0.506152678801305	-0.124352331606218
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747396C	AT2_AGTR2undet	Other	Kaminski_2020	129	0.0601570651270611	0	0.0155038759689922	0	0.0601570651270611	0.0155038759689922
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747302C	Classical monocytes	Other	Teichmann_Meyer_2019	178	0.267971092888396	0.19798619172491	0.0730337078651685	0.050561797752809	0.0699849011634864	0.0224719101123595
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S4ECX8ng	AT1	Other	Eils_2020	300	0.0493856245778784	0.128586908902244	0.01	0.0266666666666667	-0.0792012843243659	-0.0166666666666667
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc4659	Alveolar macrophages	Ambient reference	Schiller_2020	141	0	0.180056083466194	0	0.00709219858156028	-0.180056083466194	-0.00709219858156028
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD66	Lymphatic EC	Other	Banovich_Kropski_2020	193	0.0731001431443205	0.0885435404528163	0.0103626943005181	0.0155440414507772	-0.0154433973084959	-0.00518134715025907
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222C	Interstitial macrophages	Ambient reference	Kaminski_2020	300	0.0104544173714281	0.0048410777254215	0.00333333333333333	0.00333333333333333	0.00561333964600657	0
