target	ligand	regulatory_potential	ligand_rank
COL3A1	INHBA	0.00957827901928275	NA
COL3A1	TGFB2	0.00957462062345721	NA
COL5A1	BACE1	0.00954903164365401	NA
COL5A1	IGF1	0.00954104010023979	NA
COL1A1	THBS1	0.00952153021586241	NA
COL1A1	SEMA3A	0.00952137376328817	NA
COL1A2	BACE2	0.00950283396088473	NA
COL5A2	ENG	0.0094982920807752	NA
COL5A1	IL6	0.00947528659177521	NA
COL1A1	COL1A1	0.0094740606105515	NA
COL1A2	BMP6	0.00943452366249494	NA
COL1A2	PAM	0.00943110423337893	NA
COL5A2	CCN1	0.00941248968974132	NA
COL1A2	GPC6	0.00940592143318496	NA
COL5A1	CKLF	0.00933219604639122	NA
COL1A2	WIF1	0.00931320347412037	NA
COL1A1	PLAT	0.0092973952040739	NA
COL5A1	ANOS1	0.00928610380039697	NA
COL3A1	LIF	0.00928606496628272	NA
COL1A2	VTN	0.00922915443567275	NA
COL1A2	RGMA	0.00921237096084474	NA
COL1A2	DLL1	0.00916221465436147	NA
COL1A1	JAM2	0.00915136273252836	NA
COL1A2	PLAT	0.00914631084360239	NA
COL1A2	SIGLEC6	0.00913271333134659	NA
COL3A1	TGFB3	0.00912742058263244	NA
COL1A2	CD14	0.00910797931365096	NA
COL5A2	S100A4	0.00910200780173408	NA
COL5A2	BMP6	0.00907656058525496	NA
COL5A2	RGMA	0.00906957357830243	NA
COL1A1	MDK	0.00905509796565826	NA
COL1A1	CXCL12	0.00903748712055709	NA
COL1A1	CKLF	0.00903118585003482	NA
COL5A2	LRIG2	0.00901349809326268	NA
COL1A1	BMP5	0.00901254158325006	NA
COL1A2	DUSP18	0.00900665481997387	NA
COL1A1	ADAM17	0.00899619453129512	NA
COL1A1	RARRES1	0.00896953211991275	NA
COL1A1	ANGPT2	0.00896767972174245	NA
COL3A1	ANGPTL2	0.00892314241345593	NA
COL5A1	GPC6	0.00891902133860366	NA
COL1A1	SPP1	0.00891441127762216	NA
COL5A1	IFITM1	0.00889844862569771	NA
COL5A2	ANGPTL2	0.00888535553338819	NA
COL1A2	NRG1	0.00887605886775102	NA
COL1A2	VSIG10	0.00885774876958111	NA
COL1A2	SYT1	0.00884848291173879	NA
COL1A2	COL1A1	0.00884049116449972	NA
COL3A1	BMP3	0.0088262322145207	NA
COL5A1	PAM	0.00879445094252368	NA
COL5A2	IGF1	0.00879197528140407	NA
COL5A1	PLAU	0.00878963422508361	NA
COL1A2	WNT2	0.00877973030362225	NA
COL1A1	DCN	0.00876537176933786	NA
COL1A2	TIMP1	0.00875369685372778	NA
COL1A2	CP	0.00873384056828334	NA
COL1A2	MMP7	0.00871990582892356	NA
COL5A1	MIF	0.00871986514275439	NA
COL1A2	ITGB2	0.00871699898376198	NA
COL5A2	NAMPT	0.00869949135568121	NA
COL5A1	INHBA	0.00869368621212732	NA
COL1A1	MMP9	0.00864409355724331	NA
COL1A1	SERPINE1	0.00863785277943198	NA
COL5A1	IGFBP3	0.00862467362441082	NA
COL1A1	COL1A2	0.00860758607583244	NA
COL1A2	CALM2	0.00860236980992021	NA
COL1A2	SEMA3A	0.00857397483000571	NA
COL1A2	ANXA2	0.0085709648670711	NA
COL1A1	CD14	0.00856193850595342	NA
COL5A2	IGF2	0.00855918170125404	NA
COL1A1	CP	0.00855836946192572	NA
COL1A2	LAMA4	0.00855273347513642	NA
COL1A1	FBLN1	0.00854706816202128	NA
COL3A1	BMP2	0.0085280616174046	NA
COL1A2	FBLN1	0.00849209761018401	NA
COL1A2	TNC	0.00848828249568327	NA
COL3A1	FST	0.00848260540740636	NA
COL5A2	POSTN	0.00848157346277569	NA
COL1A2	FGF7	0.00848108185860791	NA
COL5A1	SELE	0.0084727310703333	NA
COL1A1	PROS1	0.00845503079941827	NA
COL1A2	ANG	0.00845167401983769	NA
COL1A2	PGF	0.00844169660128293	NA
COL1A1	AGT	0.00842948859159806	NA
COL1A2	SIRPA	0.00842058736073178	NA
COL1A2	HAS2	0.00839982250230292	NA
COL5A1	COL1A2	0.00839716431046887	NA
COL1A1	MMP2	0.00835857868456608	NA
COL1A1	PTPRC	0.00835298298623705	NA
COL1A2	AZGP1	0.00834511130728965	NA
COL1A2	A2M	0.00833776014664135	NA
COL1A1	CTSG	0.00830855447721821	NA
COL5A2	ANGPT1	0.00830435904714423	NA
COL1A1	DLL1	0.00829284935885734	NA
COL5A1	PDGFD	0.00827669339662322	NA
COL1A1	IL1RN	0.00826235495823166	NA
COL5A1	IL1A	0.00825817635464009	NA
COL1A2	CALM3	0.00825733530934649	NA
COL1A1	GPC6	0.00825668274615267	NA
COL1A1	VTN	0.00825085073159033	NA
COL5A1	FGF2	0.00824858585203153	NA
COL1A2	DLL4	0.00824149411959077	NA
COL1A2	OCLN	0.00822325844130799	NA
COL3A1	IL6	0.00821877329877168	NA
COL1A2	FGF14	0.00818599360447906	NA
COL1A2	RSPO3	0.00818316302331561	NA
COL1A1	PGF	0.00816241460255519	NA
COL5A1	CSF2	0.00816055745669161	NA
COL5A1	JAM2	0.00813932823294703	NA
COL1A2	NRP1	0.00813576578604623	NA
COL1A2	ADAM10	0.00813160981914909	NA
COL1A1	RGMA	0.0081119936798107	NA
COL1A2	VEGFC	0.00809763422802581	NA
COL1A1	ANGPTL4	0.008090210330038	NA
COL5A1	NGF	0.00808485881547396	NA
COL1A1	HDC	0.0080742058439353	NA
COL1A2	FURIN	0.008067601404279	NA
COL1A1	ITGB2	0.00806456624835853	NA
COL3A1	CCN1	0.00805469781229642	NA
COL5A1	C4BPA	0.00804634206228125	NA
COL1A2	COL18A1	0.00803680457013358	NA
COL1A2	BMP5	0.00803624205789998	NA
COL1A2	HSP90B1	0.00803545300180581	NA
COL1A2	MDK	0.00803328805126522	NA
COL1A2	GRN	0.00802920513526003	NA
COL3A1	BMP1	0.00800833171226173	NA
COL1A1	IGFBP4	0.00800336634585766	NA
COL1A1	BDNF	0.00800081497173977	NA
COL5A1	RARRES1	0.0079788173802983	NA
COL1A1	MMP7	0.00797764903412884	NA
COL1A2	PTPRK	0.00796555669091811	NA
COL5A2	IL6	0.00795554462848898	NA
COL1A2	HBEGF	0.00791827432650941	NA
COL3A1	IGFBP3	0.00791795965596981	NA
COL1A1	AZGP1	0.00790459561004007	NA
COL1A2	JAG1	0.00789487568866824	NA
COL1A2	TIMP2	0.00789318229776131	NA
COL1A1	EDN1	0.00787393695369733	NA
COL1A2	NTS	0.00787368441151962	NA
COL1A2	CX3CL1	0.00786981850557953	NA
COL1A2	CXCL8	0.00786308405000335	NA
COL1A2	IGFBP4	0.00785807004544455	NA
COL1A1	SYT1	0.00785143583890407	NA
COL1A2	WNT3A	0.00782538333543617	NA
COL1A2	CDH1	0.00781868584219628	NA
COL3A1	JAM2	0.00780142100124136	NA
COL1A2	MFNG	0.0078008077528448	NA
COL1A2	CTSG	0.00779944285807216	NA
COL5A1	TGM2	0.00779739677614285	NA
COL1A1	LAMC1	0.0077963738444078	NA
COL3A1	GAS6	0.00778649296295966	NA
COL5A1	BMP1	0.00777547628408199	NA
COL1A2	LAMC1	0.00776672510998665	NA
COL5A2	IL1B	0.00775621631312931	NA
COL1A2	COL3A1	0.00774829064333398	NA
COL1A2	EDIL3	0.00771556920347367	NA
COL5A1	SPON2	0.00771535376493189	NA
COL1A2	JAM3	0.00770570703836013	NA
COL1A2	TGFBI	0.00770549536017581	NA
COL1A1	CALM2	0.00769674187918685	NA
COL5A1	CCN2	0.00769263352038964	NA
COL5A2	PLAU	0.00768181743133404	NA
COL1A2	ANXA1	0.00768030290748642	NA
COL1A1	COL3A1	0.00767248413419573	NA
COL1A2	EFEMP1	0.00767222817203714	NA
COL1A1	FGG	0.00766777636772838	NA
COL1A2	IL16	0.00766705947927141	NA
COL1A2	PTN	0.00765307731031368	NA
COL1A2	ANGPT2	0.00763588156338386	NA
COL1A1	TGFBI	0.00761094603032763	NA
COL1A1	NPNT	0.00760391957548937	NA
COL1A1	SLIT2	0.00759979259743399	NA
COL1A2	NTN1	0.00759979107494254	NA
COL1A2	CLDN1	0.00759450306872452	NA
COL1A1	FURIN	0.00758260404119038	NA
COL3A1	S100A4	0.00757375716856998	NA
COL1A2	CDCP1	0.0075711988354457	NA
COL1A1	VSIG10	0.00756619260901386	NA
COL3A1	NAMPT	0.00756221461849798	NA
COL1A2	PSEN1	0.00756197519328206	NA
COL1A1	ANXA2	0.00753593416244536	NA
COL1A1	TIMP1	0.00753350915515891	NA
COL5A2	FBLN1	0.00753111898885259	NA
COL1A2	TSPAN3	0.0075259560878644	NA
COL1A1	JAM3	0.00751404655945988	NA
COL1A1	NRP1	0.00746227501652138	NA
COL1A2	PECAM1	0.00745042368857665	NA
COL5A1	SERPINE1	0.00744351761321364	NA
COL1A2	TNFSF14	0.00742724856167229	NA
COL1A1	COL18A1	0.00742105666623208	NA
COL5A1	HGF	0.00741089766108275	NA
COL5A1	BMP3	0.00740690546371916	NA
COL5A2	BMP5	0.00740207637430879	NA
COL5A2	ANGPTL4	0.00737905523531192	NA
COL1A2	CKLF	0.00736901483413984	NA
COL1A1	ANGPTL2	0.00733389037063463	NA
COL1A2	LGALS1	0.0073337509153274	NA
COL1A2	WNT5A	0.00732865241398244	NA
COL1A2	LPL	0.00732735733288543	NA
COL5A1	CLEC11A	0.00732518030182447	NA
COL5A1	ANGPT1	0.00732473776351986	NA
COL1A2	FGG	0.00732185562955661	NA
COL1A2	CALM1	0.00731753267690906	NA
COL1A2	LAMB2	0.00731744345860427	NA
COL1A1	FGF7	0.00731737049856709	NA
COL5A1	LTBP1	0.00731072277946291	NA
COL1A2	PSAP	0.00730998192255251	NA
COL1A2	SEMA3F	0.00729550428648539	NA
COL1A2	JAG2	0.00729058287409629	NA
COL1A1	IL16	0.00727316213501111	NA
COL5A1	ANGPTL4	0.00726223991099097	NA
COL1A2	CCN4	0.00725724693237512	NA
COL1A1	LAMB2	0.00723282598860771	NA
COL1A1	SIRPA	0.0072317620806437	NA
COL1A2	EFEMP2	0.00721644982947036	NA
COL5A1	ICAM1	0.00721583669959181	NA
COL5A2	OCLN	0.00720864698735422	NA
COL3A1	CCN4	0.00720532510073187	NA
COL1A1	A2M	0.00719745586314176	NA
COL1A2	LAMB3	0.00718524717516553	NA
COL5A1	DLL1	0.00717150159823162	NA
COL1A2	AREG	0.00714336246161945	NA
COL1A2	FN1	0.00714129297374967	NA
COL3A1	CMTM8	0.00713137853942851	NA
COL5A2	TIMP1	0.00712995658342798	NA
COL1A1	NRG1	0.00712618942900767	NA
COL1A1	LPL	0.00712255633838797	NA
COL1A2	NCAM1	0.00712091908227557	NA
COL5A1	FST	0.00712091069935421	NA
COL1A1	LRIG2	0.00711260053492981	NA
COL1A2	CNTN4	0.00711240045548403	NA
COL1A2	LAMB1	0.00711230778583003	NA
COL1A2	EREG	0.00710759942458867	NA
COL3A1	MMP7	0.0070905487980815	NA
COL1A1	PTPRK	0.00708178433272332	NA
COL5A1	TGFB3	0.00706325572415814	NA
COL1A2	ANOS1	0.00706180127656342	NA
COL1A1	LGALS9	0.00705183383777341	NA
COL1A1	OCLN	0.00703941147811282	NA
COL3A1	GPC6	0.00703518912712634	NA
COL1A2	RELN	0.00701940422644742	NA
COL5A2	ANGPT2	0.00701571932701831	NA
COL1A1	GRN	0.00699866229509114	NA
COL1A1	COL6A1	0.00699233341705188	NA
COL1A2	VWF	0.00698898344873634	NA
COL1A1	CX3CL1	0.00697039960014566	NA
COL3A1	IGF1	0.00697010178366064	NA
COL1A1	PECAM1	0.00696345608703439	NA
COL5A1	LRIG2	0.00696221867988065	NA
COL5A2	MMRN2	0.00696097169664213	NA
COL1A1	JAG1	0.00694527186473515	NA
COL5A2	LTB	0.00693181992152926	NA
COL1A2	APP	0.00691842204690687	NA
COL3A1	FGF2	0.00690755156048216	NA
COL5A1	SDC2	0.00689629542892373	NA
COL1A2	TFPI	0.00688428596405495	NA
COL1A2	CAMP	0.0068781427486135	NA
COL1A2	GPC3	0.00687751409864063	NA
COL3A1	LTB	0.00687077022481898	NA
COL3A1	IL1B	0.00686680276813678	NA
COL1A1	CDH1	0.00686307245199967	NA
COL1A1	AGRN	0.00685780252779013	NA
COL3A1	CCN2	0.00685712541708008	NA
COL1A1	WNT5A	0.00683996566638813	NA
COL5A2	EFEMP1	0.00683220102444333	NA
COL1A2	VCAM1	0.00682621917759087	NA
COL1A1	TSPAN3	0.0068159570459465	NA
COL1A2	VEGFD	0.00681484402314076	NA
COL1A2	EPHA4	0.0068053018372114	NA
COL1A2	SCGB3A1	0.0068012939582775	NA
COL1A1	VWF	0.00680071069733146	NA
COL1A2	CALR	0.00679829412557877	NA
COL5A2	OSM	0.00677981812554176	NA
COL1A2	COL15A1	0.00677092424460618	NA
COL1A2	SEMA4C	0.0067707995864083	NA
COL1A1	SEMA4C	0.00676989016516587	NA
COL1A1	LAMB1	0.00676710255466341	NA
COL5A1	PTPRC	0.00676159761129889	NA
COL1A1	SEMA3F	0.00676144638414988	NA
COL1A1	LAMA4	0.00675894711154733	NA
COL1A1	TNC	0.00675885045792047	NA
COL3A1	ENG	0.00675556541692463	NA
COL1A2	FGA	0.00675321372450848	NA
COL1A2	APOE	0.00675234837970493	NA
COL5A1	BMP6	0.00674341202633922	NA
COL3A1	PDGFD	0.00673366792816939	NA
COL1A2	HAS1	0.00672750575380807	NA
COL1A1	NTN1	0.00671760749950424	NA
COL5A1	COL15A1	0.00670935553323689	NA
COL1A2	SLIT2	0.00670149827684457	NA
COL1A2	CADM1	0.0066934219664507	NA
COL1A2	SEMA3C	0.00667762414831324	NA
COL1A1	LAMA5	0.00667087625598919	NA
COL5A1	THBS1	0.00666909894306115	NA
COL5A1	FBLN1	0.00666405291242807	NA
COL1A1	BACE2	0.00665709384116518	NA
COL1A2	LAMA3	0.00665650493955847	NA
COL1A1	ADAM10	0.00665075318691147	NA
COL1A1	WNT2	0.00664381089158227	NA
COL1A2	FBN1	0.00663587461605842	NA
COL5A1	CTSD	0.00662760772068814	NA
COL1A2	WNT2B	0.00660811120885022	NA
COL1A1	DLL4	0.00660518614407377	NA
COL5A1	ENG	0.00660085636966107	NA
COL1A2	NID1	0.00659776910077874	NA
COL1A2	LRIG1	0.00659524168424388	NA
COL5A1	PDGFB	0.00658552460493879	NA
COL1A2	HLA-DRB5	0.00657404097383956	NA
COL1A2	COL5A1	0.00656928243705216	NA
COL5A2	TGM2	0.00656694399004359	NA
COL1A2	COL6A1	0.00656657567640338	NA
COL1A2	MYOC	0.00656332756469776	NA
COL1A1	HBEGF	0.00655099908160767	NA
COL1A2	FGF18	0.00654349041720643	NA
COL1A1	FGA	0.00654310576338157	NA
COL5A1	VSIG10	0.00653368008184676	NA
COL1A1	PTN	0.00653015734533973	NA
COL1A2	MMP14	0.00652942051718979	NA
COL1A1	WNT3A	0.00652163743721884	NA
COL1A1	NCAM1	0.00651105047689874	NA
COL1A2	LRPAP1	0.00650815834423209	NA
COL1A1	LRPAP1	0.0065077030875872	NA
COL1A1	NTS	0.00650007843091608	NA
COL3A1	BMP6	0.00649951454691657	NA
COL1A2	LGALS3BP	0.00649891336307786	NA
COL5A1	AGT	0.00648775449243784	NA
COL1A1	FGF14	0.00647803444428039	NA
COL1A2	FLRT2	0.00647770283781884	NA
COL1A1	CALM1	0.0064721242557232	NA
COL5A1	VTN	0.00646301455031062	NA
COL1A2	AGRN	0.0064620860451617	NA
COL1A1	ANG	0.00645506691674288	NA
COL5A1	FGF7	0.00645400629636571	NA
COL1A2	SIGLEC1	0.00644536401341259	NA
COL1A2	TNFSF13	0.00643929541546038	NA
COL1A1	LAMB3	0.00643557443736986	NA
COL1A1	APOE	0.00643451160064113	NA
COL5A1	AZGP1	0.00643321172801258	NA
COL1A2	MFGE8	0.00642438145146402	NA
COL1A2	THY1	0.00642427145947675	NA
COL5A2	VEGFA	0.00642258721608106	NA
COL1A1	HSP90B1	0.00642154024661211	NA
COL5A1	SPP1	0.00641924821963811	NA
COL1A2	LGALS3	0.00641200583317509	NA
COL3A1	IFITM1	0.00640875145185983	NA
COL1A2	LGALS9	0.00640308351250698	NA
COL5A1	LTF	0.0063926790262361	NA
COL1A1	EPHA4	0.00638500155332791	NA
COL1A1	PSEN1	0.00638444923724225	NA
COL1A1	PSAP	0.00638192319020127	NA
COL5A1	MFNG	0.00638008673627694	NA
COL1A2	PRG4	0.00637870408263248	NA
COL1A1	COL15A1	0.00637861461273204	NA
COL1A1	SEMA3C	0.00637248206459724	NA
COL3A1	WNT2	0.00636242875446132	NA
COL1A1	DUSP18	0.00635325048681587	NA
COL5A2	MMP2	0.00635089080220053	NA
COL1A2	SLITRK6	0.00634858644402728	NA
COL5A1	CXCL12	0.00634559144873715	NA
COL1A1	VEGFD	0.00633822437234282	NA
COL1A1	LAMA3	0.00633503664707191	NA
COL1A1	ESAM	0.00633468948637828	NA
COL3A1	SDC2	0.0063317479860352	NA
COL1A2	LRFN5	0.0063223704118412	NA
COL1A1	FN1	0.00632007906619587	NA
COL1A1	APP	0.00631248372121417	NA
COL5A1	LTB	0.00629860664743549	NA
COL1A1	ANXA1	0.00629643920519831	NA
COL1A2	CEACAM1	0.00629558933203577	NA
COL1A1	EDIL3	0.00629295315407718	NA
COL1A1	VCAM1	0.00628650547208496	NA
COL1A2	ESAM	0.0062815757357476	NA
COL1A1	LGALS1	0.00628144825113238	NA
COL1A2	CEACAM6	0.00628007090340221	NA
COL1A1	WNT2B	0.00628001892207348	NA
COL1A2	ICAM4	0.00627509492632834	NA
COL3A1	SELE	0.00627256394502348	NA
COL3A1	ANGPT2	0.00627060544015822	NA
COL3A1	RARRES1	0.00627038463749309	NA
COL1A1	THY1	0.00626836041158479	NA
COL1A2	PCSK9	0.00626810008617915	NA
COL1A2	COL13A1	0.00626718840469272	NA
COL5A1	RGMA	0.00626489353499171	NA
COL5A2	MIF	0.00626480518648547	NA
COL1A1	HAS2	0.00626452480818205	NA
COL1A2	COL4A1	0.00625480996375219	NA
COL5A2	ANG	0.00625330113057294	NA
COL1A1	EFEMP1	0.00624916482897602	NA
COL1A1	NID1	0.00624765542964181	NA
COL5A2	SLPI	0.00623838229383444	NA
COL1A1	VEGFC	0.00623786644001242	NA
COL1A2	COL4A3	0.00623544639405544	NA
COL3A1	CXCL12	0.00622357325077685	NA
COL1A1	JAG2	0.0062226302240109	NA
COL1A1	KIRREL1	0.00622166102417452	NA
COL1A2	NRG3	0.00621627606378466	NA
COL1A2	APOA1	0.00618879743393971	NA
COL5A1	MMP2	0.00618731298519883	NA
