cell_id	cell_type	dataset_id	donor_id	sex	disease	total_counts_cell	Agtr1a_counts	Agtr1a_lognorm	Agtr1a_scvi_corrected	Agtr1b_counts	Agtr1b_lognorm	Agtr1b_scvi_corrected	Agtr2_counts	Agtr2_lognorm	Agtr2_scvi_corrected
310	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	299.0	2.0	1.1662537	1.5157816	0.0	0.0	0.05372632	0.0	0.0	0.054895155
322	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	211.0	0.0	0.0	0.33551392	0.0	0.0	0.3981984	0.0	0.0	0.19216263
335	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	293.0	0.0	0.0	1.905368	0.0	0.0	0.1648686	0.0	0.0	0.10066462
355	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	364.0	0.0	0.0	1.3194981	0.0	0.0	0.17105024	0.0	0.0	0.076399334
378	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	164.0	0.0	0.0	1.1813532	0.0	0.0	0.22427924	0.0	0.0	0.29119703
384	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	407.0	0.0	0.0	2.1790054	0.0	0.0	0.06857827	0.0	0.0	0.014195759
392	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	270.0	0.0	0.0	1.0897763	0.0	0.0	0.22633883	0.0	0.0	0.044265483
412	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	411.0	0.0	0.0	0.58090526	0.0	0.0	0.29217446	1.0	0.8453218	0.19256184
433	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	341.0	0.0	0.0	1.8482958	0.0	0.0	0.12870558	0.0	0.0	0.10100887
444	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	172.0	0.0	0.0	1.7785616	0.0	0.0	0.09364253	0.0	0.0	0.092166975
450	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	379.0	0.0	0.0	1.4058679	0.0	0.0	0.13289726	0.0	0.0	0.21469063
474	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	366.0	0.0	0.0	1.3237878	0.0	0.0	0.12278164	0.0	0.0	0.13647921
491	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	521.0	0.0	0.0	1.1425619	0.0	0.0	0.15740533	0.0	0.0	0.032081537
522	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	190.0	0.0	0.0	1.7305783	0.0	0.0	0.23837128	1.0	1.2284827	0.4500224
567	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	331.0	1.0	0.7622011	1.8139579	0.0	0.0	0.039248824	0.0	0.0	0.065205865
573	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	449.0	0.0	0.0	1.1776989	0.0	0.0	0.20199408	0.0	0.0	0.4148824
597	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	471.0	1.0	0.7456972	0.84667575	0.0	0.0	0.17438816	0.0	0.0	0.084781
692	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	281.0	0.0	0.0	1.7233158	0.0	0.0	0.14841338	0.0	0.0	0.23564428
744	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	225.0	0.0	0.0	0.98086774	0.0	0.0	0.170403	0.0	0.0	0.5896393
745	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	306.0	0.0	0.0	0.4548434	0.0	0.0	0.3807551	0.0	0.0	0.4215521
853	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	377.0	0.0	0.0	1.9244747	0.0	0.0	0.052572418	0.0	0.0	0.2803621
868	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	361.0	0.0	0.0	0.79908526	0.0	0.0	0.2246569	0.0	0.0	0.09041844
873	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	516.0	0.0	0.0	0.3715987	0.0	0.0	0.25847054	0.0	0.0	0.48856026
896	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	579.0	0.0	0.0	0.5525992	0.0	0.0	0.096295945	0.0	0.0	0.1454766
900	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	620.0	0.0	0.0	2.2371697	0.0	0.0	0.059759405	0.0	0.0	0.037664104
907	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	361.0	0.0	0.0	1.3945793	0.0	0.0	0.047777317	0.0	0.0	0.29063034
1187	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	550.0	0.0	0.0	0.42402196	0.0	0.0	0.10493408	0.0	0.0	0.07647855
1196	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	672.0	1.0	0.49211258	2.117567	0.0	0.0	0.028808393	0.0	0.0	0.03254933
1245	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	370.0	0.0	0.0	2.4939806	0.0	0.0	0.023325637	0.0	0.0	0.26759505
1319	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	566.0	0.0	0.0	2.1488094	0.0	0.0	0.036636576	0.0	0.0	0.041058023
1370	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	277.0	0.0	0.0	2.401324	0.0	0.0	0.041492026	0.0	0.0	0.06569772
1377	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	876.0	0.0	0.0	1.5859933	0.0	0.0	0.059502285	0.0	0.0	0.010711175
1452	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	275.0	0.0	0.0	0.57777905	0.0	0.0	0.09286715	0.0	0.0	0.3592996
1469	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	1205.0	2.0	0.6272061	1.5866945	0.0	0.0	0.04496578	0.0	0.0	0.013967922
1474	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	259.0	0.0	0.0	2.020586	0.0	0.0	0.02749797	0.0	0.0	0.028712941
1476	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	491.0	0.0	0.0	1.6642467	0.0	0.0	0.08054683	0.0	0.0	0.03169636
1483	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	946.0	0.0	0.0	0.23914911	0.0	0.0	0.07897489	0.0	0.0	0.023178646
1495	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	624.0	0.0	0.0	1.1446493	0.0	0.0	0.057686526	0.0	0.0	0.055456705
1497	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	388.0	0.0	0.0	3.3675349	0.0	0.0	0.011729947	0.0	0.0	0.03125536
1598	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	404.0	2.0	1.0497153	2.1827304	0.0	0.0	0.024697816	0.0	0.0	0.06667902
1614	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	261.0	0.0	0.0	1.1488472	0.0	0.0	0.15261723	0.0	0.0	0.512956
1663	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	922.0	3.0	1.0632802	0.8636298	0.0	0.0	0.04259186	0.0	0.0	0.011175946
1712	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	399.0	0.0	0.0	0.3993313	0.0	0.0	0.2279241	0.0	0.0	0.15322307
1713	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	185.0	0.0	0.0	2.1835341	0.0	0.0	0.07586788	0.0	0.0	0.06698539
1724	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	224.0	0.0	0.0	1.7511318	0.0	0.0	0.02620068	0.0	0.0	0.101955645
1772	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	606.0	1.0	0.5182407	1.9989511	0.0	0.0	0.08755181	0.0	0.0	0.03429049
1817	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	1081.0	0.0	0.0	0.44312453	0.0	0.0	0.031705182	0.0	0.0	0.058044177
1844	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	253.0	0.0	0.0	2.4886792	0.0	0.0	0.010088833	0.0	0.0	0.01702838
1892	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	916.0	0.0	0.0	0.41209283	0.0	0.0	0.082390465	0.0	0.0	0.03650934
1942	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	513.0	0.0	0.0	3.0195796	0.0	0.0	0.00680498	0.0	0.0	0.21332525
1946	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	1171.0	0.0	0.0	0.54333335	0.0	0.0	0.024312016	0.0	0.0	0.27268946
1954	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	384.0	0.0	0.0	2.4838445	0.0	0.0	0.010696223	0.0	0.0	0.04741388
2017	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	466.0	0.0	0.0	0.902792	0.0	0.0	0.04515835	0.0	0.0	0.13405815
2018	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	954.0	0.0	0.0	1.4920934	0.0	0.0	0.07335563	0.0	0.0	0.028218852
2061	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	542.0	0.0	0.0	0.3386574	0.0	0.0	0.103415035	0.0	0.0	0.02504481
2069	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	387.0	0.0	0.0	0.6932492	0.0	0.0	0.14705364	0.0	0.0	0.5847955
2109	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	483.0	0.0	0.0	0.74474686	0.0	0.0	0.05082459	0.0	0.0	0.03677986
2133	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	591.0	2.0	1.2063816	2.5769587	0.0	0.0	0.023321178	0.0	0.0	0.027384793
2205	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	602.0	0.0	0.0	0.30020967	0.0	0.0	0.12097041	0.0	0.0	0.019904273
2213	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	377.0	0.0	0.0	0.68094933	0.0	0.0	0.06805052	0.0	0.0	0.14278723
2214	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	626.0	0.0	0.0	0.39889598	0.0	0.0	0.06537787	0.0	0.0	0.2425841
2218	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	548.0	1.0	0.74494094	2.6054215	0.0	0.0	0.01799653	0.0	0.0	0.058889166
2232	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	851.0	0.0	0.0	0.7656499	0.0	0.0	0.055612788	0.0	0.0	0.10536447
2356	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	414.0	0.0	0.0	0.8837984	0.0	0.0	0.088954076	0.0	0.0	0.24400984
2402	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	397.0	0.0	0.0	0.9239908	0.0	0.0	0.21388116	0.0	0.0	0.06050474
2501	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	508.0	1.0	0.7075521	2.7006223	0.0	0.0	0.0131006725	0.0	0.0	0.08329235
2679	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	493.0	0.0	0.0	0.85803896	0.0	0.0	0.06616774	0.0	0.0	0.036026724
2745	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	640.0	1.0	0.72232234	2.5896127	0.0	0.0	0.014463517	0.0	0.0	0.03842555
2824	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	454.0	2.0	1.5439905	2.2953432	0.0	0.0	0.07609746	0.0	0.0	0.037709557
2859	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	432.0	0.0	0.0	2.0340967	0.0	0.0	0.038192317	0.0	0.0	0.054609463
2862	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	305.0	0.0	0.0	3.1046746	0.0	0.0	0.014609643	0.0	0.0	0.033452537
2898	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	467.0	0.0	0.0	2.4444363	0.0	0.0	0.011230284	0.0	0.0	0.0081033865
2940	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	306.0	0.0	0.0	1.9779706	0.0	0.0	0.034166094	0.0	0.0	0.031357348
2943	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	331.0	1.0	0.9368112	3.7114484	0.0	0.0	0.0061067375	0.0	0.0	0.018267507
2950	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	733.0	2.0	1.0600227	2.4808755	0.0	0.0	0.07041622	0.0	0.0	0.13480744
2954	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	331.0	3.0	1.738142	3.6690483	0.0	0.0	0.01216816	0.0	0.0	0.07134836
3000	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	531.0	0.0	0.0	1.516016	0.0	0.0	0.041804682	0.0	0.0	0.028208472
3025	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	832.0	0.0	0.0	0.43070808	0.0	0.0	0.05853314	0.0	0.0	0.06094533
3041	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	834.0	0.0	0.0	1.9711771	0.0	0.0	0.031002952	0.0	0.0	0.09405203
3053	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	579.0	2.0	1.0973473	2.4973862	0.0	0.0	0.018860864	0.0	0.0	0.024799522
3061	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	847.0	1.0	0.46049842	0.76752555	0.0	0.0	0.12856238	0.0	0.0	0.07835323
3098	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	652.0	0.0	0.0	1.0614564	0.0	0.0	0.13745892	0.0	0.0	0.024171647
3130	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	286.0	0.0	0.0	2.5481508	0.0	0.0	0.042423815	1.0	1.0697355	0.06769312
3133	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	631.0	4.0	1.7370484	3.2532098	0.0	0.0	0.017504958	0.0	0.0	0.046251923
3154	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	272.0	1.0	1.0130827	2.5657208	0.0	0.0	0.047134172	0.0	0.0	0.0831371
3250	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	426.0	0.0	0.0	1.1825814	0.0	0.0	0.024462407	0.0	0.0	0.22564791
3265	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	875.0	0.0	0.0	2.9129133	0.0	0.0	0.031115778	0.0	0.0	0.011829007
3281	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	523.0	0.0	0.0	2.9462233	0.0	0.0	0.007920556	0.0	0.0	0.019843921
3284	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	465.0	0.0	0.0	0.63170934	0.0	0.0	0.047637917	0.0	0.0	0.08241503
3306	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	403.0	1.0	0.8334465	1.5657588	0.0	0.0	0.08758133	0.0	0.0	0.27752742
3316	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	410.0	0.0	0.0	2.6412616	0.0	0.0	0.023281349	0.0	0.0	0.037666194
3446	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	286.0	1.0	1.019268	1.2967331	0.0	0.0	0.027191207	0.0	0.0	0.034891658
3447	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	311.0	0.0	0.0	0.9962072	0.0	0.0	0.056005463	0.0	0.0	0.047154818
3451	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	207.0	0.0	0.0	2.938394	0.0	0.0	0.021243691	0.0	0.0	0.09741959
3501	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	966.0	0.0	0.0	0.7212587	0.0	0.0	0.18961659	0.0	0.0	0.026627447
3502	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	524.0	0.0	0.0	0.20361416	0.0	0.0	0.07594689	0.0	0.0	0.020672722
3503	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	368.0	0.0	0.0	0.22939736	0.0	0.0	0.037803717	0.0	0.0	0.033635773
3509	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	549.0	0.0	0.0	0.75777304	0.0	0.0	0.059986915	0.0	0.0	0.03555741
3621	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	308.0	0.0	0.0	0.19873813	0.0	0.0	0.045655377	0.0	0.0	0.028007153
3689	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	544.0	4.0	1.8434726	2.4639816	0.0	0.0	0.0058317226	0.0	0.0	0.016452672
3690	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	319.0	0.0	0.0	1.2720577	0.0	0.0	0.03911061	0.0	0.0	0.034582622
3697	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	418.0	0.0	0.0	0.8154955	0.0	0.0	0.043095518	0.0	0.0	0.051325258
3769	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	477.0	0.0	0.0	0.74639523	0.0	0.0	0.08702325	0.0	0.0	0.07465687
3781	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	822.0	0.0	0.0	0.4285437	0.0	0.0	0.025049936	0.0	0.0	0.03626697
3795	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	507.0	0.0	0.0	0.59090555	0.0	0.0	0.04231422	0.0	0.0	0.035434924
3817	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	399.0	1.0	0.99629664	1.9003136	0.0	0.0	0.039590433	0.0	0.0	0.041376665
3861	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	363.0	0.0	0.0	0.8465292	0.0	0.0	0.018105526	0.0	0.0	0.053868193
3883	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	357.0	0.0	0.0	1.7371187	0.0	0.0	0.032440744	0.0	0.0	0.057185363
3901	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	393.0	0.0	0.0	0.26077807	0.0	0.0	0.033571836	0.0	0.0	0.014183289
3911	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	357.0	1.0	1.1269976	2.3619952	0.0	0.0	0.009658646	0.0	0.0	0.02615642
3943	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	366.0	0.0	0.0	0.51845074	0.0	0.0	0.05316592	0.0	0.0	0.032532033
3958	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	365.0	0.0	0.0	0.5559139	0.0	0.0	0.08361941	0.0	0.0	0.046533126
3960	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	417.0	0.0	0.0	0.617418	0.0	0.0	0.044018403	0.0	0.0	0.029176079
3962	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	735.0	0.0	0.0	0.6067172	0.0	0.0	0.1016154	0.0	0.0	0.06447122
3967	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	491.0	0.0	0.0	0.764408	0.0	0.0	0.04903897	0.0	0.0	0.022419613
3993	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	517.0	0.0	0.0	0.31510296	0.0	0.0	0.12690209	0.0	0.0	0.031155251
3996	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	472.0	0.0	0.0	0.9047296	0.0	0.0	0.021509439	0.0	0.0	0.034813326
4008	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	280.0	1.0	1.2372675	2.5619578	0.0	0.0	0.003552676	0.0	0.0	0.018423079
4011	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	411.0	0.0	0.0	1.4455875	0.0	0.0	0.022867538	0.0	0.0	0.051236358
4043	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	486.0	0.0	0.0	2.1286736	0.0	0.0	0.02126766	0.0	0.0	0.07314072
4075	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	405.0	0.0	0.0	1.4955082	0.0	0.0	0.008722072	0.0	0.0	0.02590837
4122	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	817.0	0.0	0.0	0.35849437	0.0	0.0	0.110248215	0.0	0.0	0.07297097
4154	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	493.0	0.0	0.0	0.37863773	0.0	0.0	0.21930774	0.0	0.0	0.28525
4163	vascular associated smooth muscle cell	047d57f2-4d14-45de-aa98-336c6f583750	pooled	unknown	normal	484.0	0.0	0.0	0.75292933	0.0	0.0	0.04490134	0.0	0.0	0.033807863
