cell_id	dataset_id	donor_id	sex	disease	total_counts_cell	Agtr1a_counts	Agtr1a_lognorm	Agtr1a_scvi_corrected	Agtr1b_counts	Agtr1b_lognorm	Agtr1b_scvi_corrected	Agtr2_counts	Agtr2_lognorm	Agtr2_scvi_corrected
59525	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-5/6	male	normal	200.0	1.0	1.5192679	3.079482	0.0	0.0	0.008481879	0.0	0.0	0.016401893
59596	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-7/8	male	normal	229.0	0.0	0.0	3.4037507	0.0	0.0	0.0010961111	0.0	0.0	0.008647994
59665	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-7/8	male	normal	238.0	0.0	0.0	3.457502	0.0	0.0	0.0011790772	0.0	0.0	0.005731424
59674	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-7/8	male	normal	352.0	1.0	1.4431833	3.374182	0.0	0.0	0.0033007902	0.0	0.0	0.017421309
59708	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-7/8	male	normal	165.0	0.0	0.0	3.2142427	0.0	0.0	0.0024045473	0.0	0.0	0.005732389
59747	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-7/8	male	normal	187.0	1.0	1.6276026	3.2506993	0.0	0.0	0.0042962376	0.0	0.0	0.011289077
59789	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-7/8	male	normal	179.0	0.0	0.0	3.5412948	0.0	0.0	0.0026133049	0.0	0.0	0.007604256
59852	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-7/8	male	normal	254.0	3.0	2.6131697	3.4531076	0.0	0.0	0.0030471983	0.0	0.0	0.019742917
59877	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-7/8	male	normal	247.0	2.0	2.1593812	3.560799	0.0	0.0	0.0114696715	0.0	0.0	0.030718286
59917	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-7/8	male	normal	306.0	0.0	0.0	3.5783603	0.0	0.0	0.0017263661	0.0	0.0	0.007659938
59944	48b37086-25f7-4ecd-be66-f5bb378e3aea	3-M-7/8	male	normal	237.0	0.0	0.0	3.4359653	0.0	0.0	0.0032211435	0.0	0.0	0.01322539
58957	48b37086-25f7-4ecd-be66-f5bb378e3aea	30-M-3	male	normal	386.0	3.0	2.2734993	3.6757064	0.0	0.0	0.0026808674	0.0	0.0	0.019757055
59005	48b37086-25f7-4ecd-be66-f5bb378e3aea	30-M-4	male	normal	501.0	2.0	1.8487519	3.130381	0.0	0.0	0.0026253692	0.0	0.0	0.0089736255
56893	98e5ea9f-16d6-47ec-a529-686e76515e39	18_46_F	female	normal	269515.0	953.0	1.9666138	3.6557183	0.0	0.0	0.00069973833	0.0	0.0	0.0015070272
56895	98e5ea9f-16d6-47ec-a529-686e76515e39	18_46_F	female	normal	376867.0	2317.0	2.497056	2.664592	0.0	0.0	0.0003962517	0.0	0.0	6.1664774e-05
57084	98e5ea9f-16d6-47ec-a529-686e76515e39	18_46_F	female	normal	287576.0	1893.0	2.4706373	3.5355237	0.0	0.0	0.0028071422	0.0	0.0	0.0053105974
57204	98e5ea9f-16d6-47ec-a529-686e76515e39	18_46_F	female	normal	124262.0	543.0	2.0950773	3.6490567	0.0	0.0	0.00069860235	0.0	0.0	0.003089874
57288	98e5ea9f-16d6-47ec-a529-686e76515e39	18_47_F	female	normal	99887.0	928.0	2.7466106	3.6123445	0.0	0.0	0.00010760248	0.0	0.0	0.0005809616
57291	98e5ea9f-16d6-47ec-a529-686e76515e39	18_47_F	female	normal	221495.0	2456.0	3.0470767	3.3135438	0.0	0.0	0.0003393924	0.0	0.0	0.000788448
57293	98e5ea9f-16d6-47ec-a529-686e76515e39	18_47_F	female	normal	407161.0	1600.0	2.209854	3.484505	0.0	0.0	0.0019911972	0.0	0.0	0.0014452063
57295	98e5ea9f-16d6-47ec-a529-686e76515e39	18_47_F	female	normal	354865.0	3082.0	2.8808713	3.5891354	0.0	0.0	0.001109528	0.0	0.0	0.001473483
57522	98e5ea9f-16d6-47ec-a529-686e76515e39	24_58_M	male	normal	94039.0	0.0	0.0	0.61636543	0.0	0.0	0.0053928955	0.0	0.0	0.000995144
57967	98e5ea9f-16d6-47ec-a529-686e76515e39	3_10_M	male	normal	24346.0	32.0	1.1790116	4.094254	0.0	0.0	0.0009330899	0.0	0.0	0.0023428781
57979	98e5ea9f-16d6-47ec-a529-686e76515e39	3_11_M	male	normal	66834.0	273.0	1.923776	3.8620234	0.0	0.0	0.00020030675	0.0	0.0	0.0004094392
57950	98e5ea9f-16d6-47ec-a529-686e76515e39	3_39_F	female	normal	35808.0	123.0	1.715622	3.3307495	0.0	0.0	0.00046574217	0.0	0.0	0.00053829397
58026	98e5ea9f-16d6-47ec-a529-686e76515e39	3_39_F	female	normal	25313.0	117.0	2.177374	3.8328288	0.0	0.0	0.002815059	0.0	0.0	0.0061316886
57864	98e5ea9f-16d6-47ec-a529-686e76515e39	3_8_M	male	normal	110059.0	639.0	2.300246	2.7824583	0.0	0.0	0.00067156873	0.0	0.0	0.0011812018
58066	98e5ea9f-16d6-47ec-a529-686e76515e39	3_8_M	male	normal	54127.0	50.0	0.8435034	3.4408312	0.0	0.0	0.0016998788	0.0	0.0	0.0007842936
57793	98e5ea9f-16d6-47ec-a529-686e76515e39	3_9_M	male	normal	76764.0	1209.0	3.1587758	4.00528	0.0	0.0	0.0021412838	0.0	0.0	0.0020457464
