cluster	donor_id	gene_name	expression
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_3	AGTR1	1.1646463
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_4	ACTA2	2.561909
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_4	AGTR1	1.5757155
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_5	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_5	AGTR1	2.356359
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_6	ACTA2	1.8496606
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_6	AGTR1	2.0161345
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU653	ACTA2	1.7431661
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU653	AGTR1	0.87739426
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU675	ACTA2	1.6840949
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU675	AGTR1	2.1932616
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU679	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU679	AGTR1	1.7693164
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU682	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU682	AGTR1	2.725711
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU684	ACTA2	2.4049027
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU684	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SAMN12574699	ACTA2	1.4457132
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SAMN12574699	AGTR1	0.584248
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD1	ACTA2	1.9510115
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD1	AGTR1	0.8963711
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	ACTA2	2.0373282
