gene
PDLIM1
PELI1
PELI2
PFN1
PI4KA
PIBF1
PIK3CA
PIKFYVE
PKD1
PLEKHA3
PLEKHH3
PLOD1
PLOD2
PLP2
PLS3
PNPLA2
POLD2
POLR1D
POLR2A
POLR2G
PPIA
PPIL4
PPP1R12A
PPP2R1A
PPP2R5C
PRCP
PRDM2
PRDX2
PRDX4
PRDX6
PREX2
PRKAR1A
PRKRIP1
PRKX
PRRC2A
PSMB4
PSMB8
PSMC2
PSMD2
PSMD6
PSMD8
PSMG2
PSPC1
PTN
PTP4A3
PTPN11
PTPN2
R3HCC1
R3HDM1
RAB13
RAB18
RAB1A
RAB28
RAC1
RACK1
RAP1GDS1
RAPGEF2
RAPH1
RARA
RBM25
RBMX
RBX1
RC3H2
RCN1
RDH11
RELCH
RERG
RFX3
RHOB
RIN2
RNF180
RPL10A
RPL13A
RPL14
RPL15
RPL18
RPL18A
RPL19
RPL21
RPL22
RPL23A
RPL24
RPL26
RPL27
RPL28
RPL3
RPL30
RPL31
RPL34
RPL35A
RPL36
RPL37A
RPL39
RPL5
RPL6
RPL7
RPL7A
RPL8
RPL9
RPLP0
RPLP2
RPS11
RPS12
RPS14
RPS15
RPS15A
RPS2
RPS23
RPS27
RPS28
RPS29
RPS3
RPS3A
RPS4X
RPS5
RPS6
RPS6KA2
RPS7
RPS9
RTL8A
RUFY2
S1PR1
SAMD4B
SAP30BP
SAR1A
SARS1
SBF2
SEC24B
SEC31A
SEC61A1
SECISBP2
SELENOS
SELENOW
SEMA5A
SEPTIN11
SEPTIN7
SERF2
SERP1
SERPINB6
SERPINH1
SETD5
SFN
SH3BGRL3
SH3BP2
SH3KBP1
SKAP2
SKP1
SLC25A13
SLC25A4
SLC25A5
SLC39A7
SMAP1
SMARCC2
SMARCE1
SNAP23
SNRNP27
SNRPB2
SNRPD2
SNRPD3
SNRPG
SNX18
SNX9
SOD2
SON
SOX4
SP110
SPARCL1
SPATA6
SPCS1
SPG7
SREBF2
SRP14
SRP54
SRRM1
SRSF7
SSB
STAG1
STAT1
STIP1
STK24
STMN1
STOM
STX12
SUCLA2
SUPT20H
SWAP70
SYF2
SYNRG
SYPL1
TACC1
TAF1
TANC1
TAX1BP1
TBX2
TCAF1
TCEAL4
TCEAL9
TCF4
TCIM
TEK
TENT2
TESC
TGFB1
TGFB2
TGFBR3
THOC2
THRA
TIMP1
TIPARP
TJP1
TM7SF3
TMBIM1
TMCC1
TMCO1
TMEM106C
TMEM115
TMEM165
TMEM47
TMEM50A
TMEM59
TMSB10
TMX4
TNKS2
TNRC6B
TOR1AIP2
TP53I3
TPM2
TPM3
TPM4
TPR
TRA2B
TRAPPC12
TRAPPC2
TRAPPC9
TRIM2
TRIM28
TRIM38
TRIP10
TRIP11
TRMT112
TRPC3
TRPM7
TSC22D1
TSN
TSPAN14
TUBB4B
TUBGCP2
TXN
TXN2
TXNIP
UACA
UBA52
UBB
UBC
UBE2D2
UBE2E2
UBE2H
UBQLN1
UBR2
UPF3A
USO1
USP11
USP16
USP3
UST
VAMP5
VEZF1
VPS26A
VPS28
WAPL
WWTR1
XRCC5
XYLT1
YIPF6
YWHAG
ZC3H13
ZCCHC24
ZFP36
ZFPM2
ZKSCAN1
ZNF106
ZNF24
ZNF254
ZNF326
ZNF609
ZNF703
ZSWIM6
