dropped_dataset	dropped_level	response	n	n_dropped	n_studies	n_datasets	estimate	se	p	singular	model
Sun_2020_batch3	dataset	injury_frac	86	3	18	22	0.00922923226103653	0.0100266473799945	0.363105285361946	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch4	dataset	injury_frac	86	3	18	22	0.00922080407661069	0.0100257747204164	0.363464524035328	FALSE	lmer(~ disease_group + sex + (1 | study))
Tata_unpubl	dataset	injury_frac	88	1	17	22	0.00859823134286085	0.00998827851676324	0.394835664656406	FALSE	lmer(~ disease_group + sex + (1 | study))
Thienpont_2018_10Xv2	dataset	injury_frac	85	4	17	22	0.011091054493304	0.0103362236365211	0.289594422257868	FALSE	lmer(~ disease_group + sex + (1 | study))
Banovich_Kropski_2020	dataset	niche_index	74	15	17	22	-0.851660616719543	0.29522919242713	0.00524302471413897	FALSE	lmer(~ disease_group + sex + (1 | study))
Budinger_2020	dataset	niche_index	86	3	17	22	-0.838105608190571	0.28057958138143	0.00380334149866713	FALSE	lmer(~ disease_group + sex + (1 | study))
Duong_lungMAP_unpubl	dataset	niche_index	88	1	17	22	-0.839152795401659	0.27316868543934	0.00297482269387263	FALSE	lmer(~ disease_group + sex + (1 | study))
Eils_2020	dataset	niche_index	86	3	17	22	-0.852005383565195	0.277049923562637	0.00293247130555471	FALSE	lmer(~ disease_group + sex + (1 | study))
Kaminski_2020	dataset	niche_index	82	7	17	22	-0.846631246362652	0.271337676171939	0.00257848750776225	FALSE	lmer(~ disease_group + sex + (1 | study))
Krasnow_2020	dataset	niche_index	86	3	17	22	-0.843332608012093	0.278413929684987	0.00338375280460978	FALSE	lmer(~ disease_group + sex + (1 | study))
Lafyatis_2019	dataset	niche_index	85	4	17	22	-0.979691334580268	0.292170000313995	0.00122927503016839	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2019	dataset	niche_index	88	1	17	22	-0.826367082527964	0.243910375674683	0.00127541327262585	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2021_3prime	dataset	niche_index	88	1	18	22	-0.84708856610674	0.273192253810598	0.00269155979980701	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2021_5prime	dataset	niche_index	85	4	18	22	-0.853532173856906	0.271349924963717	0.00238082038338495	FALSE	lmer(~ disease_group + sex + (1 | study))
Misharin_2021	dataset	niche_index	87	2	17	22	-0.854620906504572	0.27055535680277	0.00229438502103125	FALSE	lmer(~ disease_group + sex + (1 | study))
Peer_Massague_2020	dataset	niche_index	87	2	17	22	-0.716185522901647	0.282359005806279	0.013464125753813	FALSE	lmer(~ disease_group + sex + (1 | study))
Regev_2021_Cryo	dataset	niche_index	87	2	18	22	-0.855279616459004	0.270995735438062	0.00229392885894221	FALSE	lmer(~ disease_group + sex + (1 | study))
Regev_2021_Nuclei	dataset	niche_index	77	12	18	22	-0.812220889158786	0.280329905092729	0.00503660742951515	FALSE	lmer(~ disease_group + sex + (1 | study))
Schiller_2020	dataset	niche_index	84	5	17	22	-0.945236799089589	0.330294520247316	0.00583355188612326	FALSE	lmer(~ disease_group + sex + (1 | study))
Schiller_2021	dataset	niche_index	87	2	17	22	-0.819780052489108	0.27042557979312	0.0034161892177517	FALSE	lmer(~ disease_group + sex + (1 | study))
Sheppard_2020	dataset	niche_index	81	8	17	22	-0.708791086315224	0.368639602825825	0.0611913529450303	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch1	dataset	niche_index	88	1	18	22	-0.844115845002738	0.272689097571596	0.00274921505560606	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch2	dataset	niche_index	87	2	18	22	-0.856091353622595	0.268619972646876	0.00208512178309746	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch3	dataset	niche_index	86	3	18	22	-0.844510162122354	0.272703885499379	0.00277559766081257	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch4	dataset	niche_index	86	3	18	22	-0.851329975273405	0.274165052122749	0.00268780054737826	FALSE	lmer(~ disease_group + sex + (1 | study))
Tata_unpubl	dataset	niche_index	88	1	17	22	-0.852149094070691	0.274584440697778	0.00269815199459165	FALSE	lmer(~ disease_group + sex + (1 | study))
Thienpont_2018_10Xv2	dataset	niche_index	85	4	17	22	-0.857349266504402	0.278881287142938	0.00293725954827315	FALSE	lmer(~ disease_group + sex + (1 | study))
Banovich_Kropski_2020	dataset	injury_stromal_score	74	15	17	22	0.642501039066794	0.23959014893551	0.00925568776343317	FALSE	lmer(~ disease_group + sex + (1 | study))
Budinger_2020	dataset	injury_stromal_score	86	3	17	22	0.717808727650099	0.21613253062727	0.00142723548002074	FALSE	lmer(~ disease_group + sex + (1 | study))
Duong_lungMAP_unpubl	dataset	injury_stromal_score	88	1	17	22	0.746045765700465	0.210163086908589	0.00068920699812175	FALSE	lmer(~ disease_group + sex + (1 | study))
Eils_2020	dataset	injury_stromal_score	86	3	17	22	0.742014251025123	0.219383035066635	0.00116563194339337	FALSE	lmer(~ disease_group + sex + (1 | study))
Kaminski_2020	dataset	injury_stromal_score	82	7	17	22	0.763989822511928	0.220553489671409	0.000912087170411161	FALSE	lmer(~ disease_group + sex + (1 | study))
Krasnow_2020	dataset	injury_stromal_score	86	3	17	22	0.749489905937479	0.220155909603083	0.00108512681134765	FALSE	lmer(~ disease_group + sex + (1 | study))
Lafyatis_2019	dataset	injury_stromal_score	85	4	17	22	0.762190898648388	0.23396981349828	0.00165713826255604	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2019	dataset	injury_stromal_score	88	1	17	22	0.77525023740232	0.20704650344326	0.000365630319671834	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2021_3prime	dataset	injury_stromal_score	88	1	18	22	0.744399465275299	0.216652069936929	0.000966432637950278	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2021_5prime	dataset	injury_stromal_score	85	4	18	22	0.747387515458837	0.213612104896402	0.000803159619221813	FALSE	lmer(~ disease_group + sex + (1 | study))
Misharin_2021	dataset	injury_stromal_score	87	2	17	22	0.748682102822931	0.212364264892622	0.000729497663787546	FALSE	lmer(~ disease_group + sex + (1 | study))
Peer_Massague_2020	dataset	injury_stromal_score	87	2	17	22	0.721084052461154	0.228255660519518	0.00227588884374108	FALSE	lmer(~ disease_group + sex + (1 | study))
Regev_2021_Cryo	dataset	injury_stromal_score	87	2	18	22	0.742918087787653	0.205644156514404	0.000532694057174827	FALSE	lmer(~ disease_group + sex + (1 | study))
Regev_2021_Nuclei	dataset	injury_stromal_score	77	12	18	22	0.66380156430316	0.204272478325942	0.00185814332487487	FALSE	lmer(~ disease_group + sex + (1 | study))
Schiller_2020	dataset	injury_stromal_score	84	5	17	22	0.919688529497976	0.252813608113651	0.000576170452372673	FALSE	lmer(~ disease_group + sex + (1 | study))
Schiller_2021	dataset	injury_stromal_score	87	2	17	22	0.743939792576826	0.218645703733885	0.00108302310729976	FALSE	lmer(~ disease_group + sex + (1 | study))
Sheppard_2020	dataset	injury_stromal_score	81	8	17	22	0.754136646979508	0.284787500849553	0.0117879690879938	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch1	dataset	injury_stromal_score	88	1	18	22	0.744195354597486	0.212865775685985	0.000800799373100717	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch2	dataset	injury_stromal_score	87	2	18	22	0.749824933298537	0.213016854050202	0.000738104394737797	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch3	dataset	injury_stromal_score	86	3	18	22	0.750901061160213	0.213175891876969	0.000744706499131348	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch4	dataset	injury_stromal_score	86	3	18	22	0.74497355693182	0.214417653649859	0.000852988719898032	FALSE	lmer(~ disease_group + sex + (1 | study))
Tata_unpubl	dataset	injury_stromal_score	88	1	17	22	0.748043723636765	0.217567472223315	0.000964625143735394	FALSE	lmer(~ disease_group + sex + (1 | study))
Thienpont_2018_10Xv2	dataset	injury_stromal_score	85	4	17	22	0.738697886655513	0.222759790428578	0.00142278428024939	FALSE	lmer(~ disease_group + sex + (1 | study))
Banovich_Kropski_2020	dataset	AGTR1_pos_frac	74	15	17	22	-0.0813086087883301	0.0734125197267785	0.271979313226431	FALSE	lmer(~ disease_group + sex + (1 | study))
Budinger_2020	dataset	AGTR1_pos_frac	86	3	17	22	-0.0577378402115492	0.0724113541178858	0.427764185269578	FALSE	lmer(~ disease_group + sex + (1 | study))
Duong_lungMAP_unpubl	dataset	AGTR1_pos_frac	88	1	17	22	-0.0548274683546363	0.0706199179789307	0.439991530845211	FALSE	lmer(~ disease_group + sex + (1 | study))
Eils_2020	dataset	AGTR1_pos_frac	86	3	17	22	-0.0556005646545887	0.0719292199981336	0.442023241758027	FALSE	lmer(~ disease_group + sex + (1 | study))
Kaminski_2020	dataset	AGTR1_pos_frac	82	7	17	22	-0.0533001625362581	0.0715048468817453	0.458449151213293	FALSE	lmer(~ disease_group + sex + (1 | study))
Krasnow_2020	dataset	AGTR1_pos_frac	86	3	17	22	-0.0538213251155973	0.0714397827540254	0.453671690012752	FALSE	lmer(~ disease_group + sex + (1 | study))
Lafyatis_2019	dataset	AGTR1_pos_frac	85	4	17	22	-0.0900936893379	0.0737570927530051	0.225535442923333	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2019	dataset	AGTR1_pos_frac	88	1	17	22	-0.0586632181982176	0.0703990367051574	0.407341214573167	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2021_3prime	dataset	AGTR1_pos_frac	88	1	18	22	-0.0564976258826617	0.0710291243239921	0.428875891121102	FALSE	lmer(~ disease_group + sex + (1 | study))
Meyer_2021_5prime	dataset	AGTR1_pos_frac	85	4	18	22	-0.0559743731277979	0.0714224920150589	0.435739846325992	FALSE	lmer(~ disease_group + sex + (1 | study))
Misharin_2021	dataset	AGTR1_pos_frac	87	2	17	22	-0.0577851067714017	0.0716436826352884	0.422491495154789	FALSE	lmer(~ disease_group + sex + (1 | study))
Peer_Massague_2020	dataset	AGTR1_pos_frac	87	2	17	22	-0.0166396663517214	0.072491846646044	0.819106808623889	FALSE	lmer(~ disease_group + sex + (1 | study))
Regev_2021_Cryo	dataset	AGTR1_pos_frac	87	2	18	22	-0.0571910126193207	0.0711483643387357	0.424064308167499	FALSE	lmer(~ disease_group + sex + (1 | study))
Regev_2021_Nuclei	dataset	AGTR1_pos_frac	77	12	18	22	-0.0558638409544576	0.0718457061732398	0.439506233169601	FALSE	lmer(~ disease_group + sex + (1 | study))
Schiller_2020	dataset	AGTR1_pos_frac	84	5	17	22	-0.0414526541986813	0.0791878226963394	0.603064367170186	FALSE	lmer(~ disease_group + sex + (1 | study))
Schiller_2021	dataset	AGTR1_pos_frac	87	2	17	22	-0.0559074021564817	0.0715715053866872	0.437210048886127	FALSE	lmer(~ disease_group + sex + (1 | study))
Sheppard_2020	dataset	AGTR1_pos_frac	81	8	17	22	-0.020036135163201	0.0917767687315923	0.828093763080174	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch1	dataset	AGTR1_pos_frac	88	1	18	22	-0.0564446360127216	0.0698544078215506	0.421565534889074	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch2	dataset	AGTR1_pos_frac	87	2	18	22	-0.056309523482565	0.0711585671356529	0.431285849790449	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch3	dataset	AGTR1_pos_frac	86	3	18	22	-0.0561067460566907	0.0716730050317899	0.43625556021286	FALSE	lmer(~ disease_group + sex + (1 | study))
Sun_2020_batch4	dataset	AGTR1_pos_frac	86	3	18	22	-0.0575337048798413	0.0706246907330838	0.417926928917947	FALSE	lmer(~ disease_group + sex + (1 | study))
Tata_unpubl	dataset	AGTR1_pos_frac	88	1	17	22	-0.055059206134938	0.0707068574132075	0.438627154113587	FALSE	lmer(~ disease_group + sex + (1 | study))
Thienpont_2018_10Xv2	dataset	AGTR1_pos_frac	85	4	17	22	-0.070135792749652	0.0691911446449602	0.314025476809589	FALSE	lmer(~ disease_group + sex + (1 | study))
