dropped_dataset	response	n	estimate	se	p
Misharin_2021	niche_index	34	-0.680441859742239	0.365051693254063	0.0724803224517646
Schiller_2021	niche_index	34	-0.593853127134812	0.323501008232105	0.0766749249938712
Lafyatis_2019	niche_index	33	-0.390974100615488	0.7081940333485	0.5852790715334
Banovich_Kropski_2020	niche_index	30	-0.604090942986095	0.354139130074532	0.100440881506147
Krasnow_2020	niche_index	33	-0.712698619518615	0.372025248577272	0.0656628083454159
Schiller_2020	niche_index	32	-0.80365143723526	0.441487500515305	0.0798121516033577
Meyer_2021_3prime	injury_stromal_score	35	0.739568394104945	0.239427297947284	0.00430434427793148
Meyer_2021_5prime	injury_stromal_score	34	0.773303490255518	0.237326832619459	0.00285729784124077
Budinger_2020	injury_stromal_score	33	0.746359115681452	0.234564118473835	0.00347533419912677
Sun_2020_batch3	injury_stromal_score	33	0.715324013157913	0.228603431430533	0.00407151128674093
Sun_2020_batch2	injury_stromal_score	35	0.747408958785809	0.234647877801309	0.00336409375762808
Sun_2020_batch4	injury_stromal_score	34	0.760958542327459	0.242607989625544	0.00389987423027547
Sun_2020_batch1	injury_stromal_score	35	0.753924675251542	0.239057061129409	0.0036474955869229
Duong_lungMAP_unpubl	injury_stromal_score	35	0.732063261096403	0.23135079434748	0.00355005206203813
Tata_unpubl	injury_stromal_score	35	0.772025527481572	0.233137436801205	0.00242574719261499
Eils_2020	injury_stromal_score	35	0.77990531450855	0.234530002652257	0.00233910318475954
Misharin_2021	injury_stromal_score	34	0.740606102427083	0.241354491887101	0.0046313228362364
Schiller_2021	injury_stromal_score	34	0.74735430765986	0.244386883453894	0.00475479456517599
Lafyatis_2019	injury_stromal_score	33	0.176423932875766	0.440668271332939	0.691933082406556
Banovich_Kropski_2020	injury_stromal_score	30	0.747707316993195	0.248643058471353	0.00593527764813766
Krasnow_2020	injury_stromal_score	33	0.827495509572622	0.235855526726069	0.00154205719147681
Schiller_2020	injury_stromal_score	32	0.971261790850926	0.280078721448961	0.00177423181131193
Meyer_2021_3prime	AGTR1_pos_frac	35	0.0609194290007154	0.117421400383396	0.607699261421133
Meyer_2021_5prime	AGTR1_pos_frac	34	0.0600038595739987	0.11962115008508	0.619724804748833
Budinger_2020	AGTR1_pos_frac	33	0.058002517288609	0.117500764758787	0.625281795014712
Sun_2020_batch3	AGTR1_pos_frac	33	0.0525946784971777	0.11905259564199	0.662043928099952
Sun_2020_batch2	AGTR1_pos_frac	35	0.0580550811246578	0.115590829494728	0.619160937629627
Sun_2020_batch4	AGTR1_pos_frac	34	0.0559799887667982	0.114333309942455	0.628085491503929
Sun_2020_batch1	AGTR1_pos_frac	35	0.0632626447377674	0.114580483058465	0.584953505189996
Duong_lungMAP_unpubl	AGTR1_pos_frac	35	0.0703310181907061	0.114242366979633	0.542781540747553
Tata_unpubl	AGTR1_pos_frac	35	0.0682562396017819	0.113894608940011	0.553476862850088
Eils_2020	AGTR1_pos_frac	35	0.06650071767388	0.116506343302868	0.572392800507117
Misharin_2021	AGTR1_pos_frac	34	0.0604154644728306	0.119378047794152	0.616622621608323
Schiller_2021	AGTR1_pos_frac	34	0.0723472033561749	0.116864493485196	0.540703947647519
Lafyatis_2019	AGTR1_pos_frac	33	-0.35874946108166	0.202357388909816	0.0871339643992778
Banovich_Kropski_2020	AGTR1_pos_frac	30	0.0751790591743813	0.124508715534492	0.551412987763983
Krasnow_2020	AGTR1_pos_frac	33	0.0876015180127636	0.116719061759681	0.459194852252219
Schiller_2020	AGTR1_pos_frac	32	0.140108671138177	0.103089588498639	0.185361224907205
