sample	Pattern_1	Pattern_2	Pattern_3	Pattern_4	Pattern_5	cell_type	donor_id	disease_group	n_cells
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747454C	0.309787205475259	1.18329984263925	-0.107006598874226	1.22496234336283	0.597659015892829	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747454C	Healthy	50
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837478CO	0.360875041697193	2.16303743246887	-0.520140696793232	1.24859051985881	0.839492797261048	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837478CO	COPD	10
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837479JQK55ng	0.926317351351222	0.837224437277415	-0.352860870661378	0.743061392400095	0.841535140377577	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837479JQK55ng	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	0.165342248843656	1.22708433419317	0.261218098030665	1.26453719815482	-0.316993816283127	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A32	0.15435129804526	1.29855578451111	0.358936646974469	1.19435971190058	-0.288979933896649	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A32	Healthy	55
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A37	0.226157565276004	1.07321217133433	0.109433034343335	2.0657010712595	-0.337092270240056	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A37	Healthy	48
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40	0.237689098878653	1.35623289131686	0.0992680671940282	1.73253221317605	-0.428510534400303	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40	Healthy	38
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43	0.15050969927371	1.96729359601547	0.196667168125401	1.18168065496045	-0.344821743782686	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43	Healthy	147
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	0.19537383772634	0.884652562830258	0.271543373038555	1.68586942581132	-0.285366002355629	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A47	0.0910407580340612	1.23693441888575	-0.0282007623623524	0.888157974173662	-0.178216871770389	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A47	Healthy	89
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A9LCTZng	0.989968308587322	1.75326415106746	-0.841713753247361	0.725391737208743	0.916736056803757	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A9LCTZng	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Case_1	0.318979999848776	1.65359457795862	0.0771355450235976	1.37313452359937	-0.428493866964501	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Case_1	Other	16
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Cryobiopsy_01	0.244473827972042	0.835296416224132	0.193465438201673	1.85296192886908	-0.334949135662923	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Cryobiopsy_01	Fibrotic_ILD	99
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D032	0.765986472512715	0.463158768287167	-0.229752446543445	0.506221431031962	1.25087879353486	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D032	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046	0.823363539018652	0.379347455158902	-0.136766951385315	0.698387321915935	1.26333691514862	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	0.7059473603063	0.232362631138477	-0.209517672027605	0.741375396263323	1.49117923970725	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D088	0.435067792513492	0.511206761976757	-0.186968023644566	0.837026423955251	1.31980403887628	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D088	Healthy	72
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D1	0.515786569472286	0.183308532415054	-0.215603572705232	0.709476426310703	1.1194032852563	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D1	Other	207
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D10	0.35520291264571	1.29758272850524	-0.900611991115565	0.987048667513824	0.511185164678567	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D10	Other	18
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D11	0.332426406489166	0.5195661532603	-0.473101843806216	0.907370546068567	0.326757544876746	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D11	Other	153
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12	0.455736064915789	0.356077437932507	-0.213212329486076	0.882488341591724	0.583563249138198	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12	Other	202
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D122	0.770762185184856	0.146920405013026	-0.2054727994351	0.603163610078784	1.24887739760486	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D122	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D13	0.56336067939238	0.242967120737231	-0.577537110401491	0.929098928420669	1.34384796173639	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D13	Other	264
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139	0.707151330175318	0.189952380083482	-0.20213904226322	0.541782135613115	1.52413167908376	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D14	0.710389684937244	0.307706085480919	-0.728754817663112	0.791041213515268	1.69303621034776	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D14	Other	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D15	0.734825632560726	0.168144021415239	-0.361028402872515	0.503325935651779	1.23946411343383	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D15	Other	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D150	0.702264016239993	0.845430038617016	-0.675897136265331	1.01553450332271	1.52499721693359	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D150	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D16	0.772086306916278	0.216876032516841	-0.606956822635402	0.668565505440897	1.71084407105244	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D16	Other	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D17	0.727163927814452	0.211398684557675	-0.49624192854987	0.672180937564641	1.33258893938311	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D17	Other	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D175	0.768466718763826	0.31004245397473	-0.482578171753537	0.551440771782211	1.48491405813512	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D175	Healthy	75
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D2	0.495925210611929	0.149696647004598	-0.410646617724269	0.282734540551085	0.925482808099043	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D2	Other	52
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D231	0.681313689754782	0.155885245131769	-0.00202213931882103	0.654450532611614	1.40981496845411	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D231	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	0.963668570097793	0.754681392693091	-0.786369831334045	0.506429438625867	1.50190867471725	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D3	0.226993154081253	0.622115464516401	-0.289904341018671	1.12776341807918	0.103362900811626	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D3	Other	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D344	0.167596724304465	0.869361510525059	0.0635464955640983	1.28063153664638	-0.313396604754606	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D344	Healthy	10
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D4	0.620788635814918	0.170334556624553	-0.305875474676437	0.527984621686821	0.946939034431997	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D4	Other	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D5	0.704260204043468	0.150864662699385	-0.530546312440024	0.428770022829027	1.50683405792128	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D5	Other	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D6	0.493334332843537	0.447295866035965	-0.309222446727791	0.718038000004777	0.80230693316453	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D6	Other	78
