pattern	program	cell_type	term	estimate	se	p	n
Pattern_6	Pattern_6 (fibroblast_like)	AT1	disease_groupHealthy	0.238680010901264	0.0821767220788242	0.00417681723083058	171
Pattern_6	Pattern_6 (fibroblast_like)	AT1	disease_groupOther	0.137700475611773	0.0948420486069247	0.148407541749178	171
Pattern_6	Pattern_6 (fibroblast_like)	AT2	disease_groupFibrotic_ILD	0.417172186878833	0.100398466944328	4.57269263627864e-05	236
Pattern_6	Pattern_6 (fibroblast_like)	AT2	disease_groupHealthy	0.336493434404768	0.0942321969622853	0.000432423739726904	236
Pattern_6	Pattern_6 (fibroblast_like)	AT2	disease_groupOther	0.196515869752368	0.104963870792191	0.0624336874874646	236
Pattern_6	Pattern_6 (fibroblast_like)	Adventitial fibroblasts	disease_groupFibrotic_ILD	0.679577999290534	0.180595373549562	0.000243123522551908	149
Pattern_6	Pattern_6 (fibroblast_like)	Adventitial fibroblasts	disease_groupHealthy	0.478265202287802	0.173597549915646	0.00662174935498683	149
Pattern_6	Pattern_6 (fibroblast_like)	Adventitial fibroblasts	disease_groupOther	0.391642583164239	0.193613997186789	0.0449317859286071	149
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar fibroblasts	disease_groupFibrotic_ILD	0.734131764076909	0.196196000012055	0.000265111565514095	145
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar fibroblasts	disease_groupHealthy	0.217354246028659	0.181496595312551	0.233095166095776	145
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar fibroblasts	disease_groupOther	-0.0448071236604238	0.199648393945201	0.822747489998911	145
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar macrophages	disease_groupFibrotic_ILD	0.277597354678078	0.0830179581906901	0.00092669224129095	317
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar macrophages	disease_groupHealthy	0.225113263572002	0.0782994127123505	0.00431669080516415	317
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar macrophages	disease_groupOther	0.282254841482052	0.0831354250844549	0.000774379999956619	317
Pattern_6	Pattern_6 (fibroblast_like)	Classical monocytes	disease_groupFibrotic_ILD	0.169642158286125	0.0646472048024726	0.00912158830363813	311
Pattern_6	Pattern_6 (fibroblast_like)	Classical monocytes	disease_groupHealthy	0.102393739664522	0.0608199255811552	0.0932840445055201	311
Pattern_6	Pattern_6 (fibroblast_like)	Classical monocytes	disease_groupOther	0.182848648846282	0.0641913139021282	0.00468924850541722	311
Pattern_6	Pattern_6 (fibroblast_like)	DC2	disease_groupFibrotic_ILD	0.275248859683294	0.0658431818632567	3.76349133667516e-05	323
Pattern_6	Pattern_6 (fibroblast_like)	DC2	disease_groupHealthy	0.198674930022254	0.0622354592148561	0.00155204263535334	323
Pattern_6	Pattern_6 (fibroblast_like)	DC2	disease_groupOther	0.400064652063987	0.0669138729111703	6.01832490077192e-09	323
Pattern_6	Pattern_6 (fibroblast_like)	EC aerocyte capillary	disease_groupFibrotic_ILD	0.557722279018362	0.220770143647893	0.0131136526868122	103
Pattern_6	Pattern_6 (fibroblast_like)	EC aerocyte capillary	disease_groupHealthy	0.23904385906133	0.211785043976233	0.261747998346286	103
