sample	cell_type	donor_id	disease_group	n_cells
Lymphatic EC||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747298C	Lymphatic EC	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747298C	Healthy	69
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374729I	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374729I	Fibrotic_ILD	54
Adventitial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	Adventitial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	Healthy	138
Alveolar fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	Alveolar fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	Fibrotic_ILD	75
Pericytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D11	Pericytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D11	Other	49
Vascular smooth muscle||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D16	Vascular smooth muscle	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D16	Other	11
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D10	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D10	Other	45
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747092C	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747092C	Healthy	35
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S4ECX8ng	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747S4ECX8ng	Healthy	70
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI02	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI02	Healthy	66
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747298C	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747298C	Healthy	106
EC aerocyte capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_3	EC aerocyte capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_3	Healthy	128
EC general capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_2	EC general capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_2	Healthy	30
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SAMN15153955	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SAMN15153955	Healthy	36
Lymphatic EC||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192C	Lymphatic EC	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747192C	Healthy	113
Alveolar fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	Alveolar fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	Healthy	300
EC aerocyte capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747JVV9L8ng	EC aerocyte capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747JVV9L8ng	Healthy	115
Lymphatic EC||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_01	Lymphatic EC	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_01	Healthy	21
EC aerocyte capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng	EC aerocyte capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng	Healthy	14
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_02	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_02	Healthy	89
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU682	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU682	Healthy	26
EC aerocyte capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Cryobiopsy_01	EC aerocyte capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Cryobiopsy_01	Fibrotic_ILD	14
Transitional Club-AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc-ILD_01	Transitional Club-AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc-ILD_01	Fibrotic_ILD	67
EC venous systemic||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D353	EC venous systemic	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D353	Healthy	114
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_2	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_2	Fibrotic_ILD	117
Alveolar fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	Alveolar fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	Healthy	300
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D16	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D16	Other	40
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D1	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D1	Other	264
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747003C	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747003C	Healthy	168
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046	Healthy	65
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_3	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_3	Fibrotic_ILD	27
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Shalek2018_subject_298	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Shalek2018_subject_298	Other	40
Adventitial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	Adventitial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	Healthy	300
EC venous pulmonary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0008	EC venous pulmonary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0008	Healthy	53
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD60	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD60	Fibrotic_ILD	38
EC general capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD84	EC general capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD84	Healthy	97
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0005	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0005	Healthy	73
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_08	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_08	Healthy	46
Alveolar fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0005	Alveolar fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0005	Healthy	11
EC venous pulmonary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 1	EC venous pulmonary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 1	Healthy	185
Peribronchial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	Peribronchial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	Healthy	68
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0001	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0001	Healthy	231
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747BAL021	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747BAL021	Other	50
EC venous pulmonary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD70	EC venous pulmonary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD70	Healthy	120
Lymphatic EC||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D372	Lymphatic EC	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D372	Healthy	12
Alveolar fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67	Alveolar fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67	Healthy	105
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_02	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_02	Fibrotic_ILD	154
Transitional Club-AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046	Transitional Club-AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046	Healthy	63
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD54	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD54	Fibrotic_ILD	73
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40	Healthy	38
EC general capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_5	EC general capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_5	Healthy	19
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5288	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5288	Healthy	13
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374747I	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374747I	Fibrotic_ILD	43
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_3	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_3	Fibrotic_ILD	18
Alveolar fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_06	Alveolar fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Donor_06	Healthy	28
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D1	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D1	Other	48
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5212	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5212	Healthy	91
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747BAL010	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747BAL010	Other	20
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C	Healthy	91
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc9826	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc9826	Fibrotic_ILD	61
Adventitial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD104	Adventitial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD104	Healthy	124
Lymphatic EC||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747184CO	Lymphatic EC	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747184CO	COPD	25
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD073	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD073	Healthy	11
Pericytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139	Pericytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139	Healthy	52
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C	Healthy	300
EC general capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5213	EC general capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5213	Healthy	58
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I	Fibrotic_ILD	18
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5212	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5212	Healthy	27
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747051I	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747051I	Fibrotic_ILD	246
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Shalek2018_subject_305	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Shalek2018_subject_305	Other	25
EC venous systemic||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747158I	EC venous systemic	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747158I	Fibrotic_ILD	30
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_2	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_2	Other	42
EC venous systemic||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Shalek2018_subject_321	EC venous systemic	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Shalek2018_subject_321	Other	142
Transitional Club-AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD58	Transitional Club-AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD58	Fibrotic_ILD	118
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D10	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D10	Other	25
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5105	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5105	Healthy	34
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD076	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD076	Healthy	23
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747BAL028	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747BAL028	Other	95
Transitional Club-AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_6	Transitional Club-AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lafy_donor_6	Healthy	81
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837472020-3173-NC002	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837472020-3173-NC002	Healthy	31
Vascular smooth muscle||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D11	Vascular smooth muscle	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D11	Other	12
Vascular smooth muscle||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	Vascular smooth muscle	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	Healthy	11
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_2	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_2	Healthy	51
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD028	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747TILD028	Fibrotic_ILD	115
Peribronchial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D326	Peribronchial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D326	Healthy	17
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_9	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_9	Other	201
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747092C	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747092C	Healthy	300
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_7	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_7	Other	108
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD60	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD60	Fibrotic_ILD	56
Myofibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD59	Myofibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD59	Fibrotic_ILD	17
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD58	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD58	Fibrotic_ILD	109
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SAMN15153960	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SAMN15153960	Healthy	300
Vascular smooth muscle||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_1	Vascular smooth muscle	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_1	Healthy	98
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747152CO	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747152CO	COPD	97
Alveolar fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747052CO	Alveolar fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747052CO	COPD	33
Alveolar fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747356C	Alveolar fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747356C	Healthy	16
Lymphatic EC||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD046Q	Lymphatic EC	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD046Q	Healthy	57
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	Healthy	52
Non-classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747003C	Non-classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747003C	Healthy	99
Vascular smooth muscle||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc9833	Vascular smooth muscle	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc9833	Healthy	28
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747034I	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747034I	Fibrotic_ILD	94
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_3	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_3	Other	196
EC general capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD103	EC general capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD103	Healthy	126
Transitional Club-AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc4658	Transitional Club-AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc4658	Healthy	58
Transitional Club-AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0015	Transitional Club-AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0015	Healthy	18
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747214I	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747214I	Fibrotic_ILD	148
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747284C	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747284C	Healthy	27
Myofibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D14	Myofibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D14	Other	35
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0014	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0014	Healthy	24
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747GRO-04	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747GRO-04	Healthy	43
Pericytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc8257	Pericytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc8257	Fibrotic_ILD	98
Adventitial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747003C	Adventitial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747003C	Healthy	21
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD047Q	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD047Q	Healthy	20
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	Healthy	165
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	Healthy	52
Pericytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40	Pericytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A40	Healthy	14
EC aerocyte capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747356C	EC aerocyte capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747356C	Healthy	32
EC general capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_2	EC general capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_2	Other	98
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Shalek2018_subject_318	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Shalek2018_subject_318	Other	58
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D11	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D11	Other	153
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0008	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0008	Healthy	171
Lymphatic EC||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD55	Lymphatic EC	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD55	Fibrotic_ILD	68
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747166I	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747166I	Fibrotic_ILD	30
EC venous systemic||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng	EC venous systemic	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng	Healthy	27
Peribronchial fibroblasts||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD66	Peribronchial fibroblasts	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD66	Healthy	38
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D10	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D10	Other	128
