sample	cell_type	donor_id	disease_group	n_cells
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0012	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747THD0012	Healthy	179
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747GSM4593897	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747GSM4593897	Healthy	300
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D13	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D13	Other	181
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_02	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF_02	Fibrotic_ILD	300
Alveolar macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374749I	Alveolar macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374749I	Fibrotic_ILD	300
Mast cells||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU679	Mast cells	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU679	Other	39
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD072	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD072	Healthy	98
Vascular smooth muscle||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF1	Vascular smooth muscle	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF1	Fibrotic_ILD	300
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747001C	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747001C	Healthy	300
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD071	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD071	Healthy	169
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747184CO	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747184CO	COPD	300
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU675	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU675	Healthy	102
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 1	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 1	Healthy	300
AT2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_7	AT2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_7	Other	300
DC2||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_3	DC2	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Wunderink2021_subject_3	Other	99
Classical monocytes||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747BAL014	Classical monocytes	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747BAL014	Other	300
EC aerocyte capillary||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5103	EC aerocyte capillary	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5103	Healthy	15
Interstitial macrophages||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747123I	Interstitial macrophages	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747123I	Fibrotic_ILD	206
