cell_type	emmean	SE	df	asymp.LCL	asymp.UCL	pattern	program
Adventitial fibroblasts	0.479912651358143	0.0369676138865216	Inf	0.407457459546177	0.552367843170108	Pattern_2	Pattern_2 (mixed)
Alveolar fibroblasts	0.76261120936883	0.0371408344889158	Inf	0.689816511414792	0.835405907322869	Pattern_2	Pattern_2 (mixed)
Alveolar macrophages	0.0949847104485842	0.033657639816321	Inf	0.0290169486039738	0.160952472293195	Pattern_2	Pattern_2 (mixed)
Classical monocytes	0.142717489891011	0.0337212938792589	Inf	0.0766249683755726	0.208810011406449	Pattern_2	Pattern_2 (mixed)
DC2	0.211738340048876	0.0335746315891803	Inf	0.145933271339882	0.27754340875787	Pattern_2	Pattern_2 (mixed)
EC aerocyte capillary	0.407007811178774	0.0394348814972144	Inf	0.329716863709629	0.484298758647919	Pattern_2	Pattern_2 (mixed)
EC general capillary	0.366454824165769	0.0365974729576253	Inf	0.294725095243645	0.438184553087893	Pattern_2	Pattern_2 (mixed)
EC venous pulmonary	0.412175527599396	0.0385447019606212	Inf	0.336629299961748	0.487721755237044	Pattern_2	Pattern_2 (mixed)
EC venous systemic	0.433523586674179	0.0371500352753569	Inf	0.360710855510087	0.506336317838271	Pattern_2	Pattern_2 (mixed)
Interstitial macrophages	0.132654936942936	0.0336064029502284	Inf	0.0667875975105478	0.198522276375324	Pattern_2	Pattern_2 (mixed)
Lymphatic EC	0.429398542380484	0.0364065248195853	Inf	0.358043064931833	0.500754019829134	Pattern_2	Pattern_2 (mixed)
Mast cells	0.174037676012093	0.035680186956288	Inf	0.104105794616113	0.243969557408074	Pattern_2	Pattern_2 (mixed)
Myofibroblasts	0.567142094780469	0.0516896137427842	Inf	0.465832313469825	0.668451876091112	Pattern_2	Pattern_2 (mixed)
Non-classical monocytes	0.178507114234519	0.0348926201844524	Inf	0.110118835346757	0.246895393122281	Pattern_2	Pattern_2 (mixed)
Peribronchial fibroblasts	0.492770532224287	0.0395413028440609	Inf	0.415271002748136	0.570270061700437	Pattern_2	Pattern_2 (mixed)
Pericytes	1.20441220191782	0.0406342086164421	Inf	1.1247706164893	1.28405378734633	Pattern_2	Pattern_2 (mixed)
Subpleural fibroblasts	0.284156294461893	0.0990638587736067	Inf	0.0899946990960618	0.478317889827725	Pattern_2	Pattern_2 (mixed)
Transitional Club-AT2	0.46887845814907	0.0366038282931687	Inf	0.397136272998171	0.540620643299969	Pattern_2	Pattern_2 (mixed)
Vascular smooth muscle	0.533568937494598	0.0379659168507853	Inf	0.459157107827017	0.607980767162179	Pattern_2	Pattern_2 (mixed)
AT1	1.7144256134034	0.0299720642506006	Inf	1.65568144692991	1.7731697798769	Pattern_3	Pattern_3 (fibroblast_like)
AT2	1.89315439505513	0.0279493165294386	Inf	1.83837474126492	1.94793404884534	Pattern_3	Pattern_3 (fibroblast_like)
Adventitial fibroblasts	3.19637809578558	0.0309597018736567	Inf	3.13569819514112	3.25705799643005	Pattern_3	Pattern_3 (fibroblast_like)
Alveolar fibroblasts	2.87088146855597	0.0311909315141903	Inf	2.8097483661439	2.93201457096803	Pattern_3	Pattern_3 (fibroblast_like)
Alveolar macrophages	2.51536231764216	0.0263873562762255	Inf	2.46364404969354	2.56708058559079	Pattern_3	Pattern_3 (fibroblast_like)
Classical monocytes	1.81458560986047	0.0264779294147471	Inf	1.76268982182237	1.86648139789857	Pattern_3	Pattern_3 (fibroblast_like)
DC2	2.09213137470575	0.0262719422187069	Inf	2.04063931415317	2.14362343525833	Pattern_3	Pattern_3 (fibroblast_like)
EC aerocyte capillary	1.76065300009623	0.0342107846494224	Inf	1.69360109430051	1.82770490589196	Pattern_3	Pattern_3 (fibroblast_like)
EC general capillary	1.77399603003432	0.03045775530243	Inf	1.71429992659162	1.83369213347701	Pattern_3	Pattern_3 (fibroblast_like)
EC venous pulmonary	2.25913133962296	0.0330518999359011	Inf	2.19435080612798	2.32391187311795	Pattern_3	Pattern_3 (fibroblast_like)
EC venous systemic	2.40185544390438	0.0311910493342796	Inf	2.34072211056918	2.46298877723958	Pattern_3	Pattern_3 (fibroblast_like)
Interstitial macrophages	2.36490624892056	0.0263123198611755	Inf	2.31333504964296	2.41647744819816	Pattern_3	Pattern_3 (fibroblast_like)
Lymphatic EC	2.26244308728736	0.0302035585547891	Inf	2.20324520031503	2.3216409742597	Pattern_3	Pattern_3 (fibroblast_like)
Mast cells	1.67723380018235	0.0292082001420702	Inf	1.61998677985065	1.73448082051404	Pattern_3	Pattern_3 (fibroblast_like)
Myofibroblasts	2.32272409196559	0.049255894398008	Inf	2.22618431291919	2.41926387101199	Pattern_3	Pattern_3 (fibroblast_like)
Non-classical monocytes	1.98916424543452	0.0281245799339079	Inf	1.93404108168374	2.04428740918529	Pattern_3	Pattern_3 (fibroblast_like)
Peribronchial fibroblasts	3.35517725914948	0.0343364660426737	Inf	3.28787902234946	3.4224754959495	Pattern_3	Pattern_3 (fibroblast_like)
Pericytes	1.56476575253669	0.0357531975475787	Inf	1.49469077301129	1.63484073206209	Pattern_3	Pattern_3 (fibroblast_like)
Subpleural fibroblasts	3.41280222506911	0.102254962675438	Inf	3.21238618098476	3.61321826915346	Pattern_3	Pattern_3 (fibroblast_like)
Transitional Club-AT2	2.03252381657714	0.0304688563838863	Inf	1.97280595541459	2.09224167773968	Pattern_3	Pattern_3 (fibroblast_like)
Vascular smooth muscle	1.61236408232438	0.0322874295877265	Inf	1.54908188317907	1.6756462814697	Pattern_3	Pattern_3 (fibroblast_like)
AT1	0.447660677528474	0.0258307886544977	Inf	0.397033262073392	0.498288092983555	Pattern_4	Pattern_4 (vascular_stabilizing)
AT2	0.297955184425668	0.0237254659404428	Inf	0.251454125665968	0.344456243185367	Pattern_4	Pattern_4 (vascular_stabilizing)
Adventitial fibroblasts	0.810530709348267	0.0268515652263582	Inf	0.757902608576077	0.863158810120457	Pattern_4	Pattern_4 (vascular_stabilizing)
Alveolar fibroblasts	0.748653021048433	0.0270883916732403	Inf	0.695560748969768	0.801745293127099	Pattern_4	Pattern_4 (vascular_stabilizing)
Alveolar macrophages	0.907152122099399	0.0220812551187905	Inf	0.863873657333128	0.950430586865669	Pattern_4	Pattern_4 (vascular_stabilizing)
Classical monocytes	0.618350266142829	0.0221772593927607	Inf	0.574883636457216	0.661816895828443	Pattern_4	Pattern_4 (vascular_stabilizing)
DC2	0.62993849944451	0.0219609998562223	Inf	0.586895730661825	0.672981268227195	Pattern_4	Pattern_4 (vascular_stabilizing)
EC aerocyte capillary	0.357318145476834	0.0301649304733487	Inf	0.298195968152916	0.416440322800752	Pattern_4	Pattern_4 (vascular_stabilizing)
EC general capillary	0.342868607443913	0.0263322263032305	Inf	0.291258392256823	0.394478822631003	Pattern_4	Pattern_4 (vascular_stabilizing)
EC venous pulmonary	0.242271059580955	0.0289908107706009	Inf	0.185450114587961	0.299092004573948	Pattern_4	Pattern_4 (vascular_stabilizing)
EC venous systemic	0.264239608206066	0.0270804711986418	Inf	0.211162859972354	0.317316356439778	Pattern_4	Pattern_4 (vascular_stabilizing)
Interstitial macrophages	0.71980459515852	0.0220002690042135	Inf	0.676684860260069	0.762924330056971	Pattern_4	Pattern_4 (vascular_stabilizing)
Lymphatic EC	0.551582463064507	0.0260727088196003	Inf	0.500480892798691	0.602684033330324	Pattern_4	Pattern_4 (vascular_stabilizing)
Mast cells	0.556327459136509	0.0250381045735882	Inf	0.507253675931129	0.60540124234189	Pattern_4	Pattern_4 (vascular_stabilizing)
Myofibroblasts	0.527929578730345	0.0450561567342035	Inf	0.439621134249514	0.616238023211175	Pattern_4	Pattern_4 (vascular_stabilizing)
Non-classical monocytes	0.717407745062034	0.0239104933068369	Inf	0.670544039328047	0.76427145079602	Pattern_4	Pattern_4 (vascular_stabilizing)
Peribronchial fibroblasts	0.947424527144521	0.0302831547612077	Inf	0.888070634474301	1.00677841981474	Pattern_4	Pattern_4 (vascular_stabilizing)
Pericytes	1.31109577085034	0.0317195556144298	Inf	1.24892658424045	1.37326495746024	Pattern_4	Pattern_4 (vascular_stabilizing)
Subpleural fibroblasts	0.556367507186652	0.0958740102704299	Inf	0.368457900003186	0.744277114370118	Pattern_4	Pattern_4 (vascular_stabilizing)
Transitional Club-AT2	0.321247958990961	0.0263454422972812	Inf	0.269611840931511	0.37288407705041	Pattern_4	Pattern_4 (vascular_stabilizing)
Vascular smooth muscle	0.595887019749063	0.0282101029031569	Inf	0.540596234058707	0.65117780543942	Pattern_4	Pattern_4 (vascular_stabilizing)
AT1	-0.63125079452781	0.0280559206663838	Inf	-0.686239388587035	-0.576262200468585	Pattern_5	Pattern_5 (synthetic_contractile)
AT2	-1.12377862174312	0.0258068433315623	Inf	-1.17435910522765	-1.07319813825859	Pattern_5	Pattern_5 (synthetic_contractile)
Adventitial fibroblasts	-1.73105374902639	0.0291470950362078	Inf	-1.78818100555132	-1.67392649250146	Pattern_5	Pattern_5 (synthetic_contractile)
Alveolar fibroblasts	-1.34683142105137	0.029400488195184	Inf	-1.40445531904183	-1.28920752306092	Pattern_5	Pattern_5 (synthetic_contractile)
Alveolar macrophages	-1.56726584054147	0.0240522224293933	Inf	-1.61440733025122	-1.52012435083171	Pattern_5	Pattern_5 (synthetic_contractile)
Classical monocytes	-1.19692742400987	0.0241546025785573	Inf	-1.24426957512472	-1.14958527289502	Pattern_5	Pattern_5 (synthetic_contractile)
DC2	-1.34745527794512	0.0239237435856822	Inf	-1.39434495374843	-1.30056560214182	Pattern_5	Pattern_5 (synthetic_contractile)
EC aerocyte capillary	-0.81380374664252	0.0326936859900328	Inf	-0.877882193704846	-0.749725299580194	Pattern_5	Pattern_5 (synthetic_contractile)
EC general capillary	-0.711106452340847	0.0285920097803318	Inf	-0.767145761755914	-0.655067142925779	Pattern_5	Pattern_5 (synthetic_contractile)
EC venous pulmonary	-1.02384275591771	0.0314362181652601	Inf	-1.08545661133176	-0.962228900503654	Pattern_5	Pattern_5 (synthetic_contractile)
EC venous systemic	-1.0129998250501	0.029392895858391	Inf	-1.07060884233389	-0.95539080776632	Pattern_5	Pattern_5 (synthetic_contractile)
Interstitial macrophages	-1.47578101928752	0.0239660158188047	Inf	-1.52275354714529	-1.42880849142974	Pattern_5	Pattern_5 (synthetic_contractile)
Lymphatic EC	-1.24702941013568	0.0283142360047977	Inf	-1.30252429295485	-1.19153452731651	Pattern_5	Pattern_5 (synthetic_contractile)
Mast cells	-1.08294733445571	0.0272088677840433	Inf	-1.13627573537255	-1.02961893353887	Pattern_5	Pattern_5 (synthetic_contractile)
Myofibroblasts	-0.220025407081907	0.0486749255319524	Inf	-0.315426508074703	-0.124624306089111	Pattern_5	Pattern_5 (synthetic_contractile)
Non-classical monocytes	-1.33677948595939	0.026004221927254	Inf	-1.38774682438279	-1.28581214753598	Pattern_5	Pattern_5 (synthetic_contractile)
Peribronchial fibroblasts	-1.36834944214475	0.0328213369296294	Inf	-1.43267808045128	-1.30402080383822	Pattern_5	Pattern_5 (synthetic_contractile)
Pericytes	0.228161380027832	0.0343594400414578	Inf	0.160818115017611	0.295504645038053	Pattern_5	Pattern_5 (synthetic_contractile)
Subpleural fibroblasts	-1.63572383703029	0.10336104719498	Inf	-1.83830776693679	-1.43313990712379	Pattern_5	Pattern_5 (synthetic_contractile)
Transitional Club-AT2	-1.15268562848865	0.0286059418737584	Inf	-1.20875224430506	-1.09661901267224	Pattern_5	Pattern_5 (synthetic_contractile)
Vascular smooth muscle	0.763859893087601	0.0306007487511534	Inf	0.703883527635381	0.823836258539821	Pattern_5	Pattern_5 (synthetic_contractile)
