pattern	program	cell_type	term	estimate	se	p	n	reference_group	n_tests	p_BH	p_BH_all
Pattern_1	Pattern_1 (inflammatory)	EC aerocyte capillary	disease_groupOther	-0.93516210484913	0.209756458350545	2.18157080855546e-05	103	Healthy	228	7.27190269518485e-05	0.000177642194410944
Pattern_3	Pattern_3 (inflammatory)	Vascular smooth muscle	disease_groupFibrotic_ILD	0.654937577209314	0.146754995611722	1.80429178598955e-05	127	Healthy	228	9.02145892994774e-05	0.000152362417483562
Pattern_3	Pattern_3 (inflammatory)	Interstitial macrophages	disease_groupFibrotic_ILD	0.167442006615	0.0391758190879405	2.53717995898386e-05	323	Healthy	228	0.000101487198359354	0.000199474838154593
Pattern_6	Pattern_6 (fibroblast_like)	AT1	disease_groupOther	-0.283429170766149	0.0678482150398972	4.74181412182864e-05	171	Healthy	228	0.000189672564873146	0.000348752780573203
Pattern_6	Pattern_6 (fibroblast_like)	EC aerocyte capillary	disease_groupOther	-0.346994284278765	0.0813572962874444	4.57459461457208e-05	103	Healthy	228	0.000189672564873146	0.000347669190707478
Pattern_3	Pattern_3 (inflammatory)	Lymphatic EC	disease_groupOther	-0.498338522213174	0.110205227964477	1.1829647738881e-05	165	Healthy	228	0.00023659295477762	0.000103736910940956
Pattern_3	Pattern_3 (inflammatory)	Alveolar macrophages	disease_groupFibrotic_ILD	0.195610380086663	0.0486158391359763	7.19282709182011e-05	317	Healthy	228	0.00023976090306067	0.000482342522627937
Pattern_1	Pattern_1 (inflammatory)	Classical monocytes	disease_groupOther	-0.36531950944789	0.0922552658740834	9.32579708221147e-05	311	Healthy	228	0.000266451345206042	0.000590633815206727
Pattern_6	Pattern_6 (fibroblast_like)	Adventitial fibroblasts	disease_groupOther	-0.50710152616476	0.125081421901605	8.17864938336081e-05	149	Healthy	228	0.000272621646112027	0.00053278058840179
Pattern_4	Pattern_4 (fibroblast_like)	Vascular smooth muscle	disease_groupOther	-0.449850645751688	0.115235798120344	0.000155136244426257	127	Healthy	228	0.000282065898956832	0.000906950352030428
Pattern_3	Pattern_3 (inflammatory)	Interstitial macrophages	disease_groupCOPD	0.295048005369519	0.0718354081002911	5.09302973316103e-05	323	Healthy	228	0.000288605018212458	0.000362878368487723
Pattern_3	Pattern_3 (inflammatory)	Non-classical monocytes	disease_groupFibrotic_ILD	0.192666157128964	0.0493626354717176	0.000125669004455728	228	Healthy	228	0.000359054298444936	0.000754014026734365
Pattern_6	Pattern_6 (fibroblast_like)	EC general capillary	disease_groupFibrotic_ILD	0.278100006891308	0.0671181698319856	5.59278401714743e-05	160	Healthy	228	0.000372852267809828	0.000386410532093822
Pattern_4	Pattern_4 (fibroblast_like)	EC venous systemic	disease_groupOther	-0.448716089652818	0.119632748482071	0.000256017791434564	146	Healthy	228	0.000426696319057607	0.00138981086778763
Pattern_1	Pattern_1 (inflammatory)	EC general capillary	disease_groupOther	-0.636493092563286	0.166829492325497	0.000195672737882948	160	Healthy	228	0.000489181844707371	0.00111533460593281
Pattern_4	Pattern_4 (fibroblast_like)	AT1	disease_groupOther	-0.496451709299272	0.136436501421202	0.000364945390250245	171	Healthy	228	0.000561454446538839	0.00193505927853618
Pattern_6	Pattern_6 (fibroblast_like)	EC aerocyte capillary	disease_groupFibrotic_ILD	0.326605511638102	0.0813572962874444	0.000115985991683905	103	Healthy	228	0.000579929958419525	0.000714724489295414
Pattern_4	Pattern_4 (fibroblast_like)	EC venous pulmonary	disease_groupOther	-0.500207004398331	0.141569205086945	0.000595590225617845	116	Healthy	228	0.000850843179454064	0.00274381178313483
Pattern_3	Pattern_3 (inflammatory)	EC general capillary	disease_groupCOPD	1.08181081464102	0.287768640611931	0.000240416063498394	160	Healthy	228	0.00102176826986818	0.00133694786530814
Pattern_1	Pattern_1 (inflammatory)	EC venous pulmonary	disease_groupOther	-0.797967101850242	0.2220503771178	0.000484461222054639	116	Healthy	228	0.00107658049345475	0.00240124257887952
Pattern_4	Pattern_4 (fibroblast_like)	Myofibroblasts	disease_groupOther	-0.884794652253063	0.241706955063792	0.000871736334198041	36	Healthy	228	0.00116231511226405	0.00368066452216951
Pattern_6	Pattern_6 (fibroblast_like)	Lymphatic EC	disease_groupOther	-0.363675001240337	0.100833952663913	0.000413375617197224	165	Healthy	228	0.00118107319199207	0.00209443646046593
Pattern_6	Pattern_6 (fibroblast_like)	Vascular smooth muscle	disease_groupOther	-0.398097500507274	0.111728475598882	0.000522501683058184	127	Healthy	228	0.00130625420764546	0.00253468901568651
Pattern_6	Pattern_6 (fibroblast_like)	Interstitial macrophages	disease_groupOther	-0.180960853083864	0.0522179588617555	0.000601713110336586	323	Healthy	228	0.00133714024519241	0.00274381178313483
Pattern_1	Pattern_1 (inflammatory)	AT1	disease_groupOther	-0.478262492023435	0.14257953712957	0.000984500100229033	171	Healthy	228	0.00196900020045807	0.0040726487086452
Pattern_3	Pattern_3 (inflammatory)	EC general capillary	disease_groupFibrotic_ILD	0.582576952566064	0.170812743127431	0.000825341622155768	160	Healthy	228	0.00206335405538942	0.0036188055740676
Pattern_6	Pattern_6 (fibroblast_like)	AT1	disease_groupFibrotic_ILD	0.232944971136135	0.0667802953861469	0.000621657456316795	171	Healthy	228	0.00207219152105598	0.00277917451059273
Pattern_6	Pattern_6 (fibroblast_like)	Myofibroblasts	disease_groupFibrotic_ILD	0.622732909139584	0.163560646729287	0.000579299480463072	36	Healthy	228	0.00207219152105598	0.00274381178313483
Pattern_4	Pattern_4 (fibroblast_like)	Alveolar macrophages	disease_groupOther	-0.251061036535726	0.0792053723630655	0.00167661029888629	317	Healthy	228	0.00209576287360786	0.00616559916364635
Pattern_4	Pattern_4 (fibroblast_like)	Peribronchial fibroblasts	disease_groupOther	-0.417533211551128	0.133468351577042	0.00230345837255635	103	Healthy	228	0.00270995102653688	0.00807982321450534
Pattern_1	Pattern_1 (inflammatory)	Pericytes	disease_groupOther	-0.715612928312709	0.218828885390469	0.00155310301131208	89	Healthy	228	0.00282382365693106	0.00580504076359271
Pattern_6	Pattern_6 (fibroblast_like)	Interstitial macrophages	disease_groupFibrotic_ILD	0.18054588069286	0.0543616509914918	0.00100029968282514	323	Healthy	228	0.0028579990937861	0.0040726487086452
Pattern_6	Pattern_6 (fibroblast_like)	Transitional Club-AT2	disease_groupFibrotic_ILD	0.204646269715995	0.0623599636162752	0.00127490951714544	159	Healthy	228	0.0031872737928636	0.00509963806858176
Pattern_3	Pattern_3 (inflammatory)	AT1	disease_groupFibrotic_ILD	0.285227165476041	0.0886079726429384	0.00154583315728365	171	Healthy	228	0.00343518479396367	0.00580504076359271
Pattern_3	Pattern_3 (inflammatory)	EC venous pulmonary	disease_groupOther	-0.72493971174784	0.197633190160695	0.000374209322592167	116	Healthy	228	0.00374209322592166	0.00193908467161395
Pattern_3	Pattern_3 (inflammatory)	Alveolar fibroblasts	disease_groupFibrotic_ILD	0.486150141057726	0.153750150778894	0.00191907245127454	145	Healthy	228	0.00383814490254909	0.00694521458556502
Pattern_3	Pattern_3 (inflammatory)	Alveolar macrophages	disease_groupCOPD	0.279476321110068	0.0865976998714076	0.00138206019097484	317	Healthy	228	0.00469900464931444	0.00543292626797004
Pattern_3	Pattern_3 (inflammatory)	DC2	disease_groupOther	0.11502588421144	0.0341408142654302	0.000846440365223483	323	Healthy	228	0.00564293576815656	0.00364129062775385
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar macrophages	disease_groupFibrotic_ILD	0.173245485926401	0.0573937545619633	0.00274870400500689	317	Healthy	228	0.00610823112223754	0.00949552292638745
Pattern_4	Pattern_4 (fibroblast_like)	Pericytes	disease_groupOther	-0.51354008386179	0.181112798540696	0.00571721202462602	89	Healthy	228	0.00635245780514002	0.0165003081217055
Pattern_6	Pattern_6 (fibroblast_like)	Alveolar fibroblasts	disease_groupOther	-0.349606367840793	0.116918675291634	0.00329127820861042	145	Healthy	228	0.00658255641722083	0.0110354622288702
Pattern_1	Pattern_1 (inflammatory)	Vascular smooth muscle	disease_groupOther	-0.634439964258504	0.216633762308836	0.00405817206600672	127	Healthy	228	0.0067636201100112	0.0126748387815004
Pattern_3	Pattern_3 (inflammatory)	EC aerocyte capillary	disease_groupOther	-0.487342058574935	0.148418959562344	0.00141744853586671	103	Healthy	228	0.00708724267933353	0.00547759773182388
Pattern_6	Pattern_6 (fibroblast_like)	DC2	disease_groupFibrotic_ILD	0.151789859189738	0.0521906030241752	0.00388799440420549	323	Healthy	228	0.00777598880841097	0.012311982279984
Pattern_3	Pattern_3 (inflammatory)	Alveolar fibroblasts	disease_groupCOPD	0.744936882919309	0.252495465842483	0.00371848789991218	145	Healthy	228	0.00797687921253188	0.0120545382631799
Pattern_3	Pattern_3 (inflammatory)	Lymphatic EC	disease_groupCOPD	0.477506439233302	0.162361068476737	0.00375382551177971	165	Healthy	228	0.00797687921253188	0.0120545382631799
Pattern_3	Pattern_3 (inflammatory)	Non-classical monocytes	disease_groupCOPD	0.254354209406982	0.0846076523392818	0.00294624557019103	228	Healthy	228	0.00797687921253188	0.0100260297015456
Pattern_3	Pattern_3 (inflammatory)	Peribronchial fibroblasts	disease_groupOther	-0.327012770187076	0.103567975445199	0.00210416906767143	103	Healthy	228	0.0084166762706857	0.00749610230357946
Pattern_6	Pattern_6 (fibroblast_like)	Vascular smooth muscle	disease_groupFibrotic_ILD	0.286946279300126	0.100947560683146	0.00524177880336078	127	Healthy	228	0.00953050691520141	0.0153221226559777
Pattern_3	Pattern_3 (inflammatory)	EC general capillary	disease_groupOther	-0.530612165516725	0.182746916007862	0.00422510230120586	160	Healthy	228	0.00974555126437941	0.0128443109956658
Pattern_3	Pattern_3 (inflammatory)	EC venous systemic	disease_groupOther	-0.304117287575874	0.105033511032066	0.00438549806897074	146	Healthy	228	0.00974555126437941	0.0131564942069122
Pattern_3	Pattern_3 (inflammatory)	Myofibroblasts	disease_groupOther	-1.04950438173493	0.341348373796074	0.00421199045964109	36	Healthy	228	0.00974555126437941	0.0128443109956658
Pattern_3	Pattern_3 (inflammatory)	Vascular smooth muscle	disease_groupOther	-0.481027930547878	0.16242801544937	0.00367531765651983	127	Healthy	228	0.00974555126437941	0.0120545382631799
Pattern_6	Pattern_6 (fibroblast_like)	AT2	disease_groupOther	-0.2322084338574	0.0865267883644046	0.00780677796877817	236	Healthy	228	0.0141941417614148	0.0219746342824867
Pattern_6	Pattern_6 (fibroblast_like)	Peribronchial fibroblasts	disease_groupFibrotic_ILD	0.303204534721484	0.113602891512003	0.00887860660664535	103	Healthy	228	0.0147976776777423	0.0246868573940871
Pattern_1	Pattern_1 (inflammatory)	Myofibroblasts	disease_groupOther	-1.25601579760429	0.462859284631854	0.010496272094989	36	Healthy	228	0.0161481109153677	0.0275074716972125
Pattern_1	Pattern_1 (inflammatory)	Lymphatic EC	disease_groupOther	-0.420026950167119	0.165769609477529	0.0122385387087564	165	Healthy	228	0.0174836267267949	0.0317089411999598
Pattern_3	Pattern_3 (inflammatory)	Adventitial fibroblasts	disease_groupCOPD	0.630236535589352	0.240360263718838	0.00967327591616067	149	Healthy	228	0.0182717433971924	0.0259471401045251
Pattern_1	Pattern_1 (inflammatory)	Alveolar fibroblasts	disease_groupOther	-0.518321091470886	0.20907057868126	0.0143475848177895	145	Healthy	228	0.019130113090386	0.0367556105444494
Pattern_6	Pattern_6 (fibroblast_like)	EC venous pulmonary	disease_groupFibrotic_ILD	0.219544869035893	0.088563461919244	0.0146536192882044	116	Healthy	228	0.0225440296741607	0.0371225021967845
Pattern_3	Pattern_3 (inflammatory)	Mast cells	disease_groupFibrotic_ILD	0.121411807190167	0.0500614787525073	0.0162480881054526	191	Healthy	228	0.0295419783735501	0.040709495473002
Pattern_6	Pattern_6 (fibroblast_like)	EC venous systemic	disease_groupFibrotic_ILD	0.178614055321025	0.0765793894536236	0.0210846462729902	146	Healthy	228	0.0301209232471289	0.0511414824493805
Pattern_6	Pattern_6 (fibroblast_like)	AT2	disease_groupFibrotic_ILD	0.168328354064336	0.0747928775421018	0.0253487600114494	236	Healthy	228	0.0337983466819325	0.0589746661490862
Pattern_3	Pattern_3 (inflammatory)	Vascular smooth muscle	disease_groupCOPD	1.62684340705932	0.705340601287506	0.0227577728949558	127	Healthy	228	0.0386882139214248	0.0546186549478939
Pattern_6	Pattern_6 (fibroblast_like)	Mast cells	disease_groupFibrotic_ILD	0.122718127665253	0.0587712866845802	0.038146726929304	191	Healthy	228	0.04768340866163	0.0836293628834741
Pattern_3	Pattern_3 (inflammatory)	Adventitial fibroblasts	disease_groupOther	-0.369436198124888	0.167874890080402	0.0293417587218335	149	Healthy	228	0.0586835174436671	0.0656576674782874
Pattern_6	Pattern_6 (fibroblast_like)	Adventitial fibroblasts	disease_groupFibrotic_ILD	0.201323580198824	0.102276888261623	0.0509271553980988	149	Healthy	228	0.0599143004683516	0.106526526887766
Pattern_3	Pattern_3 (inflammatory)	EC venous systemic	disease_groupFibrotic_ILD	0.169896315759737	0.0817684774400412	0.0395309504326172	146	Healthy	228	0.0658849173876953	0.0858386352251116
Pattern_4	Pattern_4 (fibroblast_like)	AT2	disease_groupFibrotic_ILD	0.243554883937779	0.085092867241408	0.00459144214226173	236	Healthy	228	0.0670949538278051	0.0135954390705932
Pattern_4	Pattern_4 (fibroblast_like)	Alveolar macrophages	disease_groupFibrotic_ILD	0.211740042068175	0.0788083504526021	0.00760000042726983	317	Healthy	228	0.0670949538278051	0.021660001217719
Pattern_4	Pattern_4 (fibroblast_like)	Transitional Club-AT2	disease_groupFibrotic_ILD	0.21732257185292	0.0834050372488499	0.0100642430741708	159	Healthy	228	0.0670949538278051	0.0266819467547783
Pattern_3	Pattern_3 (inflammatory)	Alveolar fibroblasts	disease_groupOther	-0.330933287070519	0.16212354585964	0.0430920186949111	145	Healthy	228	0.0783491248998384	0.0926884930418843
Pattern_3	Pattern_3 (inflammatory)	AT1	disease_groupCOPD	0.234427011937388	0.123426119424568	0.059244993646603	171	Healthy	228	0.0915604447265683	0.121368977630995
Pattern_3	Pattern_3 (inflammatory)	EC venous pulmonary	disease_groupFibrotic_ILD	0.279173554229671	0.147032767499931	0.0601521687381684	116	Healthy	228	0.0925417980587206	0.121368977630995
Pattern_6	Pattern_6 (fibroblast_like)	EC venous pulmonary	disease_groupOther	-0.228180516888963	0.119042032659717	0.0577879713186346	116	Healthy	228	0.0963132855310577	0.119778704187715
Pattern_6	Pattern_6 (fibroblast_like)	Non-classical monocytes	disease_groupOther	-0.121028543941401	0.0658658449539701	0.0674605894205469	228	Healthy	228	0.103785522185457	0.133747951198997
Pattern_6	Pattern_6 (fibroblast_like)	DC2	disease_groupOther	-0.0987397306816051	0.0554191707612751	0.0757511841434484	323	Healthy	228	0.108215977347783	0.147617692176976
Pattern_3	Pattern_3 (inflammatory)	Myofibroblasts	disease_groupFibrotic_ILD	0.477267177179647	0.263558491577295	0.0792751980797049	36	Healthy	228	0.113250282971007	0.153175806459091
Pattern_6	Pattern_6 (fibroblast_like)	Classical monocytes	disease_groupFibrotic_ILD	0.0814051250564323	0.0498987616351521	0.103830095442283	311	Healthy	228	0.115366772713648	0.190913401297101
Pattern_1	Pattern_1 (inflammatory)	Alveolar macrophages	disease_groupFibrotic_ILD	0.213408490800644	0.08195659531929	0.00965579930080403	317	Healthy	228	0.124175985701366	0.0259471401045251
Pattern_1	Pattern_1 (inflammatory)	Myofibroblasts	disease_groupFibrotic_ILD	0.884564839876738	0.357378280474821	0.0186263978552049	36	Healthy	228	0.124175985701366	0.0456647173224379
Pattern_1	Pattern_1 (inflammatory)	Pericytes	disease_groupFibrotic_ILD	0.516830465504526	0.212761159571255	0.0172404713007099	89	Healthy	228	0.124175985701366	0.0427263853974115
Pattern_4	Pattern_4 (fibroblast_like)	EC venous systemic	disease_groupFibrotic_ILD	0.209566119362206	0.0931339683804331	0.0259762922057478	146	Healthy	228	0.129881461028739	0.0598241881102071
Pattern_3	Pattern_3 (inflammatory)	Pericytes	disease_groupCOPD	1.14758447992903	0.683287450240169	0.0967260461344033	89	Healthy	228	0.137028565357071	0.182260648914413
Pattern_1	Pattern_1 (inflammatory)	Alveolar fibroblasts	disease_groupFibrotic_ILD	0.436368782101093	0.198272452192132	0.0293731670297601	145	Healthy	228	0.146865835148801	0.0656576674782874
Pattern_1	Pattern_1 (inflammatory)	DC2	disease_groupOther	-0.175321652127659	0.112460455889047	0.119996722297173	323	Healthy	228	0.149995902871467	0.210455789875042
Pattern_3	Pattern_3 (inflammatory)	AT2	disease_groupOther	-0.128916670343951	0.0757680699754125	0.0901955382206235	236	Healthy	228	0.150256700790181	0.172811619447917
Pattern_3	Pattern_3 (inflammatory)	Mast cells	disease_groupOther	-0.0877416735637207	0.0527103065321496	0.0976668555136179	191	Healthy	228	0.150256700790181	0.182524943091024
Pattern_6	Pattern_6 (fibroblast_like)	Non-classical monocytes	disease_groupCOPD	-0.243944437275281	0.0928875913878241	0.00922914278719027	228	Healthy	228	0.156895427382235	0.0253523440419203
Pattern_6	Pattern_6 (fibroblast_like)	Mast cells	disease_groupOther	-0.0970016738212361	0.0618809634399365	0.118676146959399	191	Healthy	228	0.158234862612533	0.210455789875042
Pattern_3	Pattern_3 (inflammatory)	Alveolar macrophages	disease_groupOther	0.0762254864824793	0.0488607567522149	0.119757288390139	317	Healthy	228	0.159676384520186	0.210455789875042
Pattern_3	Pattern_3 (inflammatory)	Classical monocytes	disease_groupOther	-0.0640163257151132	0.0401594792090782	0.111953205118921	311	Healthy	228	0.159676384520186	0.202581990215191
Pattern_6	Pattern_6 (fibroblast_like)	Lymphatic EC	disease_groupFibrotic_ILD	0.114694991614627	0.0803732520550181	0.155507936882992	165	Healthy	228	0.163692565139991	0.260704482421486
Pattern_6	Pattern_6 (fibroblast_like)	AT2	disease_groupCOPD	-0.305219675858243	0.133895001704251	0.0235436098092442	236	Healthy	228	0.164053811173827	0.0559160732969549
Pattern_6	Pattern_6 (fibroblast_like)	Mast cells	disease_groupCOPD	-0.217796586107082	0.0989474500802682	0.0289506725600872	191	Healthy	228	0.164053811173827	0.0656576674782874
Pattern_3	Pattern_3 (inflammatory)	Adventitial fibroblasts	disease_groupFibrotic_ILD	0.204530682740903	0.137268357791711	0.138394668400394	149	Healthy	228	0.172993335500492	0.239045336327952
Pattern_3	Pattern_3 (inflammatory)	Transitional Club-AT2	disease_groupFibrotic_ILD	0.0872426578775455	0.0575535808998219	0.131593731321715	159	Healthy	228	0.172993335500492	0.229033364437793
Pattern_3	Pattern_3 (inflammatory)	EC aerocyte capillary	disease_groupCOPD	0.508984443822583	0.345056151861903	0.143365054113257	103	Healthy	228	0.174086137137527	0.242127646946835
Pattern_3	Pattern_3 (inflammatory)	Mast cells	disease_groupCOPD	0.124401531603512	0.0842836008745707	0.141629150075491	191	Healthy	228	0.174086137137527	0.240980941919492
Pattern_3	Pattern_3 (inflammatory)	AT1	disease_groupOther	-0.132990623788462	0.0900249504343244	0.141488221204965	171	Healthy	228	0.176860276506206	0.240980941919492
Pattern_3	Pattern_3 (inflammatory)	EC venous systemic	disease_groupCOPD	0.62982530386142	0.449726625920227	0.163556152351122	146	Healthy	228	0.185363639331272	0.268279156374503
Pattern_4	Pattern_4 (fibroblast_like)	EC aerocyte capillary	disease_groupFibrotic_ILD	0.298448996271114	0.148238058144692	0.0467966749150201	103	Healthy	228	0.18718669966008	0.0987929803761535
Pattern_6	Pattern_6 (fibroblast_like)	Lymphatic EC	disease_groupCOPD	-0.298947903839484	0.148554733705761	0.0458475562000534	165	Healthy	228	0.194852113850227	0.0976938580711417
Pattern_4	Pattern_4 (fibroblast_like)	AT1	disease_groupFibrotic_ILD	0.254446601513624	0.134289013513511	0.0598512509095816	171	Healthy	228	0.199504169698605	0.121368977630995
Pattern_6	Pattern_6 (fibroblast_like)	EC general capillary	disease_groupCOPD	-0.21115442357066	0.113074142709025	0.0637222173799621	160	Healthy	228	0.216655539091871	0.127444434759924
Pattern_6	Pattern_6 (fibroblast_like)	Peribronchial fibroblasts	disease_groupOther	-0.161044525154777	0.119537693234124	0.180951671491209	103	Healthy	228	0.226189589364012	0.286506813194415
Pattern_3	Pattern_3 (inflammatory)	EC aerocyte capillary	disease_groupFibrotic_ILD	0.191803097425815	0.148418959562344	0.199258607520248	103	Healthy	228	0.234421891200291	0.310964793024785
Pattern_1	Pattern_1 (inflammatory)	Classical monocytes	disease_groupCOPD	-0.356705542138144	0.165266278315302	0.031674128806951	311	Healthy	228	0.269230094859084	0.0701136055144158
Pattern_1	Pattern_1 (inflammatory)	Non-classical monocytes	disease_groupCOPD	-0.414133966437915	0.182399268956967	0.0241292945209837	228	Healthy	228	0.269230094859084	0.0567162799049927
Pattern_4	Pattern_4 (fibroblast_like)	DC2	disease_groupFibrotic_ILD	0.104225410928037	0.0662372206926828	0.116590331431716	323	Healthy	228	0.29147582857929	0.209311776113632
Pattern_4	Pattern_4 (fibroblast_like)	EC general capillary	disease_groupFibrotic_ILD	0.200709211759246	0.122082762410895	0.102181280922051	160	Healthy	228	0.29147582857929	0.189409203660386
Pattern_1	Pattern_1 (inflammatory)	EC venous pulmonary	disease_groupFibrotic_ILD	-0.297306318394265	0.165198373033836	0.0745776125574046	116	Healthy	228	0.298310450229619	0.146583583302485
Pattern_3	Pattern_3 (inflammatory)	Lymphatic EC	disease_groupFibrotic_ILD	0.0972052036587444	0.0878429569699857	0.270126493765191	165	Healthy	228	0.30014054862799	0.392285608780022
Pattern_1	Pattern_1 (inflammatory)	Peribronchial fibroblasts	disease_groupOther	-0.234735918713948	0.213520106278875	0.274249792268237	103	Healthy	228	0.32264681443322	0.393766836456678
Pattern_3	Pattern_3 (inflammatory)	AT2	disease_groupFibrotic_ILD	0.0646029157929664	0.0654931505767488	0.324960936066551	236	Healthy	228	0.342064143227948	0.4517749598974
Pattern_4	Pattern_4 (fibroblast_like)	Classical monocytes	disease_groupFibrotic_ILD	0.0974644384388632	0.0718945088692631	0.176204107493238	311	Healthy	228	0.344655312724082	0.284925790840129
Pattern_4	Pattern_4 (fibroblast_like)	Interstitial macrophages	disease_groupFibrotic_ILD	0.0997634380827165	0.0726201730236083	0.170477580071668	323	Healthy	228	0.344655312724082	0.277634916116717
Pattern_4	Pattern_4 (fibroblast_like)	Vascular smooth muscle	disease_groupFibrotic_ILD	0.137348046972992	0.104116454299325	0.189560421998245	127	Healthy	228	0.344655312724082	0.298067422176551
Pattern_1	Pattern_1 (inflammatory)	AT1	disease_groupFibrotic_ILD	0.228024455358568	0.140335358858502	0.106079506453572	171	Healthy	228	0.353598354845242	0.193489019771316
Pattern_4	Pattern_4 (fibroblast_like)	AT2	disease_groupOther	-0.0930329708560792	0.0984426961106434	0.345618085097272	236	Healthy	228	0.363808510628707	0.477581353952594
