gene	block	block_type	block_rank	pericyte_state	mean_expr	frac_expr
MYH11	synthetic_contractile	curated	3	1	1.2521666	0.5079889807162534
MYH11	synthetic_contractile	curated	3	2	0.5213033	0.1969914040114613
MYH11	synthetic_contractile	curated	3	3	1.2857662	0.5820568927789934
MYH11	synthetic_contractile	curated	3	4	0.48771942	0.2
MYH11	synthetic_contractile	curated	3	5	1.4917722	0.6194690265486725
ACTA2	synthetic_contractile	curated	4	0	1.7641081	0.7140177353342428
ACTA2	synthetic_contractile	curated	4	1	0.9569909	0.3950413223140496
ACTA2	synthetic_contractile	curated	4	2	1.285289	0.4505730659025788
ACTA2	synthetic_contractile	curated	4	3	1.6067275	0.6608315098468271
ACTA2	synthetic_contractile	curated	4	4	0.8398551	0.3181818181818182
ACTA2	synthetic_contractile	curated	4	5	1.8273375	0.7433628318584071
NDUFA4L2	vascular_stabilizing	curated	1	0	2.4244475	0.9328103683492497
NDUFA4L2	vascular_stabilizing	curated	1	1	0.58899343	0.24710743801652893
NDUFA4L2	vascular_stabilizing	curated	1	2	2.2093682	0.7564469914040115
NDUFA4L2	vascular_stabilizing	curated	1	3	1.82221	0.7636761487964989
NDUFA4L2	vascular_stabilizing	curated	1	4	1.1318667	0.40454545454545454
NDUFA4L2	vascular_stabilizing	curated	1	5	0.8246491	0.36283185840707965
HIGD1B	vascular_stabilizing	curated	2	0	2.4248464	0.940143246930423
HIGD1B	vascular_stabilizing	curated	2	1	0.8432205	0.3537190082644628
HIGD1B	vascular_stabilizing	curated	2	2	2.1964004	0.7521489971346705
HIGD1B	vascular_stabilizing	curated	2	3	1.9817137	0.8205689277899344
HIGD1B	vascular_stabilizing	curated	2	4	1.1589094	0.42272727272727273
HIGD1B	vascular_stabilizing	curated	2	5	0.9454169	0.40707964601769914
COX4I2	vascular_stabilizing	curated	3	0	2.509132	0.9590723055934516
COX4I2	vascular_stabilizing	curated	3	1	1.0367475	0.42644628099173554
COX4I2	vascular_stabilizing	curated	3	2	2.3799028	0.8101719197707736
COX4I2	vascular_stabilizing	curated	3	3	2.19497	0.8840262582056893
COX4I2	vascular_stabilizing	curated	3	4	1.4868063	0.5363636363636364
COX4I2	vascular_stabilizing	curated	3	5	1.1377448	0.49557522123893805
RGS5	vascular_stabilizing	curated	4	0	1.7300454	0.675818553888131
RGS5	vascular_stabilizing	curated	4	1	0.4714757	0.17988980716253444
RGS5	vascular_stabilizing	curated	4	2	1.6885158	0.5730659025787965
RGS5	vascular_stabilizing	curated	4	3	1.2649024	0.5185995623632386
RGS5	vascular_stabilizing	curated	4	4	0.9534494	0.33636363636363636
RGS5	vascular_stabilizing	curated	4	5	1.2180064	0.49557522123893805
BTF3	0	marker	1	0	1.953551	0.8364597544338336
BTF3	0	marker	1	1	0.31779218	0.14022038567493114
BTF3	0	marker	1	2	1.5647562	0.5716332378223495
BTF3	0	marker	1	3	1.1473235	0.5404814004376368
BTF3	0	marker	1	4	0.85587025	0.3409090909090909
BTF3	0	marker	1	5	0.54847515	0.25663716814159293
GAPDH	0	marker	2	0	2.2795634	0.9106412005457026
GAPDH	0	marker	2	1	0.4548283	0.1928374655647383
GAPDH	0	marker	2	2	2.0359468	0.7098853868194842
GAPDH	0	marker	2	3	1.3711467	0.6148796498905909
GAPDH	0	marker	2	4	1.0027994	0.38636363636363635
GAPDH	0	marker	2	5	0.8551536	0.39823008849557523
UBB	0	marker	3	0	2.1604893	0.8739768076398363
UBB	0	marker	3	1	0.43255195	0.18264462809917356
UBB	0	marker	3	2	1.8053083	0.6382521489971347
UBB	0	marker	3	3	1.0267097	0.45076586433260396
UBB	0	marker	3	4	1.2541547	0.4636363636363636
UBB	0	marker	3	5	0.4356457	0.19469026548672566
CALM2	0	marker	4	0	2.2267184	0.8852319236016372
CALM2	0	marker	4	1	0.3284412	0.11515151515151516
CALM2	0	marker	4	2	1.8771958	0.6511461318051576
CALM2	0	marker	4	3	1.2965856	0.5251641137855579
CALM2	0	marker	4	4	1.0227299	0.36363636363636365
CALM2	0	marker	4	5	0.7688537	0.2831858407079646
PRKG1	1	marker	1	0	0.4473572	0.22646657571623466
PRKG1	1	marker	1	1	2.1271765	0.7303030303030303
PRKG1	1	marker	1	2	0.3522668	0.13252148997134672
PRKG1	1	marker	1	3	1.1901324	0.4923413566739606
PRKG1	1	marker	1	4	0.8840641	0.3409090909090909
PRKG1	1	marker	1	5	1.7572826	0.6371681415929203
SOX5	1	marker	2	0	0.2900812	0.14887448840381992
SOX5	1	marker	2	1	1.9198151	0.6966942148760331
SOX5	1	marker	2	2	0.23170958	0.09025787965616046
SOX5	1	marker	2	3	1.0264206	0.4485776805251641
SOX5	1	marker	2	4	0.63781303	0.2636363636363636
SOX5	1	marker	2	5	1.6036867	0.6371681415929203
PLCB1	1	marker	3	0	0.526635	0.26875852660300137
PLCB1	1	marker	3	1	1.8799763	0.7019283746556474
PLCB1	1	marker	3	2	0.30354592	0.1174785100286533
PLCB1	1	marker	3	3	1.2019917	0.5317286652078774
PLCB1	1	marker	3	4	0.63110566	0.2636363636363636
PLCB1	1	marker	3	5	1.5011579	0.6460176991150443
LPP	1	marker	4	0	0.9436576	0.45105729877216916
LPP	1	marker	4	1	2.1291258	0.7798898071625344
LPP	1	marker	4	2	0.69305825	0.2600286532951289
LPP	1	marker	4	3	1.5712504	0.6673960612691466
LPP	1	marker	4	4	1.3294761	0.5045454545454545
LPP	1	marker	4	5	2.1814806	0.831858407079646
B2M	2	marker	1	0	2.9765642	0.9950545702592087
B2M	2	marker	1	1	1.4330307	0.5586776859504132
B2M	2	marker	1	2	3.1325698	0.9606017191977078
B2M	2	marker	1	3	2.61726	0.9518599562363238
B2M	2	marker	1	4	2.4736137	0.8136363636363636
B2M	2	marker	1	5	1.96806	0.7876106194690266
EEF1A1	2	marker	2	0	2.7667174	0.9882332878581174
EEF1A1	2	marker	2	1	0.96931195	0.3977961432506887
EEF1A1	2	marker	2	2	2.7848735	0.8975644699140402
EEF1A1	2	marker	2	3	2.1910038	0.8840262582056893
EEF1A1	2	marker	2	4	2.1642659	0.7636363636363637
EEF1A1	2	marker	2	5	1.4630148	0.584070796460177
FTH1	2	marker	3	0	2.6854854	0.96231241473397
FTH1	2	marker	3	1	0.9004451	0.36198347107438017
FTH1	2	marker	3	2	2.7058043	0.8696275071633238
FTH1	2	marker	3	3	1.8414521	0.7352297592997812
FTH1	2	marker	3	4	1.9598438	0.6909090909090909
FTH1	2	marker	3	5	1.2196625	0.5309734513274337
TMSB4X	2	marker	4	0	2.833787	0.9822646657571623
TMSB4X	2	marker	4	1	1.0081657	0.3944903581267218
TMSB4X	2	marker	4	2	2.8931472	0.9061604584527221
TMSB4X	2	marker	4	3	2.2725434	0.862144420131291
TMSB4X	2	marker	4	4	2.1083453	0.7136363636363636
TMSB4X	2	marker	4	5	1.6586962	0.6637168141592921
CSPG4	3	marker	1	0	0.6493862	0.3183833560709413
CSPG4	3	marker	1	1	0.9555734	0.4143250688705234
CSPG4	3	marker	1	2	0.3751521	0.14255014326647564
CSPG4	3	marker	1	3	1.3112893	0.6039387308533917
CSPG4	3	marker	1	4	0.5073589	0.2
CSPG4	3	marker	1	5	0.8461241	0.39823008849557523
NID1	3	marker	2	0	1.1957439	0.5535470668485676
NID1	3	marker	2	1	1.6920729	0.6801652892561983
NID1	3	marker	2	2	0.87734145	0.32879656160458454
NID1	3	marker	2	3	1.9032174	0.8096280087527352
NID1	3	marker	2	4	1.2329694	0.4863636363636364
NID1	3	marker	2	5	1.8740008	0.7876106194690266
LAMC3	3	marker	3	0	1.2730031	0.5850954979536153
LAMC3	3	marker	3	1	1.6008898	0.6396694214876033
LAMC3	3	marker	3	2	0.80753386	0.2987106017191977
LAMC3	3	marker	3	3	1.8891677	0.8140043763676149
