gene	compartment	contrast	family	estimable	estimate	se	ci_lo	ci_hi	df	t.ratio	p.value	p_BH_reference	n_model_donors	covariates	n_control	n_donors_arm	n_control_donors
AGTR2	Fibroblast	COPD	exploratory	TRUE	0.000415508161822972	0.000637764374794576	-0.000834510012774397	0.00166552633642034	62	0.651507325031768	0.517126809612978		69	mean_log10_counts+sex+age+ever_smoker	23	16	23
AGTR2	Myofibroblast	COPD	exploratory	TRUE	-0.00241978425958988	0.00374141913257187	-0.00975296575943075	0.00491339724025099	52	-0.646755729269633	0.520634747398644		59	mean_log10_counts+sex+age+ever_smoker	16	14	16
ACE2	Myofibroblast	COPD	exploratory	TRUE	-0.000438004745406647	0.000684226353383128	-0.00177908839803758	0.000903078907224285	52	-0.64014597397623	0.524888437420412		59	mean_log10_counts+sex+age+ever_smoker	16	14	16
ACE	SMC	IPF	exploratory	TRUE	-0.0113736102984489	0.0186715314592012	-0.0479698119584832	0.0252225913615854	29	-0.609141800890901	0.547173285806106		36	mean_log10_counts+sex+age+ever_smoker	8	19	8
AGTR2	Myofibroblast	IPF	exploratory	TRUE	0.00185288984272331	0.00331171293751071	-0.00463806751479767	0.00834384720024429	52	0.559495909725817	0.578225398225631		59	mean_log10_counts+sex+age+ever_smoker	16	29	16
ACE	Endothelial	COPD	exploratory	TRUE	0.0565891277356162	0.106508452089646	-0.152167438360091	0.265345693831323	67	0.531311145973524	0.596960283415426		74	mean_log10_counts+sex+age+ever_smoker	25	17	25
ACE2	Endothelial	COPD	exploratory	TRUE	-0.0093963899829118	0.0178967312638038	-0.0444739832599673	0.0256812032941437	67	-0.525033864810611	0.60129277231429		74	mean_log10_counts+sex+age+ever_smoker	25	17	25
AGT	Myofibroblast	IPF	exploratory	TRUE	-0.0178090060179736	0.0387272839060267	-0.0937144824737858	0.0580964704378387	52	-0.459856830166244	0.647535986334276		59	mean_log10_counts+sex+age+ever_smoker	16	29	16
ACE2	Myofibroblast	IPF	exploratory	TRUE	0.000270887788310253	0.000605642187200514	-0.000916170898602756	0.00145794647522326	52	0.447273644463885	0.65653509461296		59	mean_log10_counts+sex+age+ever_smoker	16	29	16
ACE2	SMC	IPF	exploratory	TRUE	0.00972512610877049	0.0244120578019965	-0.0381225071831427	0.0575727594006837	29	0.398373876862406	0.69327254782235		36	mean_log10_counts+sex+age+ever_smoker	8	19	8
ACE2	ATII	IPF	exploratory	TRUE	-0.00625036214075892	0.0170900912102172	-0.0397469409127846	0.0272462166312668	51	-0.365730180364525	0.716079064477973		58	mean_log10_counts+sex+age+ever_smoker	20	22	20
ACE	Mural	IPF	exploratory	TRUE	0.00944965972461112	0.0306162229404964	-0.0505581372387618	0.069457456687984	36	0.30864877561732	0.759367811892134		43	mean_log10_counts+sex+age+ever_smoker	10	22	10
AGT	Fibroblast	COPD	exploratory	TRUE	0.0115690619634886	0.0379600346849527	-0.0628326060190187	0.0859707299459959	62	0.304769530889669	0.761562408775768		69	mean_log10_counts+sex+age+ever_smoker	23	16	23
ACE2	ATII	COPD	exploratory	TRUE	-0.00561247028775601	0.0186932391023519	-0.0422512189283658	0.0310262783528538	51	-0.300240651554596	0.765214055317122		58	mean_log10_counts+sex+age+ever_smoker	20	16	20
ACE2	Fibroblast	IPF	exploratory	TRUE	0.00942866412523187	0.0357853367623366	-0.0607105959289478	0.0795679241794115	62	0.263478423798302	0.793055561887138		69	mean_log10_counts+sex+age+ever_smoker	23	30	23
AGT	SMC	IPF	exploratory	TRUE	0.0311769687140497	0.142123146645955	-0.247384398712022	0.309738336140121	29	0.219365877056713	0.82790176302416		36	mean_log10_counts+sex+age+ever_smoker	8	19	8
ACE	Pericyte	COPD	exploratory	FALSE	0.0223517126470404	0.107257423674154	-0.187872837754302	0.232576263048382	22	0.208393152486531	0.836839280177562		29	mean_log10_counts+sex+age+ever_smoker	3	6	3
ACE	Pericyte	IPF	exploratory	FALSE	-0.0110717074336067	0.0853391809477739	-0.178336502091244	0.15619308722403	22	-0.129737680988319	0.89795286932749		29	mean_log10_counts+sex+age+ever_smoker	3	20	3
ACE	ATI	IPF	exploratory	TRUE	-0.00378867463422016	0.0326854944973466	-0.0678522438490196	0.0602748945805792	45	-0.1159130278579	0.908237205116973		52	mean_log10_counts+sex+age+ever_smoker	18	18	18
ACE2	Endothelial	IPF	exploratory	TRUE	0.00183876910559124	0.0170002530825463	-0.0314817269361996	0.035159265147382	67	0.108161278344677	0.914191022741478		74	mean_log10_counts+sex+age+ever_smoker	25	32	25
AGT	Pericyte	IPF	exploratory	FALSE	-0.0155696099845103	0.18439333791481	-0.376980552297539	0.345841332328518	22	-0.0844369442007904	0.933472698841086		29	mean_log10_counts+sex+age+ever_smoker	3	20	3
AGTR2	ATII	IPF	exploratory	TRUE	0.00404790835155885	0.0511580883468368	-0.0962219448082413	0.104317761511359	51	0.0791254810796529	0.937242473257557		58	mean_log10_counts+sex+age+ever_smoker	20	22	20
AGT	ATII	IPF	exploratory	TRUE	0.000551456909673695	0.00728143724260858	-0.0137201600858391	0.0148230739051865	51	0.0757346237150477	0.939926539794777		58	mean_log10_counts+sex+age+ever_smoker	20	22	20
ACE	Mural	COPD	exploratory	TRUE	-0.00172128538945682	0.0352891657559878	-0.0708880502711929	0.0674454794922793	36	-0.0487765962323651	0.961366945608925		43	mean_log10_counts+sex+age+ever_smoker	10	11	10
ACE	ATII	IPF	exploratory	TRUE	-0.000855818783502747	0.0198967573529626	-0.0398534631953095	0.038141825628304	51	-0.0430129778596971	0.96585915303993		58	mean_log10_counts+sex+age+ever_smoker	20	22	20
AGT	Mural	IPF	exploratory	TRUE	0.00351123052076736	0.103678064901444	-0.199697776686064	0.206720237727598	36	0.033866667207814	0.973170556931421		43	mean_log10_counts+sex+age+ever_smoker	10	22	10
ACE	ATII	COPD	exploratory	TRUE	0.000182003854811852	0.0217631865146542	-0.0424738417139104	0.0428378494235341	51	0.00836292308064814	0.993360058638152		58	mean_log10_counts+sex+age+ever_smoker	20	16	20
AGT	ATI	COPD	exploratory	TRUE	0	0	0	0	45				52	mean_log10_counts+sex+age+ever_smoker	18	16	18
AGTR2	ATI	COPD	exploratory	TRUE	0	0	0	0	45				52	mean_log10_counts+sex+age+ever_smoker	18	16	18
AGT	ATI	IPF	exploratory	TRUE	0	0	0	0	45				52	mean_log10_counts+sex+age+ever_smoker	18	18	18
AGTR2	ATI	IPF	exploratory	TRUE	0	0	0	0	45				52	mean_log10_counts+sex+age+ever_smoker	18	18	18
AGTR2	Endothelial	COPD	exploratory	TRUE	0	0	0	0	67				74	mean_log10_counts+sex+age+ever_smoker	25	17	25
AGTR2	Endothelial	IPF	exploratory	TRUE	0	0	0	0	67				74	mean_log10_counts+sex+age+ever_smoker	25	32	25
AGTR2	Mural	COPD	exploratory	TRUE	0	0	0	0	36				43	mean_log10_counts+sex+age+ever_smoker	10	11	10
AGTR2	Mural	IPF	exploratory	TRUE	0	0	0	0	36				43	mean_log10_counts+sex+age+ever_smoker	10	22	10
AGTR2	Pericyte	COPD	exploratory	FALSE	0	0	0	0	22				29	mean_log10_counts+sex+age+ever_smoker	3	6	3
AGTR2	Pericyte	IPF	exploratory	FALSE	0	0	0	0	22				29	mean_log10_counts+sex+age+ever_smoker	3	20	3
AGTR2	SMC	COPD	exploratory	TRUE	0	0	0	0	29				36	mean_log10_counts+sex+age+ever_smoker	8	9	8
AGTR2	SMC	IPF	exploratory	TRUE	0	0	0	0	29				36	mean_log10_counts+sex+age+ever_smoker	8	19	8
AGTR1	Myofibroblast	IPF	primary	TRUE	-0.115834264630763	0.0728917571660997	-0.258702108676319	0.0270335794147919	52	-1.58912707189662	0.118094013141821	0.199892301176068	59	mean_log10_counts+sex+age+ever_smoker	16	29	16
AGTR1	Myofibroblast	COPD	primary	TRUE	-0.121431151730442	0.0823497144873374	-0.282836592125623	0.0399742886647396	52	-1.47457890396346	0.146354819349484	0.199892301176068	59	mean_log10_counts+sex+age+ever_smoker	16	14	16
AGTR1	Fibroblast	IPF	primary	TRUE	0.0820656786805685	0.0562909055262576	-0.0282644961508964	0.192395853512033	62	1.4578852110007	0.149919225882051	0.199892301176068	69	mean_log10_counts+sex+age+ever_smoker	23	30	23
AGTR1	Fibroblast	COPD	primary	TRUE	0.0253976250415632	0.0652343104877462	-0.102461623514419	0.153256873597546	62	0.389329247932098	0.698366667002618	0.698366667002618	69	mean_log10_counts+sex+age+ever_smoker	23	16	23
