contrast	estimate	se	df	t.ratio	p.value	gene	compartment	model_arm	covariates	n_model_donors	ci_lo	ci_hi
IPF	-0.0186627783880546	0.0131301462825497	55	-1.42136865701625	0.160855197264539	ACE2	ATII	unadjusted	none	58	-0.0443978651018521	0.00707230832574279
COPD	-0.0093963899829118	0.0178967312638038	67	-0.525033864810611	0.60129277231429	ACE2	Endothelial	adjusted	mean_log10_counts+sex+age+ever_smoker	74	-0.0444739832599673	0.0256812032941437
COPD	-0.0192914714568587	0.0157201038093747	68	-1.22718473686886	0.223984887006716	ACE2	Endothelial	no_smoking	mean_log10_counts+sex+age	74	-0.0501028749232332	0.0115199320095157
COPD	-0.0169939786356996	0.0138237266989699	71	-1.22933410112672	0.223005095797805	ACE2	Endothelial	unadjusted	none	74	-0.0440884829656805	0.0101005256942814
IPF	0.00183876910559124	0.0170002530825463	67	0.108161278344677	0.914191022741478	ACE2	Endothelial	adjusted	mean_log10_counts+sex+age+ever_smoker	74	-0.0314817269361996	0.035159265147382
IPF	-0.00357332240229057	0.0163713524577741	68	-0.218266781043721	0.827874964695091	ACE2	Endothelial	no_smoking	mean_log10_counts+sex+age	74	-0.0356611732195279	0.0285145284149467
IPF	-0.00932574468401779	0.0117378185917172	71	-0.794504073405814	0.429549776197308	ACE2	Endothelial	unadjusted	none	74	-0.0323318691237835	0.0136803797557479
COPD	-0.0360205702250169	0.0414708512403287	62	-0.868575617516826	0.388429135465627	ACE2	Fibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	69	-0.117303438656061	0.0452622982060273
COPD	-0.0234186835127285	0.0363778729408603	63	-0.643761760089723	0.522066669603093	ACE2	Fibroblast	no_smoking	mean_log10_counts+sex+age	69	-0.0947193144768147	0.0478819474513576
COPD	-0.00514749558923063	0.0332719335870679	66	-0.154709842028278	0.877522216928708	ACE2	Fibroblast	unadjusted	none	69	-0.0703604854198838	0.0600654942414225
IPF	0.00942866412523187	0.0357853367623366	62	0.263478423798302	0.793055561887138	ACE2	Fibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	69	-0.0607105959289478	0.0795679241794115
IPF	0.0152198738746557	0.0344719917413789	63	0.441514200538239	0.660352495580644	ACE2	Fibroblast	no_smoking	mean_log10_counts+sex+age	69	-0.052345229938447	0.0827849776877583
IPF	0.0271596316472285	0.0283258555260344	66	0.958828291073717	0.341144639196329	ACE2	Fibroblast	unadjusted	none	69	-0.0283590451837989	0.082678308478256
COPD	0.0327643074575379	0.0192006729992963	36	1.70641453342488	0.0965448464918488	ACE2	Mural	adjusted	mean_log10_counts+sex+age+ever_smoker	43	-0.00486901162108279	0.0703976265361585
COPD	0.0291824634115667	0.0171582292772796	37	1.70078525819732	0.0973749379303249	ACE2	Mural	no_smoking	mean_log10_counts+sex+age	43	-0.00444766597190126	0.0628125927950347
COPD	0.0253594244885176	0.016872513496842	40	1.50300217529914	0.140693214943608	ACE2	Mural	unadjusted	none	43	-0.00771070196529266	0.0584295509423279
IPF	0.0213183898603355	0.0166581462769286	36	1.27975763364867	0.208816568432277	ACE2	Mural	adjusted	mean_log10_counts+sex+age+ever_smoker	43	-0.0113315768424445	0.0539683565631155
IPF	0.0203804585148259	0.0163363890717634	37	1.247549775247	0.220034495234465	ACE2	Mural	no_smoking	mean_log10_counts+sex+age	43	-0.0116388640658303	0.0523997810954821
IPF	0.0158914262180671	0.0147275371930366	40	1.07902808254871	0.2870390473107	ACE2	Mural	unadjusted	none	43	-0.0129745466802847	0.044757399116419
COPD	-0.000438004745406647	0.000684226353383128	52	-0.64014597397623	0.524888437420412	ACE2	Myofibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	59	-0.00177908839803758	0.000903078907224285
COPD	-5.6451772086179e-05	0.00059743650212503	53	-0.0944899949791901	0.925076262651017	ACE2	Myofibroblast	no_smoking	mean_log10_counts+sex+age	59	-0.00122742731625124	0.00111452377207888
COPD	0	0.000538012986055481	56	0	1	ACE2	Myofibroblast	unadjusted	none	59	-0.00105450545266874	0.00105450545266874
IPF	0.000270887788310253	0.000605642187200514	52	0.447273644463885	0.65653509461296	ACE2	Myofibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	59	-0.000916170898602756	0.00145794647522326
IPF	0.000446345366031295	0.000587135707383164	53	0.760208177459748	0.450498810487816	ACE2	Myofibroblast	no_smoking	mean_log10_counts+sex+age	59	-0.000704440620439707	0.0015971313525023
IPF	0.000521466530054268	0.000457829114199454	56	1.13899818487098	0.259552870387836	ACE2	Myofibroblast	unadjusted	none	59	-0.000375878533776662	0.0014188115938852
COPD	0.0971194837503986	0.0612286534043375	22	1.58617703232909	0.126969154815564	ACE2	Pericyte	adjusted	mean_log10_counts+sex+age+ever_smoker	29	-0.0228886769221029	0.2171276444229
COPD	0.076680293577767	0.0575525030345963	23	1.33235375586832	0.195795291106683	ACE2	Pericyte	no_smoking	mean_log10_counts+sex+age	29	-0.0361226123700417	0.189483199525576
COPD	0.0463587458867758	0.0517566742536176	26	0.895705656426243	0.378628181346875	ACE2	Pericyte	unadjusted	none	29	-0.0550843356503147	0.147801827423866
IPF	0.0470845683373663	0.0487164706466879	22	0.966502041554759	0.344298435844764	ACE2	Pericyte	adjusted	mean_log10_counts+sex+age+ever_smoker	29	-0.0483997141301419	0.142568850804875
IPF	0.0425635834272438	0.0484645006281421	23	0.878242484201482	0.388894863137653	ACE2	Pericyte	no_smoking	mean_log10_counts+sex+age	29	-0.0524268378039148	0.137554004658402
IPF	0.0325918544948487	0.0453178870444798	26	0.719183011839443	0.478442900517545	ACE2	Pericyte	unadjusted	none	29	-0.0562312041123318	0.121414913102029
COPD	0.0322327317871606	0.0299493834303698	29	1.0762402458835	0.290692180154396	ACE2	SMC	adjusted	mean_log10_counts+sex+age+ever_smoker	36	-0.0264680597363643	0.0909335233106854
COPD	0.0357148407771603	0.0251187809858684	30	1.42183813765697	0.165387007108462	ACE2	SMC	no_smoking	mean_log10_counts+sex+age	36	-0.0135179699551417	0.0849476515094623
COPD	0.0337753781271963	0.0243280161414401	33	1.38833260923663	0.174337197602895	ACE2	SMC	unadjusted	none	36	-0.0139075335100262	0.0814582897644188
IPF	0.00972512610877049	0.0244120578019965	29	0.398373876862406	0.69327254782235	ACE2	SMC	adjusted	mean_log10_counts+sex+age+ever_smoker	36	-0.0381225071831427	0.0575727594006837
IPF	0.010796909207015	0.0235490151406973	30	0.458486656130085	0.649907090369835	ACE2	SMC	no_smoking	mean_log10_counts+sex+age	36	-0.0353591604687517	0.0569529788827817
IPF	0.00130696320277663	0.0211012688538192	33	0.0619376593810885	0.950986102725724	ACE2	SMC	unadjusted	none	36	-0.040051523750709	0.0426654501562623
COPD	0	0	45			AGT	ATI	adjusted	mean_log10_counts+sex+age+ever_smoker	52	0	0
COPD	0	0	46			AGT	ATI	no_smoking	mean_log10_counts+sex+age	52	0	0
COPD	0	0	49			AGT	ATI	unadjusted	none	52	0	0
IPF	0	0	45			AGT	ATI	adjusted	mean_log10_counts+sex+age+ever_smoker	52	0	0
IPF	0	0	46			AGT	ATI	no_smoking	mean_log10_counts+sex+age	52	0	0
IPF	0	0	49			AGT	ATI	unadjusted	none	52	0	0
COPD	-0.00742854902349068	0.0079644775273919	51	-0.932710149277461	0.355364458295435	AGT	ATII	adjusted	mean_log10_counts+sex+age+ever_smoker	58	-0.0230389249771788	0.00818182693019744
COPD	-0.00407363579362683	0.00657913487365728	52	-0.619174993651154	0.538504470333345	AGT	ATII	no_smoking	mean_log10_counts+sex+age	58	-0.0169687401459951	0.00882146855874144
COPD	-0.00386370065254707	0.0058373167470735	55	-0.661896693285337	0.51080125679548	AGT	ATII	unadjusted	none	58	-0.0153048414768111	0.00757744017171699
IPF	0.000551456909673695	0.00728143724260858	51	0.0757346237150477	0.939926539794777	AGT	ATII	adjusted	mean_log10_counts+sex+age+ever_smoker	58	-0.0137201600858391	0.0148230739051865
IPF	0.00247882622862431	0.00678997021798807	52	0.365071738025798	0.716538548099793	AGT	ATII	no_smoking	mean_log10_counts+sex+age	58	-0.0108295153986323	0.0157871678558809
IPF	0.00353028000513141	0.00537694142685568	55	0.656559133692451	0.514202222294906	AGT	ATII	unadjusted	none	58	-0.00700852519150571	0.0140690852017685
COPD	0.000750648830094883	0.00060854890014285	67	1.23350618153886	0.221696879041443	AGT	Endothelial	adjusted	mean_log10_counts+sex+age+ever_smoker	74	-0.000442107014185104	0.00194340467437487
COPD	0.000173274863546214	0.000544466836459228	68	0.318246864534585	0.751273040561095	AGT	Endothelial	no_smoking	mean_log10_counts+sex+age	74	-0.000893880135913874	0.0012404298630063
COPD	-5.99230955235529e-20	0.000482018912749587	71	-1.24316896990063e-16	1	AGT	Endothelial	unadjusted	none	74	-0.000944757068989191	0.000944757068989191
IPF	0.000849182902802071	0.000578065634614374	67	1.46900775959214	0.146510556281978	AGT	Endothelial	adjusted	mean_log10_counts+sex+age+ever_smoker	74	-0.000283825741042103	0.00198219154664624
IPF	0.000533389571594292	0.00056702287652373	68	0.940684395071262	0.35019638242939	AGT	Endothelial	no_smoking	mean_log10_counts+sex+age	74	-0.000577975266392219	0.0016447544095808
IPF	0.000571850107383897	0.000409285475533383	71	1.39719130428134	0.166707405690928	AGT	Endothelial	unadjusted	none	74	-0.000230349424661533	0.00137404963942933
COPD	0.0115690619634886	0.0379600346849527	62	0.304769530889669	0.761562408775768	AGT	Fibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	69	-0.0628326060190187	0.0859707299459959
COPD	0.0227721562968192	0.0332919570564118	63	0.684013747171209	0.496474893468287	AGT	Fibroblast	no_smoking	mean_log10_counts+sex+age	69	-0.042480079533748	0.0880243921273864
COPD	0.0179140862798619	0.0293402258602976	66	0.610564021052844	0.543585128177643	AGT	Fibroblast	unadjusted	none	69	-0.0395927564063213	0.0754209289660452
IPF	0.0889953052834214	0.0327558413700949	62	2.71692930362862	0.00852933047162825	AGT	Fibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	69	0.0247938561980354	0.153196754368807
IPF	0.0941436985842145	0.0315477507596086	63	2.98416515654578	0.00404301353325669	AGT	Fibroblast	no_smoking	mean_log10_counts+sex+age	69	0.0323101070953817	0.155977290073047
IPF	0.0886832830339107	0.0249786203932263	66	3.55036753983257	0.00071500757983906	AGT	Fibroblast	unadjusted	none	69	0.0397251870631871	0.137641379004634
COPD	-0.106144211919982	0.119502409708668	36	-0.888218172158605	0.380319784849689	AGT	Mural	adjusted	mean_log10_counts+sex+age+ever_smoker	43	-0.340368934948972	0.128080511109008
