donor_id,leiden_pericytes,mean,std,n_cells
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747160C,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747160C,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747166I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747166I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747166I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747166I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747166I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374716E0F2ng,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747174I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747174I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747174I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747174I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747174I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747177I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747177I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747177I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747177I,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747177I,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747178CO,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747178CO,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747178CO,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747178CO,3,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747178CO,4,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747179I,0,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747179I,1,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747179I,2,,,0
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747179I,3,,,0
