donor_id,n_cells,ARI,NMI
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D150,89,-0.010180971610510875,0.04581436517072916
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D16,91,0.01991522685551947,0.046632501762715155
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D17,66,0.05807789913127831,0.050128127082932815
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239,986,0.03744837137418362,0.014321646182581875
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D3,40,-0.03207455051051816,0.03710954062294145
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D4,49,0.1238891239949217,0.13523547772857156
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D5,72,-0.030904853227319177,0.1399568851626644
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D7,168,0.003583163451205889,0.01584125509201876
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D8,102,-0.015324999057220534,0.012238196836682046
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD073R,52,0.05922084187673381,0.128355186370132
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF1,208,-0.004386319861450561,0.013248771672282295
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF2,196,-0.015472054978408211,0.021453876382706433
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF3,892,0.011219393929453775,0.013996643910403356
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747JVV9L8ng,24,-0.05547697626905548,0.07565147916977155
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1,468,0.0022080213178627085,0.018747356184830123
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2,381,0.0013219645652891336,0.021058317614611213
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3,133,-0.00957016408929415,0.09571858939687196
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01,831,0.05513712424044272,0.04820850993302939
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI02,93,-0.01873620862587763,0.022218276285172506
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_1,274,0.015258593918933826,0.012254701125712981
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_2,62,-0.02604220163001005,0.03597802786896902
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_1,56,0.0347369344749345,0.07073600004550891
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_3,55,0.08686952446191008,0.08081500296007048
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU653,27,0.15483870967741936,0.25586619178828973
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD1,183,0.027971862436826596,0.0218550954555099
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2,152,0.043861006020667094,0.03429312582978693
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_2,105,0.020651995655100626,0.13750970647392424
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_3,43,-0.010340667547538346,0.12967923462692907
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_4,86,0.13523201185560882,0.11399456094741299
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67,43,-0.005511539786427834,0.11554556934683169
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD68,105,0.05587203148914969,0.07082530650267765
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD85,22,0.08639557654648082,0.20390725475565158
