test_ligand	aupr_frozen	rank_frozen	aupr_bm	rank_bm	perm_p_BH
COL27A1	0.0588322970624378	107	0.00298735083947709	83	0.188833400923867
SIRPA	0.0585815332607473	108	0.00138288267765132	262	0.223816698789891
GPC3	0.058129784403669	109	0.00204601518612692	202	0.190420381038819
COL21A1	0.0580583309342215	110	0.00251466599532128	147	0.188833400923867
ADAM15	0.0580570734865958	111	0.00266238153309256	122	0.188833400923867
BMP3	0.0576270331099406	112	0.00410894983617864	26	0.188833400923867
CDH1	0.0575044478326747	113	0.00246112858449625	158	0.188833400923867
IL1A	0.057265742777395	114	0.00187345913654649	224	0.191408256434631
HSPG2	0.0571618713060939	115	0.00393034750513546	33	0.188833400923867
ADAM9	0.0570694776038269	116	0.00435755247507361	25	0.188833400923867
SPP1	0.0570637154830084	117	0.00160532019869767	247	0.20746433421174
SEMA3G	0.0570584654043593	118	0.00248853342673913	152	0.188833400923867
IGFBP3	0.0568364750376677	119	0.00137715009541426	263	0.227240393831339
APOA1	0.0568216280201765	120	0.00267898978083602	118	0.188833400923867
COL24A1	0.056811065936329	121	0.00310075514498701	71	0.188833400923867
PECAM1	0.0565986243163791	122	0.00131481895619588	269	0.229468097966323
CLEC11A	0.0564633814916989	123	0.000890018974835258	292	0.291407972604801
NTN1	0.0561653293688532	124	0.00134154964888423	265	0.229262788006914
F8	0.0561383385249727	125	0.00289623374917465	94	0.188833400923867
NTM	0.0561337240941807	126	0.00383602095983856	39	0.188833400923867
COMP	0.0559979173539227	127	0.00229192913264662	178	0.188833400923867
COL18A1	0.0559230710653012	128	0.00230080111384151	177	0.188833400923867
RGMA	0.0559013999891718	129	0.00228085890639914	181	0.188833400923867
THY1	0.0558751903802505	130	0.00289690938209391	93	0.188833400923867
ICAM4	0.0558528912373744	131	0.00176018856335989	233	0.195175801568779
ANGPTL1	0.0556534325264911	132	0.00308484887170212	75	0.188833400923867
COL4A3	0.0555815221600274	133	0.00251734020322846	146	0.188833400923867
JAM2	0.0555197710016778	134	0.00263614286159398	127	0.188833400923867
SEMA3B	0.0555189137803377	135	0.00270357249806452	114	0.188833400923867
CD55	0.0554275804033623	136	0.00293020233910802	89	0.188833400923867
GDF10	0.0554047486753429	137	0.00297792173466052	84	0.188833400923867
BDNF	0.0552522818571391	138	0.00384658865579368	38	0.188833400923867
OSM	0.0552432123304416	139	0.000712915027541071	298	0.326891807463549
LAMC2	0.0551630347594245	140	0.00250192782513635	150	0.188833400923867
SERPINE1	0.0551445611819284	141	0.0015318738916605	253	0.20888387351741
EFEMP1	0.0551432467288993	142	0.00276233111788514	109	0.188833400923867
FGF14	0.0550668896125711	143	0.00100849862332785	286	0.272486038109476
VEGFD	0.0550563465873243	144	0.00273045707834695	112	0.188833400923867
KIRREL1	0.055049846358455	145	0.00164873987040888	244	0.205260955385943
AZGP1	0.0549075029656568	146	0.00254300257968876	141	0.188833400923867
SOSTDC1	0.0548700962787714	147	0.00225708446594799	183	0.188833400923867
RARRES1	0.05477340718465	148	0.0020230133777627	207	0.190420381038819
EREG	0.054752341930909	149	0.00295104705309112	86	0.188833400923867
LAMB1	0.0547349663142517	150	0.0036874020688945	44	0.188833400923867
PRG4	0.0544922996034312	151	0.00299367813199685	82	0.188833400923867
SEMA3D	0.0544880861715026	152	0.00257794187893842	137	0.188833400923867
NCAM1	0.0544045182671043	153	0.00223446115662055	186	0.188833400923867
HAS1	0.0542495671039834	154	0.00253813776877763	143	0.188833400923867
LRFN5	0.0541497223346247	155	0.00272823429681055	113	0.188833400923867
LRPAP1	0.0540811195576143	156	0.00228152180669408	180	0.188833400923867
COL4A4	0.0537691180920635	157	0.00282948106766507	102	0.188833400923867
COL13A1	0.0537257597683801	158	0.00192058015063284	218	0.191408256434631
COL12A1	0.0536618689253399	159	0.00325192574053723	61	0.188833400923867
SYT1	0.0535877284897193	160	0.00234576674578906	171	0.188833400923867
ADAM12	0.053429499392106	161	0.00251260521532728	148	0.188833400923867
ATP1B1	0.0533434070694894	162	0.00285192534310347	100	0.188833400923867
MCAM	0.0533104183659679	163	0.00465974084968409	22	0.188833400923867
CD99	0.0532822455860248	164	0.00308207947675735	76	0.188833400923867
CD320	0.0531954740299376	165	0.0015688269150489	251	0.208946299045985
SEMA3E	0.0530083651592029	166	0.00252051879266783	145	0.188833400923867
LIPH	0.0529859156935667	167	0.00255174290278581	139	0.188833400923867
CNTN6	0.0528883555478525	168	0.00290872351392569	91	0.188833400923867
LAMA4	0.0527076476829295	169	0.00242482471129308	162	0.188833400923867
LGALS3	0.0526611866576706	170	0.00204341063019509	203	0.190420381038819
C1QA	0.0525025644283432	171	0.00293463641700664	88	0.188833400923867
SEMA4D	0.0524016326788432	172	0.0022419547642122	185	0.188833400923867
SEMA4A	0.0522831152498357	173	0.00193881092010085	214	0.191408256434631
CALM1	0.052047667322929	174	0.00239302110152101	165	0.188833400923867
SIGLEC5	0.0519841198451746	175	0.0021524015165293	192	0.188833400923867
SLITRK6	0.0517236296455495	176	0.00264867372341333	123	0.188833400923867
NFASC	0.0517092780616769	177	0.00266981396347836	120	0.188833400923867
AGRN	0.0516038079674511	178	0.00336521157286486	50	0.188833400923867
CEACAM6	0.0513904433065292	179	0.00189116228820691	220	0.194163991672582
SLIT3	0.0512129787591667	180	0.0032706928057046	57	0.188833400923867
CD1B	0.0509955689165223	181	0.00261084232324238	129	0.188833400923867
IL16	0.0508130188090554	182	0.00232055158911901	175	0.188833400923867
LSAMP	0.0507353487093647	183	0.00399599507659466	31	0.188833400923867
COL4A5	0.0505257785315392	184	0.00234822233578088	170	0.188833400923867
HLA-DQB1	0.0505174434836669	185	0.00165072830629375	243	0.205180721597262
FGF2	0.050422175413832	186	0.00916864588417811	14	0.188833400923867
SEMA4B	0.0503971906820951	187	0.00232816945578769	173	0.188833400923867
NPNT	0.0503883306233641	188	0.00523893203793942	17	0.188833400923867
ADAM17	0.0503164568605694	189	0.00165785276048582	242	0.202303006213901
COL4A2	0.0500754595908632	190	0.00368853678527844	43	0.188833400923867
CEACAM1	0.0499636322116696	191	0.00187528771627575	223	0.19301448233555
COL6A1	0.0499118020957253	192	0.0029027887295958	92	0.188833400923867
TSPAN33	0.0496571598605857	193	0.00224839250548422	184	0.188833400923867
COL6A3	0.0496312446974669	194	0.00368572181928933	45	0.188833400923867
MFGE8	0.0493703411397419	195	0.00247765446808619	155	0.188833400923867
LGALS1	0.049241808880373	196	0.00228631500362615	179	0.188833400923867
COL15A1	0.0490367985382476	197	0.00399999214424588	30	0.188833400923867
VEGFA	0.0490092028460803	198	0.0033524685368615	52	0.188833400923867
COL8A2	0.0486825386949676	199	0.00322330256832566	63	0.188833400923867
NECTIN4	0.0486771690892186	200	0.00139597976903359	261	0.226270121079495
PLEKHO2	0.0484917784069881	201	0.00213196565811296	196	0.190420381038819
MDK	0.0484356479833751	202	0.00131971840061763	268	0.229468097966323
SDC2	0.0483987799600402	203	0.00113484855955983	281	0.249181533459557
DUSP18	0.0477776510020133	204	0.00176880549898325	231	0.195175801568779
LPL	0.0477410591741126	205	0.00258637686294918	135	0.188833400923867
HLA-DRB5	0.0476824138960992	206	0.00112012415565171	282	0.253359770405938
LRIG1	0.0475752947482304	207	0.00197483320478024	210	0.19301448233555
F13A1	0.0475646201444154	208	0.00195934040561176	212	0.191408256434631
COL8A1	0.0475631788320374	209	0.00248339602852459	154	0.188833400923867
APOE	0.0474183732063925	210	0.00269845010974581	116	0.188833400923867
IGF2	0.0469742417813682	211	0.00989499527974431	13	0.188833400923867
ANXA2	0.0469438127696121	212	0.00252252018032292	144	0.188833400923867
FLRT3	0.0467613426550277	213	0.00255643721328523	138	0.188833400923867
NRXN3	0.0466144801183895	214	0.00219129858006552	190	0.188833400923867
TSPAN3	0.0465451126243575	215	0.00338651557170095	49	0.188833400923867
LAMB2	0.0465317535048915	216	0.00301455614301407	81	0.188833400923867
CLDN1	0.0457839407998419	217	0.00315853110412115	69	0.188833400923867
HAS2	0.0456509184759724	218	0.000658321846551156	303	0.3399725816892
PGF	0.0456197669413301	219	0.000903669860327003	290	0.292278648847444
COL5A2	0.0452583138251233	220	0.00286311006896892	98	0.188833400923867
COL16A1	0.0448943729877254	221	0.00260357179916077	131	0.188833400923867
HSP90B1	0.0446432489608175	222	0.00258592735233103	136	0.188833400923867
MXRA5	0.0444086685911077	223	0.028452755068588	3	0.188833400923867
CNTN4	0.0443810435452543	224	0.00264258456742941	124	0.188833400923867
ADAM10	0.0443378373506434	225	0.00203275860715956	205	0.190420381038819
HBEGF	0.0441704647378184	226	0.00113783143283686	280	0.249181533459557
SLIT2	0.043511811486727	227	0.00171639008040389	237	0.199458625566015
PSEN1	0.0429769551333308	228	0.00209386383869638	198	0.190420381038819
NID1	0.0428336575416193	229	0.0035544349111072	47	0.188833400923867
EDIL3	0.0427041387276043	230	0.00152360527185344	254	0.213142748225177
FGF7	0.0425394363634908	231	0.0118127246251813	8	0.188833400923867
RSPO3	0.0420079745878284	232	0.00213603724706453	194	0.188833400923867
CALM2	0.0419875068629404	233	0.00205880127645578	201	0.190420381038819
INHBA	0.0416056787935229	234	0.00380906828718959	40	0.188833400923867
PCSK9	0.0413763562821638	235	0.00309933596837604	72	0.188833400923867
FBLN1	0.0411186719936423	236	0.00332023251975682	54	0.188833400923867
PI16	0.0409462435771493	237	0.00190261815948002	219	0.191408256434631
PTPRC	0.0399089136927081	238	0.00032533618611946	315	0.433153827474395
SPON1	0.0397589280092047	239	0.00157978803993312	250	0.206392885301634
HGF	0.0396026095167719	240	0.00386746764351923	35	0.188833400923867
NRG1	0.0390466378412216	241	0.00321932716490498	65	0.188833400923867
SEMA3C	0.0390277295924562	242	0.00329778484339387	55	0.188833400923867
EFEMP2	0.0388992111737065	243	0.00266712151281385	121	0.188833400923867
SERPINE2	0.0387923255857963	244	0.00149460597208869	256	0.214311642765685
SIGLEC1	0.0386614777502229	245	0.00081370737097299	293	0.309941454834108
SPON2	0.0385280959242631	246	0.000209940088824875	319	0.471088314366056
PTN	0.0380939681901569	247	0.00144828604914933	260	0.217147131440702
ADAM28	0.0378003003685151	248	0.00333020247711362	53	0.188833400923867
BACE2	0.0377798889267032	249	0.00134086987852109	266	0.229054367290544
SEMA4C	0.0377047971784814	250	0.00490112776736313	19	0.188833400923867
JAG2	0.0369908371776475	251	0.00276360312447049	108	0.188833400923867
DLL1	0.0361988028292954	252	0.00171619845686593	238	0.199458625566015
IFITM1	0.0360896047940984	253	0.00104040340670755	285	0.268148974576227
AREG	0.0359886975496109	254	0.00227291398930775	182	0.188833400923867
VSIG10	0.0359042951466671	255	0.00159989656694683	248	0.207063439997464
GAS6	0.0356953146284991	256	0.00130054506155573	271	0.230404840556837
ANGPT2	0.0353190343029008	257	0.00276499294080547	107	0.188833400923867
LFNG	0.0346071703460461	258	0.00268158261205902	117	0.188833400923867
CCN4	0.0335879460776413	259	0.000264932721193711	317	0.448342547448725
FGF18	0.0332801972582867	260	0.00219128118000165	191	0.188833400923867
PAM	0.0326552080134071	261	0.000640809684529059	304	0.339929373399294
MFNG	0.0326423255282478	262	0.00329101374502006	56	0.188833400923867
WIF1	0.0323456802976959	263	0.00219414727919868	189	0.188833400923867
PLTP	0.0320211711379933	264	0.00150548151858219	255	0.213142748225177
NECTIN3	0.0317279566620855	265	0.00326974773363169	58	0.188833400923867
ANGPTL4	0.0315306582498914	266	0.00184386257183987	226	0.195175801568779
ESAM	0.0306247263218139	267	0.000788702339990267	295	0.311967789707516
TNFSF14	0.0305944731316443	268	0.00222664280468932	187	0.188833400923867
CX3CL1	0.0304787027673391	269	0.00279325908313663	103	0.188833400923867
ZNRF3	0.0304593078182209	270	0.00181344109195965	229	0.195175801568779
PDGFC	0.0302921239371262	271	0.000774583991126762	296	0.311967789707516
BMP6	0.0302655186955619	272	0.00294857168099897	87	0.188833400923867
PTPRM	0.0297954694934714	273	0.000469621029856327	312	0.380737887749687
NECTIN2	0.0294538043931514	274	0.000909706238167453	289	0.289759605354343
WNT5A	0.029431628878416	275	0.00126460567467455	273	0.242014484682919
ANGPTL2	0.0292180545251642	276	0.00309354775567248	74	0.188833400923867
MYOC	0.0285326285545204	277	0.00385557174269438	36	0.188833400923867
CLCF1	0.0284728127513599	278	0.000709647540889663	299	0.327708229177082
LAMA2	0.0281535298148544	279	0.00326827942891025	59	0.188833400923867
POSTN	0.0277580782605005	280	0.010832476418805	11	0.188833400923867
IL6	0.0275893898512452	281	0.00166360829910192	240	0.202303006213901
PDGFA	0.0274718909924507	282	0.00487710241625511	21	0.188833400923867
TNFSF13	0.0273944774509681	283	0.00209283027751717	199	0.188833400923867
ANGPT1	0.0270677034762267	284	0.00147632559954742	259	0.213142748225177
BMP2	0.0269273738747071	285	0.00465268301651959	23	0.188833400923867
VEGFC	0.0261569623113085	286	0.00522273536063235	18	0.188833400923867
CALR	0.0251656216688462	287	0.00589117621645357	16	0.188833400923867
WNT9A	0.0244226054351456	288	0.00104421569692234	284	0.265589638219277
MIF	0.0243371674038612	289	0.00309728390625697	73	0.188833400923867
IGFBP4	0.0242629384516491	290	0.00175191528572059	234	0.195175801568779
LRIG2	0.023968401762873	291	0.000683814788792741	301	0.327708229177082
LIF	0.0238722135210544	292	0.000546975312544238	308	0.35965133128381
LTBP3	0.0238132430152794	293	0.000171190633746159	320	0.480749737526247
APP	0.0235831713311804	294	0.001887538355346	221	0.19301448233555
TGFB3	0.0230989851695325	295	0.00123852106685057	274	0.241372566040099
NGF	0.0230930536398706	296	0.000521923098578393	310	0.371080311323706
ANOS1	0.0226185333765099	297	0.00117289226980076	276	0.248401246831839
WNT2	0.0225518432756764	298	0.000662073901039426	302	0.338716790572598
JAG1	0.0223954540760611	299	0.00489656112123908	20	0.188833400923867
WNT7B	0.0222558159293145	300	0.000945092117605682	288	0.285973485984735
SCGB3A1	0.0222382494300523	301	0.00310460152576157	70	0.188833400923867
CMTM8	0.0215029662003992	302	0.00128703150412506	272	0.235651802466812
CRTAM	0.0206259627311005	303	0.0045013195715984	24	0.188833400923867
FURIN	0.0205345838688103	304	0.00273385679723689	111	0.188833400923867
CADM1	0.0202413410780222	305	0.00254626391901237	140	0.188833400923867
ST6GAL1	0.0197931459595693	306	0.00231749077217989	176	0.188833400923867
WNT2B	0.0185585777567291	307	0.00040235028836167	313	0.406525271039775
SIGLEC6	0.0184277559516543	308	0.000559157474243131	307	0.366152705117838
LTB	0.0181731926974044	309	0.00105094395012608	283	0.261310971376361
IGF1	0.0178345285795184	310	0.00275428449972926	110	0.188833400923867
CAMP	0.0173440819284712	311	0.00187647747818609	222	0.195175801568779
CADM3	0.0172037502847131	312	0.00260862638456608	130	0.188833400923867
PDGFB	0.0166585764081147	313	0.00196582333966517	211	0.191408256434631
CXCL8	0.015153012799526	314	0.0014842385749102	258	0.21674627904005
CSF2	0.0151336748733045	315	0.000894747138123455	291	0.291407972604801
LTF	0.0144586962925209	316	0.00058590698476448	306	0.356958402520404
MMRN2	0.0140581829395079	317	0.000589311173547205	305	0.35965133128381
CKLF	0.0103032753044016	318	0.000540370305405261	309	0.364527832930993
PLAU	0.00988046207905562	319	0.000507622626255594	311	0.372570459995801
PDGFD	0.00899436730813013	320	5.10410082064125e-05	321	0.535146485351465
EPHA4	0.00864100266914595	321	0.00116305266059735	277	0.247903936879039
