gene	total_counts	pooled_cp10k	n_detected	frac_detected	frac_undetected	abundance_dist	target_gene
EIF4G2	7869.0	2.5706518	4559	0.3903253424657534	0.6096746575342467	0.010038137	AGTR1
ADAMTS4	7857.0	2.5667315	3115	0.2666952054794521	0.733304794520548	0.010700941	AGTR1
PERP	8256.0	2.697077	4245	0.3634417808219178	0.6365582191780822	0.010811985	AGTR1
SSR4	7851.0	2.5647712	4489	0.3843321917808219	0.6156678082191781	0.01103276	AGTR1
EIF3K	7847.0	2.5634644	4437	0.37988013698630135	0.6201198630136986	0.011254072	AGTR1
ATP5MG	7842.0	2.5618312	4250	0.3638698630136986	0.6361301369863014	0.011530876	AGTR1
SQSTM1	7837.0	2.5601978	4725	0.4045376712328767	0.5954623287671232	0.011807859	AGTR1
CLMN	7834.0	2.5592177	4107	0.35162671232876713	0.6483732876712329	0.011974156	AGTR1
MGST3	7820.0	2.5546443	4633	0.3966609589041096	0.6033390410958904	0.012750924	AGTR1
PSMB1	8303.0	2.712431	4852	0.41541095890410956	0.5845890410958905	0.013277322	AGTR1
SEC62	8312.0	2.7153711	4875	0.4173801369863014	0.5826198630136986	0.013747811	AGTR1
DMD	8316.0	2.716678	2727	0.23347602739726028	0.7665239726027397	0.013956785	AGTR1
RERG	7797.0	2.5471306	3785	0.3240582191780822	0.6759417808219178	0.0140301585	AGTR1
DNAJB1	8322.0	2.718638	2870	0.2457191780821918	0.7542808219178082	0.014270008	AGTR1
RAB7A	8324.0	2.7192914	5009	0.4288527397260274	0.5711472602739727	0.014374375	AGTR1
FRMD4A	8327.0	2.7202713	3271	0.2800513698630137	0.7199486301369863	0.014530838	AGTR1
EDIL3	7786.0	2.5435371	3786	0.32414383561643834	0.6758561643835617	0.014643282	AGTR1
ID1	7786.0	2.5435371	3080	0.2636986301369863	0.7363013698630136	0.014643282	AGTR1
GUK1	8337.0	2.7235382	4552	0.38972602739726026	0.6102739726027397	0.01505208	AGTR1
APOLD1	7774.0	2.5396168	3825	0.3274828767123288	0.6725171232876712	0.015313178	AGTR1
PIK3R1	7773.0	2.5392902	3961	0.3391267123287671	0.6608732876712329	0.015369058	AGTR1
PCBP2	7767.0	2.5373302	4684	0.401027397260274	0.598972602739726	0.015704393	AGTR1
CARMIL1	8351.0	2.728112	2673	0.2288527397260274	0.7711472602739726	0.015780807	AGTR1
BMPER	7761.0	2.53537	2742	0.23476027397260274	0.7652397260273973	0.016039997	AGTR1
ATP5MC2	8380.0	2.7375855	4483	0.38381849315068495	0.616181506849315	0.01728633	AGTR1
PARD3B	8381.0	2.7379122	2469	0.21138698630136987	0.7886130136986301	0.017338157	AGTR1
ARF1	8385.0	2.739219	4887	0.41840753424657534	0.5815924657534246	0.017545372	AGTR1
RBMS3	7734.0	2.5265498	3371	0.2886130136986301	0.7113869863013699	0.017553508	AGTR1
LUC7L3	7732.0	2.5258963	4772	0.40856164383561644	0.5914383561643836	0.017665863	AGTR1
PLXDC2	7716.0	2.5206695	3110	0.2662671232876712	0.7337328767123288	0.018565476	AGTR1
ARHGAP26	7714.0	2.520016	2570	0.22003424657534246	0.7799657534246576	0.01867807	AGTR1
SORT1	8408.0	2.7467325	3705	0.317208904109589	0.682791095890411	0.018734992	AGTR1
POMP	8427.0	2.7529395	4550	0.3895547945205479	0.610445205479452	0.01971528	AGTR1
WASF2	8431.0	2.7542462	5162	0.44195205479452054	0.5580479452054794	0.019921392	AGTR1
TTC28	7689.0	2.5118492	2617	0.2240582191780822	0.7759417808219178	0.020087838	AGTR1
ROCK1	8449.0	2.7601264	4645	0.3976883561643836	0.6023116438356164	0.020847589	AGTR1
BTG2	8453.0	2.7614331	3311	0.2834760273972603	0.7165239726027397	0.021053135	AGTR1
CYBA	8455.0	2.7620866	4365	0.3737157534246575	0.6262842465753424	0.021155924	AGTR1
NDUFS5	8465.0	2.7653534	4521	0.3870719178082192	0.6129280821917809	0.021669269	AGTR1
ELL2	7655.0	2.500742	3052	0.2613013698630137	0.7386986301369862	0.022012502	AGTR1
ADCY3	8473.0	2.767967	4504	0.3856164383561644	0.6143835616438356	0.022079527	AGTR1
THY1	8495.0	2.7751539	3278	0.28065068493150686	0.7193493150684931	0.023205698	AGTR1
MTDH	8499.0	2.7764606	5133	0.43946917808219177	0.5605308219178082	0.023410141	AGTR1
SRSF3	8499.0	2.7764606	4786	0.40976027397260273	0.5902397260273973	0.023410141	AGTR1
TMA7	8511.0	2.7803805	4675	0.4002568493150685	0.5997431506849316	0.024022847	AGTR1
PPP1R12B	7603.0	2.4837544	3726	0.3190068493150685	0.6809931506849315	0.024972737	AGTR1
RGCC	8530.0	2.7865875	3546	0.3035958904109589	0.6964041095890411	0.024991333	AGTR1
SETBP1	7598.0	2.482121	2874	0.24606164383561643	0.7539383561643835	0.025258422	AGTR1
RAPGEF5	8541.0	2.790181	3778	0.32345890410958905	0.676541095890411	0.025550991	AGTR1
UQCR11	7591.0	2.4798343	4175	0.3574486301369863	0.6425513698630136	0.025658727	AGTR1
UNC5C	8556.0	2.7950811	2397	0.20522260273972603	0.794777397260274	0.026313066	AGTR1
UBE2D3	7579.0	2.475914	4734	0.4053082191780822	0.5946917808219179	0.02634582	AGTR1
SYNE2	8565.0	2.7980216	4149	0.355222602739726	0.6447773972602739	0.026769698	AGTR1
POLR2L	7561.0	2.470034	4219	0.36121575342465756	0.6387842465753424	0.02737847	AGTR1
CLIC4	8583.0	2.8039017	4370	0.3741438356164384	0.6258561643835616	0.02768141	AGTR1
CERS6	7548.0	2.4657872	2983	0.25539383561643836	0.7446061643835616	0.028125793	AGTR1
ATRX	8595.0	2.807822	4693	0.40179794520547946	0.5982020547945206	0.028288186	AGTR1
PARK7	7541.0	2.4635	4325	0.370291095890411	0.629708904109589	0.02852881	AGTR1
EHD2	7540.0	2.4631736	4524	0.3873287671232877	0.6126712328767123	0.028586358	AGTR1
ARHGEF17	7539.0	2.462847	4506	0.3857876712328767	0.6142123287671233	0.028643936	AGTR1
TRIO	7535.0	2.4615402	2615	0.22388698630136986	0.7761130136986302	0.028874427	AGTR1
NAMPT	7533.0	2.460887	3726	0.3190068493150685	0.6809931506849315	0.028989702	AGTR1
C11orf58	7528.0	2.4592533	4792	0.41027397260273973	0.5897260273972602	0.0292781	AGTR1
ANKRD12	7519.0	2.4563131	4353	0.37268835616438356	0.6273116438356164	0.029797643	AGTR1
SOCS3	7518.0	2.4559867	2599	0.22251712328767123	0.7774828767123287	0.02985537	AGTR1
HNRNPC	7511.0	2.4536996	4616	0.3952054794520548	0.6047945205479452	0.030259967	AGTR1
CNTN4	8640.0	2.8225226	3123	0.26738013698630136	0.7326198630136986	0.030556053	AGTR1
P2RY14	8663.0	2.8300362	4447	0.38073630136986303	0.619263698630137	0.031710625	AGTR1
KMT2E	7481.0	2.4438994	4698	0.40222602739726027	0.5977739726027398	0.03199804	AGTR1
AKAP13	7476.0	2.442266	3903	0.3341609589041096	0.6658390410958904	0.032288432	AGTR1
UACA	7474.0	2.4416125	3943	0.33758561643835616	0.6624143835616438	0.03240463	AGTR1
WDFY3	7473.0	2.4412858	2919	0.24991438356164383	0.7500856164383561	0.032462746	AGTR1
ZFAND5	8688.0	2.8382032	4798	0.41078767123287674	0.5892123287671233	0.032962114	AGTR1
INMT	7460.0	2.4370391	3243	0.2776541095890411	0.722345890410959	0.03321886	AGTR1
RABAC1	8703.0	2.8431034	4848	0.41506849315068495	0.584931506849315	0.033711284	AGTR1
MACF1	8704.0	2.84343	3957	0.33878424657534245	0.6612157534246575	0.033761173	AGTR1
TGFB1I1	8704.0	2.84343	4891	0.41875	0.58125	0.033761173	AGTR1
PDLIM1	7446.0	2.4324656	4126	0.35325342465753423	0.6467465753424657	0.03403467	AGTR1
YWHAB	8712.0	2.8460436	4889	0.4185787671232877	0.5814212328767123	0.034160167	AGTR1
CTSD	7436.0	2.4291987	3957	0.33878424657534245	0.6612157534246575	0.034618318	AGTR1
MYLK	8722.0	2.8493104	4918	0.42106164383561645	0.5789383561643835	0.034658372	AGTR1
TCF25	7432.0	2.427892	4938	0.42277397260273974	0.5772260273972603	0.034852028	AGTR1
WFDC1	7432.0	2.427892	3888	0.33287671232876714	0.6671232876712329	0.034852028	AGTR1
AUTS2	8726.0	2.8506172	2491	0.21327054794520547	0.7867294520547945	0.03485751	AGTR1
HSPA5	7428.0	2.4265852	4016	0.34383561643835614	0.6561643835616439	0.035085827	AGTR1
IL6ST	8731.0	2.8522506	4144	0.3547945205479452	0.6452054794520548	0.0351063	AGTR1
PLEKHA5	7422.0	2.4246252	3394	0.2905821917808219	0.7094178082191781	0.03543678	AGTR1
CASC15	8742.0	2.855844	2671	0.22868150684931507	0.7713184931506849	0.035653114	AGTR1
JUND	8744.0	2.8564973	4127	0.3533390410958904	0.6466609589041096	0.035752445	AGTR1
ARHGEF12	8779.0	2.8679311	4350	0.3724315068493151	0.6275684931506849	0.037487328	AGTR1
AOC3	7385.0	2.412538	4486	0.3840753424657534	0.6159246575342465	0.037607193	AGTR1
RAB2A	7380.0	2.4109046	4689	0.4014554794520548	0.5985445205479452	0.037901342	AGTR1
PBX1	8788.0	2.8708713	3530	0.3022260273972603	0.6977739726027397	0.037932336	AGTR1
PRR16	7379.0	2.410578	2533	0.21686643835616437	0.7831335616438356	0.03796017	AGTR1
NR3C1	8789.0	2.871198	4796	0.4106164383561644	0.5893835616438357	0.03798175	AGTR1
PDZD2	8789.0	2.871198	3118	0.26695205479452055	0.7330479452054794	0.03798175	AGTR1
PDLIM5	7377.0	2.4099247	3280	0.2808219178082192	0.7191780821917808	0.03807789	AGTR1
RERE	7370.0	2.4076378	3502	0.29982876712328765	0.7001712328767123	0.038490206	AGTR1
ARGLU1	7366.0	2.4063313	4717	0.4038527397260274	0.5961472602739726	0.038725972	AGTR1
AKAP9	7364.0	2.4056778	4435	0.379708904109589	0.620291095890411	0.03884393	AGTR1
ARHGEF7	8825.0	2.8829584	3557	0.3045376712328767	0.6954623287671233	0.039757013	AGTR1
TNRC6B	7343.0	2.3988175	3820	0.3270547945205479	0.672945205479452	0.040084153	AGTR1
CYB5R3	7341.0	2.398164	4374	0.374486301369863	0.6255136986301371	0.0402025	AGTR1
CSRP2	7310.0	2.388037	3719	0.31840753424657536	0.6815924657534247	0.042040348	AGTR1
FAM13C	8875.0	2.8992925	4383	0.3752568493150685	0.6247431506849315	0.04221064	AGTR1
VCL	8875.0	2.8992925	4647	0.3978595890410959	0.6021404109589041	0.04221064	AGTR1
DKK3	7284.0	2.3795433	3753	0.32131849315068495	0.678681506849315	0.043587774	AGTR1
SEPTIN2	7282.0	2.3788898	4620	0.3955479452054795	0.6044520547945205	0.043707043	AGTR1
JAK1	8914.0	2.9120328	5121	0.4384417808219178	0.5615582191780821	0.044114888	AGTR1
COX5B	8917.0	2.9130132	4732	0.40513698630136985	0.5948630136986301	0.044261098	AGTR1
ARPC2	8923.0	2.9149733	4940	0.4229452054794521	0.577054794520548	0.04455319	AGTR1
PREX2	8935.0	2.9188933	3735	0.319777397260274	0.680222602739726	0.04513687	AGTR1
BBX	8950.0	2.9237936	4920	0.4212328767123288	0.5787671232876712	0.045865327	AGTR1
CADM1	8979.0	2.9332674	4223	0.3615582191780822	0.6384417808219178	0.047270298	AGTR1
NR2F1	7218.0	2.3579824	4286	0.36695205479452053	0.6330479452054795	0.047540814	AGTR1
COL5A2	8985.0	2.9352276	4136	0.3541095890410959	0.6458904109589041	0.047560394	AGTR1
ATP6V0E1	7217.0	2.3576555	4527	0.38758561643835615	0.6124143835616438	0.047601044	AGTR1
TUBB	8995.0	2.9384942	4545	0.3891267123287671	0.6108732876712328	0.04804346	AGTR1
AP2M1	7200.0	2.3521023	4268	0.3654109589041096	0.6345890410958904	0.04862517	AGTR1
FXYD1	7199.0	2.3517754	4126	0.35325342465753423	0.6467465753424657	0.04868555	AGTR1
YWHAZ	7190.0	2.3488352	4465	0.382277397260274	0.617722602739726	0.049228817	AGTR1
GRAMD2B	7185.0	2.347202	3124	0.26746575342465756	0.7325342465753424	0.049530894	AGTR1
GRN	7185.0	2.347202	4245	0.3634417808219178	0.6365582191780822	0.049530894	AGTR1
HNRNPA3	7180.0	2.3455684	4612	0.39486301369863014	0.6051369863013698	0.049833268	AGTR1
ELOB	7154.0	2.3370748	4048	0.34657534246575344	0.6534246575342466	0.051408768	AGTR1
YBX3	9067.0	2.9620154	4587	0.39272260273972603	0.607277397260274	0.051505923	AGTR1
LMCD1	7147.0	2.334788	3874	0.3316780821917808	0.6683219178082191	0.051833898	AGTR1
STAG1	7147.0	2.334788	2903	0.2485445205479452	0.7514554794520548	0.051833898	AGTR1
ATP1B3	9077.0	2.9652822	4027	0.34477739726027395	0.6552226027397261	0.051984668	AGTR1
C4orf3	7130.0	2.3292344	4168	0.35684931506849316	0.6431506849315068	0.052868187	AGTR1
STAT3	7130.0	2.3292344	4360	0.3732876712328767	0.6267123287671232	0.052868187	AGTR1
WLS	7127.0	2.3282542	4450	0.3809931506849315	0.6190068493150684	0.053050965	AGTR1
CSNK1A1	7122.0	2.326621	4384	0.37534246575342467	0.6246575342465753	0.053355724	AGTR1
LMOD1	7120.0	2.3259676	3922	0.3357876712328767	0.6642123287671233	0.053477734	AGTR1
IGFBP4	7114.0	2.3240075	2507	0.2146404109589041	0.7853595890410959	0.053843856	AGTR1
SUB1	7111.0	2.3230274	4328	0.37054794520547946	0.6294520547945206	0.05402705	AGTR1
ZBTB38	9121.0	2.979656	5129	0.4391267123287671	0.5608732876712329	0.054084748	AGTR1
TARID	9130.0	2.9825962	2068	0.17705479452054795	0.822945205479452	0.054513097	AGTR1
AOPEP	9131.0	2.9829228	4050	0.3467465753424658	0.6532534246575342	0.05456063	AGTR1
SPRY1	9153.0	2.9901097	4493	0.38467465753424657	0.6153253424657534	0.05560574	AGTR1
CYCS	7084.0	2.314207	3688	0.31575342465753425	0.6842465753424658	0.055679142	AGTR1
SEMA5A	9156.0	2.9910898	3770	0.3227739726027397	0.6772260273972603	0.055748075	AGTR1
TMEM204	9164.0	2.9937031	4880	0.4178082191780822	0.5821917808219178	0.05612737	AGTR1
AXL	7076.0	2.3115938	4101	0.3511130136986301	0.6488869863013699	0.056169868	AGTR1
SERPINH1	7055.0	2.3047333	3889	0.3329623287671233	0.6670376712328767	0.057460696	AGTR1
MAML3	9196.0	3.004157	2401	0.20556506849315068	0.7944349315068493	0.057641268	AGTR1
ADGRD1	9214.0	3.0100374	4436	0.3797945205479452	0.6202054794520548	0.058490515	AGTR1
ASH1L	7033.0	2.2975464	3939	0.3372431506849315	0.6627568493150685	0.05881709	AGTR1
CSPG4	7031.0	2.2968931	3933	0.33672945205479454	0.6632705479452055	0.05894059	AGTR1
SRSF5	9229.0	3.0149376	5411	0.4632705479452055	0.5367294520547945	0.05919695	AGTR1
RARRES2	7024.0	2.2946062	3898	0.33373287671232876	0.6662671232876712	0.0593732	AGTR1
HNRNPU	9236.0	3.0172243	5118	0.43818493150684934	0.5618150684931507	0.059526205	AGTR1
NPM1	9242.0	3.0191846	4672	0.4	0.6	0.059808284	AGTR1
BLTP1	9243.0	3.019511	4130	0.3535958904109589	0.6464041095890412	0.059855223	AGTR1
PTP4A3	7014.0	2.2913394	3524	0.3017123287671233	0.6982876712328767	0.059991956	AGTR1
LARGE1	7009.0	2.289706	2128	0.1821917808219178	0.8178082191780822	0.06030166	AGTR1
EIF3E	7000.0	2.286766	4250	0.3638698630136986	0.6361301369863014	0.06085965	AGTR1
OST4	6986.0	2.2821925	4068	0.34828767123287674	0.6517123287671233	0.061729103	AGTR1
SLIT3	6978.0	2.279579	2845	0.24357876712328766	0.7564212328767124	0.062226743	AGTR1
COX7B	6974.0	2.2782724	4052	0.34691780821917806	0.6530821917808219	0.06247574	AGTR1
ECE1	6972.0	2.277619	4322	0.37003424657534245	0.6299657534246575	0.062600315	AGTR1
AHNAK	9322.0	3.0453188	4643	0.39751712328767125	0.6024828767123287	0.063551396	AGTR1
SH3BGRL3	6938.0	2.2665117	3675	0.3146404109589041	0.685359589041096	0.06472343	AGTR1
SSR2	6926.0	2.2625916	4223	0.3615582191780822	0.6384417808219178	0.065475196	AGTR1
SYNM	6896.0	2.2527912	3887	0.33279109589041095	0.667208904109589	0.06736043	AGTR1
LRRTM4	9405.0	3.0724335	1353	0.11583904109589041	0.8841609589041096	0.06740111	AGTR1
PPP1R15A	9405.0	3.0724335	4252	0.36404109589041095	0.635958904109589	0.06740111	AGTR1
ADGRL2	6894.0	2.252138	3047	0.26087328767123286	0.7391267123287671	0.067486405	AGTR1
SLC25A5	6894.0	2.252138	3886	0.3327054794520548	0.6672945205479452	0.067486405	AGTR1
