sampid	subjid
GTEX-1AX9I-0826-SM-73KUT	GTEX-1AX9I
GTEX-1AX9J-1626-SM-73KUI	GTEX-1AX9J
GTEX-1AX9K-0826-SM-731F9	GTEX-1AX9K
GTEX-1AYCT-0726-SM-7IGNG	GTEX-1AYCT
GTEX-1AYD5-1226-SM-7EWEP	GTEX-1AYD5
GTEX-1B8KZ-0526-SM-73KW2	GTEX-1B8KZ
GTEX-1B8L1-0626-SM-7EPHL	GTEX-1B8L1
GTEX-1B8SF-0826-SM-73KW8	GTEX-1B8SF
GTEX-1B932-0726-SM-731EY	GTEX-1B932
GTEX-1B933-0926-SM-9OSVH	GTEX-1B933
GTEX-1B97I-0226-SM-73KVO	GTEX-1B97I
GTEX-1B996-0726-SM-7IGPI	GTEX-1B996
GTEX-1BAJH-1326-SM-7RHFS	GTEX-1BAJH
GTEX-1C4CL-0826-SM-7EWEZ	GTEX-1C4CL
GTEX-1C64O-1226-SM-79OOC	GTEX-1C64O
GTEX-1C6VR-0626-SM-79OOY	GTEX-1C6VR
GTEX-1C6WA-0726-SM-7IGQ5	GTEX-1C6WA
GTEX-1CAMQ-1026-SM-7EPIC	GTEX-1CAMQ
GTEX-1CB4F-0926-SM-7DHMJ	GTEX-1CB4F
GTEX-1CB4I-2126-SM-793AG	GTEX-1CB4I
GTEX-1CB4J-1726-SM-79OOL	GTEX-1CB4J
GTEX-1E1VI-0926-SM-7P8T3	GTEX-1E1VI
GTEX-1E2YA-0926-SM-7MXUK	GTEX-1E2YA
GTEX-1EKGG-1326-SM-7MXUM	GTEX-1EKGG
GTEX-1EMGI-1426-SM-7IGNQ	GTEX-1EMGI
GTEX-1EWIQ-0926-SM-7RHG7	GTEX-1EWIQ
GTEX-1EX96-0226-SM-7RHHR	GTEX-1EX96
GTEX-1F48J-0826-SM-9WPOD	GTEX-1F48J
GTEX-1F5PK-0526-SM-7MXUA	GTEX-1F5PK
GTEX-1F6I4-1026-SM-7P8PS	GTEX-1F6I4
GTEX-1F6RS-0826-SM-7P8T9	GTEX-1F6RS
GTEX-1F75B-1026-SM-9JGFS	GTEX-1F75B
GTEX-1F75W-0626-SM-7PC13	GTEX-1F75W
GTEX-1F7RK-0826-SM-7SB8V	GTEX-1F7RK
GTEX-1F88F-0926-SM-7RHH8	GTEX-1F88F
GTEX-1FIGZ-0326-SM-7RHGT	GTEX-1FIGZ
GTEX-1GF9V-1026-SM-9KNW3	GTEX-1GF9V
GTEX-1GF9X-0326-SM-7P8R9	GTEX-1GF9X
GTEX-1GL5R-0526-SM-9WPOQ	GTEX-1GL5R
GTEX-1GMR2-0126-SM-9JGHC	GTEX-1GMR2
GTEX-1GMR3-0226-SM-7RHIB	GTEX-1GMR3
GTEX-1GMR8-1426-SM-7RHHL	GTEX-1GMR8
GTEX-1GMRU-1426-SM-9WPPL	GTEX-1GMRU
GTEX-1GN1U-1026-SM-9WYUP	GTEX-1GN1U
GTEX-1GN1W-1026-SM-9OSW2	GTEX-1GN1W
GTEX-1GN2E-1526-SM-7P8TD	GTEX-1GN2E
GTEX-1GN73-1026-SM-9KNV9	GTEX-1GN73
GTEX-1GPI7-1526-SM-9JGG8	GTEX-1GPI7
GTEX-1GTWX-0626-SM-9WYU1	GTEX-1GTWX
GTEX-1GZ2Q-0726-SM-9KNVV	GTEX-1GZ2Q
GTEX-1GZ4H-0426-SM-7MXV5	GTEX-1GZ4H
GTEX-1GZ4I-0726-SM-9QEHL	GTEX-1GZ4I
GTEX-1GZHY-0826-SM-9OSXT	GTEX-1GZHY
GTEX-1I4MK-0326-SM-B2LWP	GTEX-1I4MK
GTEX-1I6K7-1226-SM-B2LVS	GTEX-1I6K7
GTEX-1ICLY-0926-SM-CM2RJ	GTEX-1ICLY
GTEX-1ICLZ-0926-SM-CKZPQ	GTEX-1ICLZ
GTEX-1JKYN-2126-SM-ARU8W	GTEX-1JKYN
GTEX-1JMLX-0926-SM-CNNPQ	GTEX-1JMLX
GTEX-1JMOU-0526-SM-CNNPE	GTEX-1JMOU
GTEX-1JMPZ-1126-SM-ARU8X	GTEX-1JMPZ
GTEX-1JMQI-1126-SM-ARZN2	GTEX-1JMQI
GTEX-1JMQJ-2126-SM-CNPPA	GTEX-1JMQJ
GTEX-1JMQL-1126-SM-CKZOP	GTEX-1JMQL
GTEX-1JN6P-0726-SM-ARZN7	GTEX-1JN6P
GTEX-1JN76-0826-SM-C1YRK	GTEX-1JN76
GTEX-1K2DU-0526-SM-D4P2Y	GTEX-1K2DU
GTEX-1K9T9-0926-SM-D3L9C	GTEX-1K9T9
GTEX-1KAFJ-0326-SM-DHXJG	GTEX-1KAFJ
GTEX-1KANB-1026-SM-D3L9F	GTEX-1KANB
GTEX-1KD4Q-0926-SM-CXZKI	GTEX-1KD4Q
GTEX-1KD5A-1126-SM-CXZK6	GTEX-1KD5A
GTEX-1KWVE-0426-SM-DHXJX	GTEX-1KWVE
GTEX-1KXAM-0426-SM-DHXKG	GTEX-1KXAM
GTEX-1L5NE-0726-SM-CXZKQ	GTEX-1L5NE
GTEX-1LB8K-0826-SM-D4P41	GTEX-1LB8K
GTEX-1LC47-1126-SM-D4P43	GTEX-1LC47
GTEX-1LG7Y-0826-SM-E9TJX	GTEX-1LG7Y
GTEX-1LGRB-0226-SM-CNPQK	GTEX-1LGRB
GTEX-1LSVX-0626-SM-E9U59	GTEX-1LSVX
GTEX-1LVAN-1126-SM-CNNRE	GTEX-1LVAN
GTEX-1LVAO-1226-SM-DIPGB	GTEX-1LVAO
GTEX-1M4P7-0826-SM-E9TJR	GTEX-1M4P7
GTEX-1MA7X-0626-SM-E9TJI	GTEX-1MA7X
GTEX-1MCC2-0726-SM-EV7AL	GTEX-1MCC2
GTEX-1MGNQ-0826-SM-EVR41	GTEX-1MGNQ
GTEX-1MJIX-0626-SM-DTX8V	GTEX-1MJIX
GTEX-1MJK2-1126-SM-E9TJ7	GTEX-1MJK2
GTEX-1N2DW-1126-SM-EVR59	GTEX-1N2DW
GTEX-1NSGN-1626-SM-EXOJF	GTEX-1NSGN
GTEX-1NV5F-0926-SM-DTX8N	GTEX-1NV5F
GTEX-1OJC3-0726-SM-DTX92	GTEX-1OJC3
GTEX-1OJC4-0626-SM-DTXEY	GTEX-1OJC4
GTEX-1P4AB-1026-SM-DTXES	GTEX-1P4AB
GTEX-1PIIG-1826-SM-DTX7N	GTEX-1PIIG
GTEX-1PPGY-1826-SM-EXOJ8	GTEX-1PPGY
GTEX-1PPH7-0226-SM-E76Q1	GTEX-1PPH7
GTEX-1PWST-0826-SM-DTXF1	GTEX-1PWST
GTEX-1QAET-0426-SM-EXUSM	GTEX-1QAET
GTEX-1QCLY-1026-SM-EWRNI	GTEX-1QCLY
GTEX-1QEPI-0826-SM-DTX9B	GTEX-1QEPI
GTEX-1QMI2-0926-SM-DTX7S	GTEX-1QMI2
GTEX-1QP29-1226-SM-E6CQ1	GTEX-1QP29
GTEX-1QP2A-1226-SM-EVR3I	GTEX-1QP2A
GTEX-1R9PM-0426-SM-EVR3P	GTEX-1R9PM
GTEX-1RAZQ-1026-SM-EAZ4R	GTEX-1RAZQ
GTEX-1RAZR-0726-SM-EV7BA	GTEX-1RAZR
GTEX-1RLM8-0626-SM-E76OW	GTEX-1RLM8
GTEX-1RNSC-1226-SM-E9U52	GTEX-1RNSC
GTEX-1RQED-1026-SM-EVYCT	GTEX-1RQED
GTEX-1S5VW-0926-SM-EWRNU	GTEX-1S5VW
GTEX-1S82P-0826-SM-EVR4P	GTEX-1S82P
GTEX-N7MS-0926-SM-2HMIZ	GTEX-N7MS
GTEX-N7MT-0126-SM-2D7VT	GTEX-N7MT
GTEX-NFK9-1026-SM-2HMK1	GTEX-NFK9
GTEX-NPJ8-0326-SM-2D7VV	GTEX-NPJ8
