part	title	supports	n_rows	n_cols	status	file	sources
06B2	CoGAPS per-pattern cross-seed reproducibility at the selected rank	Figure S8	5	4	complete	tableS06B2.tsv	pericyte_cogaps/_m/cogaps_seed_stability_summary.tsv
06B3	CoGAPS pattern-to-program correspondence: score correlations and PatternMarker overlaps	Figure S8	394	12	complete	tableS06B3.tsv	pericyte_cogaps/_m/validation_np{5,7,8,9}/pattern_panel_overlap.tsv.gz; .../pattern_score_spearman.tsv.gz; .../pattern_AGTR1_spearman.tsv.gz
07	Donor- and cell-level correlations across the pericyte analyses	Figures 1-3; Figures S1, S4, S7	40	15	complete	tableS07.tsv	pericyte_states/_m/pseudotime_trend_correlations.tsv; pericyte_states/_m/stats_data/{acta2_control,AGTR1_program}_correlations.tsv; basement_membrane/_m/stats_data/{bm_vs_fibrillar_corr,bm_continuum_summary}.tsv; basement_membrane/_m/state_gate_axis_correlation.tsv; localization/pericyte_analysis/_m/stats_data/correlation_by_subcluster.tsv
08A	Basement-membrane panel definition and pericyte detection	Figure 3A	13	8	complete	tableS08A.tsv	basement_membrane/_m/bm_panel_genes.tsv; basement_membrane/_m/bm_gene_detection_pericytes.tsv
08B	Per-gene pericyte selectivity of basement-membrane components	Figure 3B	296	23	complete	tableS08B.tsv	basement_membrane/_m/stats_data/bm_tau_specificity.tsv; basement_membrane/_m/stats_data/bm_selectivity_emmeans.tsv
08C	Figure 3A source data: basement-membrane expression across 22 lung cell types	Figure 3A	286	14	complete	tableS08C.tsv	basement_membrane/_m/stats_data/bm_celltype_profile.tsv; basement_membrane/_m/bm_pseudobulk_celltype.tsv.gz
09A	Cluster-level basement-membrane and contrast-panel scores (marginal means)	Figure 3C; Figure S6	42	10	complete	tableS09A.tsv	basement_membrane/_m/stats_data/bm_by_cluster_emmeans.tsv
09B	Cluster-level basement-membrane scores: pairwise contrasts	Figure 3C	105	9	complete	tableS09B.tsv	basement_membrane/_m/stats_data/bm_by_cluster_posthoc.tsv
09C	Basement-membrane score adjusted for the fibrillar-ECM panel (orthogonal model)	Figure 3C; Figure S6	21	14	complete	tableS09C.tsv	basement_membrane/_m/stats_data/bm_orthogonalized_emmeans.tsv; basement_membrane/_m/stats_data/bm_orthogonalized_posthoc.tsv
09D	Subpanel robustness of the basement-membrane program assignment	Figure 3C; Figure S6	37	22	complete	tableS09D.tsv	basement_membrane/_m/state_gate_robustness.tsv; basement_membrane/_m/state_gate_{crosstab,relenrich,summary}.tsv
10A	NicheNet ligand prioritization for the pericyte injury program	Figure 4	321	15	complete	tableS10A.tsv	cell_communication/_m/nichenet/ligand_activities_Pericytes.tsv; cell_communication/_m/expressed_fraction_per_group.tsv.gz; cell_communication/_m/liana_into_receivers_main.tsv.gz
10B	Matched-gene-set specificity of the prioritized ligands (injury target set)	Figure S8A-B	25	12	complete	tableS10B.tsv	cell_communication/_m/nichenet/nichenet_specificity_Pericytes.tsv
10C	Donor-level validation of the predicted sender-to-pericyte association	Figure 4D; Figure S8C	6	15	complete	tableS10C.tsv	cell_communication/_m/donor_validation/donor_validation_results.tsv
10D	Robustness of ligand prioritization to the definition of the receiver population	Figure S9A-C	2879	17	complete	tableS10D.tsv	cell_communication/_m/receiver_concordance/*.tsv
11A	Ligand prioritization against the basement-membrane target set	Figure S9D	321	19	complete	tableS11A.tsv	basement_membrane/_m/nichenet_bm/ligand_activities_BM_Pericytes.tsv; basement_membrane/_m/nichenet_bm/bm_vs_frozen_ligand_ranking.tsv
11B	Comparison of basement-membrane and injury-program ligand rankings	Figure S9D	7	2	complete	tableS11B.tsv	basement_membrane/_m/nichenet_bm/bm_vs_frozen_ligand_ranking.tsv
11C	Full ligand-to-basement-membrane-target regulatory-potential matrix	Figure S9D	3210	11	complete	tableS11C.tsv	basement_membrane/_m/nichenet_bm/ligand_target_matrix_BM_Pericytes.tsv; basement_membrane/_m/nichenet_bm/ligand_target_links_BM_Pericytes.tsv
12A	Cell-type expression landscape of the local lung renin-angiotensin machinery	Figure S10	396	16	complete	tableS12A.tsv	agt_axis/_m/stats_data/ras_celltype_profile.tsv; agt_axis/_h/ras_panel.tsv; agt_axis/_m/ras_pseudobulk_celltype.tsv.gz
12B	Circuit-role classification: completeness of the angiotensin II axis per cell type	Figure S10	22	16	complete	tableS12B.tsv	agt_axis/_m/stats_data/ras_circuit_completeness.tsv
12C	AGT rank stability, ligand coexpression, and predicted-target overlap	Results (local RAS); cited in place of Figure S10	114	23	complete	tableS12C.tsv	agt_axis/_m/stats_data/agt_ligand_rank_bootstrap.tsv; agt_axis/_m/stats_data/agt_ligand_coexpression.tsv; agt_axis/_m/stats_data/agt_target_overlap.tsv
13A	Analysis cohorts and denominators for the disease models	Figure 5; Figure S11	6	21	complete	tableS13A.tsv	pericyte_states/_m/pericytes_states_metadata.tsv.gz; disease_association/_m/mixed_model_forest/smoking_availability_by_disease.tsv
13B	Six stable cluster fractions by disease group	Figure S11	84	21	complete	tableS13B.tsv	pericyte_states/_m/stats_data/composition_state_*
13C	Three dominant-program fractions by disease group	Figure S11	42	21	complete	tableS13C.tsv	pericyte_states/_m/stats_data/composition_program_*
13D	Grouped injury-associated state fraction by disease group	Figure S11	12	16	complete	tableS13D.tsv	pericyte_states/_m/stats_data/injury_fraction_*
13E	Primary injury-stromal disease model	Figure 5A	30	25	complete	tableS13E.tsv	niche_index/_m/stats_data/injury_stromal_score_*
13F	Receptor-inclusive sensitivity composite (injury-stromal score + AGTR1+ fraction)	Figure S12	30	25	complete	tableS13F.tsv	niche_index/_m/stats_data/injury_stromal_score_sens_agtr1_*
14A	Leave-one-study-out robustness of the donor-level disease effects	Figure S12	72	13	complete	tableS14A.tsv	sensitivity/_m/stats_data/leave_one_study_out.tsv
14B	Net niche-stability index by disease group	Figure S12	60	25	complete	tableS14B.tsv	niche_index/_m/stats_data/niche_index_*
14C	Smoking-data availability and covariate robustness	Figure S12	48	14	complete	tableS14C.tsv	sensitivity/_m/stats_data/*.tsv
