ccc_group	emmean	SE	df	lower.CL	upper.CL	detect	expr_raw	gene
Alveolar macrophages	0.7270316922653	0.0374309698942435	569.054221939055	0.653511970496115	0.800551414034484	0.196254595899843	0.427461391038705	ACE
Classical monocytes	-0.459238261078161	0.0383331294425236	230.621149396429	-0.534766168022863	-0.383710354133459	0.00409847038566601	0.0211353354749269	ACE
DC2	-0.375775491319882	0.0360093805276432	506.34625313599	-0.446521684111963	-0.305029298527801	0.0178615863110251	0.0566516904445343	ACE
EC aerocyte capillary	2.95862578946777	0.0581780583459282	863.823191530155	2.84443889885077	3.07281268008477	0.351321890461632	1.29998841290654	ACE
EC general capillary	1.36186588716918	0.0498924582736033	350.930097207832	1.26374004870907	1.4599917256293	0.144127723227708	0.694820840440397	ACE
EC venous pulmonary	-0.240138368129571	0.0532569437191367	938.335448844731	-0.344654873224582	-0.13562186303456	0.0268010106564125	0.100610908700379	ACE
EC venous systemic	0.455022229050215	0.0484176418357194	1097.1805213289	0.360020594911087	0.550023863189343	0.107374574889263	0.359043953410824	ACE
Interstitial macrophages	0.535114562851763	0.0366557132485215	471.606895263366	0.463085833869037	0.607143291834489	0.144678819910912	0.367547327836608	ACE
Lymphatic EC	-0.422548027673385	0.0475679603402643	538.504873716997	-0.515989531281726	-0.329106524065044	0.00801488906703892	0.0331335082918967	ACE
Mast cells	-0.344762112884453	0.0449993940212719	472.118936854241	-0.433185985311163	-0.256338240457743	0.0109545522927331	0.0566938476748876	ACE
Myofibroblasts	-0.492068960117267	0.0840074833046129	3287.29493609339	-0.656781247642564	-0.32735667259197	0.000735515758129083	0.00332954241857759	ACE
Non-classical monocytes	-0.18022553113986	0.0417334362365003	470.633865355938	-0.262232456984588	-0.0982186052951323	0.0347488173181804	0.122004474446163	ACE
Peribronchial fibroblasts	-0.430952680225701	0.0573415019912112	2086.15160571995	-0.543405202149823	-0.318500158301579	0.0121024063331303	0.0340351397146603	ACE
Pericytes	-0.364388483198459	0.0651827267171622	1731.68032111375	-0.492233636774359	-0.236543329622559	0.007497923322012	0.0341694487905973	ACE
Subpleural fibroblasts	-0.426232492396512	0.188191877548753	4216.36424792156	-0.795187707668928	-0.0572772771240954	0.0261806424939336	0.0564725384966573	ACE
Transitional Club-AT2	-0.373244199110185	0.0477534724271233	1192.76522044865	-0.46693435611497	-0.2795540421054	0.0229535971782436	0.0550214742598077	ACE
Vascular smooth muscle	-0.377514726799907	0.0521385570673301	928.974354589273	-0.479837734942449	-0.275191718657364	0.00968184474991195	0.0414950682522103	ACE
AT1	-0.00630498343669661	0.0662587270975128	1438.32167930721	-0.136279075362314	0.123669108488921	0.00297573577737777	0.0117380903622929	ACE2
AT2_AGTR2det	0.775698857331725	0.0865686712063587	2887.02651964829	0.605956216730089	0.945441497933361	0.021993754462208	0.0470711772908632	ACE2
AT2_AGTR2undet	0.587971504065275	0.0578302682206074	1568.05175722052	0.474538704564734	0.701404303565817	0.0105319369838405	0.0319534670053717	ACE2
Adventitial fibroblasts	-0.0240030713450783	0.0682894259315718	1547.23527628501	-0.157952670816866	0.10994652812671	0.00262411003065684	0.00918959854074331	ACE2
Alveolar fibroblasts	-0.138063234077673	0.0697265179325466	1788.85687516458	-0.274817226515706	-0.00130924163964025	0.000582953606184925	0.00274861819549756	ACE2
Alveolar macrophages	-0.171200123631695	0.0510120374420211	1395.64329249146	-0.271268662444141	-0.0711315848192497	0.00049113963375967	0.00133563696025897	ACE2
Classical monocytes	-0.10696011347978	0.0517392020595441	553.143028460484	-0.208589458718249	-0.00533076824131173	0.000479648954920522	0.0027543337604223	ACE2
DC2	-0.17907065288988	0.0492683289735539	1310.59917826934	-0.275724063206205	-0.0824172425735538	0.000110696658879377	0.000150266677052142	ACE2
EC aerocyte capillary	-0.130946414282483	0.0797359237822226	1878.0853559679	-0.287326734067143	0.0254339055021766	0.00125409922775838	0.0102764790977411	ACE2
EC general capillary	-0.0821814905339427	0.0675873702726395	781.814941869322	-0.214855695773393	0.0504927147055079	0.000890767210882736	0.00565901600680422	ACE2
EC venous pulmonary	-0.0414248793431457	0.0735038010627761	1819.27639095905	-0.185585591189665	0.102735832503374	0.00406188654978677	0.00893748315960082	ACE2
EC venous systemic	-0.108630150610803	0.0667988604108225	2241.81102012429	-0.239624234915508	0.0223639336939024	0.000979804989908964	0.00244511409911577	ACE2
Interstitial macrophages	-0.173433733280847	0.0500793061054635	1212.60780180593	-0.271685437888997	-0.0751820286726965	0.000213273484099731	0.000675458993757231	ACE2
Lymphatic EC	-0.0485757377879039	0.0652305041728625	1159.90530176351	-0.176558724893056	0.0794072493172479	0.00224066732568242	0.00750364575539448	ACE2
Mast cells	-0.160636119151389	0.0611119799914068	1150.74896236192	-0.280539511783328	-0.0407327265194499	6.15595075239398e-05	0.000515910634997612	ACE2
Myofibroblasts	-0.178255200608132	0.117372543713826	3858.30198485039	-0.408373347654026	0.0518629464377622	0.000695272826420367	0.00285791649750442	ACE2
Non-classical monocytes	-0.187246870239605	0.0571339792039986	1113.97560759737	-0.2993492117237	-0.0751445287555095	0.000435736239244389	0.00111585184167785	ACE2
Peribronchial fibroblasts	-0.191420599584394	0.0795007810864622	3340.15342558881	-0.347295751073344	-0.035545448095445	2.5062656641604e-05	6.44716164593508e-05	ACE2
Pericytes	1.61245160752436	0.0900814171782623	3094.58307868326	1.43582619225898	1.78907702278974	0.0301495176871895	0.130017516332827	ACE2
Subpleural fibroblasts	-0.274185880598332	0.264199250120201	4337.99519601206	-0.79215141491953	0.243779653722866	0	0	ACE2
Transitional Club-AT2	0.192791537562591	0.0658142404029826	2144.38159114822	0.0637251477785405	0.321857927346641	0.0106281429199891	0.0277898015951894	ACE2
Vascular smooth muscle	-0.0327898168099558	0.0715278253606819	2126.41703125937	-0.173061620878004	0.107481987258093	0.00192086047186863	0.00937571508934429	ACE2
AT1	-0.0708947365494203	0.0584810398508469	1426.05436400133	-0.185612834085251	0.0438233609864104	5.10204081632653e-05	0.000185347926666807	CMA1
AT2_AGTR2det	-0.16006904558722	0.0763993628776864	2885.94764077865	-0.309871872034109	-0.0102662191403315	0	0	CMA1
AT2_AGTR2undet	-0.0575021320708991	0.0510403639030346	1556.35214476277	-0.157617264910922	0.0426130007691238	0.000360037022794046	0.00236815315828086	CMA1
Adventitial fibroblasts	-0.120222871084634	0.0602709490028542	1537.5436767283	-0.238444824300766	-0.00200091786850226	0	0	CMA1
Alveolar fibroblasts	-0.107406458994231	0.0615410280141923	1775.09140159722	-0.228106957412574	0.0132940394241118	0	0	CMA1
Alveolar macrophages	-0.102883427440668	0.0450249194355525	1383.72927607799	-0.191207905265833	-0.0145589496155035	7.64085412914844e-05	0.000860765696783817	CMA1
Classical monocytes	-0.0897436509007943	0.0456712954091507	547.730089780544	-0.179455982153886	-3.13196477021577e-05	6.41272284211876e-05	0.0011302558730092	CMA1
DC2	-0.121086826308805	0.0434837036860185	1298.76122054056	-0.206392818052591	-0.0357808345650179	7.9353071856163e-05	0.000235799281671165	CMA1
EC aerocyte capillary	-0.0868463963041111	0.0703784233506164	1863.84856439597	-0.224875204896108	0.0511824122878861	7.76518092871564e-05	0.000450513628992991	CMA1
EC general capillary	-0.0923201896972568	0.0596608941828252	774.675062092233	-0.209436372814838	0.0247959934203242	0	0	CMA1
EC venous pulmonary	-0.114249131120394	0.0648723906192968	1808.39862899667	-0.241481836443571	0.0129835742027832	0	0	CMA1
EC venous systemic	-0.098321622909905	0.0589543102920856	2228.18650083908	-0.213932747910572	0.0172895020907617	0.00087719298245614	0.00316851142487293	CMA1
Interstitial macrophages	-0.104978880108182	0.0442002243079079	1201.36410278521	-0.1916970942491	-0.0182606659672642	7.42894056847545e-05	0.000406237982583768	CMA1
Lymphatic EC	-0.106342633968697	0.0575734339323805	1150.61666612906	-0.219303315174378	0.00661804723698312	0	0	CMA1
Mast cells	1.76897774935116	0.0539428660536735	1139.89616982324	1.66313929531944	1.87481620338288	0.0250321021435558	0.185742006547584	CMA1
Myofibroblasts	-0.0799106940523882	0.103583216738499	3856.53806808632	-0.282993805041157	0.123172416936381	0.000443066016836509	0.00173620016886123	CMA1
Non-classical monocytes	-0.104731028821295	0.050426844572939	1104.17996255943	-0.203674284234946	-0.00578777340764461	0.000214465226426949	0.000728838918492556	CMA1
Peribronchial fibroblasts	-0.136714906951149	0.070163223869739	3329.68159247313	-0.274282305265109	0.000852491362811736	0	0	CMA1
Pericytes	-0.0926315126827899	0.0795048377250185	3081.02220047068	-0.248519370602153	0.063256345236573	0.000366300366300366	0.00187837743068474	CMA1
Subpleural fibroblasts	-0.17593493078707	0.233161075249256	4338.20860912157	-0.633049775781279	0.28117991420714	0	0	CMA1
Transitional Club-AT2	-0.129215854477562	0.0580860138796466	2134.19957367164	-0.243126951251704	-0.0153047577034198	0.000400014815363532	0.000745103985355455	CMA1
Vascular smooth muscle	-0.0669723212106392	0.0631318224435073	2110.21796837087	-0.190779431234355	0.0568347888130771	0.000186011904761905	0.00187996483596474	CMA1
AT1	-0.0822293157680932	0.0575998009610109	1013.94195827375	-0.195257772928678	0.0307991413924916	0.000576883574912174	0.00287156529765476	CTSG
AT2_AGTR2det	-0.215668617472492	0.0748941788186772	2779.7126409181	-0.362522454404595	-0.0688147805403893	0.00211541196395558	0.0034745646056103	CTSG
AT2_AGTR2undet	-0.160517014950837	0.0502252849358394	1143.24202106751	-0.259061092487717	-0.0619729374139565	0.00118373985763619	0.0117400195869429	CTSG
Adventitial fibroblasts	-0.182461596625238	0.0592485473265251	1190.68642100488	-0.298704777764898	-0.0662184154855778	0.00145638130349742	0.00351830950862782	CTSG
Alveolar fibroblasts	-0.138354834779265	0.060575293237901	1294.02811282991	-0.257191379438241	-0.0195182901202888	0.00122491475673426	0.0078422434834139	CTSG
Alveolar macrophages	-0.0625742609131341	0.044407134975485	973.430570012591	-0.149718999662241	0.0245704778359731	0.00862540413389289	0.0199768766976965	CTSG
Classical monocytes	-0.0771705999183262	0.0452234511524232	377.26027316059	-0.166092206519897	0.0117510066832446	0.00245722550600212	0.0161274059521488	CTSG
DC2	-0.170960309791893	0.0428081923571299	894.251134647047	-0.254976537960113	-0.0869440816236736	0.00198230470083697	0.0106852934563675	CTSG
EC aerocyte capillary	-0.0902694738551619	0.0693675152357537	1366.5084197178	-0.226347832979767	0.0458088852694429	0.00232009514513373	0.0148734411158718	CTSG
EC general capillary	-0.11042183046274	0.0590436702725715	548.281541972793	-0.226401319560409	0.00555765863492855	0.0013970826571012	0.0157854667454419	CTSG
EC venous pulmonary	-0.189550369324348	0.0637454670818376	1406.03170915158	-0.314596832062686	-0.0645039065860103	5.3388443985189e-05	0.000148252870527301	CTSG
EC venous systemic	-0.189683810440062	0.0579224427715356	1712.23818738995	-0.303290018330103	-0.0760776025500211	0.00207317088420905	0.0161654914814526	CTSG
Interstitial macrophages	-0.139068176067395	0.0435424352629736	824.191055063506	-0.22453529040585	-0.053601061728941	0.00486740018465801	0.0109071356581244	CTSG
Lymphatic EC	-0.172603210593428	0.0567002248254176	839.962865410391	-0.283893972262415	-0.0613124489244417	0.000986154692872762	0.00533703331099527	CTSG
Mast cells	2.49497661310594	0.053313542386835	787.376475537423	2.39032311980735	2.59963010640453	0.108612598993288	0.714065417493523	CTSG
Myofibroblasts	-0.189093827886509	0.101415876155954	3712.81591034532	-0.387930112169311	0.00974245639629229	0.000443066016836509	0.00278476024603166	CTSG
Non-classical monocytes	-0.198161647002839	0.0496643568955102	778.071322913307	-0.295653651919222	-0.100669642086455	0.000289687332440844	0.00162901562747345	CTSG
Peribronchial fibroblasts	-0.20311587715198	0.0688452675893108	2863.41093828938	-0.338107182587956	-0.0681245717160031	0.00197387879636981	0.010644325311811	CTSG
Pericytes	-0.140204487091206	0.0781366325231671	2516.12197386926	-0.293423176993597	0.0130142028111842	0.00157404535259385	0.0152053310794945	CTSG
Subpleural fibroblasts	-0.228210253319268	0.228084910582666	4305.56441605889	-0.67537416797858	0.218953661340045	0	0	CTSG
Transitional Club-AT2	-0.217561140349821	0.0570951719898152	1732.24806015997	-0.32954386531147	-0.105578415388171	0.00125728191392464	0.00207340763215111	CTSG
Vascular smooth muscle	-0.152355877267456	0.062175215300956	1530.81760299649	-0.2743134863554	-0.0303982681795113	0.00144770408163265	0.013882012691865	CTSG
AT1	-0.0387732973827752	0.0593382600504052	384.842783874538	-0.155441059995443	0.0778944652298925	0.293686093389136	0.95845827502599	CTSD
AT2_AGTR2det	-0.437690863785945	0.0755263053801662	1858.53531855539	-0.585816167231073	-0.289565560340818	0.59621235233136	1.23725017322438	CTSD
AT2_AGTR2undet	-0.180381190289883	0.0518169962353512	425.228532653468	-0.282230524685837	-0.0785318558939294	0.395491796501057	1.05668533288204	CTSD
Adventitial fibroblasts	-0.44100617450192	0.0605346002887647	520.339183574192	-0.559928425502136	-0.322083923501704	0.285584855861916	0.747603560967568	CTSD
Alveolar fibroblasts	-0.501157251318229	0.0621863141389137	494.31159359977	-0.623339347928569	-0.378975154707888	0.210420177446172	0.703034678687765	CTSD
Alveolar macrophages	0.997918120844994	0.0463228950794059	328.358026206257	0.906791032211299	1.08904520947869	0.605725966075877	1.85712161708917	CTSD
Classical monocytes	0.28123438105082	0.0476785300276662	146.962743339136	0.187010283644446	0.375458478457193	0.387771096305801	1.37517672959169	CTSD
DC2	-0.259691265316674	0.044518864082012	284.485262077356	-0.347319427866848	-0.1720631027665	0.351199787770338	1.13782950807938	CTSD
EC aerocyte capillary	-0.619574211962641	0.0712354354563243	551.107767845001	-0.759500399498094	-0.479648024427189	0.168599706418634	0.699013126194211	CTSD
EC general capillary	-0.540020244297605	0.061651749769382	235.887305286543	-0.661478612028827	-0.418561876566382	0.146733874422394	0.656234952285335	CTSD
EC venous pulmonary	-0.836395895225339	0.065010748279398	604.771133833664	-0.96407013363362	-0.708721656817058	0.252564155761266	0.79687357227826	CTSD
EC venous systemic	-0.886641898328707	0.059196423943724	666.143736824595	-1.00287594462754	-0.770407852029874	0.259635144552875	0.73834063764835	CTSD
Interstitial macrophages	0.91964735641025	0.0453357309254907	270.43338980383	0.83039151106814	1.00890320175236	0.6041899030093	1.87431604525143	CTSD
Lymphatic EC	-0.0451139565270135	0.0583698451563216	347.401591059832	-0.159916704581554	0.0696887915275268	0.333035063844296	0.958692251776935	CTSD
Mast cells	0.624502415101139	0.0556173730573282	291.550884453123	0.515039970839904	0.733964859362374	0.475813050027283	1.65662828030308	CTSD
Myofibroblasts	-0.479811966046033	0.101303845198345	2649.15229633029	-0.678454610772379	-0.281169321319686	0.357321890608322	1.00205096367053	CTSD
Non-classical monocytes	0.0674256123552321	0.0514036230427598	286.758539835662	-0.033750654901687	0.168601879612151	0.412038292731058	1.18051430063216	CTSD
Peribronchial fibroblasts	-0.627871102516381	0.0697141194893932	1356.30761288257	-0.764630307545721	-0.49111189748704	0.336946176816395	0.889551684315934	CTSD
Pericytes	-0.0918245385670616	0.0792952536902425	1121.87845244652	-0.247408231913322	0.0637591547791993	0.284193511324115	0.998315608337584	CTSD
Subpleural fibroblasts	-1.27400300656545	0.225442369695876	4129.83865852465	-1.71599146818912	-0.832014544941772	0.474229336994601	1.06780447657764	CTSD
Transitional Club-AT2	-0.189458237953116	0.0584148358551776	758.59512770329	-0.304132173543168	-0.0747843023630637	0.456789966805193	1.14444973407788	CTSD
Vascular smooth muscle	-0.401466456705732	0.0639120373681463	558.777129565496	-0.527003663413961	-0.275929249997502	0.257492477637979	0.905708981499801	CTSD
AT1	-0.282860893026842	0.0516916262203946	1113.42789341612	-0.384284870764788	-0.181436915288897	0.00480065456740239	0.0172863869468328	ENPEP
AT2_AGTR2det	-0.261131564520206	0.0673088761717519	2821.04721161677	-0.393111162825883	-0.129151966214529	0.0123108301569928	0.0247287454094479	ENPEP
AT2_AGTR2undet	-0.204034003681169	0.0450820719410987	1246.82174367966	-0.29247909856089	-0.115588908801448	0.0110985652678484	0.0325307118155524	ENPEP
Adventitial fibroblasts	0.71799801068412	0.0532025810899721	1278.9066239115	0.61362408938368	0.822371931984559	0.0728306633684414	0.238890713021918	ENPEP
Alveolar fibroblasts	2.41402832679067	0.0543729865628633	1413.49033488623	2.30736789995051	2.52068875363083	0.164824211009945	0.618371998838917	ENPEP
Alveolar macrophages	-0.244059983315581	0.0398323080634124	1074.20129821841	-0.322217935911933	-0.16590203071923	0.00551672532350838	0.0126952710051911	ENPEP
Classical monocytes	-0.254628442372311	0.0405205183915144	416.589546308364	-0.334278603791406	-0.174978280953216	0.00197320425888769	0.0108708693504024	ENPEP
DC2	-0.2707536132279	0.0384163996445831	992.874758997115	-0.346140271171661	-0.195366955284139	0.00379177173388387	0.00918650056490926	ENPEP
EC aerocyte capillary	-0.306409659586937	0.0622460606589862	1489.78083750791	-0.428508894161866	-0.184310425012009	0.00313101964914142	0.0123543858506365	ENPEP
EC general capillary	-0.293977131354466	0.0529177742000522	600.769991953573	-0.397903434743038	-0.190050827965893	0.00279050240695307	0.0135873148590106	ENPEP
EC venous pulmonary	-0.276205937339468	0.0572472892328916	1510.36440655052	-0.388498549435665	-0.163913325243271	0.00601955533917559	0.0212483314866272	ENPEP
EC venous systemic	-0.277883728459398	0.0520177792477835	1847.93895944792	-0.379903522605744	-0.175863934313052	0.00824609774630266	0.0207649930137623	ENPEP
Interstitial macrophages	-0.255117221785117	0.0390684398262151	915.008571461617	-0.331791378305668	-0.178443065264566	0.00313891860290659	0.00851586266247782	ENPEP
Lymphatic EC	-0.310449561597254	0.0508861772881974	914.988505803085	-0.410316739626629	-0.21058238356788	0.00488770408153895	0.0140793492118143	ENPEP
Mast cells	-0.247617496794605	0.047797883628133	870.393710303479	-0.341430079361867	-0.153804914227344	0.0025722843420708	0.0164385504392714	ENPEP
Myofibroblasts	-0.329007630732444	0.0911867876239953	3765.51646609554	-0.507787916073279	-0.15022734539161	0.0022802312344838	0.0127903301829247	ENPEP
Non-classical monocytes	-0.304369560471629	0.0445674873464438	856.370136838473	-0.391843860753917	-0.216895260189341	0.00280591711826221	0.00891431083847802	ENPEP
Peribronchial fibroblasts	0.451472972376702	0.0618554753056897	3000.21486722142	0.330189539977468	0.572756404775936	0.0584471158812531	0.20788717328845	ENPEP
Pericytes	1.49910351521752	0.0701757294187076	2673.8441173366	1.36149932438315	1.6367077060519	0.0940872104645995	0.409577407628659	ENPEP
Subpleural fibroblasts	0.0112498534049918	0.205164410738161	4319.74490586199	-0.39097770358357	0.413477410393554	0.0237032496749548	0.0644809588677817	ENPEP
Transitional Club-AT2	-0.271010246664731	0.0512687141626776	1841.52465593247	-0.37156116754032	-0.170459325789142	0.00807958487185431	0.0173389758998878	ENPEP
Vascular smooth muscle	1.25768160490729	0.0558011097770845	1676.59542078034	1.14823442852031	1.36712878129427	0.0750275171139619	0.350837470955022	ENPEP
AT1	-0.41261610005284	0.0482089653550337	879.813886534296	-0.50723409927089	-0.317998100834791	0.0149784962005668	0.0575044071188536	MME
AT2_AGTR2det	-0.414747683742557	0.0625343500635217	2699.61534497981	-0.537367733585569	-0.292127633899546	0.0195026907774907	0.0455413351273435	MME
AT2_AGTR2undet	-0.390221226069706	0.0420285786052005	999.277186558485	-0.472695620669116	-0.307746831470295	0.0185017610962088	0.0575820208824308	MME
Adventitial fibroblasts	-0.196559075876834	0.049540659372845	1065.8173075757	-0.293767373655378	-0.0993507780982897	0.0323448703782747	0.121197736997461	MME
Alveolar fibroblasts	1.4113757331192	0.0506815105557112	1129.65198880388	1.31193525429671	1.51081621194168	0.164364979443899	0.687701655099794	MME
Alveolar macrophages	2.14801036545503	0.0372025361781506	836.126384981623	2.07498903241799	2.22103169849207	0.421531895290622	1.00968321149703	MME
Classical monocytes	-0.184992182278205	0.0379486421032982	325.759869608949	-0.25964751845453	-0.11033684610188	0.0164351269265974	0.164735860183125	MME
DC2	-0.417128512006964	0.0358387683982417	760.943067138132	-0.487483111052462	-0.346773912961465	0.0136808856450553	0.0476679824427023	MME
EC aerocyte capillary	-0.44455714235572	0.0580593453149335	1197.44851922541	-0.558466504169615	-0.330647780541825	0.0057840769058603	0.0296616798023026	MME
EC general capillary	-0.381504638172448	0.0495163084233466	479.305943823396	-0.478800504271959	-0.284208772072937	0.00912898858616128	0.0589050039125599	MME
EC venous pulmonary	-0.361625752206266	0.0532908887633717	1256.9219105478	-0.466174649555051	-0.25707685485748	0.0175963768983376	0.0710332035747321	MME
