replicate	m	rank	aupr_corrected
150	24	12	0.0972264465203632
151	24	22	0.0907846309539823
152	24	7	0.112715536801955
153	24	14	0.0695696164145481
154	24	38	0.0442501224304235
155	24	11	0.0757182054086883
156	24	21	0.0769267359603599
157	24	14	0.102539181737843
158	24	23	0.0643392987048779
159	24	12	0.0817659177170796
160	24	27	0.0591262533008105
161	24	7	0.110752545481665
162	24	21	0.0725931627797242
163	24	14	0.0455642923621544
164	24	23	0.0493540145872939
165	24	14	0.0955670425948427
166	24	15	0.0922038027422221
167	24	16	0.0504257790950668
168	24	6	0.111882068800206
169	24	14	0.0947757362401429
170	24	18	0.0558440700220329
171	24	8	0.114734630187289
172	24	23	0.0768912192619143
173	24	21	0.0950492791933384
174	24	9	0.105665882363972
175	24	10	0.0922495811330768
176	24	56	0.0442514645827854
177	24	20	0.0562652939648736
178	24	28	0.0510672065232668
179	24	7	0.115205806664707
180	24	16	0.0559936757525613
181	24	6	0.123992038510518
182	24	14	0.109975247123769
183	24	17	0.0981105111504725
184	24	15	0.0857103829402119
185	24	15	0.094966078291603
186	24	11	0.101926644702317
187	24	14	0.0642520079748454
188	24	25	0.0689978768092486
189	24	11	0.106845986240115
190	24	14	0.0877612447426692
191	24	25	0.0817182757367102
192	24	21	0.0672720311177135
193	24	14	0.0746163062923081
194	24	41	0.0696107443378736
195	24	6	0.0906362518668335
196	24	10	0.0946449471885169
197	24	13	0.087791808344593
198	24	19	0.0712089195542812
199	24	14	0.0822004109166938
200	24	10	0.0931666181704202
201	24	13	0.0789133427893225
202	24	30	0.0582267137036096
203	24	14	0.101719249734322
204	24	16	0.0643302082222927
205	24	17	0.0861281689634941
206	24	18	0.0729596227991606
207	24	14	0.0848058474108072
208	24	10	0.0955067648402129
209	24	14	0.0871085887360264
210	24	19	0.0957041223322045
211	24	17	0.0952006717347324
212	24	15	0.0830270962064134
213	24	18	0.0953037870649521
214	24	18	0.065704102851346
215	24	22	0.0540764506540701
216	24	7	0.0994743041068852
217	24	21	0.0654295763940649
218	24	28	0.0538788441693599
219	24	13	0.0971286408464817
220	24	8	0.0828667533352529
221	24	16	0.0918075344121692
222	24	17	0.0822183757030445
223	24	12	0.0999500053215505
224	24	19	0.0749313084139471
225	24	23	0.0913195611369226
226	24	8	0.114978703860363
227	24	23	0.0879269080573701
228	24	16	0.100028178238048
229	24	16	0.0814427961188005
230	24	13	0.0734984569821193
231	24	19	0.10366141235571
232	24	18	0.0912889169789159
233	24	11	0.0941823450613632
234	24	20	0.0901657417304887
235	24	17	0.103718760809104
236	24	14	0.0537030303859159
237	24	7	0.0603844238994608
238	24	25	0.0739179544037321
239	24	18	0.102440396460438
240	24	6	0.1114975371645
241	24	12	0.117723018089585
242	24	23	0.0662168818112531
243	24	13	0.089500664871095
244	24	23	0.0713168252863163
245	24	10	0.0904575964212468
246	24	9	0.117445576755866
247	24	16	0.0883649818082726
248	24	22	0.0375256770679353
249	24	12	0.0699512982689518
250	24	6	0.11687872973269
251	24	15	0.100875788534205
252	24	24	0.0671533212449927
253	24	5	0.121652462585982
254	24	14	0.0852091842700221
255	24	31	0.0504871624992528
256	24	25	0.0470863604643133
257	24	24	0.0578789782211224
258	24	16	0.0830198886851937
259	24	16	0.076927547654072
260	24	15	0.0866892107172969
261	24	8	0.124368575084567
262	24	22	0.075430451595919
263	24	16	0.0967958343490321
264	24	18	0.107793182504666
265	24	23	0.0482339111743087
266	24	69	0.0470364967150537
267	24	19	0.0886647908143322
268	24	25	0.0550654333755667
269	24	16	0.0638024707203246
270	24	27	0.0318418942769016
271	24	28	0.05995281382027
272	24	14	0.0862651670845967
273	24	18	0.07401380208507
274	24	9	0.127835654538295
275	24	20	0.0616625449962754
276	24	19	0.0832493691508921
277	24	13	0.0664487407330792
278	24	24	0.0814085122109939
279	24	19	0.0752436068943418
280	24	14	0.103484419400973
281	24	11	0.118153875258796
282	24	21	0.0673453861715845
283	24	10	0.105224278396129
284	24	15	0.0892337539890449
285	24	32	0.0597252331042827
286	24	23	0.0550060858673171
287	24	5	0.11463506190297
288	24	23	0.0731176460116117
289	24	13	0.0826467677047964
290	24	7	0.121335035941689
291	24	13	0.0858695386845444
292	24	20	0.0694971665140324
293	24	9	0.115843964508128
294	24	14	0.0664388292140655
295	24	18	0.0707529517111237
296	24	16	0.102611640407613
297	24	5	0.1227132739271
298	24	13	0.101860886419811
299	24	14	0.101536974983948
300	24	14	0.0753856404360165
