gene	reference	contrast	estimate	SE	df	t.ratio	p.value
AGT	Vascular smooth muscle	Pericytes - Vascular smooth muscle	2.40406434123846	0.0992963844467583	4179.77640661328	-24.2109957440343	3.13821276891983e-121
AGT	Vascular smooth muscle	Subpleural fibroblasts - Vascular smooth muscle	2.70566680335995	0.239632931240533	4317.96628471241	-11.2908805536586	3.71667275419764e-29
AGT	Vascular smooth muscle	(Transitional Club-AT2) - Vascular smooth muscle	2.77760652864488	0.0853310871327851	4155.12875232016	-32.5509333347951	5.09225013265561e-207
AGTR1	Pericytes	AT1 - Pericytes	4.0940805351042	0.0754436933939971	4165.58807600724	-54.2667034303752	0
AGTR1	Pericytes	AT2_AGTR2det - Pericytes	4.11227466767337	0.0865387641770679	3760.39459306106	-47.5194521990077	0
AGTR1	Pericytes	AT2_AGTR2undet - Pericytes	4.07685012858235	0.0731879642023177	4204.36487245413	-55.7038329049908	0
AGTR1	Pericytes	Adventitial fibroblasts - Pericytes	2.77708088798518	0.0767438703326972	4184.01729470774	-36.1863543752234	1.14501193002891e-249
AGTR1	Pericytes	Alveolar fibroblasts - Pericytes	2.47704714568649	0.0768024797214424	4125.29483426497	-32.2521766832344	1.07305272461724e-203
AGTR1	Pericytes	Alveolar macrophages - Pericytes	4.05569521317399	0.0713852283659895	4012.8702985387	-56.8142080092619	0
AGTR1	Pericytes	Classical monocytes - Pericytes	4.05403556661845	0.0698151158723016	4139.66467153418	-58.0681635483305	0
AGTR1	Pericytes	DC2 - Pericytes	4.0579439195063	0.0702477003768596	4085.64118609671	-57.7662172247141	0
AGTR1	Pericytes	EC aerocyte capillary - Pericytes	4.11147846950223	0.0807077595444727	4114.48972577788	-50.9427902931275	0
AGTR1	Pericytes	EC general capillary - Pericytes	4.10196780907241	0.0752663415879363	4110.06766644443	-54.4993648227201	0
AGTR1	Pericytes	EC venous pulmonary - Pericytes	4.11797856269087	0.0787263602737266	4170.64841224348	-52.3074933017723	0
AGTR1	Pericytes	EC venous systemic - Pericytes	4.08723817039248	0.0763842857980206	4161.33652749878	-53.5088876945209	0
AGTR1	Pericytes	Interstitial macrophages - Pericytes	4.05569301963071	0.0705722814426011	4118.1663559213	-57.4686397651654	0
AGTR1	Pericytes	Lymphatic EC - Pericytes	4.11151041467333	0.075059050791807	4150.6465837365	-54.7770105177259	0
AGTR1	Pericytes	Mast cells - Pericytes	3.96172131042911	0.0731860423903107	4183.04253801323	-54.1321976299898	0
AGTR1	Pericytes	Myofibroblasts - Pericytes	3.85701937008815	0.100505665182679	4129.61677753826	-38.3761389278666	8.83166622042882e-276
AGTR1	Pericytes	(Non-classical monocytes) - Pericytes	4.08869563643137	0.0724777753753756	4201.73185731772	-56.4130951213013	0
AGTR1	Pericytes	Peribronchial fibroblasts - Pericytes	3.45012702834276	0.0818553760061729	4148.5799285145	-42.1490584574747	2.47032822920623e-323
AGTR1	Pericytes	Subpleural fibroblasts - Pericytes	3.74204557828408	0.191616511699905	4254.44024861974	-19.5288263265359	2.08027098941832e-81
AGTR1	Pericytes	(Transitional Club-AT2) - Pericytes	4.10226601183127	0.0769042736539393	4154.21301565461	-53.3424973271448	0
AGTR1	Pericytes	Vascular smooth muscle - Pericytes	3.23577534870883	0.0774279214729451	4126.34435173538	-41.7908073360781	1.59978456123396e-318
