ccc_group	partner	partial_rho	p_value	n_donors	p_BH
Transitional Club-AT2	TGFB1	0.0658282432126145	0.35045355173234	203	0.530547738039236
AT2_AGTR2undet	TGFB3	-0.0541898074834856	0.386719633824803	257	0.577430686121967
Lymphatic EC	TGFB2	-0.0602422600996698	0.392903865309116	203	0.578736774576941
EC aerocyte capillary	CCN2	0.0717652659286501	0.404171558837673	137	0.587395998844084
Interstitial macrophages	TGFB1	0.0442977711090214	0.412589867409358	344	0.591740730889738
Subpleural fibroblasts	TGFB2	-0.251748251748252	0.430115288763099	12	0.601058544553561
Subpleural fibroblasts	TGFB3	-0.251748251748252	0.430115288763099	12	0.601058544553561
Alveolar fibroblasts	TGFB1	-0.0518335901386749	0.494106440201132	176	0.681741797239536
EC general capillary	TGFB1	0.0469087863560225	0.510263551820658	199	0.695234089355646
EC aerocyte capillary	TGFB2	-0.0534190826441652	0.534821700064325	137	0.719698337123597
EC general capillary	PDGFB	-0.0422476016445866	0.553212153367112	199	0.735367374597747
Vascular smooth muscle	PDGFB	0.0450291302433173	0.561831524760765	168	0.737826942155703
Adventitial fibroblasts	TGFB1	-0.0411878021999191	0.578479544990964	184	0.750646076238275
Vascular smooth muscle	TGFB2	0.0423261676140534	0.585564512709464	168	0.750900375121548
Peribronchial fibroblasts	TGFB1	-0.0453321227083992	0.603936781702403	133	0.765454758204208
Mast cells	TGFB1	0.0264714116142723	0.684310091356769	238	0.82348884357537
EC venous systemic	PDGFB	0.0322945233939998	0.657974172242161	190	0.82348884357537
Transitional Club-AT2	CCN2	-0.0294433239325092	0.676426044620601	203	0.82348884357537
AT2_AGTR2det	CCN2	-0.0373640981816455	0.687499860232649	118	0.82348884357537
Subpleural fibroblasts	CCN2	0.132867132867133	0.683365534284606	12	0.82348884357537
Alveolar macrophages	PDGFB	-0.0209213030648311	0.701391177051939	338	0.83099606846371
Alveolar fibroblasts	TGFB2	-0.0270856262381686	0.720959784842567	176	0.836128310003113
AT1	TGFB1	0.0256404943859621	0.721064781103603	196	0.836128310003113
AT1	TGFB2	-0.0244467642582218	0.733548239013109	196	0.841650084762409
DC2	TGFB1	-0.0157992575197405	0.767267018552491	353	0.871167760648141
Classical monocytes	TGFB1	0.0150226860393841	0.782754096057252	339	0.879589654332376
Adventitial fibroblasts	TGFB2	-0.016316387663501	0.82584455127446	184	0.918541388662409
EC venous systemic	CCN2	-0.0138557563192449	0.849383389423965	190	0.935179691385981
Pericytes	PDGFB	0.0156023222060958	0.874303316177892	105	0.943555063993963
Lymphatic EC	CCN2	-0.0117558119184854	0.867681695983679	203	0.943555063993963
EC aerocyte capillary	PDGFB	0.00888606791494763	0.917829457911481	137	0.952794389641442
Transitional Club-AT2	TGFB2	0.00825704129381353	0.906848472214942	203	0.952794389641442
EC venous pulmonary	PDGFB	0.00862390261637857	0.914275617744482	158	0.952794389641442
Subpleural fibroblasts	TGFB1	0.041958041958042	0.90373883620237	12	0.952794389641442
EC aerocyte capillary	TGFB1	-0.00316426157895719	0.970708662312431	137	0.984429861234314
EC venous systemic	TGFB1	0.00225082776749903	0.975398394617485	190	0.984429861234314
EC general capillary	CCN2	0.00328612760773565	0.963233626979775	199	0.984429861234314
AT1	CCN2	-0.00109013539035294	0.987898712036224	196	0.987898712036224
