dropped_study	dropped_level	response	n	n_dropped	n_studies	n_datasets	estimate	se	p	singular	model	block	n_refits	n_significant	n_positive	estimate_min	estimate_max	p_min	p_max	n_donors_min	n_donors_max
Krasnow_2020	study	injury_stromal_score	86	3	17	22	0.749489905937479	0.220155909603083	0.00108512681134765	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Lafyatis_2019	study	injury_stromal_score	85	4	17	22	0.762190898648388	0.23396981349828	0.00165713826255604	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Meyer_2019	study	injury_stromal_score	88	1	17	22	0.77525023740232	0.20704650344326	0.000365630319671834	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Meyer_2021	study	injury_stromal_score	84	5	17	21	0.7435276659926	0.215685150974963	0.00095066938842917	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Misharin_2021	study	injury_stromal_score	87	2	17	22	0.748682102822931	0.212364264892622	0.000729497663787546	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Peer_Massague_2020	study	injury_stromal_score	87	2	17	22	0.721084052461154	0.228255660519518	0.00227588884374108	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Regev_2021	study	injury_stromal_score	75	14	17	21	0.641216274247056	0.210925303216031	0.00344734220045065	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Schiller_2020	study	injury_stromal_score	84	5	17	22	0.919688529497976	0.252813608113651	0.000576170452372673	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Schiller_2021	study	injury_stromal_score	87	2	17	22	0.743939792576826	0.218645703733885	0.00108302310729976	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Sheppard_2020	study	injury_stromal_score	81	8	17	22	0.754136646979508	0.284787500849553	0.0117879690879938	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Sun_2020	study	injury_stromal_score	80	9	17	19	0.737787415297847	0.204637237938454	0.000579877932253193	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Tata_unpubl	study	injury_stromal_score	88	1	17	22	0.748043723636765	0.217567472223315	0.000964625143735394	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Thienpont_2018	study	injury_stromal_score	85	4	17	22	0.738697886655513	0.222759790428578	0.00142278428024939	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Banovich_Kropski_2020	study	AGTR1_pos_frac	74	15	17	22	-0.0813086087883301	0.0734125197267785	0.271979313226431	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Budinger_2020	study	AGTR1_pos_frac	86	3	17	22	-0.0577378402115492	0.0724113541178858	0.427764185269578	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Duong_lungMAP_unpubl	study	AGTR1_pos_frac	88	1	17	22	-0.0548274683546363	0.0706199179789307	0.439991530845211	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Eils_2020	study	AGTR1_pos_frac	86	3	17	22	-0.0556005646545887	0.0719292199981336	0.442023241758027	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Kaminski_2020	study	AGTR1_pos_frac	82	7	17	22	-0.0533001625362581	0.0715048468817453	0.458449151213293	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Krasnow_2020	study	AGTR1_pos_frac	86	3	17	22	-0.0538213251155973	0.0714397827540254	0.453671690012752	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Lafyatis_2019	study	AGTR1_pos_frac	85	4	17	22	-0.0900936893379	0.0737570927530051	0.225535442923333	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Meyer_2019	study	AGTR1_pos_frac	88	1	17	22	-0.0586632181982176	0.0703990367051574	0.407341214573167	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Meyer_2021	study	AGTR1_pos_frac	84	5	17	21	-0.0567198630640352	0.0720839492490967	0.433935477665505	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Misharin_2021	study	AGTR1_pos_frac	87	2	17	22	-0.0577851067714017	0.0716436826352884	0.422491495154789	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Peer_Massague_2020	study	AGTR1_pos_frac	87	2	17	22	-0.0166396663517214	0.072491846646044	0.819106808623889	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Regev_2021	study	AGTR1_pos_frac	75	14	17	21	-0.0766809195943801	0.073532039034627	0.300848786861982	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Schiller_2020	study	AGTR1_pos_frac	84	5	17	22	-0.0414526541986813	0.0791878226963394	0.603064367170186	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Schiller_2021	study	AGTR1_pos_frac	87	2	17	22	-0.0559074021564817	0.0715715053866872	0.437210048886127	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Sheppard_2020	study	AGTR1_pos_frac	81	8	17	22	-0.020036135163201	0.0917767687315923	0.828093763080174	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Sun_2020	study	AGTR1_pos_frac	80	9	17	19	-0.058875650148357	0.0714501155882995	0.41283089617936	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Tata_unpubl	study	AGTR1_pos_frac	88	1	17	22	-0.055059206134938	0.0707068574132075	0.438627154113587	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Thienpont_2018	study	AGTR1_pos_frac	85	4	17	22	-0.070135792749652	0.0691911446449602	0.314025476809589	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
		injury_frac										summary	18	0	18	0.00577953315071484	0.0118199460516784	0.254629177574589	0.563506886562363	74	88
		niche_index										summary	18	17	0	-0.979691334580268	-0.708791086315224	0.00122927503016839	0.0611913529450303	74	88
		injury_stromal_score										summary	18	18	18	0.641216274247056	0.919688529497976	0.000365630319671834	0.0117879690879938	74	88
		AGTR1_pos_frac										summary	18	0	0	-0.0900936893379	-0.0166396663517214	0.225535442923333	0.828093763080174	74	88
