test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver	target_set	perm_mean	perm_sd	perm_z	perm_p	perm_p_BH	fdr_significant	n_permutations	aupr_frozen	rank_frozen	rank_change_bm_minus_injury	ligand_class
IGF2	0.74652868745088	0.0112329329061907	0.00809895536636306	0.0597426476488018	16	Pericytes	basement_membrane	0.00102758623267349	0.00547436921980227	1.29172309169621	0.01999800019998	0.234566813588911	FALSE	10000	0.0469742417813682	211	-195	other
COL10A1	0.661470613920183	0.0104306384450643	0.00729666090523667	0.0438744289407484	17	Pericytes	basement_membrane	0.00103616281497729	0.0052801245654783	1.1856724235619	0.0234976502349765	0.234566813588911	FALSE	10000	0.0671329398678508	53	-36	other
BMP2	0.73751200768492	0.0100444212328448	0.0069104436930172	0.0415772916188943	18	Pericytes	basement_membrane	0.000990604218434417	0.00530037691312368	1.11687141718645	0.0235976402359764	0.234566813588911	FALSE	10000	0.0269273738747071	285	-267	other
CALR	0.734673827613309	0.00815615608100605	0.00502217854117842	0.0301805134474283	19	Pericytes	basement_membrane	0.00105267482150018	0.00554269984312997	0.716167902290134	0.0398960103989601	0.234566813588911	FALSE	10000	0.0251656216688462	287	-268	other
IGF1	0.73626757488429	0.0075217016899839	0.00438772415015627	0.0242863509668697	20	Pericytes	basement_membrane	0.00101912610659865	0.00522710640749739	0.644447956660293	0.0483951604839516	0.234566813588911	FALSE	10000	0.0178345285795184	310	-290	other
NPNT	0.746288533752512	0.00750738565188241	0.00437340811205478	0.0441531856745876	21	Pericytes	basement_membrane	0.00101804112962107	0.00531083074376765	0.631797009605567	0.0460953904609539	0.234566813588911	FALSE	10000	0.0503883306233641	188	-167	other
PDGFA	0.695026635228365	0.00732205068402896	0.00418807314420133	0.029386088687166	22	Pericytes	basement_membrane	0.000979862198602405	0.00488054767793404	0.657346502341101	0.0518948105189481	0.234566813588911	FALSE	10000	0.0274718909924507	282	-260	other
SEMA4C	0.756222164003145	0.00727455082784932	0.00414057328802169	0.0417382811230844	23	Pericytes	basement_membrane	0.00103315124648592	0.00539069735286715	0.576441569268033	0.0515948405159484	0.234566813588911	FALSE	10000	0.0377047971784814	250	-227	other
CRTAM	0.698912758711031	0.00718961501260622	0.00405563747277859	0.0240964547237307	24	Pericytes	basement_membrane	0.000951290813099997	0.00477141779403482	0.650613044944338	0.0504949505049495	0.234566813588911	FALSE	10000	0.0206259627311005	303	-279	other
MCAM	0.760501266264956	0.00718507163204616	0.00405109409221853	0.0309611415264149	25	Pericytes	basement_membrane	0.00109681106973915	0.00580557211649285	0.508870265186554	0.0532946705329467	0.234566813588911	FALSE	10000	0.0533104183659679	163	-138	other
JAG1	0.644288708409746	0.00690797610622576	0.00377399856639813	0.0265781858063721	26	Pericytes	basement_membrane	0.00113464518608024	0.00588366689756674	0.44858987197413	0.0646935306469353	0.234566813588911	FALSE	10000	0.0223954540760611	299	-273	other
BMP1	0.702951707274475	0.00682031679877838	0.00368633925895075	0.0365642067384233	27	Pericytes	basement_membrane	0.00102508981670563	0.00533324106558975	0.498992903098942	0.0595940405959404	0.234566813588911	FALSE	10000	0.0670220207024986	56	-29	other
C1QB	0.751681075888569	0.00675123934479079	0.00361726180496315	0.0344826604256133	28	Pericytes	basement_membrane	0.00117694334092057	0.00644724689955009	0.378505508174795	0.0644935506449355	0.234566813588911	FALSE	10000	0.0739647686741691	32	-4	other
HSPG2	0.769954589118854	0.00670948147977539	0.00357550393994775	0.0261451126235307	29	Pericytes	basement_membrane	0.000945799547866148	0.00456088091083413	0.576578175026426	0.0622937706229377	0.234566813588911	FALSE	10000	0.0571618713060939	115	-86	other
CTSD	0.730853200593837	0.00670859817779316	0.00357462063796553	0.0306762725384768	30	Pericytes	basement_membrane	0.000961836014421175	0.00462635712390404	0.564760686122627	0.0651934806519348	0.234566813588911	FALSE	10000	0.0645953817295048	64	-34	other
BMP3	0.667801938695312	0.00669935145017353	0.0035653739103459	0.0308420482042549	31	Pericytes	basement_membrane	0.00105618906841159	0.00551080288559794	0.455321101847404	0.0625937406259374	0.234566813588911	FALSE	10000	0.0576270331099406	112	-81	other
NRP1	0.757073618024627	0.00667367047763601	0.00353969293780838	0.0291678215282867	32	Pericytes	basement_membrane	0.0010628373125977	0.00558498599285053	0.443484661981492	0.064993500649935	0.234566813588911	FALSE	10000	0.0591720941224714	101	-69	other
ADAM9	0.720373766483278	0.00665294197787995	0.00351896443805232	0.0284418345768529	33	Pericytes	basement_membrane	0.00103056211008826	0.00530463258404658	0.469099845943677	0.0662933706629337	0.234566813588911	FALSE	10000	0.0570694776038269	116	-83	other
COL5A3	0.732621605099992	0.0066329794742766	0.00349900193444897	0.0362103285125096	34	Pericytes	basement_membrane	0.00102693337770202	0.00531207234379294	0.465368013979613	0.0645935406459354	0.234566813588911	FALSE	10000	0.0655322254942965	60	-26	other
COL4A2	0.752794515762816	0.00656159381144472	0.00342761627161709	0.0329643761345941	35	Pericytes	basement_membrane	0.00107905745320286	0.00560820131462047	0.418772202825811	0.0673932606739326	0.234566813588911	FALSE	10000	0.0500754595908632	190	-155	other
BMP5	0.683564754169942	0.00653460402759919	0.00340062648777156	0.0336339022359189	36	Pericytes	basement_membrane	0.00102005626514223	0.00531841055147685	0.447609337336373	0.0690930906909309	0.234566813588911	FALSE	10000	0.061287069604613	82	-46	other
LAMB1	0.752052222513318	0.00648295859755266	0.00334898105772503	0.0325634114380909	37	Pericytes	basement_membrane	0.00103607712733603	0.00534120206661162	0.433030599019497	0.0687931206879312	0.234566813588911	FALSE	10000	0.0547349663142517	150	-113	collagen/ECM
COL6A3	0.758973015457166	0.0064784361809112	0.00334445864108357	0.0353712041674679	38	Pericytes	basement_membrane	0.00102191046915038	0.00530250310691438	0.438009771065409	0.068993100689931	0.234566813588911	FALSE	10000	0.0496312446974669	194	-156	other
INHBA	0.669286525194308	0.00647354782824533	0.00333957028841769	0.0177398883388794	39	Pericytes	basement_membrane	0.00103206540246106	0.0052162793976899	0.442366044843867	0.0700929907009299	0.234566813588911	FALSE	10000	0.0416056787935229	234	-195	other
NTM	0.753427648240329	0.00646566210256506	0.00333168456273743	0.0355172685107596	40	Pericytes	basement_membrane	0.00102753770644064	0.00531172029176324	0.43378542726916	0.0703929607039296	0.234566813588911	FALSE	10000	0.0561337240941807	126	-86	other
COL1A2	0.752881844380404	0.00645122008514809	0.00331724254532046	0.0362856100993955	41	Pericytes	basement_membrane	0.00102432698868316	0.00528366494299163	0.433963088382179	0.0701929807019298	0.234566813588911	FALSE	10000	0.0679970887114916	45	-4	collagen/ECM
COL15A1	0.73118068290979	0.00641105305243795	0.00327707551261032	0.0304620519159397	42	Pericytes	basement_membrane	0.00102626148856873	0.00545557516556183	0.412571352375417	0.0681931806819318	0.234566813588911	FALSE	10000	0.0490367985382476	197	-155	other
SIGLEC7	0.740524844991705	0.00640875828216291	0.00327478074233528	0.0351136300071706	43	Pericytes	basement_membrane	0.00105117673812395	0.00548022018004501	0.405750851454487	0.0718928107189281	0.234566813588911	FALSE	10000	0.0605615810857819	91	-48	other
FGA	0.762400663697494	0.00638293807713906	0.00324896053731143	0.0321912315529467	44	Pericytes	basement_membrane	0.00104761493429732	0.00548063494898909	0.401658863161494	0.0730926907309269	0.234566813588911	FALSE	10000	0.0669438414003644	57	-13	other
HGF	0.712361365819581	0.00630443946085369	0.00317046192102605	0.0217651015813666	45	Pericytes	basement_membrane	0.00100391935812547	0.00510488043794924	0.424406132373775	0.0793920607939206	0.234566813588911	FALSE	10000	0.0396026095167719	240	-195	other
ANG	0.743996157540827	0.0062990115648407	0.00316503402501307	0.0221050024845089	46	Pericytes	basement_membrane	0.001017651092907	0.00517421405934248	0.415016253188983	0.0751924807519248	0.234566813588911	FALSE	10000	0.0839745362064393	23	23	other
FN1	0.749847174919222	0.00626354061760958	0.00312956307778195	0.022399010545028	47	Pericytes	basement_membrane	0.0010422129381103	0.00567559695718271	0.367776315939774	0.0743925607439256	0.234566813588911	FALSE	10000	0.0956954831852978	15	32	collagen/ECM
LIN7C	0.759365994236311	0.00625563029527733	0.0031216527554497	0.0346066437461724	48	Pericytes	basement_membrane	0.0010486467714277	0.00549072984355859	0.37754652716231	0.0753924607539246	0.234566813588911	FALSE	10000	0.0603216052989669	92	-44	other
MYOC	0.707623788315432	0.00623751454582392	0.00310353700599629	0.0269565668566723	49	Pericytes	basement_membrane	0.000981911729486063	0.00512901405017406	0.413651679592927	0.075992400759924	0.234566813588911	FALSE	10000	0.0285326285545204	277	-228	other
LSAMP	0.677429918784387	0.00623696469371116	0.00310298715388353	0.0322981024543443	50	Pericytes	basement_membrane	0.0010368879675661	0.00535458508371673	0.385856075496948	0.0782921707829217	0.234566813588911	FALSE	10000	0.0507353487093647	183	-133	other
COL12A1	0.722076674526243	0.00618949483287527	0.00305551729304763	0.0267036526096328	51	Pericytes	basement_membrane	0.000991345572498452	0.00516482234802513	0.399659771712856	0.0735926407359264	0.234566813588911	FALSE	10000	0.0536618689253399	159	-108	other
BDNF	0.719827962623352	0.00618207581347295	0.00304809827364532	0.0248989861012245	52	Pericytes	basement_membrane	0.000977741554993098	0.00480666661684707	0.430726090175622	0.0811918808119188	0.234566813588911	FALSE	10000	0.0552522818571391	138	-86	other
TSPAN3	0.704807440398219	0.00616358133763787	0.00302960379781023	0.0346752756455517	53	Pericytes	basement_membrane	0.00102988444472285	0.00533570570366563	0.374780668977596	0.0810918908109189	0.234566813588911	FALSE	10000	0.0465451126243575	215	-162	other
LGALS3BP	0.730176403807528	0.00613750273665486	0.00300352519682723	0.0284525460849141	54	Pericytes	basement_membrane	0.00102170473001182	0.00540063846902151	0.36696040258634	0.0790920907909209	0.234566813588911	FALSE	10000	0.0747588252367856	30	24	other
SEMA4D	0.763230285564579	0.00611817900795155	0.00298420146812392	0.0315100258881928	55	Pericytes	basement_membrane	0.00103294559919169	0.00528625588229549	0.369118694285552	0.0825917408259174	0.234566813588911	FALSE	10000	0.0524016326788432	172	-117	other
NRG1	0.722622478386168	0.00609649051926565	0.00296251297943801	0.0138625616087958	56	Pericytes	basement_membrane	0.00105551938963635	0.00545480764193209	0.34959868706318	0.0868913108689131	0.234566813588911	FALSE	10000	0.0390466378412216	241	-185	other
ENG	0.709348528512795	0.00608758300655553	0.0029536054667279	0.0292770535050044	57	Pericytes	basement_membrane	0.00108396807825689	0.00575463345370138	0.324892524174317	0.0817918208179182	0.234566813588911	FALSE	10000	0.102339758308924	12	45	other
COL8A2	0.736289407038687	0.00607396702885324	0.00293998948902561	0.0230984693139556	58	Pericytes	basement_membrane	0.000972422617225758	0.00484784855496592	0.405863931080183	0.0805919408059194	0.234566813588911	FALSE	10000	0.0486825386949676	199	-141	other
EREG	0.753296655313947	0.00606568645038666	0.00293170891055903	0.0246496737167689	59	Pericytes	basement_membrane	0.00107350180289938	0.00556594812553806	0.333852753519872	0.0846915308469153	0.234566813588911	FALSE	10000	0.054752341930909	149	-90	other
IFITM1	0.678521526504238	0.00603607468517796	0.00290209714535033	0.0298904857875833	60	Pericytes	basement_membrane	0.0010128220838294	0.00525434630964793	0.359564244566802	0.0840915908409159	0.234566813588911	FALSE	10000	0.0360896047940984	253	-193	other
AGRN	0.74425814339359	0.00603335330774983	0.0028993757679222	0.0236380941989421	61	Pericytes	basement_membrane	0.00105276438660105	0.00554577954010665	0.332975980737533	0.0847915208479152	0.234566813588911	FALSE	10000	0.0516038079674511	178	-117	other
ANGPTL1	0.697842983145579	0.0060106498870796	0.00287667234725197	0.0308242378671462	62	Pericytes	basement_membrane	0.00103046404839605	0.00529222642740062	0.348852855066278	0.0856914308569143	0.234566813588911	FALSE	10000	0.0556534325264911	132	-70	other
EFEMP2	0.720919570343202	0.00597593433771636	0.00284195679788873	0.0324432794255875	63	Pericytes	basement_membrane	0.00102297734177154	0.00533208388127846	0.341138567325213	0.0877912208779122	0.234566813588911	FALSE	10000	0.0388992111737065	243	-180	other
BMP4	0.695616103397085	0.00596232565791099	0.00282834811808336	0.00914918330893014	64	Pericytes	basement_membrane	0.00100489836037161	0.00513325705090574	0.355222763954517	0.0877912208779122	0.234566813588911	FALSE	10000	0.08533396195016	22	42	other
IL1A	0.718998340756266	0.00595180895969108	0.00281783141986345	0.0140001005611653	65	Pericytes	basement_membrane	0.000971761933477261	0.00497600546185846	0.370994264483125	0.0866913308669133	0.234566813588911	FALSE	10000	0.057265742777395	114	-49	other
COL14A1	0.735743603178762	0.00594751739822174	0.00281353985839411	0.0306140715798536	66	Pericytes	basement_membrane	0.00102588947668685	0.00528297288442427	0.338379624657504	0.0867913208679132	0.234566813588911	FALSE	10000	0.0590825676184907	103	-37	other
LAMC1	0.733887870055018	0.00594555759041959	0.00281158005059196	0.0299629775391137	67	Pericytes	basement_membrane	0.000992702459084897	0.00499883364611642	0.363860396298673	0.0866913308669133	0.234566813588911	FALSE	10000	0.0633538568033651	68	-1	other
LUM	0.729827089337176	0.00594309302542337	0.00280911548559574	0.030424477352806	68	Pericytes	basement_membrane	0.00102524501990598	0.00528090438268355	0.337796395545277	0.0867913208679132	0.234566813588911	FALSE	10000	0.0628758606497369	72	-4	other
FCN1	0.737904986464065	0.00593884463611647	0.00280486709628884	0.0312313385747694	69	Pericytes	basement_membrane	0.0010263174822257	0.00527609031631082	0.337096127517913	0.0885911408859114	0.234566813588911	FALSE	10000	0.0668481788641164	58	11	other
COL5A2	0.717513754257271	0.00590826250572117	0.00277428496589353	0.0204829263975319	70	Pericytes	basement_membrane	0.00104119471474255	0.00532890892784923	0.325224220307789	0.0872912708729127	0.234566813588911	FALSE	10000	0.0452583138251233	220	-150	other
VEGFA	0.702209414024977	0.00590195667682513	0.00276797913699749	0.0124427156537425	71	Pericytes	basement_membrane	0.00104776599062105	0.00545912903482556	0.315107617973973	0.0926907309269073	0.234566813588911	FALSE	10000	0.0490092028460803	198	-127	other
GPC6	0.643437254388266	0.00588782179725646	0.00275384425742883	0.0282283369964784	72	Pericytes	basement_membrane	0.00101862491758641	0.00528915960298077	0.328070897853889	0.0902909709029097	0.234566813588911	FALSE	10000	0.059515379167645	96	-24	other
NID1	0.689655925246704	0.00587657745154662	0.00274259991171899	0.0285894209145117	73	Pericytes	basement_membrane	0.00104453832806655	0.00529788755874341	0.320516727624774	0.0924907509249075	0.234566813588911	FALSE	10000	0.0428336575416193	229	-156	other
SLIT3	0.717797572264432	0.00586379613442505	0.00272981859459741	0.0280966207038756	74	Pericytes	basement_membrane	0.00111545622026134	0.00607643210635328	0.265676032592902	0.0913908609139086	0.234566813588911	FALSE	10000	0.0512129787591667	180	-106	other
FGG	0.740262859138941	0.00583502068831295	0.00270104314848531	0.0311894323726946	75	Pericytes	basement_membrane	0.0010270819821455	0.00528065019205165	0.31699906364929	0.0935906409359064	0.234566813588911	FALSE	10000	0.061500726757183	80	-5	other
LAMA4	0.731246179372982	0.0058273941495871	0.00269341660975947	0.0300212580188399	76	Pericytes	basement_membrane	0.00102935475526659	0.00532929591422994	0.312247974455615	0.0925907409259074	0.234566813588911	FALSE	10000	0.0527076476829295	169	-93	other
SCGB3A1	0.673238145140164	0.00582353331330816	0.00268955577348053	0.0276142445196473	77	Pericytes	basement_membrane	0.00108497814467847	0.00570310718024642	0.281351477026375	0.092990700929907	0.234566813588911	FALSE	10000	0.0222382494300523	301	-224	other
CD99	0.725766308619335	0.00579585640989027	0.00266187887006264	0.017246136572933	78	Pericytes	basement_membrane	0.00107863632701899	0.00556882561981474	0.284304564576457	0.0971902809719028	0.234566813588911	FALSE	10000	0.0532822455860248	164	-86	other
SEMA3C	0.700615666753997	0.00579436368839695	0.00266038614856932	0.0312069073065871	79	Pericytes	basement_membrane	0.00103187341811702	0.00537201441657873	0.303147498157581	0.0944905509449055	0.234566813588911	FALSE	10000	0.0390277295924562	242	-163	other
NECTIN3	0.691315168980876	0.00578823339291631	0.00265425585308868	0.0103948955264784	80	Pericytes	basement_membrane	0.0010149904848182	0.00517958132623789	0.316486075808203	0.0933906609339066	0.234566813588911	FALSE	10000	0.0317279566620855	265	-185	other
VWF	0.737228189677757	0.0057815192043587	0.00264754166453106	0.0214884701890163	81	Pericytes	basement_membrane	0.00106920116965397	0.00569054111918515	0.277362110530378	0.0958904109589041	0.234566813588911	FALSE	10000	0.0618652031070882	78	3	other
COL24A1	0.738014147236049	0.00577872455748372	0.00264474701765609	0.0298986864579998	82	Pericytes	basement_membrane	0.00102839767359616	0.00527437451706602	0.306453274948525	0.0945905409459054	0.234566813588911	FALSE	10000	0.056811065936329	121	-39	other
COL27A1	0.719325823072222	0.00577756552483314	0.00264358798500551	0.0299123859047634	83	Pericytes	basement_membrane	0.00102607945051724	0.0052903662426655	0.305746041066772	0.0950904909509049	0.234566813588911	FALSE	10000	0.0588322970624378	107	-24	other
PSAP	0.739062090647105	0.0057702339864728	0.00263625644664517	0.023410368349933	84	Pericytes	basement_membrane	0.00110273948349778	0.00579139419282915	0.264792364685896	0.0985901409859014	0.234566813588911	FALSE	10000	0.0703579584653636	39	45	other
NRG3	0.737009868133787	0.00575816236451989	0.00262418482469226	0.0293222187755703	85	Pericytes	basement_membrane	0.00103746839238961	0.0052937620286954	0.299733237667595	0.0983901609839016	0.234566813588911	FALSE	10000	0.0591778079153749	100	-15	other
NAMPT	0.718452536896342	0.00573931620526911	0.00260533866544148	0.0228829613674737	86	Pericytes	basement_membrane	0.000981113625130793	0.00512522922754987	0.316907784646961	0.0940905909409059	0.234566813588911	FALSE	10000	0.0950738842539528	17	69	other
NFASC	0.724893022443455	0.00571520154781272	0.00258122400798509	0.0282871311266602	87	Pericytes	basement_membrane	0.00102608947805507	0.00529744800253637	0.293562962616233	0.0990900909909009	0.234566813588911	FALSE	10000	0.0517092780616769	177	-90	other
ANXA1	0.720482927255262	0.00571384107679165	0.00257986353696402	0.0277809480997506	88	Pericytes	basement_membrane	0.00103053085135392	0.00527873122952986	0.293504749198621	0.0999900009999	0.234566813588911	FALSE	10000	0.0692701373182946	41	47	other
COL4A4	0.725613483538556	0.00571325658753742	0.00257927904770979	0.023987571952282	89	Pericytes	basement_membrane	0.00102220774658921	0.00517496022094037	0.300885656051987	0.0990900909909009	0.234566813588911	FALSE	10000	0.0537691180920635	157	-68	other
HAS1	0.722556981922977	0.00571275739008726	0.00257877985025963	0.0290575733543998	90	Pericytes	basement_membrane	0.00106090874627606	0.00549216441041075	0.276370296035994	0.0974902509749025	0.234566813588911	FALSE	10000	0.0542495671039834	154	-64	other
COL16A1	0.725373329840189	0.00570488085604708	0.00257090331621945	0.0192000182221509	91	Pericytes	basement_membrane	0.00104989146021579	0.00549733352287826	0.27668174937425	0.0952904709529047	0.234566813588911	FALSE	10000	0.0448943729877254	221	-130	other
OCLN	0.715570692515938	0.00569386667183276	0.00255988913200513	0.0322340312524596	92	Pericytes	basement_membrane	0.00102499811795589	0.00534940009780168	0.286927690205861	0.1002899710029	0.234566813588911	FALSE	10000	0.0732563409883554	33	59	other
COL6A1	0.707470963234653	0.00569003522805558	0.00255605768822795	0.0225918748927881	93	Pericytes	basement_membrane	0.00103064885489693	0.00516802116994255	0.295163038844126	0.101789821017898	0.234566813588911	FALSE	10000	0.0499118020957253	192	-99	collagen/ECM
PCSK9	0.705789887346085	0.0056821178201379	0.00254814028031026	0.0205511212497026	94	Pericytes	basement_membrane	0.00101228042519104	0.0049910973434219	0.307719875899323	0.100889911008899	0.234566813588911	FALSE	10000	0.0413763562821638	235	-141	other
FBLN1	0.625687712863506	0.00567979883794605	0.00254582129811842	0.0216399609507333	95	Pericytes	basement_membrane	0.00102204047833609	0.00533774074548389	0.285472991746847	0.0970902909709029	0.234566813588911	FALSE	10000	0.0411186719936423	236	-141	other
FLRT3	0.699524059034147	0.00567623602951214	0.00254225848968451	0.0272079550712647	96	Pericytes	basement_membrane	0.000958114227762814	0.00475896996437714	0.332875448632723	0.100589941005899	0.234566813588911	FALSE	10000	0.0467613426550277	213	-117	other
SLITRK6	0.744978604488691	0.00566959511232335	0.00253561757249571	0.0275560357332386	97	Pericytes	basement_membrane	0.001049281613329	0.00548257455500852	0.271101823468847	0.101189881011899	0.234566813588911	FALSE	10000	0.0517236296455495	176	-79	other
CNTN6	0.710702122085409	0.00566877446798127	0.00253479692815364	0.02911666643449	98	Pericytes	basement_membrane	0.0010279741835219	0.00532019384010262	0.283227038322098	0.0995900409959004	0.234566813588911	FALSE	10000	0.0528883555478525	168	-70	other
LAMB2	0.725940965854512	0.0056486287850416	0.00251465124521397	0.029270375126204	99	Pericytes	basement_membrane	0.00102657582778936	0.00529410752147233	0.281081449779615	0.103189681031897	0.234566813588911	FALSE	10000	0.0465317535048915	216	-117	other
COL3A1	0.726006462317701	0.00564563813144128	0.00251166059161365	0.0312143654775703	100	Pericytes	basement_membrane	0.00102160191521812	0.00531429671884989	0.280386804731899	0.101789821017898	0.234566813588911	FALSE	10000	0.0676191534595755	47	53	collagen/ECM
ANGPT2	0.702493232032139	0.00564319059684316	0.00250921305701553	0.0133513469093269	101	Pericytes	basement_membrane	0.00105802218745864	0.00555203394246949	0.261380042808495	0.101789821017898	0.234566813588911	FALSE	10000	0.0353190343029008	257	-156	other
CDCP1	0.716225657147848	0.0056425609507102	0.00250858341088257	0.0269204983814567	102	Pericytes	basement_membrane	0.00103162554274514	0.00529341153649065	0.279018145095251	0.103589641035896	0.234566813588911	FALSE	10000	0.063811104351039	66	36	other
COL6A6	0.730896864902629	0.00563771935473659	0.00250374181490896	0.02776125233794	103	Pericytes	basement_membrane	0.00102608075371883	0.00528291336303397	0.279705715321726	0.101189881011899	0.234566813588911	FALSE	10000	0.0590605180825311	104	-1	other
C1QA	0.712907169679504	0.00563256948272649	0.00249859194289886	0.0275433406954279	104	Pericytes	basement_membrane	0.00104237885765804	0.00537754720676388	0.270795035217765	0.101489851014899	0.234566813588911	FALSE	10000	0.0525025644283432	171	-67	other
ADAM28	0.660248013273951	0.00563227405985921	0.00249829652003158	0.0271992856135118	105	Pericytes	basement_membrane	0.00105160758987731	0.00549018795820199	0.263504444869325	0.105089491050895	0.234566813588911	FALSE	10000	0.0378003003685151	248	-143	other
MIF	0.635948825430094	0.00563084358717312	0.00249686604734549	0.0182317880877962	106	Pericytes	basement_membrane	0.00106992592829893	0.0058409040129133	0.244301244446378	0.102689731026897	0.234566813588911	FALSE	10000	0.0243371674038612	289	-183	other
PROS1	0.731093354292202	0.00562755169605996	0.00249357415623232	0.0223066499050093	107	Pericytes	basement_membrane	0.00102633789717444	0.0052711154264923	0.278354037113976	0.104289571042896	0.234566813588911	FALSE	10000	0.0590384681125196	105	2	other
COL4A1	0.722840799930138	0.00562577598413335	0.00249179844430572	0.0173645601733452	108	Pericytes	basement_membrane	0.00101321429328499	0.00524937047834019	0.28166885098349	0.100989901009899	0.234566813588911	FALSE	10000	0.121277247355698	7	101	collagen/ECM
PRG4	0.701641778010655	0.00561367067056032	0.00247969313073269	0.0285910167951524	109	Pericytes	basement_membrane	0.00104506298451721	0.00548743871206017	0.261438937452273	0.102689731026897	0.234566813588911	FALSE	10000	0.0544922996034312	151	-42	other
RGMA	0.718845515675488	0.00561219941111974	0.0024782218712921	0.026734115404874	110	Pericytes	basement_membrane	0.00101675178524117	0.00528367623575521	0.276600991590099	0.102889711028897	0.234566813588911	FALSE	10000	0.0559013999891718	129	-19	other
GDF10	0.689634093092308	0.0056072312816742	0.00247325374184657	0.0218431367418747	111	Pericytes	basement_membrane	0.00102209474494769	0.0052350314938082	0.277201579133813	0.105289471052895	0.234566813588911	FALSE	10000	0.0554047486753429	137	-26	other
MFNG	0.672321194655491	0.00560423530876941	0.00247025776894178	0.0275450525974704	112	Pericytes	basement_membrane	0.00107892385853648	0.00569842154066427	0.244161282291361	0.107689231076892	0.234566813588911	FALSE	10000	0.0326423255282478	262	-150	other
