term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	n_donors	min_cells	arm	n_studies	study_sd	singular	p_excl_small_groups	small_groups	estimable	n_donors_group	model	block	analysis_role	response	disease_group	emmean	SE	df	lower.CL	upper.CL	contrast	estimate	t.ratio	p.value	Estimate	Std. Error	t value	Pr(>|t|)
sex	0.305606594929119	0.15280329746456	2	53.7501949449649	0.950166280578485	0.393074762811385	69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	anova	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1														
							69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	emmeans	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1	Healthy	-0.132768136624764	0.153696320354944	18.1594817844753	-0.455468972227684	0.189932698978157								
							69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	emmeans	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1	Fibrotic_ILD	0.527698764770825	0.186393631344209	30.0448391678747	0.147056006940058	0.908341522601593								
							69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	emmeans	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1	Other	0.19020541384954	0.231584176552113	12.5170385602959	-0.31207119675886	0.69248202445794								
							69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	posthoc	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1			0.209711587705816	60.746994640362			Healthy - Fibrotic_ILD	-0.660466901395589	-3.14940585124983	0.00761302745132018				
							69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	posthoc	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1			0.286235341779683	14.5441862592756			Healthy - Other	-0.322973550474304	-1.12834965964091	0.27744174091779				
							69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	posthoc	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1			0.289955807965395	15.9645599430809			Fibrotic_ILD - Other	0.337493350921285	1.16394754528098	0.27744174091779				
(Intercept)							69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1											-0.0465043361459945	0.149863032994597	-0.310312257911337	0.757331801325255
disease_groupFibrotic_ILD							69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1											0.821782183160074	0.227573633970907	3.61106059968762	0.000599623780065187
disease_groupOther							69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1											0.146113232513936	0.220125421949165	0.663772640252694	0.509220008151969
sexmale							69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1											-0.00171989334848853	0.18417258300098	-0.0093384874147059	0.992578122282817
sexunknown							69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1											-0.454634844762188	0.243964073861339	-1.86353194372622	0.0669764791504331
