target	ligand	regulatory_potential	ligand_rank	aupr_corrected	perm_z	perm_p_BH	target_class	shown_in_figure_heatmap	rank_target_within_ligand	rank_ligand_within_target
COL4A2	WIF1	0.00676090230667867	189	0.00219414727919868	0.167859074715542	0.188833400923867	collagen-associated	FALSE	5	47
LAMB1	WIF1	0.00584277523046425	189	0.00219414727919868	0.167859074715542	0.188833400923867	laminin	FALSE	6	43
NID1	WIF1	0.00529649360852726	189	0.00219414727919868	0.167859074715542	0.188833400923867	linker/proteoglycan	FALSE	7	115
COL4A1	WIF1	0.00488234038726888	189	0.00219414727919868	0.167859074715542	0.188833400923867	collagen-associated	FALSE	8	128
LAMB2	WIF1	0.00468937061308323	189	0.00219414727919868	0.167859074715542	0.188833400923867	laminin	FALSE	9	54
HSPG2	WIF1	0.00459876049858433	189	0.00219414727919868	0.167859074715542	0.188833400923867	linker/proteoglycan	FALSE	10	104
LAMC1	NRXN3	0.00409336835872426	190	0.00219129858006552	0.178153810752042	0.188833400923867	laminin	FALSE	1	303
COL18A1	NRXN3	0.00403663735632083	190	0.00219129858006552	0.178153810752042	0.188833400923867	collagen-associated	FALSE	2	309
NID2	NRXN3	0.00363801148189878	190	0.00219129858006552	0.178153810752042	0.188833400923867	linker/proteoglycan	FALSE	3	303
NID1	NRXN3	0.0034490219076756	190	0.00219129858006552	0.178153810752042	0.188833400923867	linker/proteoglycan	FALSE	4	292
COL4A2	NRXN3	0.00341943367114021	190	0.00219129858006552	0.178153810752042	0.188833400923867	collagen-associated	FALSE	5	302
COL4A1	NRXN3	0.0033100781555898	190	0.00219129858006552	0.178153810752042	0.188833400923867	collagen-associated	FALSE	6	295
LAMA4	NRXN3	0.00282698621996396	190	0.00219129858006552	0.178153810752042	0.188833400923867	laminin	FALSE	7	316
LAMB1	NRXN3	0.00276262550459042	190	0.00219129858006552	0.178153810752042	0.188833400923867	laminin	FALSE	8	295
HSPG2	NRXN3	0.00263536285764751	190	0.00219129858006552	0.178153810752042	0.188833400923867	linker/proteoglycan	FALSE	9	311
LAMB2	NRXN3	0.0025488238722137	190	0.00219129858006552	0.178153810752042	0.188833400923867	laminin	FALSE	10	279
LAMC1	FGF18	0.00526602781747388	191	0.00219128118000165	0.270599144462627	0.188833400923867	laminin	FALSE	1	208
NID2	FGF18	0.00517345994765256	191	0.00219128118000165	0.270599144462627	0.188833400923867	linker/proteoglycan	FALSE	2	157
COL18A1	FGF18	0.00437545150313337	191	0.00219128118000165	0.270599144462627	0.188833400923867	collagen-associated	FALSE	3	290
COL4A2	FGF18	0.00432118012255971	191	0.00219128118000165	0.270599144462627	0.188833400923867	collagen-associated	FALSE	4	193
NID1	FGF18	0.00413477491252384	191	0.00219128118000165	0.270599144462627	0.188833400923867	linker/proteoglycan	FALSE	5	214
LAMA4	FGF18	0.00400318164022471	191	0.00219128118000165	0.270599144462627	0.188833400923867	laminin	FALSE	6	190
COL4A1	FGF18	0.00376719366820854	191	0.00219128118000165	0.270599144462627	0.188833400923867	collagen-associated	FALSE	7	248
LAMB1	FGF18	0.00364871066754623	191	0.00219128118000165	0.270599144462627	0.188833400923867	laminin	FALSE	8	181
LAMB2	FGF18	0.00347517056782106	191	0.00219128118000165	0.270599144462627	0.188833400923867	laminin	FALSE	9	144
HSPG2	FGF18	0.00343769627481909	191	0.00219128118000165	0.270599144462627	0.188833400923867	linker/proteoglycan	FALSE	10	214
LAMC1	SIGLEC5	0.00507482873373316	192	0.0021524015165293	0.172007134030646	0.188833400923867	laminin	FALSE	1	223
COL18A1	SIGLEC5	0.00452932321395977	192	0.0021524015165293	0.172007134030646	0.188833400923867	collagen-associated	FALSE	2	270
NID2	SIGLEC5	0.00427791266797041	192	0.0021524015165293	0.172007134030646	0.188833400923867	linker/proteoglycan	FALSE	3	259
NID1	SIGLEC5	0.00365454237731086	192	0.0021524015165293	0.172007134030646	0.188833400923867	linker/proteoglycan	FALSE	4	269
COL4A1	SIGLEC5	0.00359930112276281	192	0.0021524015165293	0.172007134030646	0.188833400923867	collagen-associated	FALSE	5	265
COL4A2	SIGLEC5	0.00343830755532213	192	0.0021524015165293	0.172007134030646	0.188833400923867	collagen-associated	FALSE	6	300
LAMA4	SIGLEC5	0.00330286514664895	192	0.0021524015165293	0.172007134030646	0.188833400923867	laminin	FALSE	7	283
HSPG2	SIGLEC5	0.00277307141549962	192	0.0021524015165293	0.172007134030646	0.188833400923867	linker/proteoglycan	FALSE	8	300
LAMB1	SIGLEC5	0.00252782303718675	192	0.0021524015165293	0.172007134030646	0.188833400923867	laminin	FALSE	9	313
LAMB2	SIGLEC5	0.00231276368082073	192	0.0021524015165293	0.172007134030646	0.188833400923867	laminin	FALSE	10	305
COL18A1	FAM3C	0.00360773572789873	193	0.00214969174262655	0.153760325674295	0.188833400923867	collagen-associated	FALSE	1	318
LAMC1	FAM3C	0.00331073251195224	193	0.00214969174262655	0.153760325674295	0.188833400923867	laminin	FALSE	2	318
NID1	FAM3C	0.00311452537240449	193	0.00214969174262655	0.153760325674295	0.188833400923867	linker/proteoglycan	FALSE	3	314
NID2	FAM3C	0.00291818593427093	193	0.00214969174262655	0.153760325674295	0.188833400923867	linker/proteoglycan	FALSE	4	318
COL4A2	FAM3C	0.00290678880304282	193	0.00214969174262655	0.153760325674295	0.188833400923867	collagen-associated	FALSE	5	318
COL4A1	FAM3C	0.00273621319363805	193	0.00214969174262655	0.153760325674295	0.188833400923867	collagen-associated	FALSE	6	318
LAMA4	FAM3C	0.0025865646990926	193	0.00214969174262655	0.153760325674295	0.188833400923867	laminin	FALSE	7	319
HSPG2	FAM3C	0.00237520500875216	193	0.00214969174262655	0.153760325674295	0.188833400923867	linker/proteoglycan	FALSE	8	319
LAMB1	FAM3C	0.00226156523450417	193	0.00214969174262655	0.153760325674295	0.188833400923867	laminin	FALSE	9	319
LAMB2	FAM3C	0.00204313175698405	193	0.00214969174262655	0.153760325674295	0.188833400923867	laminin	FALSE	10	318
COL18A1	RSPO3	0.00934272563517132	194	0.00213603724706453	0.182764519630865	0.188833400923867	collagen-associated	FALSE	1	42
HSPG2	RSPO3	0.00775090325691871	194	0.00213603724706453	0.182764519630865	0.188833400923867	linker/proteoglycan	FALSE	2	17
COL4A2	RSPO3	0.00760243780171666	194	0.00213603724706453	0.182764519630865	0.188833400923867	collagen-associated	FALSE	3	23
NID1	RSPO3	0.00605814488513498	194	0.00213603724706453	0.182764519630865	0.188833400923867	linker/proteoglycan	FALSE	4	76
LAMC1	RSPO3	0.00592743547032135	194	0.00213603724706453	0.182764519630865	0.188833400923867	laminin	FALSE	5	148
LAMB1	RSPO3	0.00581166112806112	194	0.00213603724706453	0.182764519630865	0.188833400923867	laminin	FALSE	6	44
NID2	RSPO3	0.00497794018661589	194	0.00213603724706453	0.182764519630865	0.188833400923867	linker/proteoglycan	FALSE	7	179
