level	n_donors	arm	model	Df	F.value	Pr..F.	p_excl_small_groups	small_groups	p_BH	min_cells	analysis_role	block	disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	estimable	contrast	estimate	t.ratio	p_BH_within_level	touches_small_group	adjustment
4	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Other	0.0238906211188655	0.00813679328528042	8.39479784678215	0.00527963611684175	0.0425016061208893	22	TRUE						
5	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Healthy	0.0128216446138556	0.00428121746343283	20.2139199709086	0.00389723634175472	0.0217460528859565	42	TRUE						
5	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	COPD	0.0944689437076029	0.0175886946153521	81.553655560684	0.0594765598091258	0.12946132760608	1	FALSE						
5	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Fibrotic_ILD	0.00614292194303819	0.00562511936610976	27.6271564597708	-0.00538662246248479	0.0176724663485612	24	TRUE						
5	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Other	0.0138606988330223	0.00675546580155755	13.5253654583834	-0.000676180937090064	0.0283975786031347	22	TRUE						
0	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Healthy	0.488397953634223	0.103328493763695	17.1449668367427	0.270534219133511	0.706261688134935	32	TRUE						
0	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Fibrotic_ILD	0.522868738901691	0.107656221044121	20.1812096485573	0.298430993744871	0.747306484058511	17	TRUE						
0	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Other	0.452119366046094	0.177980928515452	14.7120513084208	0.0721142855425075	0.83212444654968	20	TRUE						
1	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Healthy	0.356118917755194	0.106737851247912	17.630071813992	0.131533260446372	0.580704575064017	32	TRUE						
1	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Fibrotic_ILD	0.271941403153713	0.112737232611581	21.8257480752411	0.0380304194556305	0.505852386851796	17	TRUE						
1	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Other	0.306589774038324	0.18128448948819	14.580955282214	-0.0807784143483779	0.693957962425026	20	TRUE						
2	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Healthy	0.0933988751982744	0.0265942121216395	16.4656304177908	0.0371509589054922	0.149646791491057	32	TRUE						
2	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Fibrotic_ILD	0.134097480624044	0.034563916034399	27.5172770513539	0.0632405105433407	0.204954450704746	17	TRUE						
2	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Other	0.156763973860495	0.0377774729047689	10.6855423033018	0.073316803161457	0.240211144559534	20	TRUE						
3	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Healthy	0.0510780943026399	0.0165794122264143	18.0342896825401	0.0162507883452111	0.0859054002600687	32	TRUE						
3	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Fibrotic_ILD	0.067329188651274	0.0202560172653297	29.9688686570216	0.0259590804284143	0.108699296874134	17	TRUE						
3	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Other	0.0389750361544848	0.0248323065705351	12.3624784014221	-0.0149544877660093	0.0929045600749789	20	TRUE						
4	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Healthy	0.0158928938220805	0.00517143524799457	12.5535856638355	0.00468016661864946	0.0271056210255115	32	TRUE						
4	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Fibrotic_ILD	0.0280264063844557	0.00724968885484729	22.7789685675469	0.0130212259829593	0.043031586785952	17	TRUE						
4	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Other	0.025665382653458	0.00679430504058783	5.82390196610565	0.00891769906428347	0.0424130662426325	20	TRUE						
5	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Healthy	0.0156166643707409	0.00566354064684259	18.5059413090857	0.00374128170681021	0.0274920470346715	32	TRUE						
5	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Fibrotic_ILD	0.0130208407844323	0.00668760048067656	29.8818748989264	-0.000639325858071993	0.0266810074269365	17	TRUE						
5	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Other	0.0114213347425512	0.00871840341140882	13.0253706894029	-0.00740990210115617	0.0302525715862586	20	TRUE						
0			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.144243186305413	69.1689055158042	-0.0564215406901557	0.519067954862197			Healthy - COPD	0.231323207086021	1.60370283693144	0.278376483839316	TRUE	BH within level (applied by emmeans::pairs)
0			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0651979031643417	77.8433809493118	-0.164089342432204	0.0955169934864137			Healthy - Fibrotic_ILD	-0.0342861744728952	-0.525878483951722	0.799562603011936	FALSE	BH within level (applied by emmeans::pairs)
0			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.136805458852971	67.8277198753112	-0.332256716339922	0.2137504806318			Healthy - Other	-0.0592531178540609	-0.433119543261369	0.799562603011936	FALSE	BH within level (applied by emmeans::pairs)
0			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.128690922851439	66.5688839077759	-0.522508121163894	-0.00871064195393761			COPD - Fibrotic_ILD	-0.265609381558916	-2.06393252665951	0.257552753481062	TRUE	BH within level (applied by emmeans::pairs)
0			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.194598321997765	82.6838029728747	-0.677646451527233	0.0964938016470697			COPD - Other	-0.290576324940082	-1.49321084558694	0.278376483839316	TRUE	BH within level (applied by emmeans::pairs)
0			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.146435630655123	66.1187139252274	-0.317325315435189	0.267391428672857			Fibrotic_ILD - Other	-0.0249669433811657	-0.170497735212863	0.865139373417507	FALSE	BH within level (applied by emmeans::pairs)
1			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.154926580727502	69.2724798539431	-0.588155027409056	0.0299417424913757			Healthy - COPD	-0.27910664245884	-1.80154135686862	0.227907652151418	TRUE	BH within level (applied by emmeans::pairs)
1			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0699388658078182	78.1504984272169	-0.0969111984801907	0.181555526876991			Healthy - Fibrotic_ILD	0.0423221641984002	0.60513083404434	0.820267887001357	FALSE	BH within level (applied by emmeans::pairs)
1			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.145895818512786	66.5222828803198	-0.295600072778074	0.286895364892285			Healthy - Other	-0.00435235394289461	-0.0298319306698512	0.976290414343146	FALSE	BH within level (applied by emmeans::pairs)
1			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.138267841119538	66.5954403096019	0.0454142188621471	0.597443394452334			COPD - Fibrotic_ILD	0.32142880665724	2.32468232710274	0.138881079707318	TRUE	BH within level (applied by emmeans::pairs)
1			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.208158601716716	82.5683688923048	-0.139296808385338	0.688805385417229			COPD - Other	0.274754288515946	1.31992762369657	0.381013944969517	TRUE	BH within level (applied by emmeans::pairs)
1			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.156122639646298	64.7576715318621	-0.358495080864396	0.265146044581806			Fibrotic_ILD - Other	-0.0466745181412949	-0.298960600762565	0.919112918505562	FALSE	BH within level (applied by emmeans::pairs)
2			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.115069587312169	80.9621486141772	-0.236742712467835	0.221165301091584			Healthy - COPD	-0.00778870568812552	-0.0676869177169788	0.946201745652401	TRUE	BH within level (applied by emmeans::pairs)
2			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0419300163187269	55.3570249598025	-0.105559287948473	0.0624756135316003			Healthy - Fibrotic_ILD	-0.0215418372084364	-0.513756947879254	0.946201745652401	FALSE	BH within level (applied by emmeans::pairs)
2			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0508234877364335	17.5447998370783	-0.154158804773071	0.0597914086054374			Healthy - Other	-0.0471836980838167	-0.928383709683751	0.946201745652401	FALSE	BH within level (applied by emmeans::pairs)
2			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.107780774687514	73.9419986326436	-0.228513812159508	0.201007549118886			COPD - Fibrotic_ILD	-0.0137531315203109	-0.127602826758158	0.946201745652401	TRUE	BH within level (applied by emmeans::pairs)
2			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.118387295378274	80.2309125253706	-0.274982809414999	0.196192824623617			COPD - Other	-0.0393949923956912	-0.332763682706115	0.946201745652401	TRUE	BH within level (applied by emmeans::pairs)
2			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0533835589775018	15.6753586675663	-0.139000732059911	0.0877170103091506			Fibrotic_ILD - Other	-0.0256418608753803	-0.480332547445683	0.946201745652401	FALSE	BH within level (applied by emmeans::pairs)
3			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0579481074467709	77.2749823337151	0.0423670931781699	0.273132835558051			Healthy - COPD	0.15774996436811	2.72226257799729	0.0240294428825126	TRUE	BH within level (applied by emmeans::pairs)
3			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0229812397107541	71.3899022814261	-0.0539851569009386	0.0376527509413279			Healthy - Fibrotic_ILD	-0.00816620297980538	-0.355342143530402	0.868057248569076	FALSE	BH within level (applied by emmeans::pairs)
3			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0321926776730289	22.3446934133797	-0.062242143961813	0.0711655848935852			Healthy - Other	0.0044617204658861	0.138594263925555	0.891012260185984	FALSE	BH within level (applied by emmeans::pairs)
3			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0533156882235595	70.2727914488415	-0.272243697961293	-0.0595886367345387			COPD - Fibrotic_ILD	-0.165916167347916	-3.11195771593922	0.0161195894795551	TRUE	BH within level (applied by emmeans::pairs)
3			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0625761806173356	79.324108737507	-0.27783510326373	-0.0287413845407188			COPD - Other	-0.153288243902224	-2.44962607800577	0.0330071758013722	TRUE	BH within level (applied by emmeans::pairs)
3			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.03393592644779	21.3508500569158	-0.0578751512492848	0.0831309981406678			Fibrotic_ILD - Other	0.0126279234456915	0.372110761882967	0.868057248569076	FALSE	BH within level (applied by emmeans::pairs)
4			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0334686435221759	81.0947595021983	-0.154012193085133	-0.0208303476680391			Healthy - COPD	-0.0874212703765859	-2.61203506257019	0.0359163792155787	TRUE	BH within level (applied by emmeans::pairs)
4			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0103399840222668	39.4695141098948	-0.0299335440880497	0.0118797362233164			Healthy - Fibrotic_ILD	-0.00902690393236665	-0.873009466255225	0.581907563959916	FALSE	BH within level (applied by emmeans::pairs)
4			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0105244942401416	13.3163436500565	-0.0269648392275271	0.0183991664613568			Healthy - Other	-0.00428283638308513	-0.406939876193757	0.690517481701937	FALSE	BH within level (applied by emmeans::pairs)
4			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0324657255045646	82.577332193471	0.0138164558842537	0.142972277004185			COPD - Fibrotic_ILD	0.0783943664442193	2.41468087424066	0.0359163792155787	TRUE	BH within level (applied by emmeans::pairs)
4			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.033024233001865	75.2317556339556	0.0173541099409606	0.148922758046041			COPD - Other	0.0831384339935008	2.51749780195669	0.0359163792155787	TRUE	BH within level (applied by emmeans::pairs)
4			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0106436064446877	7.11745212278201	-0.0203401129245723	0.0298282480231354			Fibrotic_ILD - Other	0.00474406754928152	0.445719932800534	0.690517481701937	FALSE	BH within level (applied by emmeans::pairs)
5			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0181421402441262	80.7031208941624	-0.1177464805155	-0.045548117671995			Healthy - COPD	-0.0816472990937473	-4.50042266210471	6.76342393831508e-05	TRUE	BH within level (applied by emmeans::pairs)
5			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.00665696159106716	56.5243735828516	-0.00665404437298559	0.0200114897146204			Healthy - Fibrotic_ILD	0.00667872267081741	1.00326892073096	0.457009985607682	FALSE	BH within level (applied by emmeans::pairs)
5			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.00815031847588936	17.8115640900394	-0.0181752321512378	0.0160971237129044			Healthy - Other	-0.0010390542191667	-0.127486333477701	0.899983765672525	FALSE	BH within level (applied by emmeans::pairs)
5			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0169686364342482	73.5969167864594	0.0545121984582765	0.122139845070853			COPD - Fibrotic_ILD	0.0883260217645647	5.20525158911968	1.01463081304857e-05	TRUE	BH within level (applied by emmeans::pairs)
5			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0187186634151901	80.225915192297	0.043358527815812	0.117857961933349			COPD - Other	0.0806082448745806	4.30630345162183	9.32289444984297e-05	TRUE	BH within level (applied by emmeans::pairs)
5			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.00856467880037007	16.0595160547529	-0.025868617828368	0.0104330640483998			Fibrotic_ILD - Other	-0.00771777688998411	-0.901116909328887	0.457009985607682	FALSE	BH within level (applied by emmeans::pairs)
0			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.0697118310482418	56.187139866861	-0.174110100444105	0.105168529909169			Healthy - Fibrotic_ILD	-0.0344707852674681	-0.494475396057431	0.863706191482842	FALSE	BH within level (applied by emmeans::pairs)
0			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.207917210130552	15.7551747199234	-0.405043516811074	0.477600691987332			Healthy - Other	0.0362785875881291	0.174485736728334	0.863706191482842	FALSE	BH within level (applied by emmeans::pairs)
0			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.206554385783839	15.5964070781148	-0.368049076197002	0.509547821908196			Fibrotic_ILD - Other	0.0707493728555972	0.342521765331272	0.863706191482842	FALSE	BH within level (applied by emmeans::pairs)
1			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.0823717030188107	58.1791754708074	-0.0806965525198246	0.249051581722786			Healthy - Fibrotic_ILD	0.0841775146014809	1.02192271758977	0.871974738666066	FALSE	BH within level (applied by emmeans::pairs)
1			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.213151355174648	15.8501050023149	-0.402679092121638	0.501737379555379			Healthy - Other	0.0495291437168704	0.232366074690391	0.871974738666066	FALSE	BH within level (applied by emmeans::pairs)
1			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.21153876643192	15.776802767182	-0.483606685293558	0.414309943524338			Fibrotic_ILD - Other	-0.0346483708846105	-0.16379206265137	0.871974738666066	FALSE	BH within level (applied by emmeans::pairs)
2			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.0423006130188397	48.7308056558843	-0.125716749333861	0.0443195384823229			Healthy - Fibrotic_ILD	-0.0406986054257691	-0.962128028916341	0.511103075688497	FALSE	BH within level (applied by emmeans::pairs)
2			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.0478178837530867	13.2397785308104	-0.166479496349327	0.0397492990248852			Healthy - Other	-0.063365098662221	-1.32513389738061	0.511103075688497	FALSE	BH within level (applied by emmeans::pairs)
2			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.0495682706268535	13.3465990926795	-0.129470228163873	0.0841372416909692			Fibrotic_ILD - Other	-0.0226664932364519	-0.457278273980621	0.654825601443464	FALSE	BH within level (applied by emmeans::pairs)
3			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.0230284928133328	59.8510870449628	-0.0623172957597246	0.0298151070624564			Healthy - Fibrotic_ILD	-0.0162510943486341	-0.705695091744137	0.699755789999027	FALSE	BH within level (applied by emmeans::pairs)
3			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.030762642886408	14.4179561879248	-0.0536972617098295	0.0779033780061397			Healthy - Other	0.0121030581481551	0.393433626390491	0.699755789999027	FALSE	BH within level (applied by emmeans::pairs)
3			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.0312354748499916	15.8227572676571	-0.0379224304343005	0.0946307354278789			Fibrotic_ILD - Other	0.0283541524967892	0.9077548086898	0.699755789999027	FALSE	BH within level (applied by emmeans::pairs)
4			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.0095118291421046	33.366362356904	-0.0314774055865749	0.00721038046182457			Healthy - Fibrotic_ILD	-0.0121335125623752	-1.27562347694678	0.458765906221214	FALSE	BH within level (applied by emmeans::pairs)
4			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.00905797681800133	10.0536384059793	-0.0299403328579895	0.0103953551952345			Healthy - Other	-0.00977248883137752	-1.07888207573641	0.458765906221214	FALSE	BH within level (applied by emmeans::pairs)
4			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.00930750848468114	4.97288904456665	-0.0216039742893318	0.0263260217513271			Fibrotic_ILD - Other	0.00236102373099766	0.253668716486649	0.809905146343869	FALSE	BH within level (applied by emmeans::pairs)
5			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.00721422507002945	63.0754417966282	-0.0118203174097217	0.0170119645823389			Healthy - Fibrotic_ILD	0.00259582358630861	0.359820155472085	0.88347903169262	FALSE	BH within level (applied by emmeans::pairs)
5			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.0106874497460516	14.973779990672	-0.018587904960535	0.0269785642169143			Healthy - Other	0.00419532962818965	0.392547308092802	0.88347903169262	FALSE	BH within level (applied by emmeans::pairs)
5			lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	pairwise contrasts			0.0107439254233956	16.2933820965864	-0.0211433129552985	0.0243423250390606			Fibrotic_ILD - Other	0.00159950604188105	0.148875385750354	0.88347903169262	FALSE	BH within level (applied by emmeans::pairs)
