ccc_group	gene	emmean	SE	df	lower.CL	upper.CL	value_type	z_within_gene	detect_frac	n_donors	n_profiles	n_cells_total	within_gene_rank
AT2_AGTR2det	COL4A1	-0.0252105217663612	0.0460763972648813	178.961541885338	-0.116133459844412	0.06571241631169	expr	-1.07010456159157	0.019434017124741	76	76	2166	22
Pericytes	COL4A2	2.28172496616643	0.0545281593728282	202.972421945736	2.1742106789576	2.38923925337527	expr	2.17288196338234	0.796686981885478	49	49	4443	1
EC general capillary	COL4A2	1.69023980832436	0.0434285944260019	83.5960784578179	1.60387118844737	1.77660842820135	expr	1.32771634330769	0.52949833598292	117	117	10911	2
Vascular smooth muscle	COL4A2	1.51592031491115	0.0464187413303769	110.00378880571	1.42392930013687	1.60791132968543	expr	1.07863343600503	0.490733789922479	82	82	5701	3
EC aerocyte capillary	COL4A2	1.46008215037416	0.0479919008998397	123.651383708182	1.36509009630438	1.55507420444394	expr	0.998846992796697	0.479317874431827	77	77	5991	4
Myofibroblasts	COL4A2	1.37442580738852	0.0621698265559902	331.083795005994	1.25212812393291	1.49672349084414	expr	0.876453733603345	0.522320566427697	33	33	1199	5
AT1	COL4A2	1.29967439910038	0.0421248791764145	75.6208153134336	1.21576862711855	1.38358017108221	expr	0.769642396920289	0.419273249661318	120	120	14775	6
EC venous systemic	COL4A2	1.26519292218155	0.0457031635681949	104.047768503092	1.17456232345415	1.35582352090895	expr	0.720372253054779	0.51799053024109	85	85	6950	7
Peribronchial fibroblasts	COL4A2	1.15975791574501	0.051441101337552	164.212380654778	1.05818665896934	1.26132917252068	expr	0.56971751318334	0.46216031541302	57	57	2279	8
Alveolar fibroblasts	COL4A2	1.01660973108866	0.0442525088943304	91.5143548030974	0.928714213878107	1.10450524829921	expr	0.365174892555235	0.371394464083054	98	98	9425	9
Lymphatic EC	COL4A2	0.97585656936487	0.0426321279476444	79.2906820337995	0.891004278095614	1.06070886063413	expr	0.306943218029454	0.35228069743658	113	113	7463	10
EC venous pulmonary	COL4A2	0.920949014144519	0.0445245146341225	93.9108713841803	0.83254345275608	1.00935457553296	expr	0.228486510639035	0.287137037170659	95	95	6322	11
Adventitial fibroblasts	COL4A2	0.781046623590667	0.0445618473089334	94.5399095108893	0.692574618142025	0.869518629039309	expr	0.0285817639269563	0.322931704231543	94	94	7893	12
Subpleural fibroblasts	COL4A2	0.746684585625499	0.113836361329185	1586.82564169881	0.523399106629349	0.96997006462165	expr	-0.0205177151365815	0.27588941122169	8	8	282	13
Mast cells	COL4A2	0.0554130738507455	0.0417998539232462	73.5041725158844	-0.0278842893783196	0.138710437079811	expr	-1.0082667873543	0.00915477243555676	126	126	9209	14
Alveolar macrophages	COL4A2	0.0428268796380722	0.0397010478754209	59.6863901667269	-0.0365956230986783	0.122249382374823	expr	-1.02625104020511	0.0270265973355525	171	171	33227	15
AT2_AGTR2undet	COL4A2	0.0407333861028401	0.0409225425303635	68.6306708116876	-0.0409126908844884	0.122379463090169	expr	-1.02924240649447	0.0344980070501176	138	138	26620	16
Classical monocytes	COL4A2	0.0302106183620857	0.0392434603566034	57.442791321117	-0.0483599294893169	0.108781166213488	expr	-1.04427825550032	0.00767041702925689	168	168	21568	17
Non-classical monocytes	COL4A2	0.023617356088731	0.0404956373388113	64.8056084882297	-0.0572626156182481	0.10449732779571	expr	-1.05369928411566	0.015238536051523	142	142	11757	18
DC2	COL4A2	0.0219905040697615	0.037966165211204	50.3735850772045	-0.054252773047316	0.098233781186839	expr	-1.05602387227675	0.0129361956243764	194	194	13121	19
Interstitial macrophages	COL4A2	0.0168308191498448	0.0388545441402403	55.5257515474674	-0.0610188587313499	0.0946804970310395	expr	-1.06339648044268	0.0294147440371589	170	170	24374	20
Transitional Club-AT2	COL4A2	0.0143417564583326	0.0429118991501752	82.1220120818797	-0.0710217819939815	0.0997052949106468	expr	-1.06695307046896	0.0174268799046489	116	116	7087	21
AT2_AGTR2det	COL4A2	0.00883464961059605	0.0488084277900335	131.529588593371	-0.0877164393013451	0.105385738522537	expr	-1.07482210540936	0.0309096591993437	76	76	2166	22
Peribronchial fibroblasts	COL15A1	1.09958677163075	0.0352604772228666	488.836812404128	1.03030597372997	1.16886756953154	expr	2.72871664825009	0.401166004616995	57	57	2279	1
EC venous systemic	COL15A1	1.09949595196844	0.030092169336381	283.992434324317	1.04026395875283	1.15872794518406	expr	2.72843645666774	0.459139807004669	85	85	6950	2
Vascular smooth muscle	COL15A1	0.486315699749273	0.030648797183727	298.445160806016	0.426000566759038	0.546630832739508	expr	0.836688119705348	0.134079823696708	82	82	5701	3
Alveolar fibroblasts	COL15A1	0.437307401755842	0.028693732350087	236.072285121438	0.380778919973444	0.49383588353824	expr	0.685490546249748	0.142414423954986	98	98	9425	4
Myofibroblasts	COL15A1	0.426504161563118	0.0444728928359934	956.722100897469	0.339228481848575	0.513779841277661	expr	0.652161012895686	0.188276692161652	33	33	1199	5
Adventitial fibroblasts	COL15A1	0.357039652432844	0.0290401475194399	251.829438022662	0.299847149499848	0.41423215536584	expr	0.437853117053445	0.126089455034807	94	94	7893	6
EC general capillary	COL15A1	0.165437714306984	0.0276696219402884	197.363128716126	0.110871653505422	0.220003775108546	expr	-0.153266128056903	0.0235959845117385	117	117	10911	7
EC venous pulmonary	COL15A1	0.117013966028277	0.0289769390967759	246.252996739955	0.0599397068024646	0.17408822525409	expr	-0.302660282457993	0.0169544376283004	95	95	6322	8
Subpleural fibroblasts	COL15A1	0.0951344080252298	0.0861393418369577	2174.27330543386	-0.0737896346084139	0.264058450658874	expr	-0.370161832476832	0.0186511050379256	8	8	282	9
Pericytes	COL15A1	0.0693992029884692	0.0377891715808595	596.994088610709	-0.00481667460510019	0.143615080582039	expr	-0.449558602274104	0.0393664928269107	49	49	4443	10
Alveolar macrophages	COL15A1	0.0490839649861038	0.0242654063702678	128.253791392547	0.00107161936085778	0.0970963106113499	expr	-0.512234002479643	0.0100284837939653	171	171	33227	11
AT2_AGTR2det	COL15A1	0.0430527178041766	0.0326839535033859	361.441173655583	-0.0212218786468874	0.107327314255241	expr	-0.530841258314982	0.000927656935345431	76	76	2166	12
AT2_AGTR2undet	COL15A1	0.0427647669199935	0.0256368242820229	161.056244461776	-0.00786290723477576	0.0933924410747628	expr	-0.531729627769655	0.00518135400276312	138	138	26620	13
Interstitial macrophages	COL15A1	0.0418955737881174	0.0236236070650414	119.894181306221	-0.00487794457443749	0.0886690921506722	expr	-0.534411212272377	0.00904605157913734	170	170	24374	14
DC2	COL15A1	0.0402789531096693	0.0227231113938849	101.627057433236	-0.00479421592428347	0.085352122143622	expr	-0.539398717119255	0.00795443428034805	194	194	13121	15
Lymphatic EC	COL15A1	0.0398830138966811	0.0272378970191615	196.473372433456	-0.013833161613906	0.0935991894072682	expr	-0.540620245935615	0.00562737201812917	113	113	7463	16
Transitional Club-AT2	COL15A1	0.0347288255658567	0.0274069240201328	202.465499408938	-0.0193107786178101	0.0887684297495235	expr	-0.556521650405084	0.00410599079160592	116	116	7087	17
AT1	COL15A1	0.0311819840762559	0.0267207959803636	183.085224160786	-0.0215383014234294	0.0839022695759411	expr	-0.56746416113523	0.00290738491226421	120	120	14775	18
Non-classical monocytes	COL15A1	0.025188367450885	0.0252104387071585	147.982332428951	-0.0246305965798409	0.0750073314816108	expr	-0.585955321348561	0.00153014551109533	142	142	11757	19
EC aerocyte capillary	COL15A1	0.0192699727546871	0.0318632276369825	331.875583177471	-0.0434093853178295	0.0819493308272038	expr	-0.604214411205906	0.00161096013416186	77	77	5991	20
Classical monocytes	COL15A1	0.00941552233768143	0.0239315815128537	122.918351644071	-0.0379558884960338	0.0567869331713967	expr	-0.634616793083961	0.00163028454081192	168	168	21568	21
Mast cells	COL15A1	0.0025844399059075	0.0262991245101139	175.917249074245	-0.0493179557006136	0.0544868355124286	expr	-0.655691654485959	0.00270591113507186	126	126	9209	22
Pericytes	COL18A1	1.67470480654778	0.0466920921312058	801.952782646842	1.58305166172468	1.76635795137087	expr	2.51960883838204	0.548813210567919	49	49	4443	1
Vascular smooth muscle	COL18A1	1.22725475626656	0.0373678862215309	406.442659586516	1.15379630123001	1.3007132113031	expr	1.551030963301	0.376718368721486	82	82	5701	2
Peribronchial fibroblasts	COL18A1	1.10677164091894	0.0432757223844353	658.322203824456	1.02179655687661	1.19174672496127	expr	1.29022580801451	0.426906977041625	57	57	2279	3
EC venous systemic	COL18A1	0.876519597267558	0.0365602341571615	382.59827699068	0.804635459510826	0.948403735024289	expr	0.791808085113912	0.349639094385608	85	85	6950	4
Subpleural fibroblasts	COL18A1	0.875786322642814	0.108608765565889	2185.30717693589	0.662799088717421	1.08877355656821	expr	0.79022079380075	0.345938573608901	8	8	282	5
EC general capillary	COL18A1	0.796191307903214	0.0335788513025554	259.569684489727	0.730069671734572	0.862312944071856	expr	0.617924533704069	0.165128775053186	117	117	10911	6
EC venous pulmonary	COL18A1	0.687411768468835	0.0351273746651877	332.416467344704	0.61831179503974	0.75651174189793	expr	0.382453658035542	0.231431008768242	95	95	6322	7
Alveolar fibroblasts	COL18A1	0.675727067762547	0.0347752577094276	318.353087538427	0.60730870913302	0.744145426392074	expr	0.357160236850448	0.215706217367986	98	98	9425	8
Lymphatic EC	COL18A1	0.635584874123995	0.0328071963361793	260.613233275803	0.570983950316154	0.700185797931835	expr	0.27026597772346	0.210249040660373	113	113	7463	9
EC aerocyte capillary	COL18A1	0.617480382868535	0.0391095560975704	449.417668572103	0.540620072292159	0.694340693444911	expr	0.231075883413233	0.123912686390477	77	77	5991	10
Adventitial fibroblasts	COL18A1	0.584497834431084	0.0352119513255207	339.047665090646	0.51523643779945	0.653759231062718	expr	0.159679832255733	0.228031697950076	94	94	7893	11
Mast cells	COL18A1	0.567825938805769	0.0317872134543727	238.951480482883	0.50520698971043	0.630444887901107	expr	0.123590822480918	0.112441919491646	126	126	9209	12
Myofibroblasts	COL18A1	0.236643030382084	0.0551926223156077	1228.685602991	0.128360812616906	0.344925248147262	expr	-0.593308052605957	0.0645762012976021	33	33	1199	13
AT1	COL18A1	0.183533196737622	0.0321690974406739	243.36428995953	0.120167806997547	0.246898586477698	expr	-0.708272862163873	0.0510192056373684	120	120	14775	14
Transitional Club-AT2	COL18A1	0.136561677340562	0.0331668053610913	261.483596847094	0.0712536585232996	0.201869696157824	expr	-0.809950299496462	0.0642559265560044	116	116	7087	15
Classical monocytes	COL18A1	0.106919713120745	0.0285153969248584	158.655700942714	0.0506009749713057	0.163238451270185	expr	-0.87411511677431	0.0121027845846944	168	168	21568	16
DC2	COL18A1	0.0885463733779016	0.0268107673898009	125.28481850269	0.0354857162136919	0.141607030542111	expr	-0.913887177041329	0.0257625593656235	194	194	13121	17
Non-classical monocytes	COL18A1	0.0645218891562173	0.0301094208717259	190.259862390851	0.00513072787865742	0.123913050433777	expr	-0.965892051915591	0.0162692929517109	142	142	11757	18
Interstitial macrophages	COL18A1	0.0507963208923748	0.0280753973202105	153.697456258223	-0.00466715584452273	0.106259797629272	expr	-0.995603260429071	0.0152259759821353	170	170	24374	19
Alveolar macrophages	COL18A1	0.0338108947886201	0.0290291982023428	159.963625488089	-0.0235190133662192	0.0911408029434594	expr	-1.03237095754427	0.0150909707202447	171	171	33227	20
AT2_AGTR2undet	COL18A1	0.0304993846494407	0.0307588751541624	206.191388602369	-0.030142840609507	0.0911416099083883	expr	-1.03953925588707	0.0283861988120248	138	138	26620	21
AT2_AGTR2det	COL18A1	-0.021502808709645	0.0400329105568482	457.155939467235	-0.100174151899042	0.0571685344797518	expr	-1.15210639921768	0.0090189035649226	76	76	2166	22
Alveolar macrophages	LAMA1	0.0754939040740953	0.01007909953278	67.3127069187265	0.0553776550276712	0.0956101531205194	expr	1.96996414549486	0.0369312038055809	171	171	33227	1
Alveolar fibroblasts	LAMA1	0.0722707192155956	0.011354533112266	107.69953702511	0.0497633534140534	0.0947780850171377	expr	1.83075101826078	0.0227921738106411	98	98	9425	2
Subpleural fibroblasts	LAMA1	0.0691690223251316	0.0303595192894841	1738.15934823997	0.00962399433265738	0.128714050317606	expr	1.69678509858507	0.016567559188557	8	8	282	3
Adventitial fibroblasts	LAMA1	0.0578270501560431	0.0114403862553476	111.667226738754	0.0351586536046644	0.0804954467074218	expr	1.20691204321345	0.0310954241963778	94	94	7893	4
AT2_AGTR2undet	LAMA1	0.0536636440453436	0.0104235922359108	78.6794150970204	0.0329146881526114	0.0744125999380758	expr	1.0270896594344	0.0192315388254366	138	138	26620	5
AT2_AGTR2det	LAMA1	0.0521216847397923	0.012630690711108	157.920750027887	0.0271748110286235	0.077068558450961	expr	0.960490631945352	0.0234525711736244	76	76	2166	6
Pericytes	LAMA1	0.0387868083932489	0.0142169407296256	251.015331761925	0.0107871173587474	0.0667864994277504	expr	0.38454171217218	0.00710086263535941	49	49	4443	7
AT1	LAMA1	0.0335884162943324	0.0107561248656604	87.4809853919582	0.012211110681947	0.0549657219067179	expr	0.160017071963991	0.0160582569455944	120	120	14775	8
EC general capillary	LAMA1	0.0291083136793333	0.0111325574343028	97.3463871808543	0.00701426166780416	0.0512023656908625	expr	-0.0334838045739865	0.00872519819169238	117	117	10911	9
Peribronchial fibroblasts	LAMA1	0.0243506640342036	0.0133542127889022	201.207487930786	-0.00198149579540874	0.050682823863816	expr	-0.238972262251508	0.0296790921089527	57	57	2279	10
Myofibroblasts	LAMA1	0.0224888182202502	0.0163121314751437	414.897316565282	-0.00957590840850654	0.0545535448490069	expr	-0.319387562511013	0.00604978059480614	33	33	1199	11
Interstitial macrophages	LAMA1	0.0197188391676938	0.00983237514180564	62.2536405430974	6.57941229488049e-05	0.0393718842124387	expr	-0.439026200444669	0.0119833024142959	170	170	24374	12
Transitional Club-AT2	LAMA1	0.0137983392494255	0.0109880168418377	95.6318493738319	-0.00801377341389649	0.0356104519127474	expr	-0.694739522700385	0.0120135812412421	116	116	7087	13
EC venous pulmonary	LAMA1	0.0134491687392398	0.0114294175766138	110.761292256316	-0.00919952305442451	0.036097860532904	expr	-0.709820605788961	0.00927469575846115	95	95	6322	14
EC aerocyte capillary	LAMA1	0.0134285896159904	0.0124116321037416	148.780616155035	-0.0110972550609744	0.0379544342929551	expr	-0.710709442212887	0.00479605353944905	77	77	5991	15
DC2	LAMA1	0.0133135512525631	0.00957574179786845	55.6035130272291	-0.00587198353955116	0.0324990860446774	expr	-0.715678083798049	0.0100227420102262	194	194	13121	16
Classical monocytes	LAMA1	0.0123263155765294	0.00994462564529051	64.6257234771441	-0.00753665406660182	0.0321892852196606	expr	-0.758317948345465	0.00589809044010111	168	168	21568	17
Mast cells	LAMA1	0.012086064688955	0.0106764942760204	85.1706424821345	-0.00914105228324655	0.0333131816611566	expr	-0.768694665427577	0.00263621354860877	126	126	9209	18
Non-classical monocytes	LAMA1	0.0103074022709793	0.0102923222754714	73.6501484986702	-0.0102021163026169	0.0308169208445755	expr	-0.84551717743683	0.0102237325561382	142	142	11757	19
Vascular smooth muscle	LAMA1	0.00892539444079528	0.0119622026801576	131.389191810187	-0.0147380424906764	0.0325888313722669	expr	-0.905207713458852	0.00267657276585848	82	82	5701	20
EC venous systemic	LAMA1	0.00820738710570657	0.0117575673086597	123.665802664198	-0.0150647517717848	0.031479525983198	expr	-0.936219290790857	0.00819354066477286	85	85	6950	21
Lymphatic EC	LAMA1	0.00300822701811298	0.0108960945786664	92.052559519405	-0.0186321927012701	0.0246486467374961	expr	-1.16077710132905	0.00811763330950524	113	113	7463	22
Adventitial fibroblasts	LAMA2	1.66533737372782	0.0507846109923105	47.745183277488	1.5632139893166	1.76746075813904	expr	2.01978791084338	0.639342148439033	94	94	7893	1
Alveolar fibroblasts	LAMA2	1.61020790014135	0.0505875214165516	47.0131440023711	1.50843968488745	1.71197611539524	expr	1.93069454794364	0.58547030902056	98	98	9425	2
Peribronchial fibroblasts	LAMA2	1.55127277451013	0.0552244618296647	66.5190190388972	1.44102963451892	1.66151591450134	expr	1.83545096599345	0.568464382875969	57	57	2279	3
Myofibroblasts	LAMA2	1.38001526835421	0.0625552778597458	108.592774535417	1.25602752278279	1.50400301392563	expr	1.55868599523201	0.481324580370301	33	33	1199	4
Pericytes	LAMA2	1.32078883537436	0.0572326508176862	76.5729203050714	1.20681392318089	1.43476374756782	expr	1.46297163876434	0.347309663556446	49	49	4443	5
Subpleural fibroblasts	LAMA2	0.554573340650055	0.101599566640033	623.582378259312	0.3550545992101	0.75409208209001	expr	0.224709948784649	0.15466283148059	8	8	282	6
Vascular smooth muscle	LAMA2	0.179014854189191	0.0519387016835709	52.174725874149	0.0748005315502678	0.283229176828114	expr	-0.382220724548407	0.0351187996930366	82	82	5701	7
EC general capillary	LAMA2	0.173282037585299	0.0500303163489009	44.9027047229883	0.0725097811994172	0.274054293971181	expr	-0.391485386024397	0.0437386928275732	117	117	10911	8
EC venous systemic	LAMA2	0.109420686252637	0.0515098265890005	50.4986045700155	0.00598545904553166	0.212855913459742	expr	-0.494690118074382	0.0274212151695049	85	85	6950	9
Alveolar macrophages	LAMA2	0.108941814277369	0.0477907660247083	37.4273474768558	0.0121458314478418	0.205737797106897	expr	-0.495464011092028	0.0567004642844656	171	171	33227	10
Mast cells	LAMA2	0.0731466980809348	0.0490246026219821	41.5296115170953	-0.0258221655218343	0.172115561683704	expr	-0.55331160276774	0.0201555980666204	126	126	9209	11
DC2	LAMA2	0.066914023027308	0.0468264031531331	34.560465209484	-0.0281918661084698	0.162019912163086	expr	-0.563384072977671	0.0266994105391027	194	194	13121	12
Interstitial macrophages	LAMA2	0.0612776255734711	0.0473237090590995	36.0811459172296	-0.0346918105822936	0.157247061729236	expr	-0.572492913877706	0.0287548983085142	170	170	24374	13
EC venous pulmonary	LAMA2	0.0532285689434298	0.0507619812183266	47.6717686144011	-0.0488533924671422	0.155310530354002	expr	-0.585500792906625	0.0194050268844045	95	95	6322	14
AT2_AGTR2det	LAMA2	0.0468385735972592	0.0534587973465001	58.2513259287688	-0.0601610065626277	0.153838153757146	expr	-0.595827504505115	0.0166290364106376	76	76	2166	15
Transitional Club-AT2	LAMA2	0.0442824585153856	0.0496517589932008	44.0143481284129	-0.0557831652378139	0.144348082268585	expr	-0.599958378133822	0.0227359770688391	116	116	7087	16
AT1	LAMA2	0.0345804118117996	0.0492824364271045	42.3884594801376	-0.0648485758083986	0.134009399431998	expr	-0.615637613062067	0.0217895630378297	120	120	14775	17
AT2_AGTR2undet	LAMA2	0.0341423331145421	0.0484828467953575	39.9665225145019	-0.0638477122211044	0.132132378450189	expr	-0.616345581083786	0.0228839883773278	138	138	26620	18
Lymphatic EC	LAMA2	0.0216588082871532	0.0496054339940773	43.4978464587384	-0.0783469826470685	0.121664599221375	expr	-0.636519893214119	0.0230454987364402	113	113	7463	19
Classical monocytes	LAMA2	0.0201027617420569	0.0475430282991542	36.7624006150517	-0.0762495840006008	0.116455107484714	expr	-0.63903458110269	0.00791156589493191	168	168	21568	20
Non-classical monocytes	LAMA2	0.0197958516797978	0.0483211040289464	39.169274018862	-0.0779293036088843	0.11752100696848	expr	-0.639530570775283	0.0119899086287507	142	142	11757	21
EC aerocyte capillary	LAMA2	0.0127623335670395	0.0528860137773053	55.9846983500525	-0.0931817216836477	0.118706388817727	expr	-0.650897263415636	0.0183414296757267	77	77	5991	22
AT1	LAMA3	1.656176496834	0.0411836012468423	40.1401750214506	1.57295038735569	1.73940260631231	expr	4.20543263348905	0.573081209164123	120	120	14775	1
AT2_AGTR2undet	LAMA3	0.529483120529005	0.0405848468883133	38.0491884468591	0.447326881187565	0.611639359870446	expr	0.947510740152942	0.176525062688597	138	138	26620	2
AT2_AGTR2det	LAMA3	0.362790192866569	0.0443978398433791	53.8287721606941	0.273771398190298	0.451808987542841	expr	0.465505120951775	0.161386340414508	76	76	2166	3
EC venous systemic	LAMA3	0.246874955937747	0.0428615707641952	47.021243484963	0.16064962586369	0.333100286011803	expr	0.130327160289456	0.0975845719546142	85	85	6950	4
Subpleural fibroblasts	LAMA3	0.182615366716232	0.0818060866422056	529.76077818968	0.0219112310020815	0.343319502430383	expr	-0.0554844606753657	0.0555090334502099	8	8	282	5
Adventitial fibroblasts	LAMA3	0.171537331986323	0.0423163255874905	44.6924318461856	0.0862916854001523	0.256782978572493	expr	-0.0875174633012179	0.0578368419447144	94	94	7893	6
Vascular smooth muscle	LAMA3	0.167074883687731	0.043205545438489	48.537515758372	0.0802291584927159	0.253920608882747	expr	-0.10042098107776	0.0462332326870815	82	82	5701	7
Transitional Club-AT2	LAMA3	0.145587939298615	0.0414883314125411	41.6081392712006	0.0618377292777977	0.229338149319432	expr	-0.162552158928269	0.0491513309239198	116	116	7087	8
Lymphatic EC	LAMA3	0.139901810557583	0.0414186413649486	41.0528116597172	0.0562584351626518	0.223545185952515	expr	-0.178994044274652	0.0516098788944713	113	113	7463	9
EC venous pulmonary	LAMA3	0.112379102088301	0.042299510277527	44.6413578647304	0.0271646198337477	0.197593584342855	expr	-0.25857810536148	0.0340507922919243	95	95	6322	10
Alveolar fibroblasts	LAMA3	0.0990246043022562	0.0421732187645408	44.1064448583214	0.0140358598741813	0.184013348730331	expr	-0.297193678707929	0.0333426617160091	98	98	9425	11
Mast cells	LAMA3	0.0808307642055292	0.041025507065732	39.5371780167816	-0.00211512396883595	0.163776652379894	expr	-0.349802588302634	0.00602579800057616	126	126	9209	12
Peribronchial fibroblasts	LAMA3	0.0765068672183001	0.0456788890878388	60.5231374145921	-0.0148482738878038	0.167862008324404	expr	-0.36230547414139	0.024614115948875	57	57	2279	13
Myofibroblasts	LAMA3	0.0721616139108641	0.0512924880332268	95.6415186058211	-0.0296580406041055	0.173981268425834	expr	-0.374870113447972	0.0174129717711545	33	33	1199	14
EC aerocyte capillary	LAMA3	0.064222523923614	0.0439752123901341	52.0069478744482	-0.0240199149163571	0.152464962763585	expr	-0.397826612196063	0.0168268903736217	77	77	5991	15
Classical monocytes	LAMA3	0.0563689353583248	0.0398807292427988	35.3303970481051	-0.0245661927730859	0.137304063489736	expr	-0.420535876904816	0.00567948490556055	168	168	21568	16
Pericytes	LAMA3	0.0551785170761304	0.0472535632702621	69.2067543255884	-0.0390847383513849	0.149441772503646	expr	-0.423978064340503	0.0395895178450496	49	49	4443	17
EC general capillary	LAMA3	0.0498676529881493	0.0418035684493434	42.5160038609023	-0.0344650400784669	0.134200346054765	expr	-0.439334842634088	0.012479388609543	117	117	10911	18
Non-classical monocytes	LAMA3	0.0475135685803188	0.0404503113626785	37.3406344313782	-0.0344213174813338	0.129448454641971	expr	-0.446141861555406	0.0102743442460662	142	142	11757	19
Interstitial macrophages	LAMA3	0.0456167344880406	0.0397097315113372	34.7093912622642	-0.0350224410636101	0.126255910039691	expr	-0.451626705477651	0.0128637497048497	170	170	24374	20
DC2	LAMA3	0.04049918156345	0.0393344893640703	33.3902365084273	-0.0394919232962761	0.120490286423176	expr	-0.466424509444519	0.0107694869701718	194	194	13121	21
Alveolar macrophages	LAMA3	0.0374684473549202	0.0401009709553779	36.0008505525329	-0.0438600245554945	0.118796919265335	expr	-0.475188114111508	0.0167095644901556	171	171	33227	22
Alveolar fibroblasts	LAMA4	1.70928669056945	0.0357835426807975	98.3989038331132	1.63827901254758	1.78029436859132	expr	1.97957526421288	0.538312993135526	98	98	9425	1
Lymphatic EC	LAMA4	1.57303067272124	0.0344003252109262	84.602713047626	1.50462897308317	1.64143237235931	expr	1.74653355877715	0.540681476117698	113	113	7463	2
Pericytes	LAMA4	1.21568766204261	0.0444448895969449	223.938318795815	1.12810394440502	1.3032713796802	expr	1.13536183991146	0.351334242737629	49	49	4443	3
Peribronchial fibroblasts	LAMA4	1.19025611065206	0.0418167372048287	179.906857010381	1.1077417467496	1.27277047455453	expr	1.09186569051913	0.469082772047592	57	57	2279	4
Adventitial fibroblasts	LAMA4	1.06957960260208	0.0360373400411912	101.732782637689	0.998097455871047	1.1410617493331	expr	0.885469968068731	0.40226734668459	94	94	7893	5
