term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	n_donors	min_cells	arm	n_studies	study_sd	singular	p_excl_small_groups	small_groups	estimable	n_donors_group	model	response	block	analysis_role	disease_group	emmean	SE	df	lower.CL	upper.CL	contrast	estimate	t.ratio	p.value	Estimate	Std. Error	t value	Pr(>|t|)
							69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index	emmeans	sensitivity (>=20 pericytes/donor)	Other	-0.191774368141638	0.311752545482769	11.7978285206551	-0.87231803051911	0.488769294235833								
							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	posthoc	PRIMARY (>=10 pericytes/donor)			0.684217965303617	75.334026443669			Healthy - COPD	1.59258472479563	2.3275985220425	0.0678635963272086				
							89	10	primary	18	0.675482984846718	FALSE	0.0107659879469506	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	posthoc	PRIMARY (>=10 pericytes/donor)			0.281655324237644	78.2976903357235			Healthy - Fibrotic_ILD	0.845783448978159	3.0029023994751	0.0215319759656603				
							89	10	primary	18	0.675482984846718	FALSE	0.381769279634092	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	posthoc	PRIMARY (>=10 pericytes/donor)			0.429160250942518	26.5093937935573			Healthy - Other	0.442346052625366	1.03072465740685	0.374379311196457				
							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	posthoc	PRIMARY (>=10 pericytes/donor)			0.624343907099772	69.0069510020856			COPD - Fibrotic_ILD	-0.746801275817469	-1.19613768521669	0.353604947454309				
							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	posthoc	PRIMARY (>=10 pericytes/donor)			0.765758525350377	78.5618855857551			COPD - Other	-1.15023867217026	-1.50209058612043	0.274165392311015				
							89	10	primary	18	0.675482984846718	FALSE	0.381769279634092	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	posthoc	PRIMARY (>=10 pericytes/donor)			0.453270856360625	25.4569324430129			Fibrotic_ILD - Other	-0.403437396352792	-0.890058098135952	0.381769278876122				
							69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index	posthoc	sensitivity (>=20 pericytes/donor)			0.311943261001577	56.1676890128497			Healthy - Fibrotic_ILD	0.843174429883363	2.70297369840953	0.0272218568552001				
							69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index	posthoc	sensitivity (>=20 pericytes/donor)			0.389213486981785	13.9822653656269			Healthy - Other	0.531943986942346	1.36671519547636	0.28993435539212				
							69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index	posthoc	sensitivity (>=20 pericytes/donor)			0.398441384050392	15.1581731536551			Fibrotic_ILD - Other	-0.311230442941017	-0.781119771689314	0.446760695435357				
(Intercept)							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index	robust_coefs	PRIMARY (>=10 pericytes/donor)											0.243284957184953			
disease_groupCOPD							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index	robust_coefs	PRIMARY (>=10 pericytes/donor)											-1.75495061979447			
disease_groupFibrotic_ILD							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index	robust_coefs	PRIMARY (>=10 pericytes/donor)											-0.673349328688096			
disease_groupOther							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index	robust_coefs	PRIMARY (>=10 pericytes/donor)											-0.362572002567294			
sexmale							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index	robust_coefs	PRIMARY (>=10 pericytes/donor)											-0.108569470315707			
sexunknown							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index	robust_coefs	PRIMARY (>=10 pericytes/donor)											0.202994221721868			
(Intercept)							69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	niche_index	robust_coefs	sensitivity (>=20 pericytes/donor)											0.377029743698308	0.214891996472666	1.75450807795098	0.0841299245157942
disease_groupFibrotic_ILD							69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	niche_index	robust_coefs	sensitivity (>=20 pericytes/donor)											-0.810311418515365	0.303397324344214	-2.67079289597176	0.00958345298149502
disease_groupOther							69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	niche_index	robust_coefs	sensitivity (>=20 pericytes/donor)											-0.515256632474211	0.252141146202176	-2.0435245902351	0.0451216151431954
sexmale							69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	niche_index	robust_coefs	sensitivity (>=20 pericytes/donor)											-0.128664820566831	0.244448691386128	-0.526346939463028	0.600466575170475
sexunknown							69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	niche_index	robust_coefs	sensitivity (>=20 pericytes/donor)											0.0470219927933264	0.268006807715295	0.175450740203876	0.861279403047788
disease_group	2.05911678290098	0.686372260966992	3	38.0987334638232	2.52438346698146	0.0720357731359229	89	10	primary	18	0.552504317414507	FALSE	0.0444975098884792	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	anova	PRIMARY (>=10 pericytes/donor)														
sex	0.412970867433	0.2064854337165	2	62.6253635773535	0.759425234219213	0.472195435087932	89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	anova	PRIMARY (>=10 pericytes/donor)														
disease_group	1.78151171444312	0.89075585722156	2	18.8037473303457	2.81511592092875	0.0852194685652583	69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	anova	sensitivity (>=20 pericytes/donor)														
sex	0.144146405806139	0.0720732029030694	2	41.767579844815	0.227777812876388	0.797283786867219	69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	anova	sensitivity (>=20 pericytes/donor)														
							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	emmeans	PRIMARY (>=10 pericytes/donor)	Healthy	0.15884954645926	0.188143572792911	21.8733393024655	-0.231467383667329	0.54916647658585								
							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	emmeans	PRIMARY (>=10 pericytes/donor)	COPD	-0.915463442878068	0.600608965326224	80.9114669081161	-2.11050670942705	0.279579823670918								
							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	emmeans	PRIMARY (>=10 pericytes/donor)	Fibrotic_ILD	-0.471444393921269	0.234155702944085	31.7913693258527	-0.948526740042848	0.00563795220030971								
							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	emmeans	PRIMARY (>=10 pericytes/donor)	Other	-0.0258118050895204	0.315113038543911	18.4225047315071	-0.686753094682264	0.635129484503223								
							69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	emmeans	sensitivity (>=20 pericytes/donor)	Healthy	0.213199429189282	0.194092828618895	17.6013702742293	-0.195237449914133	0.621636308292698								
							69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	emmeans	sensitivity (>=20 pericytes/donor)	Fibrotic_ILD	-0.431525873235984	0.242268906314129	29.4677027879225	-0.926680043759322	0.0636282972873545								
							69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	emmeans	sensitivity (>=20 pericytes/donor)	Other	-0.0823581435238509	0.285646055951465	11.8731142736166	-0.705465909107123	0.540749622059421								
							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	posthoc	PRIMARY (>=10 pericytes/donor)			0.612030959978001	76.174673554992			Healthy - COPD	1.07431298933733	1.75532458256024	0.249672420298146				
							89	10	primary	18	0.552504317414507	FALSE	0.0392808297732375	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	posthoc	PRIMARY (>=10 pericytes/donor)			0.248020125999101	75.5621097449063			Healthy - Fibrotic_ILD	0.630293940380529	2.54130158930253	0.078561658646936				
							89	10	primary	18	0.552504317414507	FALSE	0.616527764787952	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	posthoc	PRIMARY (>=10 pericytes/donor)			0.36405580655652	24.4926858876876			Healthy - Other	0.184661351548781	0.507233638972634	0.616527767900075				
							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	posthoc	PRIMARY (>=10 pericytes/donor)			0.560436807297101	69.5156039073534			COPD - Fibrotic_ILD	-0.444019048956799	-0.79227317545083	0.517076223290512				
							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	posthoc	PRIMARY (>=10 pericytes/donor)			0.673694927497977	78.8742886937265			COPD - Other	-0.889651637788548	-1.32055564243686	0.380937202437318				
							89	10	primary	18	0.552504317414507	FALSE	0.386506281437555	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	posthoc	PRIMARY (>=10 pericytes/donor)			0.384143736414405	23.502314736874			Fibrotic_ILD - Other	-0.445632588831748	-1.16006730447119	0.386506282636679				
							69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	posthoc	sensitivity (>=20 pericytes/donor)			0.283186092000111	56.6818439999289			Healthy - Fibrotic_ILD	0.644725302425266	2.27668420391568	0.0798001997344037				
							69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	posthoc	sensitivity (>=20 pericytes/donor)			0.356266565739699	14.0379045222105			Healthy - Other	0.295557572713133	0.829596715311978	0.420650819580406				
							69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index_sens_agtr1	posthoc	sensitivity (>=20 pericytes/donor)			0.364334052873632	15.2590020418275			Fibrotic_ILD - Other	-0.349167729712133	-0.958372479756211	0.420650819580406				
(Intercept)							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index_sens_agtr1	robust_coefs	PRIMARY (>=10 pericytes/donor)											0.197507593580204			
disease_groupCOPD							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index_sens_agtr1	robust_coefs	PRIMARY (>=10 pericytes/donor)											-1.27755089715689			
disease_groupFibrotic_ILD							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index_sens_agtr1	robust_coefs	PRIMARY (>=10 pericytes/donor)											-0.501886535258461			
disease_groupOther							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index_sens_agtr1	robust_coefs	PRIMARY (>=10 pericytes/donor)											-0.204130059565266			
sexmale							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index_sens_agtr1	robust_coefs	PRIMARY (>=10 pericytes/donor)											-0.0811741497442764			
sexunknown							89	10	primary	18	0.552504317414507	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	niche_index_sens_agtr1	robust_coefs	PRIMARY (>=10 pericytes/donor)											0.0745548951835388			
(Intercept)							69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	niche_index_sens_agtr1	robust_coefs	sensitivity (>=20 pericytes/donor)											0.349666456459395	0.191319257176998	1.8276594924049	0.0722628491809083
disease_groupFibrotic_ILD							69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	niche_index_sens_agtr1	robust_coefs	sensitivity (>=20 pericytes/donor)											-0.644881695202034	0.273145143410362	-2.36094878770439	0.021285358986872
disease_groupOther							69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	niche_index_sens_agtr1	robust_coefs	sensitivity (>=20 pericytes/donor)											-0.345279128661441	0.247207574721966	-1.39671743088688	0.16732340476342
sexmale							69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	niche_index_sens_agtr1	robust_coefs	sensitivity (>=20 pericytes/donor)											-0.143686542348984	0.223137434229258	-0.643937413931883	0.521917081335003
sexunknown							69	20	primary	17	0.447666268320651	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lm + HC3 -- UNGUARDED, comparison only	niche_index_sens_agtr1	robust_coefs	sensitivity (>=20 pericytes/donor)											-0.0840854667653758	0.259300038102494	-0.324278651791556	0.746784557037913
