test_ligand	rank_bm	aupr_corrected_bm	perm_z_bm	perm_p_bm	perm_p_BH_bm	rank_fibrillar	aupr_corrected_fibrillar	perm_z_fibrillar	perm_p_fibrillar	perm_p_BH_fibrillar	z_difference_bm_minus_fibrillar	rank_difference_bm_minus_fibrillar
VEGFC	15	0.00868268480937845	1.47069828704165	0.0188981101889811	0.234566813588911	274	0.00128293092150481	0.0280113320092102	0.167183281671833	0.193040910962667	1.44268695503244	-259
IGF2	16	0.00809895536636306	1.29172309169621	0.01999800019998	0.234566813588911	20	0.011247554033211	1.21811493372517	0.0131986801319868	0.127700598924065	0.0736081579710399	-4
COL10A1	17	0.00729666090523667	1.1856724235619	0.0234976502349765	0.234566813588911	9	0.0882864103121792	11.4469937757394	0.0017998200179982	0.0525220205252202	-10.2613213521775	8
BMP2	18	0.0069104436930172	1.11687141718645	0.0235976402359764	0.234566813588911	142	0.00328003676747119	0.373534566401237	0.0592940705929407	0.127700598924065	0.743336850785213	-124
CALR	19	0.00502217854117842	0.716167902290134	0.0398960103989601	0.234566813588911	26	0.00781151504808957	0.92021210552707	0.0203979602039796	0.127700598924065	-0.204044203236936	-7
IGF1	20	0.00438772415015627	0.644447956660293	0.0483951604839516	0.234566813588911	307	0.00077135627249412	-0.0370756269935875	0.25017498250175	0.261776419760621	0.68152358365388	-287
NPNT	21	0.00437340811205478	0.631797009605567	0.0460953904609539	0.234566813588911	216	0.00224707208175721	0.142489988636816	0.0894910508949105	0.13525438153859	0.489307020968751	-195
PDGFA	22	0.00418807314420133	0.657346502341101	0.0518948105189481	0.234566813588911	15	0.0302659993369653	4.30867598342061	0.0031996800319968	0.0790074838669979	-3.65132948107951	7
SEMA4C	23	0.00414057328802169	0.576441569268033	0.0515948405159484	0.234566813588911	65	0.00458770493057901	0.42334701365432	0.0377962203779622	0.127700598924065	0.153094555613713	-42
CRTAM	24	0.00405563747277859	0.650613044944338	0.0504949505049495	0.234566813588911	256	0.00160422303488014	0.10702362656492	0.131986801319868	0.166148091073246	0.543589418379418	-232
MCAM	25	0.00405109409221853	0.508870265186554	0.0532946705329467	0.234566813588911	92	0.0039515132213555	0.312345613094547	0.0490950904909509	0.127700598924065	0.196524652092007	-67
JAG1	26	0.00377399856639813	0.44858987197413	0.0646935306469353	0.234566813588911	120	0.00363729135472946	0.285438028812982	0.054994500549945	0.127700598924065	0.163151843161148	-94
BMP1	27	0.00368633925895075	0.498992903098942	0.0595940405959404	0.234566813588911	28	0.00771864666785882	0.819196432492171	0.0195980401959804	0.127700598924065	-0.320203529393229	-1
C1QB	28	0.00361726180496315	0.378505508174795	0.0644935506449355	0.234566813588911	50	0.00526478458009614	0.456698638194585	0.031996800319968	0.127700598924065	-0.07819313001979	-22
HSPG2	29	0.00357550393994775	0.576578175026426	0.0622937706229377	0.234566813588911	126	0.00353980611243548	0.46438559888574	0.0531946805319468	0.127700598924065	0.112192576140686	-97
CTSD	30	0.00357462063796553	0.564760686122627	0.0651934806519348	0.234566813588911	46	0.00559875472597603	0.664281978240184	0.0317968203179682	0.127700598924065	-0.099521292117557	-16
BMP3	31	0.0035653739103459	0.455321101847404	0.0625937406259374	0.234566813588911	29	0.00725900888146475	0.76310208358618	0.0222977702229777	0.127700598924065	-0.307780981738776	2
NRP1	32	0.00353969293780838	0.443484661981492	0.064993500649935	0.234566813588911	72	0.00445156685206022	0.473657753571269	0.0421957804219578	0.127700598924065	-0.030173091589777	-40
ADAM9	33	0.00351896443805232	0.469099845943677	0.0662933706629337	0.234566813588911	138	0.00333142753047535	0.271555380908908	0.0573942605739426	0.127700598924065	0.197544465034769	-105
COL5A3	34	0.00349900193444897	0.465368013979613	0.0645935406459354	0.234566813588911	57	0.00477827298460008	0.455390999906294	0.0374962503749625	0.127700598924065	0.00997701407331902	-23
COL4A2	35	0.00342761627161709	0.418772202825811	0.0673932606739326	0.234566813588911	105	0.0038106714302958	0.366549236685943	0.0486951304869513	0.127700598924065	0.052222966139868	-70
BMP5	36	0.00340062648777156	0.447609337336373	0.0690930906909309	0.234566813588911	101	0.00383980291355706	0.339116877943642	0.0497950204979502	0.127700598924065	0.108492459392731	-65
LAMB1	37	0.00334898105772503	0.433030599019497	0.0687931206879312	0.234566813588911	59	0.00470830541527661	0.608004198506797	0.0383961603839616	0.127700598924065	-0.1749735994873	-22
COL6A3	38	0.00334445864108357	0.438009771065409	0.068993100689931	0.234566813588911	152	0.0031219001330353	0.25195264248423	0.0642935706429357	0.127700598924065	0.186057128581179	-114
INHBA	39	0.00333957028841769	0.442366044843867	0.0700929907009299	0.234566813588911	11	0.0458126070633446	6.76820538056631	0.0014998500149985	0.0481451854814519	-6.32583933572244	28
NTM	40	0.00333168456273743	0.43378542726916	0.0703929607039296	0.234566813588911	112	0.00370700027271785	0.322333321007281	0.0501949805019498	0.127700598924065	0.111452106261879	-72
COL1A2	41	0.00331724254532046	0.433963088382179	0.0701929807019298	0.234566813588911	35	0.00653943717522441	0.687886225261171	0.0245975402459754	0.127700598924065	-0.253923136878992	6
COL15A1	42	0.00327707551261032	0.412571352375417	0.0681931806819318	0.234566813588911	52	0.00501564740958158	0.496938850618677	0.0337966203379662	0.127700598924065	-0.08436749824326	-10
SIGLEC7	43	0.00327478074233528	0.405750851454487	0.0718928107189281	0.234566813588911	174	0.00280322583523405	0.196625440832096	0.0710928907109289	0.127700598924065	0.209125410622391	-131
FGA	44	0.00324896053731143	0.401658863161494	0.0730926907309269	0.234566813588911	147	0.00321067008195585	0.246890531710717	0.0586941305869413	0.127700598924065	0.154768331450777	-103
HGF	45	0.00317046192102605	0.424406132373775	0.0793920607939206	0.234566813588911	254	0.00162014265913878	0.0888275660587007	0.128987101289871	0.163655571201773	0.335578566315074	-209
ANG	46	0.00316503402501307	0.415016253188983	0.0751924807519248	0.234566813588911	183	0.00274152281639745	0.257363235710085	0.0757924207579242	0.128049300333125	0.157653017478898	-137
FN1	47	0.00312956307778195	0.367776315939774	0.0743925607439256	0.234566813588911	179	0.0027760411353163	0.217677054231269	0.0715928407159284	0.127700598924065	0.150099261708505	-132
LIN7C	48	0.0031216527554497	0.37754652716231	0.0753924607539246	0.234566813588911	225	0.00214157986515514	0.1181169961934	0.0960903909609039	0.137802219778022	0.25942953096891	-177
MYOC	49	0.00310353700599629	0.413651679592927	0.075992400759924	0.234566813588911	19	0.0131937772752335	2.21936115048188	0.010998900109989	0.127700598924065	-1.80570947088895	30
LSAMP	50	0.00310298715388353	0.385856075496948	0.0782921707829217	0.234566813588911	56	0.00478816717906349	0.465620410163965	0.0360963903609639	0.127700598924065	-0.079764334667017	-6
COL12A1	51	0.00305551729304763	0.399659771712856	0.0735926407359264	0.234566813588911	128	0.00346090426391002	0.328101353250823	0.0568943105689431	0.127700598924065	0.071558418462033	-77
BDNF	52	0.00304809827364532	0.430726090175622	0.0811918808119188	0.234566813588911	45	0.00560070524197384	0.610212272919382	0.0298970102989701	0.127700598924065	-0.17948618274376	7
TSPAN3	53	0.00302960379781023	0.374780668977596	0.0810918908109189	0.234566813588911	42	0.00586730550591926	0.588789985713614	0.0298970102989701	0.127700598924065	-0.214009316736018	11
LGALS3BP	54	0.00300352519682723	0.36696040258634	0.0790920907909209	0.234566813588911	180	0.00277010808261785	0.244951638242214	0.072992700729927	0.127700598924065	0.122008764344126	-126
SEMA4D	55	0.00298420146812392	0.369118694285552	0.0825917408259174	0.234566813588911	227	0.00211607776807612	0.126625645169497	0.0965903409659034	0.137802219778022	0.242493049116055	-172
NRG1	56	0.00296251297943801	0.34959868706318	0.0868913108689131	0.234566813588911	279	0.00125478757096825	0.0115259322235431	0.173182681731827	0.195058388897952	0.338072754839637	-223
ENG	57	0.0029536054667279	0.324892524174317	0.0817918208179182	0.234566813588911	32	0.00700080313066319	0.696232809785923	0.0226977302269773	0.127700598924065	-0.371340285611606	25
COL8A2	58	0.00293998948902561	0.405863931080183	0.0805919408059194	0.234566813588911	97	0.0039155342811974	0.381712306613449	0.0468953104689531	0.127700598924065	0.024151624466734	-39
EREG	59	0.00293170891055903	0.333852753519872	0.0846915308469153	0.234566813588911	192	0.00262255364688389	0.189771772575987	0.0784921507849215	0.129210155907486	0.144080980943885	-133
IFITM1	60	0.00290209714535033	0.359564244566802	0.0840915908409159	0.234566813588911	164	0.00297708778817677	0.237168485568022	0.0681931806819318	0.127700598924065	0.12239575899878	-104
AGRN	61	0.0028993757679222	0.332975980737533	0.0847915208479152	0.234566813588911	63	0.00461519905248715	0.433827946328461	0.0396960303969603	0.127700598924065	-0.100851965590928	-2
ANGPTL1	62	0.00287667234725197	0.348852855066278	0.0856914308569143	0.234566813588911	199	0.00247908144751852	0.17144940849263	0.0794920507949205	0.130188511761069	0.177403446573648	-137
EFEMP2	63	0.00284195679788873	0.341138567325213	0.0877912208779122	0.234566813588911	253	0.00162867462383821	0.0823668791741692	0.130686931306869	0.165159468305138	0.258771688151044	-190
BMP4	64	0.00282834811808336	0.355222763954517	0.0877912208779122	0.234566813588911	10	0.0465792077530224	7.12723281072346	0.0013998600139986	0.0481451854814519	-6.77201004676894	54
IL1A	65	0.00281783141986345	0.370994264483125	0.0866913308669133	0.234566813588911	219	0.00220861919059853	0.177830491928235	0.0915908409159084	0.13593064656668	0.19316377255489	-154
COL14A1	66	0.00281353985839411	0.338379624657504	0.0867913208679132	0.234566813588911	64	0.00461345821640728	0.438807991156019	0.0390960903909609	0.127700598924065	-0.100428366498515	2
LAMC1	67	0.00281158005059196	0.363860396298673	0.0866913308669133	0.234566813588911	38	0.00616928520591939	0.678320393347778	0.0267973202679732	0.127700598924065	-0.314459997049105	29
LUM	68	0.00280911548559574	0.337796395545277	0.0867913208679132	0.234566813588911	54	0.00492389045870404	0.477367554964424	0.0355964403559644	0.127700598924065	-0.139571159419147	14
FCN1	69	0.00280486709628884	0.337096127517913	0.0885911408859114	0.234566813588911	177	0.00279966778238065	0.21215911475065	0.070992900709929	0.127700598924065	0.124937012767263	-108
COL5A2	70	0.00277428496589353	0.325224220307789	0.0872912708729127	0.234566813588911	80	0.00426390384651553	0.487631544732919	0.0426957304269573	0.127700598924065	-0.16240732442513	-10
VEGFA	71	0.00276797913699749	0.315107617973973	0.0926907309269073	0.234566813588911	205	0.00241210504291538	0.171636590135085	0.0854914508549145	0.131919343950772	0.143471027838888	-134
GPC6	72	0.00275384425742883	0.328070897853889	0.0902909709029097	0.234566813588911	206	0.00240502530556204	0.163775909843774	0.0835916408359164	0.131919343950772	0.164294988010115	-134
NID1	73	0.00274259991171899	0.320516727624774	0.0924907509249075	0.234566813588911	296	0.00102538257456968	-0.0126949209102725	0.204879512048795	0.221435432214354	0.333211648535047	-223
SLIT3	74	0.00272981859459741	0.265676032592902	0.0913908609139086	0.234566813588911	172	0.00286062533666417	0.202117958781896	0.0688931106889311	0.127700598924065	0.063558073811006	-98
FGG	75	0.00270104314848531	0.31699906364929	0.0935906409359064	0.234566813588911	155	0.00311674094698351	0.251180465727618	0.0617938206179382	0.127700598924065	0.065818597921672	-80
LAMA4	76	0.00269341660975947	0.312247974455615	0.0925907409259074	0.234566813588911	210	0.00230090014321844	0.14770370766142	0.0905909409059094	0.13525438153859	0.164544266794195	-134
SCGB3A1	77	0.00268955577348053	0.281351477026375	0.092990700929907	0.234566813588911	314	0.00056140975722305	-0.0706805413961509	0.304269573042696	0.311052652696514	0.352032018422526	-237
CD99	78	0.00266187887006264	0.284304564576457	0.0971902809719028	0.234566813588911	171	0.00286383043166714	0.240589421309374	0.070992900709929	0.127700598924065	0.043715143267083	-93
SEMA3C	79	0.00266038614856932	0.303147498157581	0.0944905509449055	0.234566813588911	249	0.00175958786757503	0.0776992971914331	0.122287771222878	0.157648090612625	0.225448200966148	-170
NECTIN3	80	0.00265425585308868	0.316486075808203	0.0933906609339066	0.234566813588911	229	0.00209187652849143	0.166531842488746	0.0985901409859014	0.138804540598572	0.149954233319457	-149
VWF	81	0.00264754166453106	0.277362110530378	0.0958904109589041	0.234566813588911	113	0.00369204910853268	0.344221869066561	0.0517948205179482	0.127700598924065	-0.066859758536183	-32
COL24A1	82	0.00264474701765609	0.306453274948525	0.0945905409459054	0.234566813588911	217	0.00223391684433746	0.141328869582473	0.0933906609339066	0.13724645634984	0.165124405366052	-135
COL27A1	83	0.00264358798500551	0.305746041066772	0.0950904909509049	0.234566813588911	75	0.00434370614822485	0.404338972241527	0.0422957704229577	0.127700598924065	-0.098592931174755	8
PSAP	84	0.00263625644664517	0.264792364685896	0.0985901409859014	0.234566813588911	269	0.00137060424463851	0.0372868540464218	0.152484751524848	0.182640318057746	0.227505510639474	-185
NRG3	85	0.00262418482469226	0.299733237667595	0.0983901609839016	0.234566813588911	161	0.00304167041003777	0.240352539423255	0.065993400659934	0.127700598924065	0.05938069824434	-76
NAMPT	86	0.00260533866544148	0.316907784646961	0.0940905909409059	0.234566813588911	165	0.00291010496028588	0.294853797654232	0.0651934806519348	0.127700598924065	0.022053986992729	-79
NFASC	87	0.00258122400798509	0.293562962616233	0.0990900909909009	0.234566813588911	230	0.00208390496209918	0.123179788448342	0.0992900709929007	0.139179531828477	0.170383174167891	-143
ANXA1	88	0.00257986353696402	0.293504749198621	0.0999900009999	0.234566813588911	68	0.00454749292351436	0.430675978922308	0.0397960203979602	0.127700598924065	-0.137171229723687	20
COL4A4	89	0.00257927904770979	0.300885656051987	0.0990900909909009	0.234566813588911	107	0.00378997223338034	0.361211908438425	0.0486951304869513	0.127700598924065	-0.060326252386438	-18
HAS1	90	0.00257877985025963	0.276370296035994	0.0974902509749025	0.234566813588911	81	0.00424220463038087	0.366135130372581	0.0434956504349565	0.127700598924065	-0.089764834336587	9
COL16A1	91	0.00257090331621945	0.27668174937425	0.0952904709529047	0.234566813588911	98	0.00391235407355925	0.396529017361817	0.0471952804719528	0.127700598924065	-0.119847267987567	-7
OCLN	92	0.00255988913200513	0.286927690205861	0.1002899710029	0.234566813588911	124	0.00357809784508974	0.302888059581557	0.0555944405559444	0.127700598924065	-0.015960369375696	-32
COL6A1	93	0.00255605768822795	0.295163038844126	0.101789821017898	0.234566813588911	53	0.00496131811822854	0.513322555206946	0.0356964303569643	0.127700598924065	-0.21815951636282	40
PCSK9	94	0.00254814028031026	0.307719875899323	0.100889911008899	0.234566813588911	130	0.00341192680763394	0.359944540844283	0.0541945805419458	0.127700598924065	-0.05222466494496	-36
FBLN1	95	0.00254582129811842	0.285472991746847	0.0970902909709029	0.234566813588911	95	0.00393262984961563	0.350014900204047	0.0464953504649535	0.127700598924065	-0.0645419084572	0
FLRT3	96	0.00254225848968451	0.332875448632723	0.100589941005899	0.234566813588911	234	0.00203871406570801	0.199973725493599	0.102289771022898	0.141530243527371	0.132901723139124	-138
SLITRK6	97	0.00253561757249571	0.271101823468847	0.101189881011899	0.234566813588911	150	0.00313583177767912	0.237334131472213	0.0626937306269373	0.127700598924065	0.033767691996634	-53
CNTN6	98	0.00253479692815364	0.283227038322098	0.0995900409959004	0.234566813588911	198	0.00247957532185724	0.170900017472652	0.0811918808119188	0.130929481309295	0.112327020849446	-100
LAMB2	99	0.00251465124521397	0.281081449779615	0.103189681031897	0.234566813588911	109	0.00375379143253423	0.329122005950846	0.052994700529947	0.127700598924065	-0.048040556171231	-10
COL3A1	100	0.00251166059161365	0.280386804731899	0.101789821017898	0.234566813588911	44	0.00576829773465336	0.577243282370972	0.028997100289971	0.127700598924065	-0.296856477639073	56
ANGPT2	101	0.00250921305701553	0.261380042808495	0.101789821017898	0.234566813588911	252	0.00167524818498646	0.0982963813012739	0.125187481251875	0.159974478742602	0.163083661507221	-151
CDCP1	102	0.00250858341088257	0.279018145095251	0.103589641035896	0.234566813588911	169	0.0028859549575778	0.220818614766095	0.0695930406959304	0.127700598924065	0.058199530329156	-67
COL6A6	103	0.00250374181490896	0.279705715321726	0.101189881011899	0.234566813588911	136	0.00333646678485641	0.279568083482136	0.0576942305769423	0.127700598924065	0.00013763183958998	-33
C1QA	104	0.00249859194289886	0.270795035217765	0.101489851014899	0.234566813588911	184	0.00272208809267352	0.169107784814514	0.0737926207379262	0.127700598924065	0.101687250403251	-80
ADAM28	105	0.00249829652003158	0.263504444869325	0.105089491050895	0.234566813588911	222	0.00215703360486509	0.119555292392672	0.0961903809619038	0.137802219778022	0.143949152476653	-117
MIF	106	0.00249686604734549	0.244301244446378	0.102689731026897	0.234566813588911	293	0.0010453862878899	-0.00486559998828024	0.196680331966803	0.215475722052368	0.249166844434658	-187
PROS1	107	0.00249357415623232	0.278354037113976	0.104289571042896	0.234566813588911	170	0.00287155610178243	0.222966860974273	0.0664933506649335	0.127700598924065	0.055387176139703	-63
COL4A1	108	0.00249179844430572	0.28166885098349	0.100989901009899	0.234566813588911	1	0.337152978938783	40.0798521707492	9.99900009999e-05	0.00641935806419358	-39.7981833197657	107
PRG4	109	0.00247969313073269	0.261438937452273	0.102689731026897	0.234566813588911	308	0.000767678443836445	-0.0431717185222917	0.252474752524748	0.26227959728299	0.304610655974565	-199
RGMA	110	0.0024782218712921	0.276600991590099	0.102889711028897	0.234566813588911	33	0.00672369610539551	0.706377287230593	0.022997700229977	0.127700598924065	-0.429776295640494	77
GDF10	111	0.00247325374184657	0.277201579133813	0.105289471052895	0.234566813588911	123	0.00359207268096984	0.378093455010473	0.0528947105289471	0.127700598924065	-0.10089187587666	-12
MFNG	112	0.00247025776894178	0.244161282291361	0.107689231076892	0.234566813588911	313	0.000595006899603816	-0.0664541664561552	0.296770322967703	0.304355506941319	0.310615448747516	-201
F8	113	0.00246909321760802	0.309132664509622	0.101889811018898	0.234566813588911	118	0.00364540979137327	0.446677078639384	0.0500949905009499	0.127700598924065	-0.137544414129762	-5
ADAM12	114	0.00245878930742986	0.256092614616384	0.105289471052895	0.234566813588911	224	0.00214316580948474	0.124779089571847	0.0977902209779022	0.138804540598572	0.131313525044537	-110
LTBP1	115	0.00245645150710523	0.26737908742543	0.106989301069893	0.234566813588911	37	0.00625355116294195	0.633037627872765	0.0277972202779722	0.127700598924065	-0.365658540447335	78
LPL	116	0.00245450909459808	0.275883599017368	0.108089191080892	0.234566813588911	79	0.00427016044370608	0.494386796869039	0.042995700429957	0.127700598924065	-0.218503197851671	37
FBN1	117	0.00245388387139491	0.251719894097604	0.104089591040896	0.234566813588911	85	0.0042086122776919	0.449039328667362	0.0421957804219578	0.127700598924065	-0.197319434569758	32
LAMA5	118	0.00244388559569017	0.266999721760275	0.108789121087891	0.234566813588911	91	0.00396730844672002	0.354635579988885	0.0472952704729527	0.127700598924065	-0.08763585822861	27
LTB	119	0.00242639797254579	0.28262723786532	0.108289171082892	0.234566813588911	268	0.00138962197519941	0.0572720185719117	0.144885511448855	0.174963706636855	0.225355219293408	-149
COL6A2	120	0.0024231144671182	0.264473524999017	0.107389261073893	0.234566813588911	140	0.0033133084287577	0.275806007074494	0.0595940405959404	0.127700598924065	-0.011332482075477	-20
ANXA2	121	0.00241323807923143	0.290585672404066	0.105289471052895	0.234566813588911	160	0.00304251755314626	0.380985027948795	0.0615938406159384	0.127700598924065	-0.090399355544729	-39
SEMA3F	122	0.00241076686289804	0.24875769063105	0.11028897110289	0.234566813588911	23	0.00917517648017096	1.00532967525914	0.0191980801919808	0.127700598924065	-0.75657198462809	99
FGF18	123	0.002405178944522	0.320805588572457	0.107689231076892	0.234566813588911	163	0.00300628955970493	0.30595734948184	0.064993500649935	0.127700598924065	0.014848239090617	-40
CALM1	124	0.00240301177127008	0.237176152202692	0.108289171082892	0.234566813588911	156	0.00310172112694128	0.240894995114854	0.0640935906409359	0.127700598924065	-0.00371884291216198	-32
THY1	125	0.00238328150409449	0.231032557449292	0.110988901109889	0.234566813588911	67	0.00455611416000892	0.413080540253164	0.0384961503849615	0.127700598924065	-0.182047982803872	58
COL4A3	126	0.00237537474302902	0.254641157440094	0.108089191080892	0.234566813588911	189	0.00264409055323843	0.19274084000601	0.0738926107389261	0.127700598924065	0.061900317434084	-63
CD55	127	0.00236741150480677	0.239531751245524	0.110688931106889	0.234566813588911	215	0.00224817575805914	0.130909114936432	0.0903909609039096	0.13525438153859	0.108622636309092	-88
CLDN1	128	0.00233960349274094	0.244495790748155	0.112488751124888	0.234566813588911	30	0.00714256769968354	0.704150308601219	0.0247975202479752	0.127700598924065	-0.459654517853064	98
SEMA3G	129	0.00233425440462113	0.220247053554658	0.113488651134887	0.234566813588911	115	0.00368380567909836	0.294579799943277	0.0531946805319468	0.127700598924065	-0.074332746388619	14
ATP1B1	130	0.00233207390980466	0.254175133792778	0.112088791120888	0.234566813588911	201	0.00245929937964323	0.187876135242439	0.0820917908209179	0.130929481309295	0.066298998550339	-71
LAMA3	131	0.00232563946182541	0.245072064267572	0.110688931106889	0.234566813588911	55	0.00481447520628845	0.463369848722467	0.0380961903809619	0.127700598924065	-0.218297784454895	76
C3	132	0.00231693564532594	0.259614764326179	0.112988701129887	0.234566813588911	122	0.0035988889059787	0.315160160019956	0.0527947205279472	0.127700598924065	-0.055545395693777	10
VEGFD	133	0.00231467259757883	0.235477970472173	0.113688631136886	0.234566813588911	145	0.00322659065273386	0.310376315618075	0.0614938506149385	0.127700598924065	-0.074898345145902	-12
VCAN	134	0.00231426522886316	0.243223784013704	0.112388761123888	0.234566813588911	96	0.00391834276453691	0.351205364419586	0.0468953104689531	0.127700598924065	-0.107981580405882	38
LRFN5	135	0.00231240848550904	0.229851544839965	0.115288471152885	0.234566813588911	182	0.00275447218942366	0.19083892499483	0.0733926607339266	0.127700598924065	0.039012619845135	-47
BMP6	136	0.00231063944563796	0.200986018409508	0.114388561143886	0.234566813588911	154	0.00311742719687039	0.253294781568371	0.0667933206679332	0.127700598924065	-0.052308763158863	-18
ANGPTL2	137	0.00230779729267508	0.263115798476537	0.111588841115888	0.234566813588911	243	0.00183287180138852	0.136461864480397	0.117888211178882	0.154457615462943	0.12665393399614	-106
COMP	138	0.00230026838939919	0.222727252022301	0.114188581141886	0.234566813588911	5	0.172308704529606	22.456355871097	9.99900009999e-05	0.00641935806419358	-22.2336286190747	133
VCAM1	139	0.00229878986383298	0.242082530565708	0.113888611138886	0.234566813588911	157	0.00310160648905877	0.309973944357697	0.0625937406259374	0.127700598924065	-0.067891413791989	-18
NEGR1	140	0.00228974670886964	0.236082232993701	0.114288571142886	0.234566813588911	139	0.00331633232840191	0.276766048002523	0.0550944905509449	0.127700598924065	-0.040683815008822	1
TNC	141	0.00228692992806046	0.244486148074753	0.111788821117888	0.234566813588911	82	0.00422559265167215	0.492337903004048	0.0433956604339566	0.127700598924065	-0.247851754929295	59
CNTN4	142	0.00226293866732777	0.23741752428296	0.11968803119688	0.234566813588911	220	0.00218714158805362	0.13894600260686	0.0942905709429057	0.13724645634984	0.0984715216761	-78
SEMA3B	143	0.00225270348087464	0.230779468772727	0.117188281171883	0.234566813588911	187	0.00268576091549042	0.195043576345442	0.0743925607439256	0.127700598924065	0.035735892427285	-44
IL16	144	0.00225215361698559	0.21919708159643	0.12048795120488	0.234566813588911	133	0.00336335282731398	0.261607618906656	0.0571942805719428	0.127700598924065	-0.042410537310226	11
COL8A1	145	0.00224879964462051	0.219891294378741	0.117288271172883	0.234566813588911	203	0.00242516839637077	0.1849809442183	0.0841915808419158	0.131919343950772	0.034910350160441	-58
LAMB3	146	0.00224640003253083	0.215657041038572	0.117188281171883	0.234566813588911	83	0.00421533529812831	0.402745281160689	0.0435956404359564	0.127700598924065	-0.187088240122117	63
JAM2	147	0.00223953358765648	0.223803221896435	0.120687931206879	0.234566813588911	231	0.00207979366204157	0.116033604452218	0.104789521047895	0.142531509560908	0.107769617444217	-84
A2M	148	0.00223776279124691	0.230473552195701	0.118488151184882	0.234566813588911	71	0.00447341991655573	0.420997058244623	0.0406959304069593	0.127700598924065	-0.190523506048922	77
HSP90B1	149	0.00223361139649459	0.223629086581189	0.117588241175882	0.234566813588911	273	0.00129429301467484	0.0419156437922305	0.162483751624838	0.190355052086032	0.181713442788958	-124
SERPING1	150	0.0022329899355072	0.217145363354608	0.119388061193881	0.234566813588911	176	0.00280159530587662	0.198054154778963	0.06999300069993	0.127700598924065	0.019091208575645	-26
SEMA3D	151	0.00222838341206451	0.20779704308248	0.12028797120288	0.234566813588911	158	0.00309236613916275	0.284270052427417	0.063993600639936	0.127700598924065	-0.076473009344937	-7
GGT1	152	0.00221097154538232	0.223908644517287	0.117388261173883	0.234566813588911	167	0.00288966200479066	0.221620569215571	0.0674932506749325	0.127700598924065	0.00228807530171601	-15
EFEMP1	153	0.0022074936889822	0.221767655494102	0.122387761223878	0.234566813588911	153	0.00312022583003117	0.245500399545126	0.0626937306269373	0.127700598924065	-0.023732744051024	0
CD1B	154	0.00220731270419788	0.209408978889641	0.12018798120188	0.234566813588911	213	0.00226491894624611	0.133517526991236	0.0904909509049095	0.13525438153859	0.075891451898405	-59
EDN1	155	0.00220497944550055	0.24716396383163	0.120787921207879	0.234566813588911	17	0.0219471188249364	3.1254782619637	0.0053994600539946	0.108326667333267	-2.87831429813207	138
