arm	exposure	n_donors	n_studies	singular	studies_dropped	model	lrt_chisq	lrt_df	lrt_p	lrt_null_median	n_null	lrt_p_emp	source_table	compartment	slope	SE	df	lower.CL	upper.CL	t_ratio	p_value	p_BH	null_mean	null_sd	p_emp	contrast	estimate	level	spec	predictor	z_value	n_units	note	axis	family	source
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	EC_aerocyte	0.191839895433194	0.107154895150641	333.776180030547	-0.0189441516133263	0.402623942479713	1.79030454150974	0.0743111937233998	0.297244774893599														
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	EC_gcap	0.135330016266057	0.107154895150641	333.776180030547	-0.0754540307804624	0.346114063312577	1.26293825471815	0.207492919512297	0.397266208323985														
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	AT1	0.213543942066155	0.121673633229478	229.235800219345	-0.0261977107396744	0.453285594871984	1.7550551947718	0.0805857256997475	0.161171451399495														
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	AT2	0.24901344084693	0.121673633229478	229.235800219345	0.00927178804110099	0.488755093652759	2.04656862984676	0.0418413786243641	0.161171451399495														
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	EC_aerocyte	0.113202910544347	0.121673633229478	229.235800219345	-0.126538742261482	0.352944563350176	0.930381608074818	0.35315227118962	0.470869694919494														
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	EC_gcap	0.0340672633654612	0.121673633229478	229.235800219345	-0.205674389440368	0.27380891617129	0.279988872373112	0.779738529816378	0.779738529816378														
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	AT1	0.0380792655050876	0.148631674792538	164.157114136947	-0.255397027624329	0.331555558634504	0.256198859080604	0.798118067338888	0.801783277102066														
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	AT2	0.317043164750994	0.148631674792538	164.157114136947	0.0235668716215768	0.61051945788041	2.13307940715548	0.0344044007661949	0.13761760306478														
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	EC_aerocyte	-0.0373729409338249	0.148631674792538	164.157114136947	-0.330849234063242	0.256103352195592	-0.251446678414884	0.801783277102066	0.801783277102066														
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	EC_gcap	-0.111167048982795	0.148631674792538	164.157114136947	-0.404643342112211	0.182309244146622	-0.747936461982031	0.455568625906107	0.801783277102066														
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	AT1	0.0765892220302175	0.107604179467336	329.198320845853	-0.135089322535146	0.288267766595581	0.711768096828121	0.477112471472238	0.766292458093442														
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	AT2	0.19125476930624	0.107604179467336	329.19832084586	-0.0204237752591234	0.402933313871604	1.77739164271307	0.0764270083802726	0.305708033521091														
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	EC_aerocyte	0.0560522781532902	0.107604179467336	329.19832084586	-0.155626266412073	0.267730822718654	0.520911719514623	0.6027784741158	0.766292458093442														
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	EC_gcap	-0.0320094213479007	0.107604179467336	329.19832084586	-0.243687965913264	0.179669123217463	-0.297473773847393	0.766292458093442	0.766292458093442														
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	AT1	0.0578647097758488	0.158108837223009	130.52019078699	-0.254923004392204	0.370652423943902	0.365980237361635	0.714972336455549	0.898881463826707														
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	AT2	0.317741652228975	0.158108837223008	130.52019078699	0.00495393806092243	0.630529366397028	2.0096387893917	0.046531312632128	0.186125250528512														
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	EC_aerocyte	0.020130740275201	0.158108837223008	130.52019078699	-0.292656973892852	0.332918454443254	0.127322043655328	0.898881463826707	0.898881463826707														
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	EC_gcap	-0.12833558052688	0.158108837223008	130.52019078699	-0.441123294694933	0.184452133641173	-0.811691381588405	0.418446561749763	0.836893123499525														
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))					177		niche_affinity_contrasts.tsv			0.149129888266159	261.000000000001	-0.205589176680707	0.381712575683089	0.590503356000797	0.555364183126561		-0.0108571245755785	0.0585794006886009	0.0786516853932584	EC_aerocyte - EC_gcap	0.0880616995011908									
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))					177		niche_affinity_contrasts.tsv			0.105450755270593	261.000000000001	-0.0857419585840575	0.329543093115126	1.15599520318967	0.248740188109352		0.0199024672343179	0.17396173619066	0.48876404494382	epithelial - endothelial	0.121900567265534									
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_contrasts.tsv			0.148603238210317	261.000000000001	-0.236103973168387	0.349123731502659	0.380273538098532	0.704051659526187					EC_aerocyte - EC_gcap	0.0565098791671361									
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_contrasts.tsv			0.105078357444795	261.000000000001	-0.463463102871557	-0.0496446243604223	-2.44154809662661	0.0152891286163413					epithelial - endothelial	-0.25655386361599									
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_contrasts.tsv			0.158707516527073	201.000000000001	-0.233809627809565	0.392080922167337	0.498625704129059	0.618588308180441					EC_aerocyte - EC_gcap	0.0791356471788863									
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_contrasts.tsv			0.11222316116157	201.000000000001	-0.0636421215829844	0.37892933058626	1.4047332375059	0.161644106933397					epithelial - endothelial	0.157643604501638									
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))							niche_affinity_contrasts.tsv			0.205418289439522	135	-0.332460056579268	0.480048272677208	0.359238256001036	0.719978127756917					EC_aerocyte - EC_gcap	0.0737941080489698									
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))							niche_affinity_contrasts.tsv			0.145252665442427	135	-0.0354338646075525	0.539096284780253	1.73374587873685	0.0852461700992153					epithelial - endothelial	0.25183121008635									
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))							niche_affinity_contrasts.tsv			0.149313813304427	261.000000000001	-0.20595134250318	0.382074741505562	0.589775972847517	0.555851064781596					EC_aerocyte - EC_gcap	0.0880616995011908									
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))							niche_affinity_contrasts.tsv			0.105580809912382	261.000000000001	-0.0859980484930419	0.32979918302411	1.15457124610708	0.249322063470219					epithelial - endothelial	0.121900567265534									
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_contrasts.tsv			0.206273993574509	120	-0.259941830853866	0.556874472458028	0.719752976268687	0.473076595932556					EC_aerocyte - EC_gcap	0.148466320802081									
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_contrasts.tsv			0.145857739638966	120	-0.0468825723995323	0.530693774656035	1.6585037018058	0.0998275293377342					epithelial - endothelial	0.241905601128252									
		89		TRUE		lmer(+1|study)							niche_affinity_per_axis_models.tsv			0.10890672697913					0.637807666274128	0.850410221698837					0.051456528336989	donor	per_axis	AGTR1_z	83.9999999995704	89		AT1	four_axis	
		89		TRUE		lmer(+1|study)							niche_affinity_per_axis_models.tsv			0.107678785297375					0.1434289410625	0.573715764250001					0.159035980919971	donor	per_axis	AGTR1_z	84.0000000001523	89		AT2	four_axis	
		89		TRUE		lmer(+1|study)							niche_affinity_per_axis_models.tsv			0.107312964409227					0.443965183961641	0.850410221698837					0.082539118423907	donor	per_axis	AGTR1_z	83.9999999995881	89		EC_aerocyte	four_axis	
		89		TRUE		lmer(+1|study)							niche_affinity_per_axis_models.tsv			0.10708091058289					0.989236472166281	0.989236472166281					-0.00144888045615525	donor	per_axis	AGTR1_z	83.9999999992202	89		EC_gcap	four_axis	
		89		TRUE		lmer(+1|study)							niche_affinity_per_axis_models.tsv			0.108129648356588					0.497438443304628	0.497438443304628					-0.0736888718772673	donor	per_axis	AGTR1_z	84.0000000000534	89		SMC	reference	
		89		TRUE		lmer(+1|study)							niche_affinity_per_axis_models.tsv			0.105503739399448					0.328249485487387	0.497438443304628					-0.103749178260775	donor	per_axis	AGTR1_z	83.9999999982626	89		EC_arterial	reference	
		194		FALSE		lmer(+1|donor)+(1|study)							niche_affinity_cell_models.tsv			0.0004181423598039					0.000250430504096669	0.000500861008193338					-0.00153163446783154	cell	cell_support	AGTR1_expr	11671.1603293326	11680		AT1	four_axis	
		194		FALSE		lmer(+1|donor)+(1|study)							niche_affinity_cell_models.tsv			0.000529826413348957					0.00285616097734007	0.00380821463645343					-0.00158070785917831	cell	cell_support	AGTR1_expr	11611.6625321866	11680		AT2	four_axis	
		194		FALSE		lmer(+1|donor)+(1|study)							niche_affinity_cell_models.tsv			0.00053952263888166					0.0138273734669103	0.0138273734669103					-0.00132835289587198	cell	cell_support	AGTR1_expr	11672.5326769222	11680		EC_aerocyte	four_axis	
		194		FALSE		lmer(+1|donor)+(1|study)							niche_affinity_cell_models.tsv			0.000569254475130588					4.35312331926756e-05	0.000174124932770703					-0.00232793343095896	cell	cell_support	AGTR1_expr	11671.2547164416	11680		EC_gcap	four_axis	
		194		FALSE		lmer(+1|donor)+(1|study)							niche_affinity_cell_models.tsv			0.000579303152331078					0.217567255322256	0.217567255322256					0.000714332824713217	cell	cell_support	AGTR1_expr	11592.5768661129	11680		SMC	reference	
		194		FALSE		lmer(+1|donor)+(1|study)							niche_affinity_cell_models.tsv			0.000550796263918378					6.56793883088379e-07	1.31358776617676e-06					-0.00274101942273243	cell	cell_support	AGTR1_expr	11665.5672954909	11680		EC_arterial	reference	
						OLS mean_airspace_score ~ frac_AGTR1_pos + age + C(sex)							niche_affinity_legacy_comparison.tsv			0.00772008608256799					0.793547048234737						-0.00203101857335373									published (localization/01.airspace_analysis.py)
		47				lm(mean_airspace_score ~ frac_AGTR1_pos + age + sex)							niche_affinity_legacy_comparison.tsv			0.00682481222948648					0.831543063399582						0.00146064668005787									refit here, same OLS on donors with age
		89				lmer(mean_airspace_score ~ frac_AGTR1_pos + sex + mean_log10_total_counts + (1|study))							niche_affinity_legacy_comparison.tsv			0.00529502150401833					0.376372269798493						0.00470990011776777									study-guarded refit, no age (primary convention)
		89				lmer(mean_airspace_score ~ AGTR1_z + sex + mean_log10_total_counts + (1|study))							niche_affinity_legacy_comparison.tsv			0.000874692304426951					0.396346790143284						0.000746703971793354									study-guarded refit, no age (primary convention)
