level	model	spec	predictor	estimate	SE	z_value	p_value	n_units	n_donors	singular	note	max_abs_grad	n_warnings	score	family	null_mean	null_sd	n_null	p_emp	p_BH	source_table	kind	median_rho	q25	q75	p_wilcox	pericyte_state	emmean	df	lower.CL	upper.CL	small_group	contrast	t.ratio	p.value	touches_small_group	program	rho
pseudobulk	lmer denoised lens	sensitivity	tf_AP1_z	-0.289418816455092	0.0813334270140217	199.393320631507	0.000466260643397969	214	95	TRUE				tf_AP1	tf					0.000815956125946445	at1r_vs_agtr1_scvi.tsv																	
									69					at1r_response_score	signature	-0.170434910615329	0.0107813487367328		0.0696517412935323	3.05758359715581e-10	at1r_continuum_summary.tsv	raw	-0.188595400671984	-0.272797118847539	-0.0750984864192411	3.05758359715581e-10												
									69					at1r_response_score	signature					1.29600790173936e-07	at1r_continuum_summary.tsv	partial	-0.0990919528232961	-0.242001049556288	-0.0214550619427129	1.29600790173936e-07												
									69					at1r_legacy_curated_score	legacy_curated					4.3672793838011e-07	at1r_continuum_summary.tsv	raw	-0.132190624594209	-0.220694954324255	-0.0468845760980593	4.3672793838011e-07												
									69					at1r_legacy_curated_score	legacy_curated					0.0728636364189179	at1r_continuum_summary.tsv	partial	-0.0292362872889511	-0.147236484445787	0.0773574251835121	0.0728636364189179												
									69					progeny_Androgen	progeny_other					2.45396859752811e-07	at1r_continuum_summary.tsv	raw	-0.129120879120879	-0.241389049861455	-0.0429183798442831	8.17989532509371e-08												
									69					progeny_Androgen	progeny_other					0.0962250575065785	at1r_continuum_summary.tsv	partial	0.0252531056883647	-0.0495726495726496	0.116452300165707	0.0484896050945967												
									69					progeny_EGFR	progeny_prespecified					0.369803259444949	at1r_continuum_summary.tsv	raw	0.00615439442951916	-0.104330329804916	0.149112285962282	0.369803259444949												
									69					progeny_EGFR	progeny_prespecified					0.0492168512010919	at1r_continuum_summary.tsv	partial	-0.0547235023041475	-0.150656660412758	0.0567164179104478	0.0295301107206551												
									69					progeny_Estrogen	progeny_other					0.000645284479303882	at1r_continuum_summary.tsv	raw	0.0634782608695652	-0.0163339382940109	0.14544930875576	0.000501887928347464												
									69					progeny_Estrogen	progeny_other					0.675562403091685	at1r_continuum_summary.tsv	partial	-0.000562851782363978	-0.0822163408178946	0.0511546424589903	0.649540278301062												
									69					progeny_Hypoxia	progeny_other					9.1971312196082e-08	at1r_continuum_summary.tsv	raw	-0.132170657308128	-0.220760590264418	-0.0662012452244753	2.04380693769071e-08												
									69					progeny_Hypoxia	progeny_other					0.276601257304814	at1r_continuum_summary.tsv	partial	-0.0147303344912728	-0.104312668463612	0.0695564516129032	0.184400838203209												
									69					progeny_JAK-STAT	progeny_prespecified					4.57525041461425e-08	at1r_continuum_summary.tsv	raw	-0.197159141774343	-0.300102040816327	-0.0634495938843765	9.1505008292285e-09												
									69					progeny_JAK-STAT	progeny_prespecified					0.0344136834918194	at1r_continuum_summary.tsv	partial	-0.0550590918515447	-0.159130434782609	0.0389312180356957	0.0137654733967278												
									69					progeny_MAPK	progeny_prespecified					1.73218128938213e-07	at1r_continuum_summary.tsv	raw	0.128506892474662	0.0169436832973358	0.223838325652842	6.92872515752853e-08												
									69					progeny_MAPK	progeny_prespecified					0.000239459463536043	at1r_continuum_summary.tsv	partial	0.0638148667601683	-0.0183284457478006	0.210111348505509	4.78918927072086e-05												
									69					progeny_NFkB	progeny_prespecified					8.54300408814896e-05	at1r_continuum_summary.tsv	raw	-0.109903602214021	-0.228328439809659	0.0206444144317963	6.83440327051917e-05												
									69					progeny_NFkB	progeny_prespecified					0.12363030927815	at1r_continuum_summary.tsv	partial	-0.0509967644296003	-0.15187969924812	0.073542736333434	0.0989042474225204												
									69					progeny_PI3K	progeny_other					1.36712789735711e-09	at1r_continuum_summary.tsv	raw	0.176169200573787	0.0388706396248983	0.301260631250355	1.51903099706345e-10												
									69					progeny_PI3K	progeny_other					5.7737174980828e-08	at1r_continuum_summary.tsv	partial	0.115758438536525	0.0250865563208478	0.214419424850787	6.41524166453644e-09												
									69					progeny_TGFb	progeny_prespecified					3.62454177818428e-07	at1r_continuum_summary.tsv	raw	-0.137757170365866	-0.208160372582768	-0.0604127579737336	2.17472506691057e-07												
									69					progeny_TGFb	progeny_prespecified					0.32681608330075	at1r_continuum_summary.tsv	partial	0.0202420767638159	-0.117771701982228	0.100365208946745	0.32681608330075												
									69					progeny_TNFa	progeny_other					2.05399225435589e-05	at1r_continuum_summary.tsv	raw	-0.142857142857143	-0.252565982404692	0.00642533936651584	1.1411068079755e-05												
									69					progeny_TNFa	progeny_other					0.0962250575065785	at1r_continuum_summary.tsv	partial	-0.0602396990639489	-0.141658154579503	0.0817018802093429	0.0534583652814325												
									69					progeny_Trail	progeny_other					0.0576890158122608	at1r_continuum_summary.tsv	raw	0.0231064795388469	-0.0442826716862668	0.152857142857143	0.0512791251664541												
									69					progeny_Trail	progeny_other					0.00140304134302528	at1r_continuum_summary.tsv	partial	-0.0962406015037594	-0.193393665158371	-0.00235876514089319	0.000311786965116729												
									69					progeny_VEGF	progeny_other					0.0895038438596496	at1r_continuum_summary.tsv	raw	-0.016089886244801	-0.144106654766553	0.0614572693224379	0.0895038438596496												
									69					progeny_VEGF	progeny_other					0.459227475513399	at1r_continuum_summary.tsv	partial	0.0140208479659818	-0.0572623895321502	0.112618724559023	0.35717692539931												
									69					progeny_WNT	progeny_other					0.000467680447675093	at1r_continuum_summary.tsv	raw	0.0643478260869565	-0.0345598845598846	0.13800539083558	0.000311786965116729												
									69					progeny_WNT	progeny_other					0.675562403091685	at1r_continuum_summary.tsv	partial	0.00735430900564405	-0.0714809384164223	0.0810204081632653	0.675562403091685												
									69					progeny_p53	progeny_other					9.88592753089294e-06	at1r_continuum_summary.tsv	raw	-0.14912484225213	-0.420024009603842	0.0411840411840412	4.39374556928575e-06												
									69					progeny_p53	progeny_other					0.00459143408621516	at1r_continuum_summary.tsv	partial	-0.0862289763510629	-0.222761104441777	0.0661745952397956	0.00153047802873839												
									69					tf_FOS	tf					6.52750525440093e-10	at1r_continuum_summary.tsv	raw	-0.255030012004802	-0.351888225169586	-0.111489419424851	4.66250375314352e-10												
									69					tf_FOS	tf					0.00178555770019478	at1r_continuum_summary.tsv	partial	-0.0649055608716454	-0.197737556561086	0.0362012129746684	0.00153047802873839												
									69					tf_JUN	tf					7.37358368228799e-10	at1r_continuum_summary.tsv	raw	-0.326315789473684	-0.43733583489681	-0.153144956696702	6.32021458481828e-10												
									69					tf_JUN	tf					0.00166996292232681	at1r_continuum_summary.tsv	partial	-0.118851858419515	-0.244145650550457	0.0242800677583286	0.000778951347023881												
									69					tf_NFKB1	tf					1.86854184942975e-09	at1r_continuum_summary.tsv	raw	-0.166023166023166	-0.291149567723825	-0.0750861079219288	1.86854184942975e-09												
