nP	block	pattern	program	score	rho	n_markers	panel_size	overlap	jaccard	hypergeometric_p	hypergeometric_p_BH
5	pattern vs program score (Spearman)	Pattern_1		anatomical_region_ccf_score							
5	pattern vs program score (Spearman)	Pattern_1		vascular_stabilizing_score	-0.449992957448612						
5	pattern vs program score (Spearman)	Pattern_1		inflammatory_score	-0.460948655260425						
5	pattern vs program score (Spearman)	Pattern_1		synthetic_contractile_score	-0.248405728785701						
5	pattern vs program score (Spearman)	Pattern_1		activated_migratory_score	-0.406456074441599						
5	pattern vs program score (Spearman)	Pattern_1		fibroblast_like_score	-0.407035180690524						
5	pattern vs program score (Spearman)	Pattern_1		basement_membrane_score	0.278584489893325						
5	pattern vs program score (Spearman)	Pattern_2		anatomical_region_ccf_score							
5	pattern vs program score (Spearman)	Pattern_2		vascular_stabilizing_score	0.363331694398744						
5	pattern vs program score (Spearman)	Pattern_2		inflammatory_score	0.493190675568654						
5	pattern vs program score (Spearman)	Pattern_2		synthetic_contractile_score	0.216848259181381						
5	pattern vs program score (Spearman)	Pattern_2		activated_migratory_score	0.460717563338777						
5	pattern vs program score (Spearman)	Pattern_2		fibroblast_like_score	0.201484448495252						
5	pattern vs program score (Spearman)	Pattern_2		basement_membrane_score	-0.413974005560052						
5	pattern vs program score (Spearman)	Pattern_3		anatomical_region_ccf_score							
5	pattern vs program score (Spearman)	Pattern_3		vascular_stabilizing_score	0.589661373324153						
5	pattern vs program score (Spearman)	Pattern_3		inflammatory_score	0.352629358268412						
5	pattern vs program score (Spearman)	Pattern_3		synthetic_contractile_score	0.613358214974503						
5	pattern vs program score (Spearman)	Pattern_3		activated_migratory_score	0.262734831212127						
5	pattern vs program score (Spearman)	Pattern_3		fibroblast_like_score	0.25660689661424						
5	pattern vs program score (Spearman)	Pattern_3		basement_membrane_score	-0.0765749668977648						
5	pattern vs program score (Spearman)	Pattern_4		anatomical_region_ccf_score							
5	pattern vs program score (Spearman)	Pattern_4		vascular_stabilizing_score	0.0848525436272748						
5	pattern vs program score (Spearman)	Pattern_4		inflammatory_score	0.0676604608253452						
5	pattern vs program score (Spearman)	Pattern_4		synthetic_contractile_score	0.166377631345494						
5	pattern vs program score (Spearman)	Pattern_4		activated_migratory_score	0.284095834392421						
5	pattern vs program score (Spearman)	Pattern_4		fibroblast_like_score	0.379597093969306						
5	pattern vs program score (Spearman)	Pattern_4		basement_membrane_score	0.387848973490607						
5	pattern vs program score (Spearman)	Pattern_5		anatomical_region_ccf_score							
5	pattern vs program score (Spearman)	Pattern_5		vascular_stabilizing_score	-0.435540904314795						
5	pattern vs program score (Spearman)	Pattern_5		inflammatory_score	-0.4355080441802						
5	pattern vs program score (Spearman)	Pattern_5		synthetic_contractile_score	-0.387446606257245						
5	pattern vs program score (Spearman)	Pattern_5		activated_migratory_score	-0.163948093093261						
5	pattern vs program score (Spearman)	Pattern_5		fibroblast_like_score	0.0284991742977098						
5	pattern vs program score (Spearman)	Pattern_5		basement_membrane_score	0.446987687392269						
7	PatternMarker x panel overlap	Pattern_1	vascular_stabilizing			50	11	0	0	1	1
7	PatternMarker x panel overlap	Pattern_1	inflammatory			50	16	4	0.0645161290322581	0.000469985130657305	0.00548315985766856
7	PatternMarker x panel overlap	Pattern_1	synthetic_contractile			50	8	0	0	1	1
7	PatternMarker x panel overlap	Pattern_1	activated_migratory			50	7	1	0.0178571428571429	0.159819480227624	0.698852289862047
7	PatternMarker x panel overlap	Pattern_1	fibroblast_like			50	9	0	0	1	1
7	PatternMarker x panel overlap	Pattern_2	vascular_stabilizing			50	11	4	0.0701754385964912	9.33335201951106e-05	0.00163333660341444
7	PatternMarker x panel overlap	Pattern_2	inflammatory			50	16	2	0.03125	0.0568700959416789	0.497613339489691
7	PatternMarker x panel overlap	Pattern_2	synthetic_contractile			50	8	5	0.0943396226415094	3.84865192122609e-07	1.34702817242913e-05
7	PatternMarker x panel overlap	Pattern_2	activated_migratory			50	7	1	0.0178571428571429	0.159819480227624	0.698852289862047
7	PatternMarker x panel overlap	Pattern_2	fibroblast_like			50	9	1	0.0172413793103448	0.200688038083409	0.698852289862047
7	PatternMarker x panel overlap	Pattern_3	vascular_stabilizing			50	11	0	0	1	1
7	PatternMarker x panel overlap	Pattern_3	inflammatory			50	16	0	0	1	1
7	PatternMarker x panel overlap	Pattern_3	synthetic_contractile			50	8	0	0	1	1
7	PatternMarker x panel overlap	Pattern_3	activated_migratory			50	7	0	0	1	1
7	PatternMarker x panel overlap	Pattern_3	fibroblast_like			50	9	0	0	1	1
7	PatternMarker x panel overlap	Pattern_4	vascular_stabilizing			50	11	1	0.0166666666666667	0.239606499381273	0.698852289862047
7	PatternMarker x panel overlap	Pattern_4	inflammatory			50	16	0	0	1	1
7	PatternMarker x panel overlap	Pattern_4	synthetic_contractile			50	8	0	0	1	1
7	PatternMarker x panel overlap	Pattern_4	activated_migratory			50	7	0	0	1	1
7	PatternMarker x panel overlap	Pattern_4	fibroblast_like			50	9	0	0	1	1
7	PatternMarker x panel overlap	Pattern_5	vascular_stabilizing			50	11	1	0.0166666666666667	0.239606499381273	0.698852289862047
7	PatternMarker x panel overlap	Pattern_5	inflammatory			50	16	0	0	1	1
7	PatternMarker x panel overlap	Pattern_5	synthetic_contractile			50	8	1	0.0175438596491228	0.180503392580465	0.698852289862047
7	PatternMarker x panel overlap	Pattern_5	activated_migratory			50	7	0	0	1	1
7	PatternMarker x panel overlap	Pattern_5	fibroblast_like			50	9	1	0.0172413793103448	0.200688038083409	0.698852289862047
7	PatternMarker x panel overlap	Pattern_6	vascular_stabilizing			50	11	0	0	1	1
7	PatternMarker x panel overlap	Pattern_6	inflammatory			50	16	0	0	1	1
7	PatternMarker x panel overlap	Pattern_6	synthetic_contractile			50	8	0	0	1	1
7	PatternMarker x panel overlap	Pattern_6	activated_migratory			50	7	0	0	1	1
7	PatternMarker x panel overlap	Pattern_6	fibroblast_like			50	9	0	0	1	1
7	PatternMarker x panel overlap	Pattern_7	vascular_stabilizing			50	11	0	0	1	1
7	PatternMarker x panel overlap	Pattern_7	inflammatory			50	16	0	0	1	1
7	PatternMarker x panel overlap	Pattern_7	synthetic_contractile			50	8	1	0.0175438596491228	0.180503392580465	0.698852289862047
7	PatternMarker x panel overlap	Pattern_7	activated_migratory			50	7	0	0	1	1
7	PatternMarker x panel overlap	Pattern_7	fibroblast_like			50	9	0	0	1	1
7	pattern vs AGTR1 (Spearman)	Pattern_1		AGTR1	0.0387669831914968						
7	pattern vs AGTR1 (Spearman)	Pattern_2		AGTR1	0.217462732487548						
7	pattern vs AGTR1 (Spearman)	Pattern_3		AGTR1	-0.0571209364844431						
7	pattern vs AGTR1 (Spearman)	Pattern_4		AGTR1	-0.0887738808645058						
7	pattern vs AGTR1 (Spearman)	Pattern_5		AGTR1	0.0548867603564184						
7	pattern vs AGTR1 (Spearman)	Pattern_6		AGTR1	0.156688822115587						
7	pattern vs AGTR1 (Spearman)	Pattern_7		AGTR1	0.15978001945903						
7	pattern vs program score (Spearman)	Pattern_1		anatomical_region_ccf_score							
7	pattern vs program score (Spearman)	Pattern_1		vascular_stabilizing_score	0.264093032658768						
7	pattern vs program score (Spearman)	Pattern_1		inflammatory_score	0.414197826529194						
7	pattern vs program score (Spearman)	Pattern_1		synthetic_contractile_score	0.193198956912635						
7	pattern vs program score (Spearman)	Pattern_1		activated_migratory_score	0.360714542943502						
7	pattern vs program score (Spearman)	Pattern_1		fibroblast_like_score	0.107778211412016						
7	pattern vs program score (Spearman)	Pattern_1		basement_membrane_score	-0.354951751953347						
7	pattern vs program score (Spearman)	Pattern_2		anatomical_region_ccf_score							
7	pattern vs program score (Spearman)	Pattern_2		vascular_stabilizing_score	0.569663290915959						
7	pattern vs program score (Spearman)	Pattern_2		inflammatory_score	0.402930461636006						
7	pattern vs program score (Spearman)	Pattern_2		synthetic_contractile_score	0.574025019605899						
7	pattern vs program score (Spearman)	Pattern_2		activated_migratory_score	0.26034451629568						
7	pattern vs program score (Spearman)	Pattern_2		fibroblast_like_score	0.14825208323244						
7	pattern vs program score (Spearman)	Pattern_2		basement_membrane_score	-0.316521429220406						
7	pattern vs program score (Spearman)	Pattern_3		anatomical_region_ccf_score							
7	pattern vs program score (Spearman)	Pattern_3		vascular_stabilizing_score	-0.471770943351925						
7	pattern vs program score (Spearman)	Pattern_3		inflammatory_score	-0.4538900031756						
7	pattern vs program score (Spearman)	Pattern_3		synthetic_contractile_score	-0.387409019523019						
7	pattern vs program score (Spearman)	Pattern_3		activated_migratory_score	-0.200016710835267						
7	pattern vs program score (Spearman)	Pattern_3		fibroblast_like_score	-0.0562571211484885						
7	pattern vs program score (Spearman)	Pattern_3		basement_membrane_score	0.35306716465705						
7	pattern vs program score (Spearman)	Pattern_4		anatomical_region_ccf_score							
7	pattern vs program score (Spearman)	Pattern_4		vascular_stabilizing_score	0.311614614849645						
7	pattern vs program score (Spearman)	Pattern_4		inflammatory_score	0.368121626861981						
7	pattern vs program score (Spearman)	Pattern_4		synthetic_contractile_score	0.0941109162439245						
7	pattern vs program score (Spearman)	Pattern_4		activated_migratory_score	0.448377314110256						
7	pattern vs program score (Spearman)	Pattern_4		fibroblast_like_score	0.363595984165772						
7	pattern vs program score (Spearman)	Pattern_4		basement_membrane_score	-0.128029186233933						
7	pattern vs program score (Spearman)	Pattern_5		anatomical_region_ccf_score							
7	pattern vs program score (Spearman)	Pattern_5		vascular_stabilizing_score	0.344396262507641						
7	pattern vs program score (Spearman)	Pattern_5		inflammatory_score	0.166062012673622						
7	pattern vs program score (Spearman)	Pattern_5		synthetic_contractile_score	0.360137186685171						
7	pattern vs program score (Spearman)	Pattern_5		activated_migratory_score	0.253210630017128						
7	pattern vs program score (Spearman)	Pattern_5		fibroblast_like_score	0.394455414915879						
7	pattern vs program score (Spearman)	Pattern_5		basement_membrane_score	0.352082903173278						
7	pattern vs program score (Spearman)	Pattern_6		anatomical_region_ccf_score							
7	pattern vs program score (Spearman)	Pattern_6		vascular_stabilizing_score	-0.0577673233421495						
7	pattern vs program score (Spearman)	Pattern_6		inflammatory_score	-0.0323990731192149						
7	pattern vs program score (Spearman)	Pattern_6		synthetic_contractile_score	0.158368030159207						
7	pattern vs program score (Spearman)	Pattern_6		activated_migratory_score	0.0723487003811767						
7	pattern vs program score (Spearman)	Pattern_6		fibroblast_like_score	0.0737462258139861						
7	pattern vs program score (Spearman)	Pattern_6		basement_membrane_score	0.189634096523944						
7	pattern vs program score (Spearman)	Pattern_7		anatomical_region_ccf_score							
7	pattern vs program score (Spearman)	Pattern_7		vascular_stabilizing_score	-0.437173151194165						
7	pattern vs program score (Spearman)	Pattern_7		inflammatory_score	-0.464319853474472						
7	pattern vs program score (Spearman)	Pattern_7		synthetic_contractile_score	-0.246897446880786						
7	pattern vs program score (Spearman)	Pattern_7		activated_migratory_score	-0.397854324142443						
7	pattern vs program score (Spearman)	Pattern_7		fibroblast_like_score	-0.392098931202075						
7	pattern vs program score (Spearman)	Pattern_7		basement_membrane_score	0.297350943647112						
8	PatternMarker x panel overlap	Pattern_1	vascular_stabilizing			50	11	0	0	1	1
8	PatternMarker x panel overlap	Pattern_1	inflammatory			50	16	3	0.0476190476190476	0.00621515330786006	0.0596654717554565
8	PatternMarker x panel overlap	Pattern_1	synthetic_contractile			50	8	0	0	1	1
8	PatternMarker x panel overlap	Pattern_1	activated_migratory			50	7	1	0.0178571428571429	0.159819480227624	0.602064114250226
8	PatternMarker x panel overlap	Pattern_1	fibroblast_like			50	9	1	0.0172413793103448	0.200688038083409	0.602064114250226
8	PatternMarker x panel overlap	Pattern_1	basement_membrane			50	13	0	0	1	1
8	PatternMarker x panel overlap	Pattern_2	vascular_stabilizing			50	11	0	0	1	1
8	PatternMarker x panel overlap	Pattern_2	inflammatory			50	16	0	0	1	1
8	PatternMarker x panel overlap	Pattern_2	synthetic_contractile			50	8	0	0	1	1
8	PatternMarker x panel overlap	Pattern_2	activated_migratory			50	7	0	0	1	1
8	PatternMarker x panel overlap	Pattern_2	fibroblast_like			50	9	0	0	1	1
8	PatternMarker x panel overlap	Pattern_2	basement_membrane			50	13	0	0	1	1
8	PatternMarker x panel overlap	Pattern_3	vascular_stabilizing			50	11	1	0.0166666666666667	0.239606499381273	0.638950665016729
8	PatternMarker x panel overlap	Pattern_3	inflammatory			50	16	4	0.0645161290322581	0.000469985130657305	0.00751976209051688
8	PatternMarker x panel overlap	Pattern_3	synthetic_contractile			50	8	1	0.0175438596491228	0.180503392580465	0.602064114250226
8	PatternMarker x panel overlap	Pattern_3	activated_migratory			50	7	0	0	1	1
8	PatternMarker x panel overlap	Pattern_3	fibroblast_like			50	9	0	0	1	1
8	PatternMarker x panel overlap	Pattern_3	basement_membrane			50	13	0	0	1	1
8	PatternMarker x panel overlap	Pattern_4	vascular_stabilizing			50	11	1	0.0166666666666667	0.239606499381273	0.638950665016729
8	PatternMarker x panel overlap	Pattern_4	inflammatory			50	16	1	0.0153846153846154	0.328959502089049	0.789502805013717
8	PatternMarker x panel overlap	Pattern_4	synthetic_contractile			50	8	1	0.0175438596491228	0.180503392580465	0.602064114250226
8	PatternMarker x panel overlap	Pattern_4	activated_migratory			50	7	1	0.0178571428571429	0.159819480227624	0.602064114250226
8	PatternMarker x panel overlap	Pattern_4	fibroblast_like			50	9	2	0.0350877192982456	0.0190262285569111	0.130465567247391
8	PatternMarker x panel overlap	Pattern_4	basement_membrane			50	13	1	0.0161290322580645	0.276666105641683	0.698945951094779
8	PatternMarker x panel overlap	Pattern_5	vascular_stabilizing			50	11	2	0.0338983050847458	0.0281725128593832	0.169035077156299
8	PatternMarker x panel overlap	Pattern_5	inflammatory			50	16	0	0	1	1
8	PatternMarker x panel overlap	Pattern_5	synthetic_contractile			50	8	4	0.0740740740740741	2.09105602266621e-05	0.00050185344543989
8	PatternMarker x panel overlap	Pattern_5	activated_migratory			50	7	0	0	1	1
8	PatternMarker x panel overlap	Pattern_5	fibroblast_like			50	9	1	0.0172413793103448	0.200688038083409	0.602064114250226
8	PatternMarker x panel overlap	Pattern_5	basement_membrane			50	13	0	0	1	1
8	PatternMarker x panel overlap	Pattern_6	vascular_stabilizing			50	11	0	0	1	1
8	PatternMarker x panel overlap	Pattern_6	inflammatory			50	16	0	0	1	1
8	PatternMarker x panel overlap	Pattern_6	synthetic_contractile			50	8	0	0	1	1
8	PatternMarker x panel overlap	Pattern_6	activated_migratory			50	7	0	0	1	1
8	PatternMarker x panel overlap	Pattern_6	fibroblast_like			50	9	0	0	1	1
8	PatternMarker x panel overlap	Pattern_6	basement_membrane			50	13	0	0	1	1
8	PatternMarker x panel overlap	Pattern_7	vascular_stabilizing			50	11	5	0.0892857142857143	3.00273851889228e-06	0.000144131448906829
8	PatternMarker x panel overlap	Pattern_7	inflammatory			50	16	3	0.0476190476190476	0.00621515330786006	0.0596654717554565
8	PatternMarker x panel overlap	Pattern_7	synthetic_contractile			50	8	1	0.0175438596491228	0.180503392580465	0.602064114250226
8	PatternMarker x panel overlap	Pattern_7	activated_migratory			50	7	1	0.0178571428571429	0.159819480227624	0.602064114250226
8	PatternMarker x panel overlap	Pattern_7	fibroblast_like			50	9	2	0.0350877192982456	0.0190262285569111	0.130465567247391
8	PatternMarker x panel overlap	Pattern_7	basement_membrane			50	13	0	0	1	1
8	PatternMarker x panel overlap	Pattern_8	vascular_stabilizing			50	11	0	0	1	1
8	PatternMarker x panel overlap	Pattern_8	inflammatory			50	16	0	0	1	1
8	PatternMarker x panel overlap	Pattern_8	synthetic_contractile			50	8	0	0	1	1
8	PatternMarker x panel overlap	Pattern_8	activated_migratory			50	7	0	0	1	1
8	PatternMarker x panel overlap	Pattern_8	fibroblast_like			50	9	0	0	1	1
8	PatternMarker x panel overlap	Pattern_8	basement_membrane			50	13	0	0	1	1
8	pattern vs AGTR1 (Spearman)	Pattern_1		AGTR1	0.0480223615525136						
8	pattern vs AGTR1 (Spearman)	Pattern_2		AGTR1	0.11979149156151						
8	pattern vs AGTR1 (Spearman)	Pattern_3		AGTR1	-0.0350977664784741						
8	pattern vs AGTR1 (Spearman)	Pattern_4		AGTR1	0.0199744811155384						
8	pattern vs AGTR1 (Spearman)	Pattern_5		AGTR1	0.172764813472955						
8	pattern vs AGTR1 (Spearman)	Pattern_6		AGTR1	0.0197690622452059						
8	pattern vs AGTR1 (Spearman)	Pattern_7		AGTR1	0.215096889496814						
8	pattern vs AGTR1 (Spearman)	Pattern_8		AGTR1	-0.074707843475052						
8	pattern vs program score (Spearman)	Pattern_1		anatomical_region_ccf_score							
8	pattern vs program score (Spearman)	Pattern_1		vascular_stabilizing_score	0.265852967506465						
8	pattern vs program score (Spearman)	Pattern_1		inflammatory_score	0.396073516192646						
8	pattern vs program score (Spearman)	Pattern_1		synthetic_contractile_score	0.207738774373605						
8	pattern vs program score (Spearman)	Pattern_1		activated_migratory_score	0.348550197554864						
8	pattern vs program score (Spearman)	Pattern_1		fibroblast_like_score	0.106437293402765						
8	pattern vs program score (Spearman)	Pattern_1		basement_membrane_score	-0.350318965785276						
8	pattern vs program score (Spearman)	Pattern_2		anatomical_region_ccf_score							
8	pattern vs program score (Spearman)	Pattern_2		vascular_stabilizing_score	-0.444699273801069						
8	pattern vs program score (Spearman)	Pattern_2		inflammatory_score	-0.447500244281373						
8	pattern vs program score (Spearman)	Pattern_2		synthetic_contractile_score	-0.406818607908344						
8	pattern vs program score (Spearman)	Pattern_2		activated_migratory_score	-0.400294226787595						
8	pattern vs program score (Spearman)	Pattern_2		fibroblast_like_score	-0.378539589494732						
8	pattern vs program score (Spearman)	Pattern_2		basement_membrane_score	0.247134516766657						
8	pattern vs program score (Spearman)	Pattern_3		anatomical_region_ccf_score							
8	pattern vs program score (Spearman)	Pattern_3		vascular_stabilizing_score	0.32906944415222						
8	pattern vs program score (Spearman)	Pattern_3		inflammatory_score	0.450776650205611						
8	pattern vs program score (Spearman)	Pattern_3		synthetic_contractile_score	0.2842652422513						
8	pattern vs program score (Spearman)	Pattern_3		activated_migratory_score	0.417854034292747						
8	pattern vs program score (Spearman)	Pattern_3		fibroblast_like_score	0.230672826007219						
8	pattern vs program score (Spearman)	Pattern_3		basement_membrane_score	-0.185245986682686						
8	pattern vs program score (Spearman)	Pattern_4		anatomical_region_ccf_score							
8	pattern vs program score (Spearman)	Pattern_4		vascular_stabilizing_score	0.367045892337133						
8	pattern vs program score (Spearman)	Pattern_4		inflammatory_score	0.205938616342033						
8	pattern vs program score (Spearman)	Pattern_4		synthetic_contractile_score	0.268349303854988						
8	pattern vs program score (Spearman)	Pattern_4		activated_migratory_score	0.26285077032433						
8	pattern vs program score (Spearman)	Pattern_4		fibroblast_like_score	0.418422130707207						
8	pattern vs program score (Spearman)	Pattern_4		basement_membrane_score	0.244165554060497						
8	pattern vs program score (Spearman)	Pattern_5		anatomical_region_ccf_score							
8	pattern vs program score (Spearman)	Pattern_5		vascular_stabilizing_score	0.104341578906929						
8	pattern vs program score (Spearman)	Pattern_5		inflammatory_score	0.0156391773935434						
8	pattern vs program score (Spearman)	Pattern_5		synthetic_contractile_score	0.623094967160414						
8	pattern vs program score (Spearman)	Pattern_5		activated_migratory_score	0.073315957738161						
8	pattern vs program score (Spearman)	Pattern_5		fibroblast_like_score	0.0200552068827279						
8	pattern vs program score (Spearman)	Pattern_5		basement_membrane_score	0.265001997385571						
8	pattern vs program score (Spearman)	Pattern_6		anatomical_region_ccf_score							
8	pattern vs program score (Spearman)	Pattern_6		vascular_stabilizing_score	0.101031872268965						
8	pattern vs program score (Spearman)	Pattern_6		inflammatory_score	0.105658545367125						
8	pattern vs program score (Spearman)	Pattern_6		synthetic_contractile_score	-0.0851812429702872						
8	pattern vs program score (Spearman)	Pattern_6		activated_migratory_score	0.296595222184762						
8	pattern vs program score (Spearman)	Pattern_6		fibroblast_like_score	0.37501173263624						
8	pattern vs program score (Spearman)	Pattern_6		basement_membrane_score	0.0995514101539794						
8	pattern vs program score (Spearman)	Pattern_7		anatomical_region_ccf_score							
8	pattern vs program score (Spearman)	Pattern_7		vascular_stabilizing_score	0.582123802900492						
8	pattern vs program score (Spearman)	Pattern_7		inflammatory_score	0.389065087176085						
8	pattern vs program score (Spearman)	Pattern_7		synthetic_contractile_score	0.471555431855777						
8	pattern vs program score (Spearman)	Pattern_7		activated_migratory_score	0.273675459670893						
8	pattern vs program score (Spearman)	Pattern_7		fibroblast_like_score	0.19090797890812						
8	pattern vs program score (Spearman)	Pattern_7		basement_membrane_score	-0.330004395889152						
8	pattern vs program score (Spearman)	Pattern_8		anatomical_region_ccf_score							
8	pattern vs program score (Spearman)	Pattern_8		vascular_stabilizing_score	-0.465206062162736						
8	pattern vs program score (Spearman)	Pattern_8		inflammatory_score	-0.462300879852629						
8	pattern vs program score (Spearman)	Pattern_8		synthetic_contractile_score	-0.427950177316196						
8	pattern vs program score (Spearman)	Pattern_8		activated_migratory_score	-0.195402907751173						
8	pattern vs program score (Spearman)	Pattern_8		fibroblast_like_score	-0.044947294726632						
8	pattern vs program score (Spearman)	Pattern_8		basement_membrane_score	0.394150131626993						
9	PatternMarker x panel overlap	Pattern_1	vascular_stabilizing			50	11	0	0	1	1
9	PatternMarker x panel overlap	Pattern_1	inflammatory			50	16	0	0	1	1
9	PatternMarker x panel overlap	Pattern_1	synthetic_contractile			50	8	0	0	1	1
9	PatternMarker x panel overlap	Pattern_1	activated_migratory			50	7	0	0	1	1
9	PatternMarker x panel overlap	Pattern_1	fibroblast_like			50	9	0	0	1	1
9	PatternMarker x panel overlap	Pattern_1	basement_membrane			50	13	0	0	1	1
9	PatternMarker x panel overlap	Pattern_2	vascular_stabilizing			50	11	0	0	1	1
9	PatternMarker x panel overlap	Pattern_2	inflammatory			50	16	4	0.0645161290322581	0.000469985130657305	0.00845973235183149
9	PatternMarker x panel overlap	Pattern_2	synthetic_contractile			50	8	0	0	1	1
9	PatternMarker x panel overlap	Pattern_2	activated_migratory			50	7	0	0	1	1
9	PatternMarker x panel overlap	Pattern_2	fibroblast_like			50	9	0	0	1	1
9	PatternMarker x panel overlap	Pattern_2	basement_membrane			50	13	0	0	1	1
9	PatternMarker x panel overlap	Pattern_3	vascular_stabilizing			50	11	0	0	1	1
9	PatternMarker x panel overlap	Pattern_3	inflammatory			50	16	3	0.0476190476190476	0.00621515330786006	0.0671236557248886
9	PatternMarker x panel overlap	Pattern_3	synthetic_contractile			50	8	0	0	1	1
9	PatternMarker x panel overlap	Pattern_3	activated_migratory			50	7	0	0	1	1
9	PatternMarker x panel overlap	Pattern_3	fibroblast_like			50	9	0	0	1	1
9	PatternMarker x panel overlap	Pattern_3	basement_membrane			50	13	0	0	1	1
9	PatternMarker x panel overlap	Pattern_4	vascular_stabilizing			50	11	0	0	1	1
9	PatternMarker x panel overlap	Pattern_4	inflammatory			50	16	1	0.0153846153846154	0.328959502089049	1
9	PatternMarker x panel overlap	Pattern_4	synthetic_contractile			50	8	0	0	1	1
9	PatternMarker x panel overlap	Pattern_4	activated_migratory			50	7	0	0	1	1
9	PatternMarker x panel overlap	Pattern_4	fibroblast_like			50	9	0	0	1	1
9	PatternMarker x panel overlap	Pattern_4	basement_membrane			50	13	0	0	1	1
9	PatternMarker x panel overlap	Pattern_5	vascular_stabilizing			50	11	0	0	1	1
9	PatternMarker x panel overlap	Pattern_5	inflammatory			50	16	2	0.03125	0.0568700959416789	0.438712168692952
9	PatternMarker x panel overlap	Pattern_5	synthetic_contractile			50	8	4	0.0740740740740741	2.09105602266621e-05	0.00112917025223975
9	PatternMarker x panel overlap	Pattern_5	activated_migratory			50	7	0	0	1	1
9	PatternMarker x panel overlap	Pattern_5	fibroblast_like			50	9	1	0.0172413793103448	0.200688038083409	0.833627235115698
9	PatternMarker x panel overlap	Pattern_5	basement_membrane			50	13	0	0	1	1
9	PatternMarker x panel overlap	Pattern_6	vascular_stabilizing			50	11	1	0.0166666666666667	0.239606499381273	0.862583397772584
9	PatternMarker x panel overlap	Pattern_6	inflammatory			50	16	0	0	1	1
9	PatternMarker x panel overlap	Pattern_6	synthetic_contractile			50	8	0	0	1	1
9	PatternMarker x panel overlap	Pattern_6	activated_migratory			50	7	0	0	1	1
9	PatternMarker x panel overlap	Pattern_6	fibroblast_like			50	9	1	0.0172413793103448	0.200688038083409	0.833627235115698
9	PatternMarker x panel overlap	Pattern_6	basement_membrane			50	13	0	0	1	1
9	PatternMarker x panel overlap	Pattern_7	vascular_stabilizing			50	11	1	0.0166666666666667	0.239606499381273	0.862583397772584
9	PatternMarker x panel overlap	Pattern_7	inflammatory			50	16	0	0	1	1
9	PatternMarker x panel overlap	Pattern_7	synthetic_contractile			50	8	1	0.0175438596491228	0.180503392580465	0.833627235115698
9	PatternMarker x panel overlap	Pattern_7	activated_migratory			50	7	0	0	1	1
