gene	stat	value
ATP5F1B	slope_AT2	0.218076019230908
ATP5F1B	slope_EC_aerocyte	0.0419917486604185
ATP5F1B	slope_EC_gcap	0.059550783848771
ATP5F1B	contrast_EC_aerocyte - EC_gcap	-0.0175590351883525
ATP5F1B	contrast_epithelial - endothelial	0.000218659946097016
ATP5F1B	lrt_chisq	4.71095031365735
ATP5MC2	slope_AT1	0.0414633492706568
ATP5MC2	slope_AT2	0.167543319809709
ATP5MC2	slope_EC_aerocyte	0.0173418303408005
ATP5MC2	slope_EC_gcap	0.082805102331628
ATP5MC2	contrast_EC_aerocyte - EC_gcap	-0.0654632719908276
ATP5MC2	contrast_epithelial - endothelial	0.0544298682039687
ATP5MC2	lrt_chisq	1.09593219652049
ATP5MG	slope_AT1	0.02614016885758
ATP5MG	slope_AT2	0.242404414072416
ATP5MG	slope_EC_aerocyte	-0.203872042605593
ATP5MG	slope_EC_gcap	-0.0860584609207895
ATP5MG	contrast_EC_aerocyte - EC_gcap	-0.117813581684804
ATP5MG	contrast_epithelial - endothelial	0.27923754322819
ATP5MG	lrt_chisq	9.14915722015871
ATP6V0E1	slope_AT1	0.11416345078906
ATP6V0E1	slope_AT2	0.109460722264587
ATP6V0E1	slope_EC_aerocyte	-0.0528181555836815
ATP6V0E1	slope_EC_gcap	0.0406664744520597
ATP6V0E1	contrast_EC_aerocyte - EC_gcap	-0.0934846300357411
ATP6V0E1	contrast_epithelial - endothelial	0.117887927092635
ATP6V0E1	lrt_chisq	1.68522448640124
ATRX	slope_AT1	0.0332643664690924
ATRX	slope_AT2	-0.145612135291477
ATRX	slope_EC_aerocyte	0.164132203126646
ATRX	slope_EC_gcap	0.0837364062532597
ATRX	contrast_EC_aerocyte - EC_gcap	0.0803957968733864
ATRX	contrast_epithelial - endothelial	-0.180108189101145
ATRX	lrt_chisq	4.7772054745476
AXL	slope_AT1	0.118513208495185
AXL	slope_AT2	0.145924148144194
AXL	slope_EC_aerocyte	-0.12243215937574
AXL	slope_EC_gcap	-0.153071177799722
AXL	contrast_EC_aerocyte - EC_gcap	0.0306390184239821
AXL	contrast_epithelial - endothelial	0.269970346907421
AXL	lrt_chisq	6.829229762252
BLTP1	slope_AT1	-0.0955172078422513
BLTP1	slope_AT2	-0.112252504668981
BLTP1	slope_EC_aerocyte	-0.0571832968994344
BLTP1	slope_EC_gcap	-0.0923382708585304
BLTP1	contrast_EC_aerocyte - EC_gcap	0.035154973959096
BLTP1	contrast_epithelial - endothelial	-0.0291240723766337
BLTP1	lrt_chisq	0.148445808349265
BNIP3L	slope_AT1	-0.0302489921244859
BNIP3L	slope_AT2	0.0627849876892141
BNIP3L	slope_EC_aerocyte	-0.0304161930786405
BNIP3L	slope_EC_gcap	0.0604504995154626
BNIP3L	contrast_EC_aerocyte - EC_gcap	-0.0908666925941031
BNIP3L	contrast_epithelial - endothelial	0.00125084456395301
BNIP3L	lrt_chisq	0.776939503471681
C11orf96	slope_AT1	-0.0165577106451251
C11orf96	slope_AT2	-0.0197111384390005
C11orf96	slope_EC_aerocyte	0.0771434987135156
C11orf96	slope_EC_gcap	0.158799543418533
C11orf96	contrast_EC_aerocyte - EC_gcap	-0.0816560447050171
C11orf96	contrast_epithelial - endothelial	-0.136105945608087
C11orf96	lrt_chisq	1.83165979141324
C1S	slope_AT1	-0.0755499780823518
C1S	slope_AT2	0.0811964982052274
C1S	slope_EC_aerocyte	-0.0408448049866097
C1S	slope_EC_gcap	-0.00539477904728924
C1S	contrast_EC_aerocyte - EC_gcap	-0.0354500259393204
C1S	contrast_epithelial - endothelial	0.0259430520783872
C1S	lrt_chisq	1.24873237716588
C4orf3	slope_AT1	-0.0791432339949733
C4orf3	slope_AT2	0.0670623952185814
C4orf3	slope_EC_aerocyte	0.105874909984818
C4orf3	slope_EC_gcap	0.199973024602721
C4orf3	contrast_EC_aerocyte - EC_gcap	-0.094098114617903
C4orf3	contrast_epithelial - endothelial	-0.158964386681965
C4orf3	lrt_chisq	3.74279469612986
CADM1	slope_AT1	0.133763448801257
CADM1	slope_AT2	0.0498143099429073
CADM1	slope_EC_aerocyte	0.039987124797343
CADM1	slope_EC_gcap	0.00276878203105344
CADM1	contrast_EC_aerocyte - EC_gcap	0.0372183427662895
CADM1	contrast_epithelial - endothelial	0.070410925957884
CADM1	lrt_chisq	0.845064385573664
CAST	slope_AT1	0.0657465210902806
CAST	slope_AT2	-0.0629849769169705
CAST	slope_EC_aerocyte	-0.0457572611853548
CAST	slope_EC_gcap	-0.026193360693412
CAST	contrast_EC_aerocyte - EC_gcap	-0.0195639004919428
CAST	contrast_epithelial - endothelial	0.0373560830260384
CAST	lrt_chisq	0.907160426171004
CD81	slope_AT1	0.0140958066737164
CD81	slope_AT2	0.0972589434457151
CD81	slope_EC_aerocyte	-0.274319898519228
CD81	slope_EC_gcap	-0.263441765135808
CD81	contrast_EC_aerocyte - EC_gcap	-0.0108781333834201
CD81	contrast_epithelial - endothelial	0.324558206887234
CD81	lrt_chisq	10.2394462078959
CDH6	slope_AT1	0.00740383087470723
CDH6	slope_AT2	0.0242330530227478
CDH6	slope_EC_aerocyte	-0.0350728839864128
CDH6	slope_EC_gcap	-0.086626737810509
CDH6	contrast_EC_aerocyte - EC_gcap	0.0515538538240963
CDH6	contrast_epithelial - endothelial	0.0766682528471884
CDH6	lrt_chisq	0.675121973867704
CFDP1	slope_AT1	0.104591383288281
CFDP1	slope_AT2	-0.0268300471916895
CFDP1	slope_EC_aerocyte	-0.158503049513222
CFDP1	slope_EC_gcap	-0.232978648825173
CFDP1	contrast_EC_aerocyte - EC_gcap	0.0744755993119509
CFDP1	contrast_epithelial - endothelial	0.234621517217493
CFDP1	lrt_chisq	6.18392068221294
CLIC4	slope_AT1	-0.0457791259203843
CLIC4	slope_AT2	-0.135346313982684
CLIC4	slope_EC_aerocyte	0.149400936424441
CLIC4	slope_EC_gcap	0.160265531016285
CLIC4	contrast_EC_aerocyte - EC_gcap	-0.010864594591844
CLIC4	contrast_epithelial - endothelial	-0.245395953671897
CLIC4	lrt_chisq	5.95324232889243
CLMN	slope_AT1	-0.0580732797127166
CLMN	slope_AT2	-0.200159331978246
CLMN	slope_EC_aerocyte	-0.0510210220944418
CLMN	slope_EC_gcap	-0.114516127329684
CLMN	contrast_EC_aerocyte - EC_gcap	0.0634951052352417
CLMN	contrast_epithelial - endothelial	-0.0463477311334186
CLMN	lrt_chisq	1.32394206914682
COL5A2	slope_AT1	-0.053035142956131
COL5A2	slope_AT2	0.145445227630072
COL5A2	slope_EC_aerocyte	-0.0236553142972358
COL5A2	slope_EC_gcap	0.0412455362442197
COL5A2	contrast_EC_aerocyte - EC_gcap	-0.0649008505414555
COL5A2	contrast_epithelial - endothelial	0.0374099313634784
COL5A2	lrt_chisq	2.13651956278568
COL6A3	slope_AT1	-0.000286816380190695
COL6A3	slope_AT2	-0.0576656566787125
COL6A3	slope_EC_aerocyte	0.034942649238581
COL6A3	slope_EC_gcap	0.104446604792191
COL6A3	contrast_EC_aerocyte - EC_gcap	-0.0695039555536101
COL6A3	contrast_epithelial - endothelial	-0.0986708635448376
COL6A3	lrt_chisq	1.26851793488697
COX6B1	slope_AT1	0.105595887474194
COX6B1	slope_AT2	0.129583706598108
COX6B1	slope_EC_aerocyte	0.0069189953623552
COX6B1	slope_EC_gcap	0.0412195066261753
COX6B1	contrast_EC_aerocyte - EC_gcap	-0.0343005112638201
COX6B1	contrast_epithelial - endothelial	0.0935205460418859
COX6B1	lrt_chisq	0.887941997587404
COX7A1	slope_AT1	0.0876946514945824
COX7A1	slope_AT2	0.110786968541619
COX7A1	slope_EC_aerocyte	-0.318120475987614
COX7A1	slope_EC_gcap	-0.225719245438172
COX7A1	contrast_EC_aerocyte - EC_gcap	-0.092401230549442
COX7A1	contrast_epithelial - endothelial	0.371160670730993
COX7A1	lrt_chisq	13.3883004320726
COX7B	slope_AT1	0.0373266047546644
COX7B	slope_AT2	0.054037199682237
COX7B	slope_EC_aerocyte	-0.179289200244017
COX7B	slope_EC_gcap	-0.0934041961861122
COX7B	contrast_EC_aerocyte - EC_gcap	-0.0858850040579053
COX7B	contrast_epithelial - endothelial	0.182028600433516
COX7B	lrt_chisq	3.36137207685988
COX8A	slope_AT1	0.296567596968224
COX8A	slope_AT2	0.235564682838056
COX8A	slope_EC_aerocyte	-0.134794424941718
COX8A	slope_EC_gcap	-0.08554018746179
COX8A	contrast_EC_aerocyte - EC_gcap	-0.0492542374799281
COX8A	contrast_epithelial - endothelial	0.376233446104894
COX8A	lrt_chisq	12.1255113916322
CSNK1A1	slope_AT1	-0.0423154540392132
CSNK1A1	slope_AT2	0.164938694604348
CSNK1A1	slope_EC_aerocyte	-0.182217919622727
CSNK1A1	slope_EC_gcap	-0.0754344141285759
CSNK1A1	contrast_EC_aerocyte - EC_gcap	-0.106783505494151
CSNK1A1	contrast_epithelial - endothelial	0.190137787158219
CSNK1A1	lrt_chisq	5.86428518157015
CYB5R3	slope_AT1	-0.0974404034439045
CYB5R3	slope_AT2	0.000795957506992948
CYB5R3	slope_EC_aerocyte	0.103758164854483
CYB5R3	slope_EC_gcap	0.159407087871759
CYB5R3	contrast_EC_aerocyte - EC_gcap	-0.0556489230172766
CYB5R3	contrast_epithelial - endothelial	-0.179904849331577
CYB5R3	lrt_chisq	3.57763229421539
CYBA	slope_AT1	-0.17460260664858
CYBA	slope_AT2	-0.123488460498521
CYBA	slope_EC_aerocyte	0.0550463162741219
CYBA	slope_EC_gcap	0.0977488324290827
CYBA	contrast_EC_aerocyte - EC_gcap	-0.0427025161549608
CYBA	contrast_epithelial - endothelial	-0.225443107925153
CYBA	lrt_chisq	4.83084199013115
CYSTM1	slope_AT1	0.25518163066919
CYSTM1	slope_AT2	0.447921203071736
CYSTM1	slope_EC_aerocyte	-0.382551565921505
CYSTM1	slope_EC_gcap	-0.291637803780215
CYSTM1	contrast_EC_aerocyte - EC_gcap	-0.0909137621412898
CYSTM1	contrast_epithelial - endothelial	0.688646101721323
CYSTM1	lrt_chisq	51.0494941006654
DAD1	slope_AT1	-0.195184881208421
DAD1	slope_AT2	0.117839380050207
DAD1	slope_EC_aerocyte	-0.0153174459964809
DAD1	slope_EC_gcap	0.028602268445421
DAD1	contrast_EC_aerocyte - EC_gcap	-0.0439197144419019
DAD1	contrast_epithelial - endothelial	-0.045315161803577
DAD1	lrt_chisq	4.80495703295742
DGKG	slope_AT1	-0.253603316599152
DGKG	slope_AT2	-0.090117362501834
DGKG	slope_EC_aerocyte	-0.0790661661661476
DGKG	slope_EC_gcap	-0.108361946630312
DGKG	contrast_EC_aerocyte - EC_gcap	0.0292957804641644
DGKG	contrast_epithelial - endothelial	-0.0781462831522632
DGKG	lrt_chisq	1.8605594936904
DGKH	slope_AT1	-0.0832776921004215
DGKH	slope_AT2	-0.215678669545728
DGKH	slope_EC_aerocyte	-0.0111454878234179
DGKH	slope_EC_gcap	-0.0681591184883783
DGKH	contrast_EC_aerocyte - EC_gcap	0.0570136306649604
DGKH	contrast_epithelial - endothelial	-0.109825877667177
DGKH	lrt_chisq	2.08228018481475
ECE1	slope_AT1	-0.304253598294623
ECE1	slope_AT2	-0.150449767022828
ECE1	slope_EC_aerocyte	-0.0206115998997489
ECE1	slope_EC_gcap	-0.0345548966173018
ECE1	contrast_EC_aerocyte - EC_gcap	0.0139432967175528
ECE1	contrast_epithelial - endothelial	-0.1997684344002
ECE1	lrt_chisq	4.86106545563871
EHD2	slope_AT1	-0.284385990830953
EHD2	slope_AT2	-0.12055576912155
EHD2	slope_EC_aerocyte	0.0403146972686634
EHD2	slope_EC_gcap	0.00117769209619167
EHD2	contrast_EC_aerocyte - EC_gcap	0.0391370051724718
EHD2	contrast_epithelial - endothelial	-0.223217074658679
EHD2	lrt_chisq	5.96665159716963
EIF3E	slope_AT1	0.115485133550248
EIF3E	slope_AT2	0.137278620431135
EIF3E	slope_EC_aerocyte	0.121199467148728
EIF3E	slope_EC_gcap	0.2063251817798
EIF3E	contrast_EC_aerocyte - EC_gcap	-0.0851257146310712
EIF3E	contrast_epithelial - endothelial	-0.0373804474735726
EIF3E	lrt_chisq	0.492141921712573
EIF3K	slope_AT1	0.143102732860999
EIF3K	slope_AT2	0.118075442785608
EIF3K	slope_EC_aerocyte	-0.0584328487700721
EIF3K	slope_EC_gcap	0.00668052353683524
EIF3K	contrast_EC_aerocyte - EC_gcap	-0.0651133723069074
EIF3K	contrast_epithelial - endothelial	0.156465250439922
EIF3K	lrt_chisq	2.48412200810117
EIF4A1	slope_AT1	-0.0794802886444304
EIF4A1	slope_AT2	0.0936584632523497
EIF4A1	slope_EC_aerocyte	-0.192900888438447
EIF4A1	slope_EC_gcap	-0.20613642096083
EIF4A1	contrast_EC_aerocyte - EC_gcap	0.0132355325223832
EIF4A1	contrast_epithelial - endothelial	0.206607742003598
EIF4A1	lrt_chisq	4.88888722838181
EIF4G2	slope_AT1	-0.0300010256711865
EIF4G2	slope_AT2	-0.0275631248921989
EIF4G2	slope_EC_aerocyte	0.252002166475216
EIF4G2	slope_EC_gcap	0.232724175886663
EIF4G2	contrast_EC_aerocyte - EC_gcap	0.0192779905885534
EIF4G2	contrast_epithelial - endothelial	-0.271145246462632
EIF4G2	lrt_chisq	6.89606012075626
ELOB	slope_AT1	-0.154671883017077
ELOB	slope_AT2	0.0394105743255655
ELOB	slope_EC_aerocyte	-0.243676200781659
ELOB	slope_EC_gcap	-0.176187175134063
ELOB	contrast_EC_aerocyte - EC_gcap	-0.0674890256475962
ELOB	contrast_epithelial - endothelial	0.152301033612105
ELOB	lrt_chisq	3.77158792628256
ERH	slope_AT1	0.0869224573694291
ERH	slope_AT2	0.155611219024357
