score	family	kind	n_donors	median_rho	q25	q75	p_wilcox	p_BH	null_mean	null_sd	p_emp
progeny_Trail	progeny_other	partial	69	-0.0962406015037594	-0.193393665158371	-0.00235876514089319	0.000311786965116729	0.00140304134302528	NA	NA	NA
progeny_VEGF	progeny_other	raw	69	-0.016089886244801	-0.144106654766553	0.0614572693224379	0.0895038438596496	0.0895038438596496	NA	NA	NA
progeny_VEGF	progeny_other	partial	69	0.0140208479659818	-0.0572623895321502	0.112618724559023	0.35717692539931	0.459227475513399	NA	NA	NA
progeny_WNT	progeny_other	raw	69	0.0643478260869565	-0.0345598845598846	0.13800539083558	0.000311786965116729	0.000467680447675093	NA	NA	NA
progeny_WNT	progeny_other	partial	69	0.00735430900564405	-0.0714809384164223	0.0810204081632653	0.675562403091685	0.675562403091685	NA	NA	NA
progeny_p53	progeny_other	raw	69	-0.14912484225213	-0.420024009603842	0.0411840411840412	4.39374556928575e-06	9.88592753089294e-06	NA	NA	NA
progeny_p53	progeny_other	partial	69	-0.0862289763510629	-0.222761104441777	0.0661745952397956	0.00153047802873839	0.00459143408621516	NA	NA	NA
tf_FOS	tf	raw	69	-0.255030012004802	-0.351888225169586	-0.111489419424851	4.66250375314352e-10	6.52750525440093e-10	NA	NA	NA
tf_FOS	tf	partial	69	-0.0649055608716454	-0.197737556561086	0.0362012129746684	0.00153047802873839	0.00178555770019478	NA	NA	NA
tf_JUN	tf	raw	69	-0.326315789473684	-0.43733583489681	-0.153144956696702	6.32021458481828e-10	7.37358368228799e-10	NA	NA	NA
tf_JUN	tf	partial	69	-0.118851858419515	-0.244145650550457	0.0242800677583286	0.000778951347023881	0.00166996292232681	NA	NA	NA
tf_NFKB1	tf	raw	69	-0.166023166023166	-0.291149567723825	-0.0750861079219288	1.86854184942975e-09	1.86854184942975e-09	NA	NA	NA
tf_NFKB1	tf	partial	69	-0.0527579162410623	-0.162337662337662	0.0225002805521266	0.0008133537000721	0.00166996292232681	NA	NA	NA
tf_RELA	tf	raw	69	-0.247974805353862	-0.311206165136771	-0.10710502395451	4.48783445330297e-10	6.52750525440093e-10	NA	NA	NA
tf_RELA	tf	partial	69	-0.0593795093795094	-0.168979591836735	0.0499274310595065	0.00867107142005355	0.00867107142005355	NA	NA	NA
tf_SMAD2	tf	raw	69	-0.199146514935989	-0.308857539315449	-0.115519301446075	2.94164008330047e-10	6.52750525440093e-10	NA	NA	NA
tf_SMAD2	tf	partial	69	-0.0682110682110682	-0.1420410906298	0.0288957688338493	0.000490803968563698	0.00166996292232681	NA	NA	NA
tf_SMAD3	tf	raw	69	-0.2489592760181	-0.367021276595745	-0.123223358415332	1.8469383707888e-10	6.52750525440093e-10	NA	NA	NA
tf_SMAD3	tf	partial	69	-0.078659022137283	-0.194484760522496	0.0377968910281701	0.00119283065880487	0.00166996292232681	NA	NA	NA
tf_AP1	tf	raw	69	-0.339020477535611	-0.45891181988743	-0.156702565169384	3.70593102735297e-10	6.52750525440093e-10	NA	NA	NA
tf_AP1	tf	partial	69	-0.107454254674906	-0.219125809435708	0.0286822291052857	0.00109655644167727	0.00166996292232681	NA	NA	NA
