from	to	family	given	partial_rho	p_value	n_donors	p_BH	arm	boot_lo	boot_hi	lodo_min	lodo_max	lodo_sign_consistency	n_lodo	n_datasets_lodo
Peri_AGTR1	Peri_AT1R_response	allowed	AGT_source_index+processing_index+Peri_ACE2	0.0170251889664171	0.88394280616892	79	0.88394280616892	primary	-0.219200976965941	0.246558840342014	-0.134570299480042	0.0958622608972795	0.875	24	24
Peri_AGTR1	Peri_AT1R_response	allowed	AGT_source_index+processing_index+Peri_ACE2	0.0104179143827911	0.928828815802682	79	0.928828815802682	_disease_adj	NA	NA	NA	NA	NA	NA	24
Peri_AGTR1	Peri_AT1R_response	allowed	AGT_source_index+processing_index+Peri_ACE2	0.0851662411191576	0.637472087732023	36	0.708302319702248	_healthy	NA	NA	NA	NA	NA	NA	24
Peri_AT1R_response	BM_minus_FIB	allowed		-0.525978890023834	1.20108004358768e-07	89	6.00540021793842e-07	primary	-0.675156365621615	-0.333119757635773	-0.565644881434355	-0.475903342366757	1	24	24
Peri_AT1R_response	BM_minus_FIB	allowed		-0.426642832822608	3.05746009340437e-05	89	0.000152873004670218	_disease_adj	NA	NA	NA	NA	NA	NA	24
Peri_AT1R_response	BM_minus_FIB	allowed		-0.400372741268941	0.00860602120056913	42	0.0319722911091395	_healthy	NA	NA	NA	NA	NA	NA	24
Peri_AT1R_response	EC_readout	allowed	BM_minus_FIB	0.329829335919628	0.00232670983856065	84	0.00775569946186885	primary	0.109225693341426	0.511105765790543	0.261719352459818	0.436246736540548	1	24	24
Peri_AT1R_response	EC_readout	allowed	BM_minus_FIB	0.368948204037399	0.000598624059267141	84	0.00199541353089047	_disease_adj	NA	NA	NA	NA	NA	NA	24
Peri_AT1R_response	EC_readout	allowed	BM_minus_FIB	0.353709523493406	0.0232866335803259	42	0.0582165839508147	_healthy	NA	NA	NA	NA	NA	NA	24
Peri_AT1R_response	activated_migratory	allowed		0.527953694245829	1.05590302915774e-07	89	6.00540021793842e-07	primary	0.339081640000149	0.688310499966339	0.504137202012102	0.588750666623132	1	24	24
Peri_AT1R_response	activated_migratory	allowed		0.501464078992169	5.56407065874283e-07	89	5.56407065874283e-06	_disease_adj	NA	NA	NA	NA	NA	NA	24
Peri_AT1R_response	activated_migratory	allowed		0.546876266104854	0.000178696857416269	42	0.00178696857416269	_healthy	NA	NA	NA	NA	NA	NA	24
Peri_AT1R_response	contractile	allowed		0.243122233571672	0.0216902838675612	89	0.0294466007202131	primary	0.0338857682724011	0.433163823912487	0.140701403859299	0.349218807848945	1	24	24
Peri_AT1R_response	contractile	allowed		0.286857337419135	0.00642078136425974	89	0.0160519534106494	_disease_adj	NA	NA	NA	NA	NA	NA	24
Peri_AT1R_response	contractile	allowed		0.00445668908516328	0.977653284111526	42	0.977653284111526	_healthy	NA	NA	NA	NA	NA	NA	24
Peri_AT1R_response	inflammatory	allowed		0.239887640449438	0.0235572805761705	89	0.0294466007202131	primary	0.0304007977450083	0.423521982701707	0.180420054200542	0.293683664323789	1	24	24
Peri_AT1R_response	inflammatory	allowed		0.206332992849847	0.052385297725576	89	0.06548162215697	_disease_adj	NA	NA	NA	NA	NA	NA	24
Peri_AT1R_response	inflammatory	allowed		0.173972935742646	0.270515246143143	42	0.450858743571906	_healthy	NA	NA	NA	NA	NA	NA	24
Peri_MAS1	Peri_AT1R_response	marginal_descriptive		0.0254341164453524	0.812973917496269	89	0.812973917496269	primary	-0.184488953850538	0.2296853015601	-0.0262569418733802	0.0704709790893102	0.833333333333333	24	24
Peri_MAS1	Peri_AT1R_response	marginal_descriptive		0.0310691181477698	0.772557079151109	89	0.858396754612343	_disease_adj	NA	NA	NA	NA	NA	NA	24
Peri_MAS1	Peri_AT1R_response	marginal_descriptive		-0.00785997893201523	0.960598978739719	42	0.960598978739719	_healthy	NA	NA	NA	NA	NA	NA	24
VSMC_AGT	Peri_AGTR1	forbidden		0.0126648123397031	0.903570776786454	94	0.903570776786454	primary	-0.187924669230759	0.206194663335573	-0.0420007556357835	0.0736931465700199	0.708333333333333	24	24
VSMC_AGT	Peri_AGTR1	forbidden		-0.0147310623848571	0.887933447759296	94	0.887933447759296	_disease_adj	NA	NA	NA	NA	NA	NA	24
VSMC_AGT	Peri_AGTR1	forbidden		0.0191637630662021	0.905335584819602	41	0.905335584819602	_healthy	NA	NA	NA	NA	NA	NA	24
VSMC_AGT	Peri_AT1R_response	marginal_descriptive		0.147593082356526	0.185750881577294	82	0.232188601971618	primary	-0.0703975687186142	0.364023889866562	0.0126089872568746	0.21907040328093	1	24	24
VSMC_AGT	Peri_AT1R_response	marginal_descriptive		0.193021408125728	0.0823114857912571	82	0.196057295543652	_disease_adj	NA	NA	NA	NA	NA	NA	24
VSMC_AGT	Peri_AT1R_response	marginal_descriptive		0.31389284020863	0.0584999865560641	37	0.247374604841259	_healthy	NA	NA	NA	NA	NA	NA	24
processing_index	EC_readout	forbidden	BM_minus_FIB+Peri_AT1R_response	0.0617327466702898	0.584047760493064	83	0.73005970061633	primary	-0.157951513942652	0.272216726391893	-0.00223682648416403	0.221900257221701	0.958333333333333	24	24
processing_index	EC_readout	forbidden	BM_minus_FIB+Peri_AT1R_response	0.116406967874025	0.300714495225925	83	0.708849492084583	_disease_adj	NA	NA	NA	NA	NA	NA	24
processing_index	EC_readout	forbidden	BM_minus_FIB+Peri_AT1R_response	0.0323111599883495	0.845182468319091	41	0.905335584819602	_healthy	NA	NA	NA	NA	NA	NA	24
processing_index	Peri_AT1R_response	allowed	AGT_source_index+Peri_AGTR1+Peri_ACE2	0.302213137598351	0.00797042919377733	79	0.0175771069203317	primary	0.0318365962265975	0.509741478158565	0.255503797956835	0.329245691949184	1	24	24
processing_index	Peri_AT1R_response	allowed	AGT_source_index+Peri_AGTR1+Peri_ACE2	0.252521360821743	0.0277541036015216	79	0.0452506195252844	_disease_adj	NA	NA	NA	NA	NA	NA	24
processing_index	Peri_AT1R_response	allowed	AGT_source_index+Peri_AGTR1+Peri_ACE2	0.165488824154572	0.357377799175488	36	0.51053971310784	_healthy	NA	NA	NA	NA	NA	NA	24
