from	to	family	partial_rho	n_donors	dropped_dataset
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.369432672590567	76	Kaminski_2020
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.182424537487829	79	Kaminski_2020
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.165785298783712	61	Kaminski_2020
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.307826546800635	61	Kaminski_2020
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0162057443867611	82	Kaminski_2020
AGT_source_index	Peri_AT1R_response	allowed	0.284282809406804	76	Krasnow_2020
processing_index	Peri_AT1R_response	allowed	0.309045555213352	76	Krasnow_2020
Peri_AGTR1	Peri_AT1R_response	allowed	0.0222627135978003	76	Krasnow_2020
Peri_ACE2	Peri_AT1R_response	allowed	0.306735964365093	76	Krasnow_2020
Peri_AT1R_response	contractile	allowed	0.247964526628615	86	Krasnow_2020
Peri_AT1R_response	inflammatory	allowed	0.251813764800226	86	Krasnow_2020
Peri_AT1R_response	activated_migratory	allowed	0.526166328600406	86	Krasnow_2020
Peri_AT1R_response	BM_minus_FIB	allowed	-0.525317231944903	86	Krasnow_2020
BM_minus_FIB	EC_readout	allowed	0.12416421858369	81	Krasnow_2020
Peri_AT1R_response	EC_readout	allowed	0.327691828522628	81	Krasnow_2020
AGT_source_index	BM_minus_FIB	forbidden	-0.0888902644584467	79	Krasnow_2020
processing_index	EC_readout	forbidden	0.0833354538857025	80	Krasnow_2020
Mast_CMA1	BM_minus_FIB	forbidden	-0.073985770383204	63	Krasnow_2020
VSMC_AGT	Peri_AGTR1	forbidden	-0.00648192387322822	91	Krasnow_2020
AGT_source_index	Peri_AGTR1	forbidden	-0.183628941949933	94	Krasnow_2020
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.151996105160662	79	Krasnow_2020
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0441631504922644	80	Krasnow_2020
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.242842157225719	73	Krasnow_2020
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.24947550290016	73	Krasnow_2020
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.295121951219512	81	Krasnow_2020
