from	to	family	partial_rho	boot
BM_minus_FIB	EC_readout	allowed	0.116796952291573	2
Peri_AT1R_response	EC_readout	allowed	0.263760849607643	2
AGT_source_index	BM_minus_FIB	forbidden	0.0446029915505377	2
processing_index	EC_readout	forbidden	-0.0584839928468957	2
Mast_CMA1	BM_minus_FIB	forbidden	-0.0221550109624845	2
VSMC_AGT	Peri_AGTR1	forbidden	0.0885935093397385	2
AGT_source_index	Peri_AGTR1	forbidden	-0.185802665986351	2
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	-0.0342517535385779	2
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	-0.0104366996575824	2
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.175006297322527	2
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.233283369283077	2
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.303571646025889	2
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.300549040873043	2
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.165083159451411	2
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.167901757357612	2
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.317594749100148	2
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.125570542952517	2
AGT_source_index	Peri_AT1R_response	allowed	0.373167861089007	3
processing_index	Peri_AT1R_response	allowed	0.046511740820885	3
Peri_AGTR1	Peri_AT1R_response	allowed	-0.0602775879225714	3
Peri_ACE2	Peri_AT1R_response	allowed	0.243672711876833	3
Peri_AT1R_response	contractile	allowed	0.095653975488868	3
Peri_AT1R_response	inflammatory	allowed	0.202224807560521	3
Peri_AT1R_response	activated_migratory	allowed	0.510430777567055	3
Peri_AT1R_response	BM_minus_FIB	allowed	-0.3654676717612	3
BM_minus_FIB	EC_readout	allowed	0.214274694207812	3
Peri_AT1R_response	EC_readout	allowed	0.488363593275721	3
AGT_source_index	BM_minus_FIB	forbidden	-0.117103417645519	3
processing_index	EC_readout	forbidden	0.155476389718721	3
Mast_CMA1	BM_minus_FIB	forbidden	-0.359915665568843	3
VSMC_AGT	Peri_AGTR1	forbidden	0.0309384691599313	3
AGT_source_index	Peri_AGTR1	forbidden	-0.0991294232661168	3
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.217528212951554	3
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.313258957683428	3
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.109220394529527	3
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.22620707801605	3
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.241665801225465	3
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.229296627791339	3
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	-0.0356440859997163	3
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	-0.0425717643108947	3
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.159341950646298	3
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0977895357546974	3
AGT_source_index	Peri_AT1R_response	allowed	0.0784223620986916	4
processing_index	Peri_AT1R_response	allowed	0.388321996305779	4
Peri_AGTR1	Peri_AT1R_response	allowed	-0.104714322679407	4
Peri_ACE2	Peri_AT1R_response	allowed	0.314771024900901	4
Peri_AT1R_response	contractile	allowed	0.10168929598532	4
Peri_AT1R_response	inflammatory	allowed	0.0744878526434283	4
Peri_AT1R_response	activated_migratory	allowed	0.564869428445863	4
Peri_AT1R_response	BM_minus_FIB	allowed	-0.625764269578023	4
BM_minus_FIB	EC_readout	allowed	0.0555730635848043	4
Peri_AT1R_response	EC_readout	allowed	0.330874766694784	4
AGT_source_index	BM_minus_FIB	forbidden	-0.140329773659331	4
processing_index	EC_readout	forbidden	0.204858162488678	4
Mast_CMA1	BM_minus_FIB	forbidden	0.13305443483828	4
VSMC_AGT	Peri_AGTR1	forbidden	0.0173783776672718	4
AGT_source_index	Peri_AGTR1	forbidden	-0.100383523209377	4
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.0368924956688247	4
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	-0.0475300425740798	4
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.140996460658862	4
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.252195448269972	4
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.411908452630619	4
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.375922820618916	4
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.142466520614736	4
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.357178484658332	4
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.358143875400235	4
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0208559819273857	4
AGT_source_index	Peri_AT1R_response	allowed	0.455666014635223	5
processing_index	Peri_AT1R_response	allowed	0.293439376503998	5
Peri_AGTR1	Peri_AT1R_response	allowed	-0.0317976501922977	5
Peri_ACE2	Peri_AT1R_response	allowed	0.382435323499333	5
Peri_AT1R_response	contractile	allowed	0.30151209106526	5
Peri_AT1R_response	inflammatory	allowed	0.302210560096653	5
Peri_AT1R_response	activated_migratory	allowed	0.535253808543975	5
Peri_AT1R_response	BM_minus_FIB	allowed	-0.570498178317256	5
BM_minus_FIB	EC_readout	allowed	0.0977985452998485	5
Peri_AT1R_response	EC_readout	allowed	0.258661929679388	5
AGT_source_index	BM_minus_FIB	forbidden	-0.127250557200424	5
processing_index	EC_readout	forbidden	0.0702781980774153	5
Mast_CMA1	BM_minus_FIB	forbidden	0.0579973043271442	5
VSMC_AGT	Peri_AGTR1	forbidden	-0.200760944757387	5
AGT_source_index	Peri_AGTR1	forbidden	-0.251262086977223	5
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.240291411989875	5
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.111866781146911	5
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.39934901513372	5
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.442237887316534	5
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.492392822268189	5
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.265471018043623	5
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.194978004268479	5
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	-0.0505023493906865	5
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.0956946938151813	5
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	-0.104808109791781	5
AGT_source_index	Peri_AT1R_response	allowed	0.267119029516931	6
processing_index	Peri_AT1R_response	allowed	0.231033436873387	6
Peri_AGTR1	Peri_AT1R_response	allowed	-0.0396934010224087	6
Peri_ACE2	Peri_AT1R_response	allowed	0.39702192935559	6
Peri_AT1R_response	contractile	allowed	0.0964838297967622	6
Peri_AT1R_response	inflammatory	allowed	0.43532291892134	6
Peri_AT1R_response	activated_migratory	allowed	0.578537255282465	6
Peri_AT1R_response	BM_minus_FIB	allowed	-0.480463647830663	6
BM_minus_FIB	EC_readout	allowed	0.276473017263089	6
Peri_AT1R_response	EC_readout	allowed	0.441988845501059	6
AGT_source_index	BM_minus_FIB	forbidden	-0.0460820523857533	6
processing_index	EC_readout	forbidden	0.159978338303462	6
Mast_CMA1	BM_minus_FIB	forbidden	-0.0828287442466352	6
VSMC_AGT	Peri_AGTR1	forbidden	-0.0891737913701788	6
AGT_source_index	Peri_AGTR1	forbidden	-0.257483991269279	6
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.0892977150537635	6
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	-0.0359828644915131	6
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.366239231932663	6
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.279519118208005	6
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.387627192237262	6
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.338108296853975	6
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	-0.02945417752177	6
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	-0.00242363461618821	6
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.182357611466299	6
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	-0.0317433068867974	6
AGT_source_index	Peri_AT1R_response	allowed	0.213958884536873	7
processing_index	Peri_AT1R_response	allowed	0.354578001235901	7
Peri_AGTR1	Peri_AT1R_response	allowed	0.20701668798083	7
Peri_ACE2	Peri_AT1R_response	allowed	0.346729823384679	7
Peri_AT1R_response	contractile	allowed	0.266529471736586	7
Peri_AT1R_response	inflammatory	allowed	-0.0216365215421214	7
Peri_AT1R_response	activated_migratory	allowed	0.488709738322698	7
Peri_AT1R_response	BM_minus_FIB	allowed	-0.662141751312163	7
BM_minus_FIB	EC_readout	allowed	-0.0839371862345032	7
Peri_AT1R_response	EC_readout	allowed	0.125458938927371	7
AGT_source_index	BM_minus_FIB	forbidden	-0.159444606941924	7
processing_index	EC_readout	forbidden	0.187343694571684	7
Mast_CMA1	BM_minus_FIB	forbidden	0.171543268786601	7
VSMC_AGT	Peri_AGTR1	forbidden	0.0328347268976002	7
AGT_source_index	Peri_AGTR1	forbidden	-0.0134735122996836	7
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.0783824698591795	7
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.146371301911364	7
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	-0.0406770933899723	7
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.192716287656289	7
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.224646606176341	7
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.342840032090758	7
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.27329557830538	7
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.0545642122960529	7
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.194719345840816	7
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0613978778839255	7
AGT_source_index	Peri_AT1R_response	allowed	0.363000192095444	8
processing_index	Peri_AT1R_response	allowed	0.181087194975512	8
Peri_AGTR1	Peri_AT1R_response	allowed	0.0189670901231818	8
Peri_ACE2	Peri_AT1R_response	allowed	0.406638078542602	8
Peri_AT1R_response	contractile	allowed	-0.024689231766744	8
Peri_AT1R_response	inflammatory	allowed	0.380408684287842	8
Peri_AT1R_response	activated_migratory	allowed	0.601264348019897	8
Peri_AT1R_response	BM_minus_FIB	allowed	-0.452440049844489	8
BM_minus_FIB	EC_readout	allowed	0.118715671437773	8
Peri_AT1R_response	EC_readout	allowed	0.382359522332735	8
AGT_source_index	BM_minus_FIB	forbidden	-0.170977149658753	8
processing_index	EC_readout	forbidden	0.0596517526315644	8
Mast_CMA1	BM_minus_FIB	forbidden	-0.0223919873371279	8
VSMC_AGT	Peri_AGTR1	forbidden	-0.186571135117744	8
AGT_source_index	Peri_AGTR1	forbidden	-0.425514806139216	8
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.142953998440625	8
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.250943993763551	8
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.289723206589407	8
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.228852838933951	8
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.240170772615391	8
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.223723837724293	8
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.102151836254608	8
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	-0.131634016589769	8
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.2219448856617	8
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	-0.0871366772366701	8
AGT_source_index	Peri_AT1R_response	allowed	0.251449047730626	9
processing_index	Peri_AT1R_response	allowed	0.23352090403623	9
Peri_AGTR1	Peri_AT1R_response	allowed	-0.101380461575703	9
Peri_ACE2	Peri_AT1R_response	allowed	0.287276285418643	9
Peri_AT1R_response	contractile	allowed	0.311554804926389	9
Peri_AT1R_response	inflammatory	allowed	0.349173665255381	9
Peri_AT1R_response	activated_migratory	allowed	0.523910880781066	9
Peri_AT1R_response	BM_minus_FIB	allowed	-0.567437089821006	9
BM_minus_FIB	EC_readout	allowed	0.268007427635548	9
Peri_AT1R_response	EC_readout	allowed	0.177426199576067	9
AGT_source_index	BM_minus_FIB	forbidden	-0.183199801919478	9
processing_index	EC_readout	forbidden	-0.0192949126976864	9
Mast_CMA1	BM_minus_FIB	forbidden	-0.573069617296807	9
VSMC_AGT	Peri_AGTR1	forbidden	0.208292894151374	9
AGT_source_index	Peri_AGTR1	forbidden	-0.128527494940803	9
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.0202580135188544	9
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.173764646547579	9
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.154035387752417	9
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.272516540300382	9
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.353181399025161	9
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.453253272036403	9
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.399924209971332	9
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.110311329588015	9
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.0902972846441947	9
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.164457194857676	9
AGT_source_index	Peri_AT1R_response	allowed	0.39406641159236	10
processing_index	Peri_AT1R_response	allowed	0.480584523444535	10
Peri_AGTR1	Peri_AT1R_response	allowed	0.0577393707923834	10
Peri_ACE2	Peri_AT1R_response	allowed	0.305322969638696	10
Peri_AT1R_response	contractile	allowed	0.365116034862963	10
Peri_AT1R_response	inflammatory	allowed	0.31214953271028	10
Peri_AT1R_response	activated_migratory	allowed	0.391515278798698	10
Peri_AT1R_response	BM_minus_FIB	allowed	-0.477685603276278	10
BM_minus_FIB	EC_readout	allowed	0.303532599232444	10
Peri_AT1R_response	EC_readout	allowed	0.408725240280621	10
AGT_source_index	BM_minus_FIB	forbidden	-0.0310565606183106	10
processing_index	EC_readout	forbidden	0.0959676921328554	10
Mast_CMA1	BM_minus_FIB	forbidden	-0.203188363267741	10
VSMC_AGT	Peri_AGTR1	forbidden	0.00875076135478748	10
AGT_source_index	Peri_AGTR1	forbidden	-0.21423419764584	10
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.156812186953558	10
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	-0.0722694338870621	10
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.381091228630772	10
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.488689757014364	10
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.458102396679574	10
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.386015527877466	10
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.215524845633637	10
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.325046412139801	10
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.422875131164743	10
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0699989499107424	10
AGT_source_index	Peri_AT1R_response	allowed	0.421037023148094	11
processing_index	Peri_AT1R_response	allowed	0.370842617525262	11
Peri_AGTR1	Peri_AT1R_response	allowed	-0.0753847983302596	11
Peri_ACE2	Peri_AT1R_response	allowed	-0.0816520656309589	11
Peri_AT1R_response	contractile	allowed	0.246214156719376	11
Peri_AT1R_response	inflammatory	allowed	0.167933753248469	11
Peri_AT1R_response	activated_migratory	allowed	0.41368101132009	11
Peri_AT1R_response	BM_minus_FIB	allowed	-0.432991234638594	11
BM_minus_FIB	EC_readout	allowed	0.153528197503119	11
Peri_AT1R_response	EC_readout	allowed	0.396819791560005	11
AGT_source_index	BM_minus_FIB	forbidden	-0.163094892566032	11
processing_index	EC_readout	forbidden	-0.158556889586921	11
Mast_CMA1	BM_minus_FIB	forbidden	-0.353517001931903	11
VSMC_AGT	Peri_AGTR1	forbidden	-0.00703058528502978	11
AGT_source_index	Peri_AGTR1	forbidden	-0.230774616822692	11
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.173228791251003	11
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.104738704495102	11
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.366241610738255	11
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.320305023000216	11
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.47117970038638	11
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.384514090071109	11
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.170550971727994	11
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.479405336599659	11
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.354996757691476	11
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.28411223186363	11
AGT_source_index	Peri_AT1R_response	allowed	0.369378253468095	12
processing_index	Peri_AT1R_response	allowed	0.41506731840541	12
Peri_AGTR1	Peri_AT1R_response	allowed	0.0241338692883114	12
Peri_ACE2	Peri_AT1R_response	allowed	0.359132967619642	12
Peri_AT1R_response	contractile	allowed	0.292723144939658	12
Peri_AT1R_response	inflammatory	allowed	0.0711913012307325	12
Peri_AT1R_response	activated_migratory	allowed	0.540319432827498	12
Peri_AT1R_response	BM_minus_FIB	allowed	-0.712908750547656	12
BM_minus_FIB	EC_readout	allowed	0.0591222989894785	12
Peri_AT1R_response	EC_readout	allowed	0.309701713762297	12
AGT_source_index	BM_minus_FIB	forbidden	-0.0347316390234521	12
processing_index	EC_readout	forbidden	0.173069170827022	12
Mast_CMA1	BM_minus_FIB	forbidden	0.0326825026023434	12
VSMC_AGT	Peri_AGTR1	forbidden	-0.0748817146524575	12
AGT_source_index	Peri_AGTR1	forbidden	-0.268247767123107	12
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.351079221083913	12
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.14510762049758	12
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.361211914561972	12
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.4869485682122	12
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.492881228924691	12
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.291018574448807	12
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.0776003746753523	12
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.183000285230114	12
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.352158520830187	12
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.162862946588601	12
AGT_source_index	Peri_AT1R_response	allowed	0.350116291354345	13
processing_index	Peri_AT1R_response	allowed	0.326507281297533	13
Peri_AGTR1	Peri_AT1R_response	allowed	-0.0790488504814976	13
Peri_ACE2	Peri_AT1R_response	allowed	0.395521415054015	13
Peri_AT1R_response	contractile	allowed	0.115717047167321	13
Peri_AT1R_response	inflammatory	allowed	0.268178450691032	13
Peri_AT1R_response	activated_migratory	allowed	0.488235845120196	13
Peri_AT1R_response	BM_minus_FIB	allowed	-0.702655982560268	13
BM_minus_FIB	EC_readout	allowed	0.0319451249095957	13
Peri_AT1R_response	EC_readout	allowed	0.0341310471890674	13
AGT_source_index	BM_minus_FIB	forbidden	0.0816301505046524	13
processing_index	EC_readout	forbidden	0.179313244675102	13
Mast_CMA1	BM_minus_FIB	forbidden	-0.252531760039769	13
VSMC_AGT	Peri_AGTR1	forbidden	0.0662527377843843	13
AGT_source_index	Peri_AGTR1	forbidden	-0.103758311650766	13
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.137523423651557	13
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	-0.0206288511653961	13
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.301154994882934	13
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.311881586356689	13
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.4253016403814	13
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.432734083212648	13
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.23753881584536	13
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.162322931894944	13
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.260119977819227	13
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0424497372970119	13
AGT_source_index	Peri_AT1R_response	allowed	0.324434882940045	14
processing_index	Peri_AT1R_response	allowed	0.306562385894474	14
Peri_AGTR1	Peri_AT1R_response	allowed	0.00297180612153513	14
Peri_ACE2	Peri_AT1R_response	allowed	0.260369408110389	14
Peri_AT1R_response	contractile	allowed	0.33262221886593	14
Peri_AT1R_response	inflammatory	allowed	0.198674684010308	14
Peri_AT1R_response	activated_migratory	allowed	0.523452618065454	14
Peri_AT1R_response	BM_minus_FIB	allowed	-0.465531400738175	14
BM_minus_FIB	EC_readout	allowed	0.260712383343345	14
Peri_AT1R_response	EC_readout	allowed	0.52885884950578	14
AGT_source_index	BM_minus_FIB	forbidden	-0.107757940745839	14
processing_index	EC_readout	forbidden	0.0790614946048549	14
Mast_CMA1	BM_minus_FIB	forbidden	-0.037831799014212	14
VSMC_AGT	Peri_AGTR1	forbidden	-0.0414728188133325	14
AGT_source_index	Peri_AGTR1	forbidden	-0.29446442185896	14
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.217897505845674	14
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0298657929557054	14
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.236881486845281	14
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.324787260240239	14
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.461407598765043	14
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.301990825480758	14
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.0936056406515925	14
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.350872085329381	14
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.479342561469444	14
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	-0.0276107497852497	14
AGT_source_index	Peri_AT1R_response	allowed	0.134785609463319	15
processing_index	Peri_AT1R_response	allowed	0.334795919047475	15
Peri_AGTR1	Peri_AT1R_response	allowed	0.0542938694004378	15
Peri_ACE2	Peri_AT1R_response	allowed	0.0412795971595109	15
Peri_AT1R_response	contractile	allowed	0.330899571131634	15
Peri_AT1R_response	inflammatory	allowed	0.302838950719604	15
Peri_AT1R_response	activated_migratory	allowed	0.542597416265425	15
Peri_AT1R_response	BM_minus_FIB	allowed	-0.510287578603942	15
BM_minus_FIB	EC_readout	allowed	0.16486389446687	15
Peri_AT1R_response	EC_readout	allowed	0.394873695544657	15
AGT_source_index	BM_minus_FIB	forbidden	-0.203570507918414	15
processing_index	EC_readout	forbidden	0.122891390527421	15
Mast_CMA1	BM_minus_FIB	forbidden	0.0808925577654004	15
VSMC_AGT	Peri_AGTR1	forbidden	0.0266144786685059	15
AGT_source_index	Peri_AGTR1	forbidden	-0.231674420906751	15
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.0572055364175396	15
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	-0.0478804607626949	15
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.253607884547694	15
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.28627798965374	15
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.307210801746321	15
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.304030529729041	15
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.368956097269701	15
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.294473604588447	15
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.326361208677006	15
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	-0.130936406451443	15
AGT_source_index	Peri_AT1R_response	allowed	0.312089269967618	16
processing_index	Peri_AT1R_response	allowed	0.290379816265002	16
Peri_AGTR1	Peri_AT1R_response	allowed	0.196295221712883	16
Peri_ACE2	Peri_AT1R_response	allowed	0.236889498199487	16
Peri_AT1R_response	contractile	allowed	0.148877466702147	16
Peri_AT1R_response	inflammatory	allowed	0.368930407137155	16
Peri_AT1R_response	activated_migratory	allowed	0.283483424601896	16
Peri_AT1R_response	BM_minus_FIB	allowed	-0.523788182238344	16
BM_minus_FIB	EC_readout	allowed	0.0256975754072768	16
Peri_AT1R_response	EC_readout	allowed	0.322550425003323	16
AGT_source_index	BM_minus_FIB	forbidden	-0.325906051959417	16
processing_index	EC_readout	forbidden	-0.0949321349457839	16
Mast_CMA1	BM_minus_FIB	forbidden	0.0215992434081552	16
VSMC_AGT	Peri_AGTR1	forbidden	0.0527879375979697	16
AGT_source_index	Peri_AGTR1	forbidden	-0.185945197671105	16
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.28329118608524	16
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.064417556893527	16
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.367558649369435	16
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.228303452332188	16
