gene	detect_frac	target_gene	target_detect
KMT2E	0.4028253424657534	AGTR1	0.3742294520547945
LEPROT	0.3463184931506849	AGTR1	0.3742294520547945
LIMS1	0.38715753424657534	AGTR1	0.3742294520547945
LURAP1L	0.38159246575342465	AGTR1	0.3742294520547945
MAP1LC3A	0.38595890410958905	AGTR1	0.3742294520547945
MAP4	0.4031678082191781	AGTR1	0.3742294520547945
MBNL1	0.37919520547945207	AGTR1	0.3742294520547945
MEST	0.40393835616438356	AGTR1	0.3742294520547945
MGST3	0.39700342465753424	AGTR1	0.3742294520547945
MIR4435-2HG	0.4009417808219178	AGTR1	0.3742294520547945
MKLN1	0.3627568493150685	AGTR1	0.3742294520547945
MT-ND4L	0.3664383561643836	AGTR1	0.3742294520547945
MT1M	0.37559931506849314	AGTR1	0.3742294520547945
MYO10	0.39075342465753427	AGTR1	0.3742294520547945
NBEAL1	0.3964041095890411	AGTR1	0.3742294520547945
NCK2	0.3590753424657534	AGTR1	0.3742294520547945
NCOR1	0.3478595890410959	AGTR1	0.3742294520547945
NDUFA1	0.34563356164383563	AGTR1	0.3742294520547945
NDUFS5	0.38758561643835615	AGTR1	0.3742294520547945
NEXN	0.4021404109589041	AGTR1	0.3742294520547945
NFIA	0.3685787671232877	AGTR1	0.3742294520547945
NPM1	0.40042808219178083	AGTR1	0.3742294520547945
NR2F1	0.36695205479452053	AGTR1	0.3742294520547945
NUCB1	0.3451198630136986	AGTR1	0.3742294520547945
OST4	0.3485445205479452	AGTR1	0.3742294520547945
P2RY14	0.38167808219178084	AGTR1	0.3742294520547945
P4HB	0.3792808219178082	AGTR1	0.3742294520547945
PARK7	0.3708904109589041	AGTR1	0.3742294520547945
PCBP2	0.40128424657534245	AGTR1	0.3742294520547945
PCOLCE	0.3821917808219178	AGTR1	0.3742294520547945
PDLIM1	0.35368150684931504	AGTR1	0.3742294520547945
PERP	0.3637842465753425	AGTR1	0.3742294520547945
PKIG	0.3708904109589041	AGTR1	0.3742294520547945
PLAC9	0.37268835616438356	AGTR1	0.3742294520547945
PLCB1	0.39914383561643835	AGTR1	0.3742294520547945
PLCE1	0.38681506849315067	AGTR1	0.3742294520547945
POLR2L	0.36164383561643837	AGTR1	0.3742294520547945
POMP	0.3899828767123288	AGTR1	0.3742294520547945
PPP1R15A	0.36455479452054795	AGTR1	0.3742294520547945
PRKG1	0.38835616438356163	AGTR1	0.3742294520547945
PRRC2C	0.3703767123287671	AGTR1	0.3742294520547945
PTGES3	0.36147260273972603	AGTR1	0.3742294520547945
PTPRG	0.37465753424657533	AGTR1	0.3742294520547945
RAB2A	0.40179794520547946	AGTR1	0.3742294520547945
RASAL2	0.37465753424657533	AGTR1	0.3742294520547945
RNF152	0.36832191780821916	AGTR1	0.3742294520547945
ROCK1	0.3980308219178082	AGTR1	0.3742294520547945
RRAD	0.3971746575342466	AGTR1	0.3742294520547945
S100A6	0.3762842465753425	AGTR1	0.3742294520547945
SAP18	0.3598458904109589	AGTR1	0.3742294520547945
SARAF	0.3698630136986301	AGTR1	0.3742294520547945
SAT1	0.3875	AGTR1	0.3742294520547945
SBDS	0.3636986301369863	AGTR1	0.3742294520547945
SEC61B	0.3530821917808219	AGTR1	0.3742294520547945
SELENOM	0.40136986301369865	AGTR1	0.3742294520547945
SEPTIN2	0.39606164383561643	AGTR1	0.3742294520547945
SFPQ	0.3634417808219178	AGTR1	0.3742294520547945
SGCE	0.36061643835616436	AGTR1	0.3742294520547945
SLC2A3	0.36446917808219176	AGTR1	0.3742294520547945
SOD1	0.3913527397260274	AGTR1	0.3742294520547945
SPCS2	0.3607876712328767	AGTR1	0.3742294520547945
SPRY1	0.3853595890410959	AGTR1	0.3742294520547945
SPTBN1	0.3994006849315068	AGTR1	0.3742294520547945
SRRM1	0.3550513698630137	AGTR1	0.3742294520547945
SRSF7	0.34743150684931506	AGTR1	0.3742294520547945
SSR2	0.3617294520547945	AGTR1	0.3742294520547945
SSR4	0.3848458904109589	AGTR1	0.3742294520547945
STAT3	0.37388698630136985	AGTR1	0.3742294520547945
SUB1	0.37080479452054793	AGTR1	0.3742294520547945
SYNE2	0.35565068493150687	AGTR1	0.3742294520547945
TBCA	0.3689212328767123	AGTR1	0.3742294520547945
TBX3	0.40351027397260275	AGTR1	0.3742294520547945
TCF21	0.3761986301369863	AGTR1	0.3742294520547945
THBS1	0.35368150684931504	AGTR1	0.3742294520547945
TLN1	0.3874143835616438	AGTR1	0.3742294520547945
TMA7	0.40085616438356164	AGTR1	0.3742294520547945
TMEM165	0.3502568493150685	AGTR1	0.3742294520547945
TPPP3	0.3884417808219178	AGTR1	0.3742294520547945
TRA2B	0.36404109589041095	AGTR1	0.3742294520547945
TUBB	0.38938356164383564	AGTR1	0.3742294520547945
UBL5	0.3865582191780822	AGTR1	0.3742294520547945
UQCR11	0.3578767123287671	AGTR1	0.3742294520547945
UQCRB	0.39049657534246573	AGTR1	0.3742294520547945
VAPA	0.37902397260273973	AGTR1	0.3742294520547945
VCL	0.3982876712328767	AGTR1	0.3742294520547945
WLS	0.38116438356164384	AGTR1	0.3742294520547945
XRCC5	0.3453767123287671	AGTR1	0.3742294520547945
YBX3	0.39315068493150684	AGTR1	0.3742294520547945
YWHAQ	0.3591609589041096	AGTR1	0.3742294520547945
YWHAZ	0.38287671232876713	AGTR1	0.3742294520547945
