gene	program	mean_detect	category	role
COL1A1	fibroblast_like	0.4804804804804805	ECM structural	Basement membrane / vascular stability
COL4A1	fibroblast_like	0.9159159159159159	ECM structural	Basement membrane / vascular stability
FN1	fibroblast_like	0.5543543543543543	ECM structural	Basement membrane / vascular stability
LAMA2	fibroblast_like	0.3249249249249249	ECM structural	Basement membrane / vascular stability
LAMB1	fibroblast_like	0.5243243243243243	ECM structural	Basement membrane / vascular stability
MMP2	fibroblast_like	0.17537537537537537	Matrix-remodeling	ECM degradation / sprouting
MMP3	fibroblast_like	0.0012012012012012011	Matrix-remodeling	ECM degradation / sprouting
MMP9	fibroblast_like	0.003003003003003003	Matrix-remodeling	ECM degradation / sprouting
ACTA2	fibroblast_like	0.5201201201201201	Fibrotic mediators	Myofibroblast transition / fibrosis
PDGFA	fibroblast_like	0.2126126126126126	Fibrotic mediators	Myofibroblast transition / fibrosis
PDGFRB	fibroblast_like	0.8252252252252252	Fibrotic mediators	Myofibroblast transition / fibrosis
ADAMTS1	fibroblast_like	0.34114114114114114	Fibrotic mediators	Myofibroblast transition / fibrosis
VIM	fibroblast_like	0.8018018018018018	Fibrotic mediators	Myofibroblast transition / fibrosis
RGS5	fibroblast_like	0.6054054054054054	Mural identity	Vascular support
TGFB1	inflammatory	0.08932853717026379	Signaling ligands	Pericyte-EC crosstalk
TGFB2	inflammatory	0.07673860911270983	Signaling ligands	Pericyte-EC crosstalk
TGFB3	inflammatory	0.014388489208633094	Signaling ligands	Pericyte-EC crosstalk
WNT5A	inflammatory	0.03357314148681055	Signaling ligands	Pericyte-EC crosstalk
NODAL	inflammatory	0.0	Signaling ligands	Pericyte-EC crosstalk
CXCL1	inflammatory	0.11091127098321343	Chemokines	Neutrophil/monocyte recruitment
CXCL2	inflammatory	0.2392086330935252	Chemokines	Neutrophil/monocyte recruitment
CXCL3	inflammatory	0.12410071942446044	Chemokines	Neutrophil/monocyte recruitment
CXCL6	inflammatory	0.008992805755395683	Chemokines	Neutrophil/monocyte recruitment
CXCL8	inflammatory	0.1642685851318945	Chemokines	Neutrophil/monocyte recruitment
CXCL10	inflammatory	0.0539568345323741	Chemokines	Neutrophil/monocyte recruitment
CCL2	inflammatory	0.23800959232613908	Chemokines	Neutrophil/monocyte recruitment
CCL20	inflammatory	0.07314148681055156	Chemokines	Neutrophil/monocyte recruitment
IL1A	inflammatory	0.00539568345323741	Cytokines	Inflammatory amplification
IL1B	inflammatory	0.03717026378896882	Cytokines	Inflammatory amplification
IL6	inflammatory	0.289568345323741	Cytokines	Inflammatory amplification
MIF	inflammatory	0.5491606714628298	Cytokines	Inflammatory amplification
ICAM1	inflammatory	0.23860911270983212	Adhesion molecules	Leukocyte trafficking
VCAM1	inflammatory	0.025179856115107913	Adhesion molecules	Leukocyte trafficking
SELE	inflammatory	0.007194244604316547	Adhesion molecules	Leukocyte trafficking
COL1A1	inflammatory	0.08453237410071943	ECM structural	Basement membrane / vascular stability
COL4A1	inflammatory	0.6654676258992805	ECM structural	Basement membrane / vascular stability
FN1	inflammatory	0.20083932853717026	ECM structural	Basement membrane / vascular stability
LAMA2	inflammatory	0.20983213429256595	ECM structural	Basement membrane / vascular stability
LAMB1	inflammatory	0.44364508393285373	ECM structural	Basement membrane / vascular stability
MMP2	inflammatory	0.11211031175059952	Matrix-remodeling	ECM degradation / sprouting
MMP3	inflammatory	0.0	Matrix-remodeling	ECM degradation / sprouting
MMP9	inflammatory	0.001199040767386091	Matrix-remodeling	ECM degradation / sprouting
ACTA2	inflammatory	0.5389688249400479	Fibrotic mediators	Myofibroblast transition / fibrosis
PDGFA	inflammatory	0.13309352517985612	Fibrotic mediators	Myofibroblast transition / fibrosis
PDGFRB	inflammatory	0.7158273381294964	Fibrotic mediators	Myofibroblast transition / fibrosis
ADAMTS1	inflammatory	0.3447242206235012	Fibrotic mediators	Myofibroblast transition / fibrosis
VIM	inflammatory	0.8237410071942446	Fibrotic mediators	Myofibroblast transition / fibrosis
RGS5	inflammatory	0.539568345323741	Mural identity	Vascular support
TGFB1	synthetic_contractile	0.08571428571428572	Signaling ligands	Pericyte-EC crosstalk
TGFB2	synthetic_contractile	0.13163265306122449	Signaling ligands	Pericyte-EC crosstalk
TGFB3	synthetic_contractile	0.029081632653061223	Signaling ligands	Pericyte-EC crosstalk
WNT5A	synthetic_contractile	0.061224489795918366	Signaling ligands	Pericyte-EC crosstalk
NODAL	synthetic_contractile	0.0005102040816326531	Signaling ligands	Pericyte-EC crosstalk
CXCL1	synthetic_contractile	0.01020408163265306	Chemokines	Neutrophil/monocyte recruitment
CXCL2	synthetic_contractile	0.020918367346938777	Chemokines	Neutrophil/monocyte recruitment
CXCL3	synthetic_contractile	0.017857142857142856	Chemokines	Neutrophil/monocyte recruitment
CXCL6	synthetic_contractile	0.0	Chemokines	Neutrophil/monocyte recruitment
CXCL8	synthetic_contractile	0.024489795918367346	Chemokines	Neutrophil/monocyte recruitment
CXCL10	synthetic_contractile	0.005612244897959183	Chemokines	Neutrophil/monocyte recruitment
CCL2	synthetic_contractile	0.04285714285714286	Chemokines	Neutrophil/monocyte recruitment
CCL20	synthetic_contractile	0.024489795918367346	Chemokines	Neutrophil/monocyte recruitment
IL1A	synthetic_contractile	0.0010204081632653062	Cytokines	Inflammatory amplification
IL1B	synthetic_contractile	0.009693877551020408	Cytokines	Inflammatory amplification
IL6	synthetic_contractile	0.04846938775510204	Cytokines	Inflammatory amplification
MIF	synthetic_contractile	0.28316326530612246	Cytokines	Inflammatory amplification
ICAM1	synthetic_contractile	0.017857142857142856	Adhesion molecules	Leukocyte trafficking
VCAM1	synthetic_contractile	0.002551020408163265	Adhesion molecules	Leukocyte trafficking
SELE	synthetic_contractile	0.0010204081632653062	Adhesion molecules	Leukocyte trafficking
COL1A1	synthetic_contractile	0.04795918367346939	ECM structural	Basement membrane / vascular stability
COL4A1	synthetic_contractile	0.763265306122449	ECM structural	Basement membrane / vascular stability
FN1	synthetic_contractile	0.175	ECM structural	Basement membrane / vascular stability
LAMA2	synthetic_contractile	0.2979591836734694	ECM structural	Basement membrane / vascular stability
LAMB1	synthetic_contractile	0.5653061224489796	ECM structural	Basement membrane / vascular stability
MMP2	synthetic_contractile	0.09693877551020408	Matrix-remodeling	ECM degradation / sprouting
MMP3	synthetic_contractile	0.0	Matrix-remodeling	ECM degradation / sprouting
MMP9	synthetic_contractile	0.0005102040816326531	Matrix-remodeling	ECM degradation / sprouting
ACTA2	synthetic_contractile	0.9306122448979591	Fibrotic mediators	Myofibroblast transition / fibrosis
PDGFA	synthetic_contractile	0.14081632653061224	Fibrotic mediators	Myofibroblast transition / fibrosis
PDGFRB	synthetic_contractile	0.9061224489795918	Fibrotic mediators	Myofibroblast transition / fibrosis
ADAMTS1	synthetic_contractile	0.3229591836734694	Fibrotic mediators	Myofibroblast transition / fibrosis
VIM	synthetic_contractile	0.9081632653061225	Fibrotic mediators	Myofibroblast transition / fibrosis
RGS5	synthetic_contractile	0.43112244897959184	Mural identity	Vascular support
TGFB1	vascular_stabilizing	0.06132329209252286	Signaling ligands	Pericyte-EC crosstalk
TGFB2	vascular_stabilizing	0.07261968800430339	Signaling ligands	Pericyte-EC crosstalk
TGFB3	vascular_stabilizing	0.010758472296933835	Signaling ligands	Pericyte-EC crosstalk
WNT5A	vascular_stabilizing	0.0328133405056482	Signaling ligands	Pericyte-EC crosstalk
NODAL	vascular_stabilizing	0.0	Signaling ligands	Pericyte-EC crosstalk
CXCL1	vascular_stabilizing	0.008606777837547068	Chemokines	Neutrophil/monocyte recruitment
CXCL2	vascular_stabilizing	0.023668639053254437	Chemokines	Neutrophil/monocyte recruitment
CXCL3	vascular_stabilizing	0.01506186121570737	Chemokines	Neutrophil/monocyte recruitment
CXCL6	vascular_stabilizing	0.0005379236148466917	Chemokines	Neutrophil/monocyte recruitment
CXCL8	vascular_stabilizing	0.01828940290478752	Chemokines	Neutrophil/monocyte recruitment
CXCL10	vascular_stabilizing	0.002151694459386767	Chemokines	Neutrophil/monocyte recruitment
CCL2	vascular_stabilizing	0.05433028509951587	Chemokines	Neutrophil/monocyte recruitment
CCL20	vascular_stabilizing	0.013448090371167294	Chemokines	Neutrophil/monocyte recruitment
IL1A	vascular_stabilizing	0.0	Cytokines	Inflammatory amplification
IL1B	vascular_stabilizing	0.004841312533620226	Cytokines	Inflammatory amplification
IL6	vascular_stabilizing	0.057019903173749324	Cytokines	Inflammatory amplification
MIF	vascular_stabilizing	0.27218934911242604	Cytokines	Inflammatory amplification
ICAM1	vascular_stabilizing	0.022054868208714364	Adhesion molecules	Leukocyte trafficking
VCAM1	vascular_stabilizing	0.006455083378160301	Adhesion molecules	Leukocyte trafficking
SELE	vascular_stabilizing	0.0010758472296933835	Adhesion molecules	Leukocyte trafficking
COL1A1	vascular_stabilizing	0.07046799354491662	ECM structural	Basement membrane / vascular stability
COL4A1	vascular_stabilizing	0.6546530392684239	ECM structural	Basement membrane / vascular stability
FN1	vascular_stabilizing	0.15545992469069392	ECM structural	Basement membrane / vascular stability
LAMA2	vascular_stabilizing	0.21086605701990319	ECM structural	Basement membrane / vascular stability
LAMB1	vascular_stabilizing	0.43625605164066705	ECM structural	Basement membrane / vascular stability
MMP2	vascular_stabilizing	0.08391608391608392	Matrix-remodeling	ECM degradation / sprouting
MMP3	vascular_stabilizing	0.0	Matrix-remodeling	ECM degradation / sprouting
MMP9	vascular_stabilizing	0.0010758472296933835	Matrix-remodeling	ECM degradation / sprouting
ACTA2	vascular_stabilizing	0.4889725658956428	Fibrotic mediators	Myofibroblast transition / fibrosis
PDGFA	vascular_stabilizing	0.08337816030123722	Fibrotic mediators	Myofibroblast transition / fibrosis
PDGFRB	vascular_stabilizing	0.8795051102743411	Fibrotic mediators	Myofibroblast transition / fibrosis
ADAMTS1	vascular_stabilizing	0.24475524475524477	Fibrotic mediators	Myofibroblast transition / fibrosis
VIM	vascular_stabilizing	0.8165680473372781	Fibrotic mediators	Myofibroblast transition / fibrosis
RGS5	vascular_stabilizing	0.7595481441635288	Mural identity	Vascular support
TGFB1	overall	0.10162671232876712	Signaling ligands	Pericyte-EC crosstalk
TGFB2	overall	0.11558219178082192	Signaling ligands	Pericyte-EC crosstalk
TGFB3	overall	0.025	Signaling ligands	Pericyte-EC crosstalk
WNT5A	overall	0.05017123287671233	Signaling ligands	Pericyte-EC crosstalk
NODAL	overall	0.0018835616438356165	Signaling ligands	Pericyte-EC crosstalk
CXCL1	overall	0.022602739726027398	Chemokines	Neutrophil/monocyte recruitment
CXCL2	overall	0.06053082191780822	Chemokines	Neutrophil/monocyte recruitment
CXCL3	overall	0.030993150684931508	Chemokines	Neutrophil/monocyte recruitment
CXCL6	overall	0.0016267123287671233	Chemokines	Neutrophil/monocyte recruitment
CXCL8	overall	0.03809931506849315	Chemokines	Neutrophil/monocyte recruitment
CXCL10	overall	0.01309931506849315	Chemokines	Neutrophil/monocyte recruitment
CCL2	overall	0.08287671232876713	Chemokines	Neutrophil/monocyte recruitment
CCL20	overall	0.019948630136986303	Chemokines	Neutrophil/monocyte recruitment
IL1A	overall	0.001113013698630137	Cytokines	Inflammatory amplification
IL1B	overall	0.010445205479452055	Cytokines	Inflammatory amplification
IL6	overall	0.09126712328767124	Cytokines	Inflammatory amplification
MIF	overall	0.2690068493150685	Cytokines	Inflammatory amplification
ICAM1	overall	0.06686643835616439	Adhesion molecules	Leukocyte trafficking
VCAM1	overall	0.011986301369863013	Adhesion molecules	Leukocyte trafficking
SELE	overall	0.0018835616438356165	Adhesion molecules	Leukocyte trafficking
COL1A1	overall	0.14726027397260275	ECM structural	Basement membrane / vascular stability
COL4A1	overall	0.7939212328767123	ECM structural	Basement membrane / vascular stability
FN1	overall	0.2573630136986301	ECM structural	Basement membrane / vascular stability
LAMA2	overall	0.3446917808219178	ECM structural	Basement membrane / vascular stability
LAMB1	overall	0.5961472602739726	ECM structural	Basement membrane / vascular stability
MMP2	overall	0.13304794520547944	Matrix-remodeling	ECM degradation / sprouting
MMP3	overall	0.0004280821917808219	Matrix-remodeling	ECM degradation / sprouting
MMP9	overall	0.0017123287671232876	Matrix-remodeling	ECM degradation / sprouting
ACTA2	overall	0.5741438356164383	Fibrotic mediators	Myofibroblast transition / fibrosis
PDGFA	overall	0.13792808219178082	Fibrotic mediators	Myofibroblast transition / fibrosis
PDGFRB	overall	0.8377568493150684	Fibrotic mediators	Myofibroblast transition / fibrosis
ADAMTS1	overall	0.35154109589041094	Fibrotic mediators	Myofibroblast transition / fibrosis
VIM	overall	0.7504280821917808	Fibrotic mediators	Myofibroblast transition / fibrosis
RGS5	overall	0.49511986301369865	Mural identity	Vascular support
